time,San Antonio,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Barnes vs. T. Duncan (T. Allen gains possession),,,,Jump ball: M. Barnes vs. T. Duncan (T. Allen gains possession)
11:54.0,,,0-0,,T. Allen misses 2-pt shot from 2 ft
11:52.0,Defensive rebound by T. Parker,,0-0,,
11:34.0,K. Leonard makes 2-pt shot from 16 ft,2,2-0,,
11:15.0,,,2-0,,V. Carter misses 3-pt shot from 25 ft
11:13.0,,,2-0,,Offensive rebound by Z. Randolph
11:07.0,,,2-2,2,V. Carter makes 2-pt shot at rim (assist by M. Barnes)
10:55.0,K. Leonard makes 2-pt shot from 3 ft (assist by T. Duncan),2,4-2,,
10:40.0,,,4-2,,Turnover by Z. Randolph (bad pass)
10:19.0,D. Green makes 3-pt shot from 25 ft (assist by L. Aldridge),3,7-2,,
10:03.0,Personal foul by T. Parker,,7-2,,
9:53.0,,,7-2,,Z. Randolph misses 2-pt shot from 4 ft
9:50.0,Defensive rebound by T. Duncan,,7-2,,
9:33.0,D. Green misses 2-pt shot from 15 ft,,7-2,,
9:31.0,,,7-2,,Defensive rebound by V. Carter
9:12.0,,,7-2,,V. Carter misses 2-pt shot from 3 ft (block by D. Green)
9:10.0,Defensive rebound by L. Aldridge,,7-2,,
8:57.0,T. Duncan makes 2-pt shot from 7 ft (assist by T. Parker),2,9-2,,
8:45.0,,,9-4,2,Z. Randolph makes 2-pt shot from 19 ft (assist by J. Farmar)
8:22.0,T. Parker misses 2-pt shot from 16 ft,,9-4,,
8:21.0,,,9-4,,Defensive rebound by M. Barnes
8:12.0,,,9-4,,V. Carter misses 2-pt shot at rim (block by K. Leonard)
8:09.0,Defensive rebound by L. Aldridge,,9-4,,
7:57.0,K. Leonard makes 3-pt shot from 23 ft (assist by T. Parker),3,12-4,,
7:41.0,,,12-6,2,J. Farmar makes 2-pt shot from 19 ft
7:20.0,T. Parker misses 2-pt shot from 12 ft,,12-6,,
7:17.0,,,12-6,,Defensive rebound by V. Carter
7:03.0,,,12-6,,J. Farmar misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by L. Aldridge,,12-6,,
6:48.0,L. Aldridge makes 2-pt shot from 2 ft (assist by T. Parker),2,14-6,,
6:38.0,,,14-8,2,M. Barnes makes 2-pt shot from 16 ft (assist by J. Farmar)
6:38.0,San Antonio full timeout,,14-8,,
6:21.0,Turnover by T. Duncan (3 sec),,14-8,,
6:08.0,,,14-8,,V. Carter misses 2-pt shot from 4 ft (block by D. Green)
6:07.0,Defensive rebound by D. Green,,14-8,,
5:49.0,D. Green misses 3-pt shot from 24 ft,,14-8,,
5:48.0,,,14-8,,Defensive rebound by T. Allen
5:35.0,,,14-10,2,Z. Randolph makes 2-pt shot from 5 ft
5:12.0,D. Green misses 3-pt shot from 25 ft,,14-10,,
5:11.0,,,14-10,,Defensive rebound by M. Barnes
5:07.0,,,14-10,,Shooting foul by D. Green (drawn by T. Allen)
5:07.0,,,14-11,1,T. Allen makes free throw 1 of 2
5:07.0,B. Diaw enters the game for T. Duncan,,14-11,,
5:07.0,M. Ginobili enters the game for D. Green,,14-11,,
5:07.0,P. Mills enters the game for T. Parker,,14-11,,
5:07.0,,,14-12,1,T. Allen makes free throw 2 of 2
4:54.0,K. Leonard misses 2-pt shot from 14 ft,,14-12,,
4:52.0,,,14-12,,Defensive rebound by Z. Randolph
4:42.0,,,14-14,2,Z. Randolph makes 2-pt shot from 18 ft (assist by J. Farmar)
4:14.0,Turnover by Team (shot clock),,14-14,,
3:48.0,,,14-14,,J. Farmar misses 2-pt shot from 2 ft
3:47.0,Defensive rebound by B. Diaw,,14-14,,
3:38.0,L. Aldridge makes 2-pt shot from 7 ft,2,16-14,,
3:38.0,Shooting foul by Z. Randolph (drawn by L. Aldridge),,16-14,,
3:38.0,D. Green enters the game for K. Leonard,,16-14,,
3:38.0,L. Aldridge makes free throw 1 of 1,1,17-14,,
3:19.0,,,17-14,,Z. Randolph misses 2-pt shot from 21 ft
3:18.0,,,17-14,,Offensive rebound by V. Carter
3:14.0,,,17-14,,Offensive foul by V. Carter
3:14.0,,,17-14,,Turnover by V. Carter (offensive foul)
3:14.0,,,17-14,,C. Andersen enters the game for T. Allen
3:14.0,,,17-14,,X. Munford enters the game for J. Farmar
3:02.0,,,17-14,,Personal foul by X. Munford
2:53.0,,,17-14,,Memphis full timeout
2:50.0,L. Aldridge misses 2-pt shot from 13 ft,,17-14,,
2:49.0,,,17-14,,Defensive rebound by Z. Randolph
2:49.0,Loose ball foul by M. Ginobili,,17-14,,
2:38.0,,,17-14,,Offensive foul by C. Andersen
2:38.0,,,17-14,,Turnover by C. Andersen (offensive foul)
2:19.0,L. Aldridge makes 2-pt shot from 15 ft,2,19-14,,
2:04.0,Personal foul by M. Ginobili,,19-14,,
1:53.0,,,19-14,,M. Barnes misses 2-pt shot from 7 ft (block by B. Diaw)
1:51.0,Defensive rebound by D. Green,,19-14,,
1:44.0,B. Diaw makes 2-pt shot from 3 ft,2,21-14,,
1:28.0,,,21-14,,M. Barnes misses 3-pt shot from 24 ft
1:27.0,Defensive rebound by M. Ginobili,,21-14,,
1:18.0,Turnover by B. Diaw (lost ball; steal by M. Barnes),,21-14,,
1:13.0,,,21-14,,Shooting foul by D. Green (drawn by M. Barnes)
1:13.0,,,21-15,1,M. Barnes makes free throw 1 of 2
1:13.0,D. West enters the game for L. Aldridge,,21-15,,
1:13.0,,,21-15,,J. Green enters the game for Z. Randolph
1:13.0,,,21-15,,L. Stephenson enters the game for V. Carter
1:13.0,,,21-16,1,M. Barnes makes free throw 2 of 2
1:00.0,D. West makes 2-pt shot from 15 ft (assist by B. Diaw),2,23-16,,
0:40.0,,,23-18,2,L. Stephenson makes 2-pt shot from 22 ft
0:30.0,P. Mills misses 2-pt shot from 15 ft,,23-18,,
0:28.0,,,23-18,,Defensive rebound by M. Barnes
0:11.0,,,23-18,,Turnover by M. Barnes (lost ball; steal by D. West)
0:00.0,M. Ginobili makes 3-pt shot from 26 ft (assist by P. Mills),3,26-18,,
