time,Indiana,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Grant vs. I. Mahinmi (L. Allen gains possession),,,,Jump ball: J. Grant vs. I. Mahinmi (L. Allen gains possession)
11:48.0,I. Mahinmi makes 2-pt shot at rim (assist by P. George),2,2-0,,
11:30.0,,,2-0,,Shooting foul by M. Ellis (drawn by C. Landry)
11:30.0,,,2-1,1,C. Landry makes free throw 1 of 2
11:30.0,,,2-2,1,C. Landry makes free throw 2 of 2
11:13.0,I. Mahinmi misses 2-pt shot from 6 ft,,2-2,,
11:12.0,,,2-2,,Defensive rebound by Team
10:59.0,,,2-2,,J. Grant misses 2-pt shot from 5 ft
10:58.0,Defensive rebound by L. Allen,,2-2,,
10:51.0,Turnover by P. George (lost ball; steal by R. Covington),,2-2,,
10:31.0,,,2-2,,J. Grant misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by P. George,,2-2,,
10:15.0,L. Allen makes 2-pt shot from 1 ft,2,4-2,,
9:47.0,,,4-2,,I. Canaan misses 2-pt shot from 21 ft
9:46.0,Defensive rebound by P. George,,4-2,,
9:38.0,P. George misses 2-pt shot from 14 ft,,4-2,,
9:36.0,,,4-2,,Defensive rebound by J. Grant
9:26.0,,,4-4,2,C. Landry makes 2-pt shot from 14 ft
9:16.0,L. Allen misses 2-pt shot from 10 ft,,4-4,,
9:14.0,,,4-4,,Defensive rebound by R. Covington
9:09.0,,,4-4,,J. Grant misses 2-pt shot from 2 ft
9:05.0,Defensive rebound by G. Hill,,4-4,,
9:00.0,,,4-4,,Personal foul by J. Grant
8:54.0,G. Hill misses 3-pt shot from 24 ft,,4-4,,
8:53.0,,,4-4,,Defensive rebound by I. Canaan
8:39.0,,,4-6,2,C. Landry makes 2-pt shot from 15 ft (assist by I. Smith)
8:29.0,Offensive foul by I. Mahinmi,,4-6,,
8:29.0,Turnover by I. Mahinmi (offensive foul),,4-6,,
8:16.0,,,4-9,3,C. Landry makes 3-pt shot from 23 ft (assist by J. Grant)
8:02.0,M. Ellis makes 2-pt shot from 17 ft,2,6-9,,
7:51.0,,,6-11,2,J. Grant makes 2-pt shot from 2 ft (assist by I. Smith)
7:36.0,L. Allen misses 2-pt shot from 4 ft,,6-11,,
7:34.0,,,6-11,,Defensive rebound by I. Canaan
7:25.0,,,6-14,3,C. Landry makes 3-pt shot from 25 ft (assist by I. Smith)
7:10.0,,,6-14,,Shooting block foul by J. Grant (drawn by P. George)
7:10.0,P. George makes free throw 1 of 2,1,7-14,,
7:10.0,,,7-14,,E. Brand enters the game for J. Grant
7:10.0,,,7-14,,N. Stauskas enters the game for C. Landry
7:10.0,P. George makes free throw 2 of 2,1,8-14,,
6:57.0,,,8-14,,R. Covington misses 3-pt shot from 24 ft
6:56.0,Defensive rebound by M. Ellis,,8-14,,
6:50.0,Turnover by M. Ellis (lost ball; steal by R. Covington),,8-14,,
6:34.0,,,8-14,,I. Smith misses 2-pt shot at rim
6:31.0,Defensive rebound by I. Mahinmi,,8-14,,
6:26.0,P. George makes 2-pt shot from 5 ft,2,10-14,,
6:10.0,,,10-14,,I. Canaan misses 3-pt shot from 23 ft
