time,New Orleans,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Davis (N. Robinson gains possession),,,,Jump ball: A. Bogut vs. A. Davis (N. Robinson gains possession)
11:46.0,A. Davis misses 3-pt shot from 23 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by A. Bogut
11:35.0,,,0-3,3,D. Green makes 3-pt shot from 26 ft (assist by K. Thompson)
11:18.0,A. Davis makes 2-pt shot from 7 ft (assist by E. Gordon),2,2-3,,
10:56.0,,,2-5,2,S. Curry makes 2-pt shot from 3 ft (assist by A. Bogut)
10:36.0,A. Davis misses 2-pt shot from 16 ft,,2-5,,
10:36.0,,,2-5,,Defensive rebound by H. Barnes
10:29.0,,,2-5,,S. Curry misses 3-pt shot from 26 ft
10:28.0,Defensive rebound by K. Perkins,,2-5,,
10:10.0,K. Perkins makes 2-pt shot from 10 ft (assist by E. Gordon),2,4-5,,
10:07.0,,,4-5,,Turnover by S. Curry (bad pass)
9:52.0,E. Gordon makes 3-pt shot from 24 ft,3,7-5,,
9:34.0,,,7-5,,S. Curry misses 2-pt shot from 2 ft
9:33.0,,,7-5,,Offensive rebound by A. Bogut
9:33.0,,,7-7,2,A. Bogut makes 2-pt shot at rim
9:20.0,D. Cunningham misses 2-pt shot from 3 ft,,7-7,,
9:19.0,,,7-7,,Defensive rebound by S. Curry
9:13.0,,,7-10,3,S. Curry makes 3-pt shot from 27 ft
9:00.0,K. Perkins makes 2-pt shot from 8 ft (assist by N. Robinson),2,9-10,,
8:44.0,Personal foul by N. Robinson (drawn by S. Curry),,9-10,,
8:37.0,,,9-10,,K. Thompson misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by K. Perkins,,9-10,,
8:22.0,E. Gordon misses 3-pt shot from 25 ft,,9-10,,
8:21.0,,,9-10,,Defensive rebound by H. Barnes
8:13.0,Personal foul by N. Robinson (drawn by K. Thompson),,9-10,,
8:13.0,I. Smith enters the game for N. Robinson,,9-10,,
8:05.0,,,9-10,,K. Thompson misses 2-pt shot from 14 ft
8:04.0,Defensive rebound by D. Cunningham,,9-10,,
7:57.0,E. Gordon misses 2-pt shot from 4 ft (block by A. Bogut),,9-10,,
7:57.0,Offensive rebound by Team,,9-10,,
7:45.0,,,9-10,,Violation by A. Bogut (def goaltending)
7:45.0,D. Cunningham makes 2-pt shot from 2 ft (assist by K. Perkins),2,11-10,,
7:29.0,,,11-12,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
7:17.0,Turnover by I. Smith (bad pass; steal by S. Curry),,11-12,,
7:11.0,,,11-14,2,S. Curry makes 2-pt shot at rim
6:56.0,K. Perkins makes 2-pt shot from 6 ft (assist by I. Smith),2,13-14,,
