time,Detroit,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gortat (K. Caldwell-Pope gains possession),,,,Jump ball: A. Drummond vs. M. Gortat (K. Caldwell-Pope gains possession)
11:52.0,Offensive foul by R. Jackson,,0-0,,
11:52.0,Turnover by R. Jackson (offensive foul),,0-0,,
11:39.0,,,0-2,2,M. Gortat makes 2-pt shot from 9 ft (assist by J. Wall)
11:20.0,M. Morris misses 3-pt shot from 25 ft,,0-2,,
11:19.0,Offensive rebound by A. Drummond,,0-2,,
11:16.0,A. Drummond misses 2-pt shot from 4 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by J. Wall
11:09.0,,,0-4,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
10:51.0,Shooting foul by M. Morris (drawn by T. Harris),,0-4,,
10:51.0,T. Harris makes free throw 1 of 2,1,1-4,,
10:51.0,T. Harris makes free throw 2 of 2,1,2-4,,
10:37.0,,,2-4,,M. Gortat misses 2-pt shot from 11 ft
10:36.0,Defensive rebound by T. Harris,,2-4,,
10:29.0,R. Jackson makes 2-pt shot from 1 ft,2,4-4,,
10:15.0,,,4-6,2,B. Beal makes 2-pt shot from 6 ft (assist by J. Wall)
10:03.0,R. Jackson misses 2-pt shot from 1 ft,,4-6,,
10:02.0,,,4-6,,Defensive rebound by M. Gortat
9:53.0,,,4-6,,J. Wall misses 2-pt shot from 14 ft
9:52.0,Defensive rebound by Team,,4-6,,
9:35.0,T. Harris misses 3-pt shot from 25 ft,,4-6,,
9:34.0,,,4-6,,Defensive rebound by M. Gortat
9:28.0,,,4-6,,M. Morris misses 2-pt shot from 18 ft
9:26.0,Defensive rebound by M. Morris,,4-6,,
9:21.0,A. Drummond misses 2-pt shot from 1 ft,,4-6,,
9:20.0,,,4-6,,Defensive rebound by B. Beal
9:12.0,,,4-9,3,B. Beal makes 3-pt shot from 26 ft (assist by M. Gortat)
8:55.0,R. Jackson misses 3-pt shot from 23 ft,,4-9,,
8:55.0,,,4-9,,Defensive rebound by M. Gortat
8:40.0,,,4-11,2,J. Wall makes 2-pt shot at rim
8:33.0,Detroit full timeout,,4-11,,
8:22.0,M. Morris misses 2-pt shot from 16 ft,,4-11,,
8:19.0,,,4-11,,Defensive rebound by J. Wall
8:08.0,,,4-11,,B. Beal misses 2-pt shot from 9 ft
8:07.0,,,4-11,,Offensive rebound by M. Gortat
8:05.0,,,4-11,,M. Gortat misses 2-pt shot at rim
8:05.0,Defensive rebound by M. Morris,,4-11,,
7:50.0,Turnover by A. Drummond (lost ball; steal by J. Wall),,4-11,,
7:47.0,,,4-13,2,J. Wall makes 2-pt shot at rim
7:39.0,Detroit full timeout,,4-13,,
7:31.0,T. Harris misses 2-pt shot from 19 ft,,4-13,,
7:30.0,Offensive rebound by A. Drummond,,4-13,,
7:27.0,A. Drummond misses 2-pt shot from 1 ft,,4-13,,
7:27.0,Offensive rebound by A. Drummond,,4-13,,
7:24.0,A. Drummond makes 2-pt shot from 1 ft,2,6-13,,
7:14.0,,,6-16,3,M. Morris makes 3-pt shot from 26 ft (assist by B. Beal)
6:51.0,R. Jackson misses 3-pt shot from 27 ft,,6-16,,
6:49.0,,,6-16,,Defensive rebound by O. Porter
6:35.0,,,6-16,,J. Wall misses 2-pt shot from 3 ft
6:34.0,Defensive rebound by A. Drummond,,6-16,,
6:18.0,Turnover by M. Morris (traveling),,6-16,,
5:59.0,,,6-18,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
5:46.0,Turnover by R. Jackson (traveling),,6-18,,
5:46.0,S. Johnson enters the game for M. Morris,,6-18,,
5:28.0,,,6-20,2,M. Morris makes 2-pt shot from 13 ft
5:12.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,6-20,,
5:11.0,,,6-20,,Defensive rebound by J. Wall
5:03.0,,,6-23,3,O. Porter makes 3-pt shot from 23 ft (assist by M. Morris)
4:43.0,T. Harris misses 3-pt shot from 24 ft,,6-23,,
4:42.0,,,6-23,,Defensive rebound by B. Beal
4:39.0,Personal foul by R. Jackson,,6-23,,
4:39.0,S. Blake enters the game for R. Jackson,,6-23,,
4:39.0,,,6-23,,G. Temple enters the game for B. Beal
4:36.0,,,6-23,,O. Porter misses 2-pt shot from 5 ft
4:35.0,Defensive rebound by A. Drummond,,6-23,,
4:15.0,Turnover by S. Blake (traveling),,6-23,,
4:06.0,,,6-23,,Shooting foul by A. Drummond (drawn by J. Wall)
4:06.0,,,6-24,1,J. Wall makes free throw 1 of 2
4:06.0,A. Baynes enters the game for A. Drummond,,6-24,,
4:06.0,A. Tolliver enters the game for T. Harris,,6-24,,
4:06.0,,,6-25,1,J. Wall makes free throw 2 of 2
3:52.0,Shooting foul by M. Gortat (drawn by K. Caldwell-Pope),,6-25,,
3:52.0,K. Caldwell-Pope misses free throw 1 of 2,,6-25,,
3:52.0,Offensive rebound by Team,,6-25,,
3:52.0,K. Caldwell-Pope makes free throw 2 of 2,1,7-25,,
3:39.0,,,7-25,,J. Wall misses 2-pt shot from 3 ft
3:38.0,Defensive rebound by Team,,7-25,,
3:32.0,Offensive foul by A. Baynes,,7-25,,
3:32.0,Turnover by A. Baynes (offensive foul),,7-25,,
3:22.0,,,7-28,3,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall)
3:01.0,S. Johnson misses 2-pt shot from 19 ft,,7-28,,
2:59.0,,,7-28,,Defensive rebound by M. Morris
2:51.0,,,7-30,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
2:34.0,K. Caldwell-Pope makes 2-pt shot from 14 ft,2,9-30,,
2:26.0,,,9-30,,M. Morris misses 3-pt shot from 26 ft
2:25.0,Defensive rebound by K. Caldwell-Pope,,9-30,,
2:17.0,A. Baynes makes 2-pt shot from 17 ft,2,11-30,,
2:08.0,,,11-30,,Washington full timeout
2:08.0,,,11-30,,N. Hilario enters the game for M. Gortat
1:51.0,,,11-30,,G. Temple misses 3-pt shot from 27 ft
1:50.0,Defensive rebound by K. Caldwell-Pope,,11-30,,
1:46.0,Turnover by S. Blake (lost ball; steal by O. Porter),,11-30,,
1:40.0,,,11-32,2,J. Wall makes 2-pt shot from 1 ft (assist by O. Porter)
1:24.0,S. Johnson misses 2-pt shot from 14 ft,,11-32,,
1:23.0,,,11-32,,Defensive rebound by J. Wall
1:13.0,,,11-32,,N. Hilario misses 2-pt shot from 1 ft
1:13.0,,,11-32,,Offensive rebound by Team
1:13.0,,,11-32,,J. Dudley enters the game for M. Morris
1:13.0,,,11-32,,R. Sessions enters the game for J. Wall
1:13.0,,,11-32,,A. Anderson enters the game for O. Porter
1:00.0,,,11-34,2,N. Hilario makes 2-pt shot from 19 ft (assist by R. Sessions)
0:47.0,K. Caldwell-Pope makes 2-pt shot from 18 ft,2,13-34,,
0:33.0,,,13-34,,G. Temple misses 2-pt shot from 17 ft
0:32.0,Defensive rebound by S. Johnson,,13-34,,
0:14.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Johnson),2,15-34,,
0:14.0,Shooting foul by G. Temple (drawn by K. Caldwell-Pope),,15-34,,
0:14.0,,,15-34,,J. Wall enters the game for G. Temple
0:14.0,K. Caldwell-Pope misses free throw 1 of 1,,15-34,,
0:13.0,,,15-34,,Defensive rebound by J. Wall
0:02.0,,,15-34,,Turnover by J. Wall (lost ball; steal by S. Johnson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,15-34,,B. Beal misses 2-pt shot from 17 ft
11:43.0,,,15-34,,Offensive rebound by B. Beal
11:40.0,,,15-34,,Shooting foul by S. Johnson (drawn by A. Anderson)
11:40.0,,,15-37,3,A. Anderson makes 3-pt shot from 26 ft (assist by B. Beal)
11:40.0,,,15-37,,A. Anderson misses free throw 1 of 1
11:39.0,Defensive rebound by A. Tolliver,,15-37,,
11:25.0,S. Johnson misses 2-pt shot from 2 ft,,15-37,,
11:24.0,Offensive rebound by A. Baynes,,15-37,,
11:23.0,A. Baynes misses 2-pt shot from 1 ft,,15-37,,
11:23.0,Offensive rebound by A. Baynes,,15-37,,
11:23.0,,,15-37,,Personal take foul by J. Dudley
11:23.0,A. Baynes misses free throw 1 of 2,,15-37,,
11:23.0,Offensive rebound by Team,,15-37,,
11:23.0,A. Baynes misses free throw 2 of 2,,15-37,,
11:21.0,,,15-37,,Defensive rebound by N. Hilario
11:07.0,,,15-37,,B. Beal misses 2-pt shot at rim (block by A. Baynes)
11:06.0,Defensive rebound by A. Tolliver,,15-37,,
10:45.0,A. Tolliver misses 3-pt shot from 24 ft,,15-37,,
10:45.0,,,15-37,,Defensive rebound by A. Anderson
10:24.0,,,15-37,,Turnover by A. Anderson (lost ball; steal by R. Bullock)
10:14.0,R. Bullock misses 3-pt shot from 25 ft,,15-37,,
10:12.0,Offensive rebound by S. Blake,,15-37,,
10:02.0,S. Blake misses 2-pt shot from 21 ft,,15-37,,
10:00.0,,,15-37,,Defensive rebound by A. Anderson
9:48.0,,,15-39,2,N. Hilario makes 2-pt shot at rim
9:42.0,,,15-39,,Personal foul by N. Hilario
9:42.0,,,15-39,,O. Porter enters the game for A. Anderson
9:35.0,,,15-39,,Personal foul by B. Beal
9:32.0,S. Blake makes 3-pt shot from 26 ft (assist by S. Johnson),3,18-39,,
9:12.0,,,18-41,2,N. Hilario makes 2-pt shot from 7 ft
9:01.0,,,18-41,,Personal foul by N. Hilario
8:51.0,A. Tolliver makes 2-pt shot from 1 ft (assist by S. Blake),2,20-41,,
8:41.0,,,20-41,,R. Sessions misses 2-pt shot at rim
