time,Toronto,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. H. Whiteside (J. Johnson gains possession),,,,Jump ball: J. Valanciunas vs. H. Whiteside (J. Johnson gains possession)
11:36.0,K. Lowry makes 2-pt shot from 2 ft,2,2-0,,
11:14.0,,,2-0,,L. Deng misses 2-pt shot from 11 ft
11:13.0,Defensive rebound by J. Valanciunas,,2-0,,
11:07.0,L. Scola makes 2-pt shot from 10 ft (assist by K. Lowry),2,4-0,,
10:49.0,,,4-0,,H. Whiteside misses 2-pt shot from 14 ft
10:48.0,Defensive rebound by J. Johnson,,4-0,,
10:42.0,,,4-0,,Personal block foul by G. Dragic (drawn by K. Lowry)
10:33.0,D. DeRozan misses 2-pt shot from 4 ft,,4-0,,
10:32.0,Offensive rebound by J. Valanciunas,,4-0,,
10:31.0,J. Valanciunas makes 2-pt shot from 1 ft,2,6-0,,
10:17.0,,,6-0,,G. Dragic misses 3-pt shot from 24 ft
10:16.0,Jump ball: J. Valanciunas vs. H. Whiteside (L. Scola gains possession),,,,Jump ball: J. Valanciunas vs. H. Whiteside (L. Scola gains possession)
10:15.0,Defensive rebound by Team,,6-0,,
9:54.0,J. Valanciunas misses 2-pt shot from 1 ft,,6-0,,
9:53.0,,,6-0,,Defensive rebound by H. Whiteside
9:43.0,,,6-2,2,D. Wade makes 2-pt shot from 16 ft
9:12.0,L. Scola makes 3-pt shot from 23 ft (assist by K. Lowry),3,9-2,,
8:53.0,Personal foul by L. Scola (drawn by C. Bosh),,9-2,,
8:43.0,,,9-4,2,C. Bosh makes 2-pt shot at rim
8:28.0,D. DeRozan misses 2-pt shot at rim (block by H. Whiteside),,9-4,,
8:27.0,,,9-4,,Defensive rebound by C. Bosh
8:22.0,,,9-4,,G. Dragic misses 2-pt shot from 17 ft
8:21.0,Defensive rebound by Team,,9-4,,
8:20.0,,,9-4,,Loose ball foul by H. Whiteside (drawn by J. Valanciunas)
8:08.0,K. Lowry misses 2-pt shot from 18 ft,,9-4,,
8:07.0,,,9-4,,Defensive rebound by D. Wade
7:54.0,,,9-6,2,H. Whiteside makes 2-pt shot from 2 ft (assist by D. Wade)
7:32.0,J. Valanciunas makes 2-pt shot from 7 ft,2,11-6,,
7:19.0,,,11-6,,C. Bosh misses 2-pt shot from 18 ft
7:18.0,,,11-6,,Offensive rebound by L. Deng
7:09.0,,,11-6,,Turnover by G. Dragic (bad pass)
7:09.0,,,11-6,,Loose ball foul by C. Bosh (drawn by L. Scola)
7:09.0,,,11-6,,J. Winslow enters the game for C. Bosh
6:55.0,L. Scola misses 3-pt shot from 24 ft,,11-6,,
6:54.0,,,11-6,,Defensive rebound by H. Whiteside
6:42.0,,,11-8,2,H. Whiteside makes 2-pt shot from 3 ft
6:42.0,,,11-8,,Shooting foul by J. Johnson (drawn by H. Whiteside)
6:42.0,,,11-9,1,H. Whiteside makes free throw 1 of 1
6:24.0,Turnover by L. Scola (bad pass),,11-9,,
6:02.0,,,11-9,,H. Whiteside misses 2-pt shot from 5 ft
6:01.0,,,11-9,,Offensive rebound by H. Whiteside
5:59.0,,,11-11,2,H. Whiteside makes 2-pt shot from 3 ft
5:41.0,,,11-11,,Miami full timeout
5:41.0,P. Patterson enters the game for L. Scola,,11-11,,
5:36.0,J. Johnson makes 2-pt shot at rim (assist by P. Patterson),2,13-11,,
5:21.0,,,13-11,,L. Deng misses 2-pt shot from 18 ft
5:20.0,Defensive rebound by J. Johnson,,13-11,,
5:10.0,K. Lowry misses 2-pt shot from 1 ft (block by H. Whiteside),,13-11,,
5:09.0,Offensive rebound by K. Lowry,,13-11,,
5:07.0,J. Valanciunas misses 2-pt shot from 7 ft,,13-11,,
5:06.0,,,13-11,,Defensive rebound by L. Deng
4:58.0,,,13-11,,J. Winslow misses 2-pt shot from 5 ft
4:57.0,Defensive rebound by K. Lowry,,13-11,,
4:51.0,Shooting foul by D. Wade (drawn by J. Johnson),,13-11,,
4:51.0,J. Johnson misses free throw 1 of 2,,13-11,,
4:51.0,Offensive rebound by Team,,13-11,,
4:51.0,J. Johnson makes free throw 2 of 2,1,14-11,,
4:36.0,,,14-11,,D. Wade misses 2-pt shot from 11 ft
4:35.0,Defensive rebound by J. Valanciunas,,14-11,,
4:28.0,P. Patterson misses 3-pt shot from 23 ft,,14-11,,
4:27.0,,,14-11,,Defensive rebound by G. Dragic
4:23.0,,,14-11,,Turnover by G. Dragic (bad pass; steal by J. Johnson)
4:18.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by J. Johnson),2,16-11,,
4:00.0,,,16-13,2,D. Wade makes 2-pt shot from 2 ft
3:49.0,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan),2,18-13,,
3:31.0,,,18-15,2,D. Wade makes 2-pt shot at rim
3:17.0,D. DeRozan makes 2-pt shot at rim,2,20-15,,
2:59.0,,,20-17,2,L. Deng makes 2-pt shot from 3 ft
2:40.0,D. DeRozan misses 2-pt shot from 8 ft (block by H. Whiteside),,20-17,,
2:39.0,,,20-17,,Defensive rebound by H. Whiteside
2:33.0,,,20-17,,L. Deng misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by J. Johnson,,20-17,,
2:15.0,J. Johnson makes 2-pt shot from 3 ft (assist by P. Patterson),2,22-17,,
2:05.0,,,22-17,,Miami full timeout
2:05.0,Toronto full timeout,,22-17,,
2:05.0,T. Ross enters the game for J. Johnson,,22-17,,
2:05.0,B. Biyombo enters the game for J. Valanciunas,,22-17,,
2:05.0,C. Joseph enters the game for K. Lowry,,22-17,,
2:05.0,,,22-17,,J. McRoberts enters the game for L. Deng
2:05.0,,,22-17,,C. Bosh enters the game for H. Whiteside
2:05.0,,,22-17,,M. Chalmers enters the game for D. Wade
1:43.0,,,22-17,,C. Bosh misses 2-pt shot from 19 ft
1:42.0,Defensive rebound by P. Patterson,,22-17,,
1:25.0,Turnover by T. Ross (bad pass),,22-17,,
1:14.0,Personal foul by C. Joseph (drawn by G. Dragic),,22-17,,
1:14.0,,,22-17,,T. Johnson enters the game for G. Dragic
1:01.0,,,22-19,2,J. McRoberts makes 2-pt shot from 3 ft (assist by M. Chalmers)
0:41.0,D. DeRozan misses 3-pt shot from 23 ft,,22-19,,
0:40.0,,,22-19,,Defensive rebound by T. Johnson
0:31.0,,,22-22,3,T. Johnson makes 3-pt shot from 24 ft (assist by C. Bosh)
0:14.0,D. DeRozan makes 2-pt shot from 3 ft,2,24-22,,
0:01.0,,,24-22,,C. Bosh misses 3-pt shot from 24 ft
0:00.0,,,24-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,24-22,,Violation by Team (delay of game)
11:47.0,,,24-22,,C. Bosh misses 2-pt shot from 13 ft
11:46.0,Defensive rebound by K. Lowry,,24-22,,
11:27.0,K. Lowry misses 3-pt shot from 24 ft,,24-22,,
11:26.0,,,24-22,,Defensive rebound by C. Bosh
11:15.0,,,24-22,,Turnover by J. McRoberts (bad pass; steal by B. Biyombo)
11:09.0,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry),2,26-22,,
11:09.0,Shooting foul by M. Chalmers (drawn by B. Biyombo),,26-22,,
11:09.0,B. Biyombo makes free throw 1 of 1,1,27-22,,
11:01.0,,,27-24,2,M. Chalmers makes 2-pt shot from 6 ft
10:46.0,P. Patterson misses 3-pt shot from 24 ft,,27-24,,
10:45.0,,,27-24,,Defensive rebound by M. Chalmers
10:42.0,,,27-24,,M. Chalmers misses 2-pt shot from 1 ft (block by C. Joseph)
10:41.0,,,27-24,,Offensive rebound by Team
10:28.0,,,27-24,,J. McRoberts misses 3-pt shot from 23 ft (block by T. Ross)
10:27.0,,,27-24,,Offensive rebound by J. McRoberts
10:23.0,,,27-24,,J. McRoberts misses 2-pt shot from 5 ft (block by C. Joseph)
10:22.0,,,27-24,,Offensive rebound by J. McRoberts
10:22.0,,,27-24,,Turnover by Team (shot clock)
9:57.0,P. Patterson makes 2-pt shot from 16 ft (assist by K. Lowry),2,29-24,,
9:41.0,,,29-24,,J. Winslow misses 2-pt shot from 1 ft
9:40.0,,,29-24,,Offensive rebound by J. Winslow
9:39.0,,,29-26,2,J. Winslow makes 2-pt shot at rim
9:28.0,K. Lowry misses 2-pt shot from 5 ft,,29-26,,
9:27.0,,,29-26,,Defensive rebound by J. Winslow
9:12.0,,,29-26,,Shooting foul by B. Biyombo (drawn by C. Bosh)
9:12.0,,,29-27,1,C. Bosh makes free throw 1 of 2
9:12.0,,,29-28,1,C. Bosh makes free throw 2 of 2
8:58.0,K. Lowry misses 2-pt shot from 11 ft,,29-28,,
8:57.0,,,29-28,,Defensive rebound by J. Winslow
8:53.0,,,29-28,,Turnover by J. Winslow (lost ball; steal by P. Patterson)
8:51.0,Turnover by B. Biyombo (lost ball),,29-28,,
8:51.0,,,29-28,,Miami full timeout
8:51.0,L. Scola enters the game for P. Patterson,,29-28,,
8:39.0,,,29-30,2,M. Chalmers makes 2-pt shot from 2 ft
8:25.0,T. Ross misses 3-pt shot from 25 ft,,29-30,,
8:24.0,,,29-30,,Defensive rebound by M. Chalmers
8:18.0,,,29-30,,T. Johnson misses 2-pt shot from 1 ft
8:17.0,,,29-30,,Offensive rebound by C. Bosh
8:06.0,,,29-33,3,C. Bosh makes 3-pt shot from 25 ft (assist by M. Chalmers)
7:46.0,L. Scola misses 2-pt shot from 2 ft,,29-33,,
7:45.0,,,29-33,,Defensive rebound by T. Johnson
7:36.0,,,29-33,,M. Chalmers misses 2-pt shot from 19 ft
7:35.0,Defensive rebound by C. Joseph,,29-33,,
7:24.0,K. Lowry makes 3-pt shot from 23 ft (assist by C. Joseph),3,32-33,,
7:02.0,,,32-33,,M. Chalmers misses 2-pt shot from 4 ft (block by L. Scola)
7:01.0,,,32-33,,Offensive rebound by Team
7:01.0,J. Valanciunas enters the game for B. Biyombo,,32-33,,
7:01.0,J. Johnson enters the game for T. Ross,,32-33,,
7:01.0,,,32-33,,D. Wade enters the game for C. Bosh
7:01.0,,,32-33,,L. Deng enters the game for J. Winslow
7:01.0,,,32-33,,H. Whiteside enters the game for J. McRoberts
6:56.0,,,32-36,3,T. Johnson makes 3-pt shot from 24 ft (assist by L. Deng)
6:28.0,J. Valanciunas misses 2-pt shot from 9 ft,,32-36,,
6:27.0,,,32-36,,Defensive rebound by M. Chalmers
6:17.0,,,32-38,2,T. Johnson makes 2-pt shot from 1 ft (assist by M. Chalmers)
6:14.0,Toronto full timeout,,32-38,,
6:14.0,D. DeRozan enters the game for K. Lowry,,32-38,,
5:56.0,C. Joseph makes 2-pt shot from 17 ft,2,34-38,,
5:32.0,,,34-38,,D. Wade misses 2-pt shot from 15 ft
5:31.0,Defensive rebound by L. Scola,,34-38,,
