time,Phoenix,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. N. Jokic (A. Len gains possession),,,,Jump ball: T. Chandler vs. N. Jokic (A. Len gains possession)
11:49.0,Turnover by D. Booker (lost ball; steal by K. Faried),,0-0,,
11:28.0,,,0-0,,J. Sampson misses 2-pt shot from 7 ft
11:28.0,Defensive rebound by T. Chandler,,0-0,,
11:08.0,A. Len misses 2-pt shot from 1 ft (block by N. Jokic),,0-0,,
11:06.0,,,0-0,,Defensive rebound by E. Mudiay
11:00.0,,,0-0,,G. Harris misses 2-pt shot from 8 ft
10:59.0,,,0-0,,Offensive rebound by Team
10:48.0,,,0-2,2,E. Mudiay makes 2-pt shot from 2 ft
10:32.0,A. Len makes 2-pt shot from 2 ft,2,2-2,,
10:19.0,,,2-5,3,E. Mudiay makes 3-pt shot from 24 ft (assist by J. Sampson)
9:58.0,A. Len misses 2-pt shot from 1 ft,,2-5,,
9:58.0,,,2-5,,Defensive rebound by J. Sampson
9:54.0,,,2-5,,Turnover by K. Faried (lost ball; steal by D. Booker)
9:54.0,,,2-5,,Personal foul by N. Jokic
9:40.0,R. Price misses 3-pt shot from 26 ft,,2-5,,
9:39.0,,,2-5,,Defensive rebound by J. Sampson
9:34.0,,,2-5,,Turnover by E. Mudiay (bad pass)
9:20.0,D. Booker makes 2-pt shot from 6 ft,2,4-5,,
9:11.0,,,4-5,,Turnover by E. Mudiay (lost ball; steal by R. Price)
9:09.0,Shooting foul by E. Mudiay (drawn by R. Price),,4-5,,
9:09.0,R. Price misses free throw 1 of 2,,4-5,,
9:09.0,Offensive rebound by Team,,4-5,,
9:09.0,R. Price misses free throw 2 of 2,,4-5,,
9:08.0,,,4-5,,Defensive rebound by N. Jokic
8:59.0,,,4-5,,K. Faried misses 2-pt shot from 7 ft
8:58.0,Defensive rebound by A. Len,,4-5,,
8:51.0,Turnover by D. Booker (lost ball; steal by G. Harris),,4-5,,
8:46.0,,,4-7,2,G. Harris makes 2-pt shot at rim
8:32.0,T. Chandler misses 2-pt shot from 17 ft,,4-7,,
8:31.0,,,4-7,,Defensive rebound by K. Faried
8:18.0,,,4-7,,J. Sampson misses 2-pt shot from 2 ft
8:17.0,,,4-7,,Offensive rebound by K. Faried
8:17.0,,,4-7,,K. Faried misses 2-pt shot from 1 ft
8:15.0,Defensive rebound by T. Chandler,,4-7,,
7:57.0,R. Price misses 3-pt shot from 25 ft,,4-7,,
7:57.0,,,4-7,,Defensive rebound by K. Faried
7:52.0,,,4-7,,Turnover by E. Mudiay (lost ball; steal by R. Price)
7:45.0,D. Booker misses 2-pt shot from 2 ft,,4-7,,
7:45.0,Offensive rebound by P. Tucker,,4-7,,
7:45.0,P. Tucker misses 2-pt shot from 1 ft,,4-7,,
7:44.0,Offensive rebound by P. Tucker,,4-7,,
7:41.0,P. Tucker misses 2-pt shot from 2 ft (block by N. Jokic),,4-7,,
7:40.0,Offensive rebound by R. Price,,4-7,,
7:36.0,P. Tucker misses 3-pt shot from 24 ft,,4-7,,
7:35.0,,,4-7,,Defensive rebound by N. Jokic
7:26.0,,,4-7,,G. Harris misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by A. Len,,4-7,,
7:08.0,A. Len misses 2-pt shot from 2 ft (block by N. Jokic),,4-7,,
7:07.0,Jump ball: N. Jokic vs. A. Len (D. Booker gains possession),,,,Jump ball: N. Jokic vs. A. Len (D. Booker gains possession)
7:07.0,Offensive rebound by Team,,4-7,,
7:04.0,D. Booker misses 3-pt shot from 26 ft,,4-7,,
7:03.0,Offensive rebound by T. Chandler,,4-7,,
7:01.0,Shooting foul by K. Faried (drawn by T. Chandler),,4-7,,
7:01.0,T. Chandler makes 2-pt shot from 1 ft,2,6-7,,
7:01.0,B. Knight enters the game for R. Price,,6-7,,
7:01.0,T. Chandler makes free throw 1 of 1,1,7-7,,
