time,Toronto,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. J. Valanciunas (L. Scola gains possession),,,,Jump ball: W. Cauley-Stein vs. J. Valanciunas (L. Scola gains possession)
11:40.0,K. Lowry makes 3-pt shot from 23 ft (assist by D. DeRozan),3,3-0,,
11:15.0,,,3-0,,B. McLemore misses 2-pt shot from 6 ft
11:13.0,Defensive rebound by D. DeRozan,,3-0,,
11:06.0,J. Valanciunas misses 2-pt shot from 20 ft,,3-0,,
11:06.0,,,3-0,,Defensive rebound by Team
10:46.0,,,3-0,,B. McLemore misses 3-pt shot from 23 ft
10:45.0,Defensive rebound by L. Scola,,3-0,,
10:30.0,Shooting foul by W. Cauley-Stein (drawn by D. DeRozan),,3-0,,
10:30.0,D. DeRozan misses free throw 1 of 2,,3-0,,
10:30.0,Offensive rebound by Team,,3-0,,
10:30.0,D. DeRozan makes free throw 2 of 2,1,4-0,,
10:17.0,,,4-0,,D. Cousins misses 2-pt shot from 20 ft
10:17.0,Defensive rebound by K. Lowry,,4-0,,
10:09.0,K. Lowry makes 3-pt shot from 25 ft,3,7-0,,
9:55.0,,,7-2,2,R. Gay makes 2-pt shot from 8 ft
9:37.0,Turnover by K. Lowry (bad pass; steal by R. Gay),,7-2,,
9:30.0,,,7-4,2,D. Cousins makes 2-pt shot at rim (assist by R. Gay)
9:02.0,K. Lowry misses 3-pt shot from 25 ft,,7-4,,
9:01.0,,,7-4,,Defensive rebound by W. Cauley-Stein
8:58.0,Personal foul by K. Lowry (drawn by D. Cousins),,7-4,,
8:41.0,,,7-6,2,R. Gay makes 2-pt shot from 17 ft
8:23.0,D. DeRozan makes 2-pt shot from 14 ft,2,9-6,,
8:16.0,,,9-8,2,R. Rondo makes 2-pt shot from 1 ft
8:00.0,Turnover by D. Carroll (bad pass; steal by B. McLemore),,9-8,,
7:41.0,,,9-10,2,D. Cousins makes 2-pt shot from 4 ft
7:23.0,Shooting foul by B. McLemore (drawn by D. Carroll),,9-10,,
7:23.0,D. Carroll misses free throw 1 of 2,,9-10,,
7:23.0,Offensive rebound by Team,,9-10,,
7:23.0,D. Carroll makes free throw 2 of 2,1,10-10,,
7:12.0,Personal foul by L. Scola (drawn by D. Cousins),,10-10,,
7:02.0,,,10-10,,Turnover by D. Cousins (bad pass; steal by D. DeRozan)
6:56.0,D. Carroll makes 2-pt shot from 2 ft (assist by K. Lowry),2,12-10,,
6:44.0,,,12-10,,Turnover by R. Gay (lost ball; steal by L. Scola)
6:39.0,K. Lowry misses 2-pt shot from 2 ft (block by D. Cousins),,12-10,,
6:39.0,Offensive rebound by Team,,12-10,,
6:27.0,J. Valanciunas misses 2-pt shot from 4 ft,,12-10,,
6:24.0,,,12-10,,Defensive rebound by W. Cauley-Stein
6:19.0,,,12-10,,R. Rondo misses 2-pt shot from 2 ft
6:18.0,,,12-10,,Offensive rebound by W. Cauley-Stein
