time,Charlotte,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. R. Lopez (K. Porzingis gains possession),,,,Jump ball: A. Jefferson vs. R. Lopez (K. Porzingis gains possession)
11:45.0,,,0-2,2,A. Afflalo makes 2-pt shot from 18 ft (assist by J. Calderon)
11:25.0,K. Walker misses 3-pt shot from 23 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by R. Lopez
11:17.0,,,0-2,,Shooting foul by C. Zeller (drawn by R. Lopez)
11:17.0,,,0-3,1,R. Lopez makes free throw 1 of 2
11:17.0,,,0-4,1,R. Lopez makes free throw 2 of 2
10:58.0,A. Jefferson misses 2-pt shot from 6 ft,,0-4,,
10:58.0,,,0-4,,Defensive rebound by K. Porzingis
10:39.0,,,0-4,,R. Lopez misses 2-pt shot from 3 ft
10:38.0,Defensive rebound by C. Zeller,,0-4,,
10:29.0,Shooting foul by A. Afflalo (drawn by N. Batum),,0-4,,
10:29.0,N. Batum misses free throw 1 of 2,,0-4,,
10:29.0,Offensive rebound by Team,,0-4,,
10:29.0,N. Batum makes free throw 2 of 2,1,1-4,,
10:11.0,,,1-6,2,K. Porzingis makes 2-pt shot from 5 ft (assist by C. Anthony)
10:00.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,3-6,,
10:00.0,Shooting foul by R. Lopez (drawn by C. Zeller),,3-6,,
10:00.0,C. Zeller misses free throw 1 of 1,,3-6,,
10:00.0,,,3-6,,Defensive rebound by K. Porzingis
9:42.0,,,3-6,,J. Calderon misses 2-pt shot from 14 ft
9:42.0,Defensive rebound by C. Zeller,,3-6,,
9:36.0,K. Walker misses 3-pt shot from 25 ft,,3-6,,
9:35.0,,,3-6,,Defensive rebound by R. Lopez
9:24.0,,,3-6,,A. Afflalo misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by C. Zeller,,3-6,,
9:14.0,K. Walker makes 2-pt shot at rim,2,5-6,,
9:01.0,,,5-6,,K. Porzingis misses 2-pt shot from 1 ft (block by C. Zeller)
9:00.0,Defensive rebound by A. Jefferson,,5-6,,
8:52.0,Turnover by C. Zeller (lost ball; steal by R. Lopez),,5-6,,
8:44.0,,,5-8,2,C. Anthony makes 2-pt shot from 12 ft
8:24.0,C. Zeller misses 2-pt shot from 6 ft (block by K. Porzingis),,5-8,,
8:23.0,Offensive rebound by C. Zeller,,5-8,,
8:22.0,C. Zeller makes 2-pt shot at rim,2,7-8,,
8:10.0,,,7-10,2,K. Porzingis makes 2-pt shot from 20 ft (assist by J. Calderon)
7:56.0,K. Walker makes 2-pt shot from 15 ft,2,9-10,,
7:41.0,,,9-10,,C. Anthony misses 2-pt shot from 19 ft
7:40.0,,,9-10,,Offensive rebound by R. Lopez
7:35.0,,,9-13,3,A. Afflalo makes 3-pt shot from 24 ft (assist by R. Lopez)
7:14.0,A. Jefferson makes 2-pt shot from 6 ft,2,11-13,,
6:58.0,,,11-13,,A. Afflalo misses 3-pt shot from 25 ft
6:57.0,,,11-13,,Offensive rebound by R. Lopez
6:46.0,,,11-13,,Turnover by A. Afflalo (lost ball; steal by K. Walker)
6:37.0,N. Batum misses 2-pt shot from 11 ft,,11-13,,
6:36.0,,,11-13,,Defensive rebound by K. Porzingis
6:25.0,,,11-13,,J. Calderon misses 2-pt shot from 17 ft
6:24.0,,,11-13,,Offensive rebound by K. Porzingis
6:23.0,,,11-13,,K. Porzingis misses 2-pt shot from 1 ft
6:22.0,Defensive rebound by N. Batum,,11-13,,
6:18.0,N. Batum misses 2-pt shot from 10 ft,,11-13,,
6:17.0,,,11-13,,Defensive rebound by Team
6:17.0,Loose ball foul by C. Zeller (drawn by A. Afflalo),,11-13,,
6:17.0,,,11-13,,New York full timeout
6:17.0,F. Kaminsky enters the game for C. Zeller,,11-13,,
5:59.0,,,11-13,,Turnover by R. Lopez (bad pass; steal by A. Jefferson)
5:48.0,M. Williams misses 2-pt shot from 15 ft,,11-13,,
5:48.0,,,11-13,,Defensive rebound by K. Porzingis
5:42.0,,,11-13,,C. Anthony misses 3-pt shot from 24 ft
5:42.0,Defensive rebound by K. Walker,,11-13,,
5:31.0,K. Walker misses 2-pt shot from 19 ft (block by C. Anthony),,11-13,,
5:30.0,,,11-13,,Defensive rebound by C. Anthony
5:18.0,,,11-13,,R. Lopez misses 2-pt shot from 11 ft
5:17.0,Defensive rebound by N. Batum,,11-13,,
5:12.0,,,11-13,,Personal foul by C. Anthony (drawn by N. Batum)
5:02.0,K. Walker makes 2-pt shot from 16 ft,2,13-13,,
4:41.0,,,13-15,2,K. Porzingis makes 2-pt shot from 9 ft
4:26.0,A. Jefferson makes 2-pt shot from 11 ft (assist by M. Williams),2,15-15,,
4:09.0,,,15-15,,A. Afflalo misses 3-pt shot from 25 ft
4:08.0,,,15-15,,Offensive rebound by R. Lopez
4:02.0,,,15-18,3,J. Calderon makes 3-pt shot from 25 ft (assist by A. Afflalo)
3:44.0,A. Jefferson misses 2-pt shot from 16 ft,,15-18,,
3:43.0,,,15-18,,Defensive rebound by A. Afflalo
3:25.0,,,15-20,2,A. Afflalo makes 2-pt shot from 16 ft
3:17.0,Charlotte full timeout,,15-20,,
3:17.0,,,15-20,,K. Seraphin enters the game for R. Lopez
3:17.0,,,15-20,,J. Grant enters the game for A. Afflalo
3:17.0,,,15-20,,L. Galloway enters the game for J. Calderon
3:17.0,S. Hawes enters the game for M. Williams,,15-20,,
3:17.0,J. Lamb enters the game for A. Jefferson,,15-20,,
3:07.0,N. Batum misses 3-pt shot from 24 ft,,15-20,,
3:07.0,,,15-20,,Defensive rebound by L. Galloway
2:51.0,,,15-20,,C. Anthony misses 2-pt shot from 1 ft
2:51.0,,,15-20,,Offensive rebound by K. Seraphin
2:43.0,,,15-22,2,K. Porzingis makes 2-pt shot from 1 ft (assist by K. Seraphin)
2:28.0,,,15-22,,Violation by J. Grant (kicked ball)
2:28.0,J. Lin enters the game for K. Walker,,15-22,,
2:15.0,F. Kaminsky misses 2-pt shot from 6 ft,,15-22,,
2:15.0,,,15-22,,Defensive rebound by K. Porzingis
1:59.0,,,15-22,,L. Galloway misses 2-pt shot from 16 ft
1:59.0,Defensive rebound by F. Kaminsky,,15-22,,
1:49.0,N. Batum misses 2-pt shot from 19 ft,,15-22,,
1:48.0,,,15-22,,Defensive rebound by C. Anthony
1:35.0,,,15-24,2,K. Seraphin makes 2-pt shot from 8 ft
1:21.0,S. Hawes makes 2-pt shot from 12 ft (assist by J. Lamb),2,17-24,,
1:06.0,,,17-24,,K. Seraphin misses 2-pt shot from 18 ft
1:05.0,Defensive rebound by N. Batum,,17-24,,
0:59.0,,,17-24,,Personal foul by L. Galloway (drawn by N. Batum)
0:59.0,,,17-24,,D. Williams enters the game for K. Porzingis
0:59.0,,,17-24,,L. Thomas enters the game for C. Anthony
0:47.0,S. Hawes misses 2-pt shot from 10 ft,,17-24,,
0:46.0,,,17-24,,Defensive rebound by K. Seraphin
0:43.0,,,17-24,,Shooting foul by F. Kaminsky (drawn by D. Williams)
0:43.0,,,17-25,1,D. Williams makes free throw 1 of 2
0:43.0,,,17-26,1,D. Williams makes free throw 2 of 2
0:36.0,Shooting foul by D. Williams (drawn by J. Lin),,17-26,,
0:36.0,J. Lin makes free throw 1 of 2,1,18-26,,
0:36.0,J. Lin makes free throw 2 of 2,1,19-26,,
0:31.0,,,19-26,,Offensive foul by K. Seraphin
0:31.0,,,19-26,,Turnover by K. Seraphin (offensive foul)
0:13.0,J. Lin makes 2-pt shot from 4 ft,2,21-26,,
0:03.0,,,21-26,,Turnover by K. Seraphin (traveling)
0:00.0,F. Kaminsky misses 3-pt shot from 24 ft,,21-26,,
0:00.0,Offensive rebound by Team,,21-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
