time,Phoenix,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Gobert (A. Len gains possession),,,,Jump ball: T. Chandler vs. R. Gobert (A. Len gains possession)
11:45.0,A. Len makes 2-pt shot from 3 ft (assist by P. Tucker),2,2-0,,
11:34.0,Personal foul by P. Tucker,,2-0,,
11:24.0,,,2-2,2,D. Favors makes 2-pt shot from 13 ft (assist by S. Mack)
11:04.0,B. Knight misses 2-pt shot from 18 ft,,2-2,,
11:04.0,Offensive rebound by A. Len,,2-2,,
11:00.0,D. Booker misses 3-pt shot from 24 ft,,2-2,,
11:00.0,,,2-2,,Defensive rebound by Team
10:41.0,,,2-2,,R. Hood misses 2-pt shot from 12 ft
10:39.0,,,2-2,,Offensive rebound by R. Gobert
10:36.0,,,2-4,2,R. Gobert makes 2-pt shot from 3 ft
10:26.0,P. Tucker misses 3-pt shot from 23 ft,,2-4,,
10:25.0,,,2-4,,Defensive rebound by D. Favors
10:13.0,,,2-4,,Turnover by R. Gobert (traveling)
9:54.0,P. Tucker makes 2-pt shot from 10 ft,2,4-4,,
9:38.0,,,4-4,,R. Gobert misses 2-pt shot from 2 ft
9:35.0,Defensive rebound by B. Knight,,4-4,,
9:25.0,B. Knight misses 2-pt shot from 3 ft,,4-4,,
9:24.0,,,4-4,,Defensive rebound by R. Gobert
9:08.0,,,4-6,2,S. Mack makes 2-pt shot from 10 ft
8:51.0,A. Len misses 2-pt shot from 18 ft,,4-6,,
8:50.0,,,4-6,,Defensive rebound by R. Gobert
8:40.0,,,4-6,,J. Ingles misses 3-pt shot from 24 ft
8:39.0,,,4-6,,Offensive rebound by S. Mack
8:33.0,,,4-6,,R. Hood misses 2-pt shot from 14 ft
8:33.0,Defensive rebound by A. Len,,4-6,,
8:28.0,B. Knight misses 2-pt shot from 1 ft (block by D. Favors),,4-6,,
8:26.0,,,4-6,,Defensive rebound by J. Ingles
8:20.0,,,4-8,2,R. Gobert makes 2-pt shot at rim (assist by S. Mack)
8:06.0,D. Booker misses 2-pt shot from 16 ft,,4-8,,
8:05.0,Offensive rebound by P. Tucker,,4-8,,
7:56.0,Turnover by B. Knight (lost ball; steal by D. Favors),,4-8,,
7:47.0,,,4-10,2,J. Ingles makes 2-pt shot from 23 ft (assist by S. Mack)
7:40.0,Phoenix full timeout,,4-10,,
7:31.0,Turnover by B. Knight (lost ball; steal by J. Ingles),,4-10,,
7:24.0,,,4-10,,Turnover by J. Ingles (lost ball; steal by P. Tucker)
7:18.0,B. Knight makes 3-pt shot from 24 ft (assist by P. Tucker),3,7-10,,
7:04.0,,,7-12,2,D. Favors makes 2-pt shot from 13 ft (assist by S. Mack)
6:52.0,A. Len misses 2-pt shot from 3 ft,,7-12,,
6:51.0,,,7-12,,Defensive rebound by R. Gobert
6:29.0,,,7-14,2,S. Mack makes 2-pt shot from 4 ft
6:15.0,B. Knight makes 2-pt shot from 5 ft,2,9-14,,
5:57.0,,,9-16,2,J. Ingles makes 2-pt shot from 21 ft
5:44.0,Turnover by B. Knight (lost ball; steal by J. Ingles),,9-16,,
5:38.0,,,9-18,2,R. Hood makes 2-pt shot at rim (assist by S. Mack)
5:18.0,D. Booker misses 2-pt shot from 19 ft,,9-18,,
5:17.0,,,9-18,,Defensive rebound by S. Mack
5:06.0,,,9-18,,S. Mack misses 2-pt shot from 14 ft
5:05.0,Defensive rebound by A. Len,,9-18,,
4:53.0,A. Len misses 2-pt shot from 18 ft,,9-18,,
4:52.0,Offensive rebound by T. Chandler,,9-18,,
4:43.0,D. Booker makes 3-pt shot from 24 ft (assist by T. Chandler),3,12-18,,
4:27.0,,,12-18,,S. Mack misses 2-pt shot from 3 ft
4:26.0,Defensive rebound by A. Len,,12-18,,
4:16.0,A. Len makes 2-pt shot from 17 ft (assist by B. Knight),2,14-18,,
4:09.0,,,14-18,,Utah full timeout
4:09.0,,,14-18,,T. Booker enters the game for R. Gobert
4:09.0,,,14-18,,R. Neto enters the game for S. Mack
3:54.0,,,14-18,,J. Ingles misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by B. Knight,,14-18,,
3:43.0,Turnover by D. Booker (lost ball; steal by J. Ingles),,14-18,,
3:26.0,,,14-20,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles)
3:19.0,Turnover by P. Tucker (lost ball; steal by J. Ingles),,14-20,,
3:13.0,,,14-22,2,T. Booker makes 2-pt shot at rim (assist by J. Ingles)
2:51.0,,,14-22,,Personal foul by D. Favors
2:51.0,,,14-22,,C. Johnson enters the game for J. Ingles
2:51.0,R. Price enters the game for D. Booker,,14-22,,
2:51.0,M. Teletovic enters the game for T. Chandler,,14-22,,
2:45.0,P. Tucker makes 2-pt shot from 20 ft (assist by M. Teletovic),2,16-22,,
2:24.0,,,16-22,,C. Johnson misses 2-pt shot from 17 ft
2:23.0,Defensive rebound by P. Tucker,,16-22,,
2:18.0,Shooting foul by R. Neto (drawn by B. Knight),,16-22,,
2:18.0,B. Knight makes free throw 1 of 2,1,17-22,,
2:18.0,B. Knight makes free throw 2 of 2,1,18-22,,
2:02.0,,,18-22,,Turnover by R. Neto (lost ball; steal by R. Price)
1:54.0,B. Knight misses 3-pt shot from 22 ft,,18-22,,
1:49.0,,,18-22,,Defensive rebound by R. Hood
1:38.0,,,18-22,,D. Favors misses 2-pt shot from 16 ft
1:37.0,Defensive rebound by A. Len,,18-22,,
1:20.0,A. Len makes 2-pt shot from 7 ft (assist by R. Price),2,20-22,,
1:05.0,,,20-22,,T. Booker misses 2-pt shot from 2 ft
1:03.0,Defensive rebound by A. Len,,20-22,,
0:49.0,Shooting foul by D. Favors (drawn by A. Len),,20-22,,
0:49.0,A. Len misses free throw 1 of 2,,20-22,,
0:49.0,Offensive rebound by Team,,20-22,,
0:49.0,,,20-22,,R. Gobert enters the game for D. Favors
0:49.0,A. Len makes free throw 2 of 2,1,21-22,,
0:38.0,,,21-22,,R. Hood misses 3-pt shot from 24 ft
0:37.0,Defensive rebound by R. Price,,21-22,,
0:32.0,B. Knight misses 2-pt shot from 23 ft,,21-22,,
0:31.0,,,21-22,,Defensive rebound by R. Gobert
0:11.0,,,21-24,2,R. Hood makes 2-pt shot from 10 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Personal foul by D. Booker,,21-24,,
11:30.0,,,21-24,,T. Booker misses 2-pt shot from 18 ft
11:29.0,Defensive rebound by Team,,21-24,,
11:17.0,P. Tucker misses 2-pt shot at rim,,21-24,,
11:16.0,,,21-24,,Defensive rebound by R. Gobert
11:01.0,,,21-27,3,J. Ingles makes 3-pt shot from 23 ft (assist by T. Booker)
10:46.0,D. Booker misses 2-pt shot from 17 ft,,21-27,,
10:45.0,,,21-27,,Defensive rebound by T. Booker
10:37.0,,,21-27,,Turnover by R. Neto (lost ball)
10:27.0,,,21-27,,Personal foul by S. Mack
10:27.0,A. Goodwin enters the game for P. Tucker,,21-27,,
10:19.0,J. Leuer makes 2-pt shot from 3 ft,2,23-27,,
9:58.0,,,23-27,,S. Mack misses 2-pt shot from 17 ft
9:58.0,Defensive rebound by Team,,23-27,,
9:58.0,,,23-27,,Personal foul by R. Gobert
9:56.0,,,23-27,,T. Lyles enters the game for T. Booker
9:53.0,,,23-27,,C. Johnson enters the game for R. Neto
9:46.0,D. Booker misses 2-pt shot from 14 ft,,23-27,,
9:42.0,Offensive rebound by D. Booker,,23-27,,
9:42.0,D. Booker makes 2-pt shot from 6 ft,2,25-27,,
9:25.0,,,25-27,,T. Lyles misses 2-pt shot from 6 ft
9:23.0,Defensive rebound by D. Booker,,25-27,,
9:16.0,R. Price misses 2-pt shot from 21 ft,,25-27,,
9:15.0,,,25-27,,Defensive rebound by J. Ingles
9:03.0,Personal foul by R. Price,,25-27,,
8:51.0,,,25-29,2,S. Mack makes 2-pt shot from 18 ft
8:33.0,A. Goodwin misses 2-pt shot from 2 ft (block by R. Gobert),,25-29,,
8:31.0,Offensive rebound by A. Goodwin,,25-29,,
8:25.0,A. Goodwin misses 3-pt shot from 24 ft,,25-29,,
8:23.0,,,25-29,,Defensive rebound by S. Mack
8:18.0,,,25-29,,S. Mack misses 3-pt shot from 23 ft
8:17.0,Defensive rebound by Team,,25-29,,
8:17.0,Official timeout,,25-29,,
8:17.0,,,25-29,,T. Burke enters the game for J. Ingles
8:03.0,J. Leuer makes 3-pt shot from 24 ft (assist by D. Booker),3,28-29,,
7:41.0,,,28-31,2,S. Mack makes 2-pt shot from 3 ft
7:25.0,J. Leuer makes 2-pt shot from 14 ft (assist by D. Booker),2,30-31,,
7:11.0,,,30-31,,T. Burke misses 2-pt shot from 21 ft
7:09.0,,,30-31,,Offensive rebound by R. Gobert
7:00.0,,,30-34,3,C. Johnson makes 3-pt shot from 24 ft (assist by T. Burke)
6:39.0,R. Price misses 3-pt shot from 24 ft,,30-34,,
6:37.0,,,30-34,,Defensive rebound by T. Lyles
6:22.0,,,30-34,,Turnover by R. Gobert (lost ball; steal by D. Booker)
6:15.0,D. Booker misses 3-pt shot from 24 ft,,30-34,,
6:14.0,,,30-34,,Defensive rebound by S. Mack
6:10.0,Personal block foul by R. Price,,30-34,,
6:10.0,,,30-34,,D. Favors enters the game for R. Gobert
6:02.0,,,30-34,,Turnover by T. Lyles (bad pass)
5:41.0,M. Teletovic misses 3-pt shot from 23 ft,,30-34,,
5:40.0,,,30-34,,Defensive rebound by S. Mack
