time,Boston,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Johnson (O. Asik gains possession),,,,Jump ball: A. Davis vs. A. Johnson (O. Asik gains possession)
11:39.0,,,0-2,2,A. Davis makes 2-pt shot from 18 ft (assist by E. Gordon)
11:23.0,J. Crowder makes 2-pt shot from 20 ft (assist by J. Sullinger),2,2-2,,
11:00.0,,,2-4,2,A. Davis makes 2-pt shot from 20 ft
10:45.0,Turnover by J. Crowder (bad pass; steal by O. Asik),,2-4,,
10:39.0,,,2-4,,A. Davis misses 2-pt shot from 1 ft
10:38.0,Defensive rebound by J. Sullinger,,2-4,,
10:32.0,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas),3,5-4,,
10:22.0,,,5-4,,Turnover by T. Evans (lost ball)
10:08.0,J. Sullinger misses 2-pt shot from 20 ft,,5-4,,
10:07.0,,,5-4,,Defensive rebound by E. Gordon
9:59.0,,,5-4,,A. Davis misses 3-pt shot from 25 ft
9:59.0,Defensive rebound by Team,,5-4,,
9:38.0,A. Johnson misses 3-pt shot from 22 ft,,5-4,,
9:37.0,,,5-4,,Defensive rebound by O. Asik
9:28.0,,,5-4,,T. Evans misses 2-pt shot from 1 ft (block by J. Crowder)
9:28.0,,,5-4,,Offensive rebound by Team
9:24.0,,,5-6,2,A. Davis makes 2-pt shot from 19 ft (assist by A. Gee)
9:11.0,I. Thomas makes 2-pt shot from 1 ft,2,7-6,,
9:02.0,,,7-6,,E. Gordon misses 2-pt shot from 1 ft
9:01.0,Defensive rebound by J. Sullinger,,7-6,,
8:53.0,J. Sullinger misses 3-pt shot from 25 ft,,7-6,,
8:53.0,,,7-6,,Defensive rebound by A. Davis
8:35.0,,,7-6,,Shooting foul by J. Sullinger (drawn by O. Asik)
8:35.0,,,7-6,,O. Asik misses free throw 1 of 2
8:35.0,,,7-6,,Offensive rebound by Team
8:35.0,,,7-7,1,O. Asik makes free throw 2 of 2
8:24.0,Turnover by J. Sullinger (bad pass; steal by A. Davis),,7-7,,
8:14.0,,,7-10,3,A. Gee makes 3-pt shot from 23 ft (assist by T. Evans)
7:59.0,I. Thomas makes 2-pt shot from 1 ft,2,9-10,,
7:45.0,,,9-10,,A. Davis misses 2-pt shot from 17 ft
7:44.0,Defensive rebound by J. Sullinger,,9-10,,
7:35.0,J. Sullinger misses 2-pt shot from 3 ft (block by A. Davis),,9-10,,
7:33.0,Offensive rebound by J. Sullinger,,9-10,,
7:29.0,Shooting foul by A. Davis (drawn by J. Sullinger),,9-10,,
7:29.0,J. Sullinger makes free throw 1 of 2,1,10-10,,
7:29.0,J. Sullinger makes free throw 2 of 2,1,11-10,,
7:08.0,,,11-10,,E. Gordon misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by A. Bradley,,11-10,,
6:55.0,J. Sullinger misses 2-pt shot from 16 ft,,11-10,,
6:54.0,,,11-10,,Defensive rebound by A. Davis
6:39.0,,,11-10,,O. Asik misses 2-pt shot from 2 ft (block by J. Crowder)
6:38.0,Defensive rebound by J. Sullinger,,11-10,,
6:25.0,Shooting foul by A. Davis (drawn by A. Johnson),,11-10,,
6:25.0,A. Johnson makes free throw 1 of 2,1,12-10,,
6:25.0,,,12-10,,R. Anderson enters the game for A. Davis
6:25.0,A. Johnson makes free throw 2 of 2,1,13-10,,
6:18.0,,,13-10,,Turnover by E. Gordon (lost ball; steal by I. Thomas)
6:18.0,,,13-10,,Personal foul by E. Gordon (drawn by I. Thomas)
6:00.0,J. Crowder misses 3-pt shot from 24 ft,,13-10,,
5:59.0,,,13-10,,Defensive rebound by T. Evans
5:52.0,,,13-10,,New Orleans full timeout
5:52.0,T. Zeller enters the game for J. Sullinger,,13-10,,
5:52.0,,,13-10,,A. Ajinca enters the game for O. Asik
5:52.0,,,13-10,,J. Holiday enters the game for A. Gee
5:39.0,,,13-13,3,R. Anderson makes 3-pt shot from 24 ft (assist by J. Holiday)
5:22.0,T. Zeller makes 2-pt shot from 2 ft (assist by A. Johnson),2,15-13,,
5:07.0,,,15-13,,R. Anderson misses 2-pt shot from 13 ft
5:06.0,Defensive rebound by I. Thomas,,15-13,,
5:01.0,Shooting foul by T. Evans (drawn by A. Johnson),,15-13,,
5:01.0,A. Johnson makes free throw 1 of 2,1,16-13,,
5:01.0,A. Johnson misses free throw 2 of 2,,16-13,,
5:00.0,,,16-13,,Defensive rebound by E. Gordon
4:45.0,,,16-15,2,A. Ajinca makes 2-pt shot at rim (assist by T. Evans)
4:27.0,J. Crowder misses 3-pt shot from 25 ft,,16-15,,
4:26.0,,,16-15,,Defensive rebound by A. Ajinca
4:17.0,,,16-15,,T. Evans misses 2-pt shot from 2 ft (block by A. Johnson)
4:16.0,Defensive rebound by A. Bradley,,16-15,,
4:11.0,I. Thomas makes 3-pt shot from 25 ft (assist by A. Bradley),3,19-15,,
3:53.0,,,19-17,2,R. Anderson makes 2-pt shot from 9 ft (assist by J. Holiday)
3:41.0,Boston full timeout,,19-17,,
3:41.0,J. Jerebko enters the game for A. Johnson,,19-17,,
3:41.0,,,19-17,,D. Cunningham enters the game for E. Gordon
3:41.0,,,19-17,,N. Cole enters the game for T. Evans
3:31.0,Turnover by J. Jerebko (3 sec),,19-17,,
3:31.0,E. Turner enters the game for I. Thomas,,19-17,,
3:11.0,,,19-20,3,J. Holiday makes 3-pt shot from 23 ft
2:59.0,,,19-20,,Personal foul by D. Cunningham (drawn by J. Crowder)
2:59.0,J. Crowder makes free throw 1 of 2,1,20-20,,
2:59.0,K. Olynyk enters the game for A. Bradley,,20-20,,
2:59.0,J. Crowder makes free throw 2 of 2,1,21-20,,
2:44.0,Personal foul by J. Jerebko (drawn by R. Anderson),,21-20,,
2:28.0,,,21-20,,N. Cole misses 2-pt shot from 21 ft
2:28.0,Defensive rebound by K. Olynyk,,21-20,,
2:14.0,K. Olynyk misses 2-pt shot from 17 ft,,21-20,,
2:13.0,,,21-20,,Defensive rebound by J. Holiday
2:07.0,,,21-20,,J. Holiday misses 3-pt shot from 25 ft
2:06.0,Defensive rebound by E. Turner,,21-20,,
1:45.0,E. Turner misses 3-pt shot from 24 ft,,21-20,,
1:44.0,,,21-20,,Defensive rebound by D. Cunningham
1:30.0,,,21-20,,A. Ajinca misses 2-pt shot from 2 ft
1:30.0,Defensive rebound by Team,,21-20,,
1:23.0,J. Jerebko makes 2-pt shot from 1 ft (assist by J. Crowder),2,23-20,,
1:00.0,,,23-20,,R. Anderson misses 2-pt shot from 3 ft (block by J. Crowder)
1:00.0,,,23-20,,Offensive rebound by R. Anderson
1:00.0,,,23-20,,Offensive foul by R. Anderson
1:00.0,,,23-20,,Turnover by R. Anderson (offensive foul)
0:47.0,E. Turner misses 2-pt shot from 12 ft,,23-20,,
0:46.0,,,23-20,,Defensive rebound by J. Holiday
0:43.0,,,23-22,2,J. Holiday makes 2-pt shot from 1 ft
0:43.0,,,23-22,,Shooting foul by J. Jerebko (drawn by J. Holiday)
0:43.0,,,23-23,1,J. Holiday makes free throw 1 of 1
0:26.0,T. Zeller makes 2-pt shot at rim (assist by K. Olynyk),2,25-23,,
0:08.0,,,25-25,2,R. Anderson makes 2-pt shot from 1 ft (assist by J. Holiday)
0:00.0,J. Crowder misses 3-pt shot from 23 ft,,25-25,,
0:00.0,Offensive rebound by Team,,25-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,E. Turner misses 2-pt shot from 14 ft,,25-25,,
11:35.0,Offensive rebound by T. Zeller,,25-25,,
11:33.0,Turnover by T. Zeller (bad pass),,25-25,,
11:22.0,,,25-27,2,N. Cole makes 2-pt shot from 16 ft
11:11.0,Turnover by E. Turner (bad pass),,25-27,,
11:03.0,,,25-27,,J. Holiday misses 2-pt shot from 1 ft
11:03.0,Defensive rebound by Team,,25-27,,
10:43.0,J. Young misses 3-pt shot from 24 ft,,25-27,,
10:42.0,,,25-27,,Defensive rebound by A. Ajinca
10:35.0,,,25-27,,N. Cole misses 2-pt shot from 17 ft
10:35.0,Defensive rebound by J. Jerebko,,25-27,,
10:26.0,Turnover by E. Turner (bad pass),,25-27,,
10:26.0,I. Thomas enters the game for T. Zeller,,25-27,,
10:11.0,,,25-29,2,R. Anderson makes 2-pt shot from 2 ft (assist by A. Ajinca)
9:56.0,E. Turner misses 2-pt shot from 1 ft (block by J. Holiday),,25-29,,
9:55.0,Offensive rebound by E. Turner,,25-29,,
9:54.0,E. Turner misses 2-pt shot from 2 ft,,25-29,,
9:52.0,,,25-29,,Defensive rebound by R. Anderson
9:47.0,,,25-31,2,N. Cole makes 2-pt shot from 1 ft
9:39.0,K. Olynyk misses 3-pt shot from 25 ft,,25-31,,
9:38.0,,,25-31,,Defensive rebound by Team
9:29.0,,,25-31,,Turnover by N. Cole (bad pass; steal by K. Olynyk)
9:24.0,E. Turner makes 2-pt shot from 2 ft,2,27-31,,
9:06.0,,,27-31,,Shooting foul by J. Jerebko (drawn by R. Anderson)
9:06.0,,,27-32,1,R. Anderson makes free throw 1 of 2
9:06.0,,,27-32,,A. Davis enters the game for A. Ajinca
