time,Charlotte,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. C. Zeller (C. Paul gains possession),,,,Jump ball: D. Jordan vs. C. Zeller (C. Paul gains possession)
11:31.0,,,0-3,3,C. Paul makes 3-pt shot from 25 ft (assist by J. Redick)
11:18.0,Shooting foul by D. Jordan (drawn by J. Lin),,0-3,,
11:18.0,J. Lin makes free throw 1 of 2,1,1-3,,
11:18.0,J. Lin misses free throw 2 of 2,,1-3,,
11:15.0,,,1-3,,Defensive rebound by D. Jordan
11:02.0,,,1-3,,C. Paul misses 2-pt shot from 15 ft
11:01.0,Defensive rebound by P. Hairston,,1-3,,
10:51.0,M. Williams misses 3-pt shot from 24 ft,,1-3,,
10:49.0,,,1-3,,Defensive rebound by L. Mbah a Moute
10:27.0,,,1-3,,P. Pierce misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by J. Lin,,1-3,,
10:20.0,C. Zeller makes 2-pt shot from 1 ft (assist by J. Lin),2,3-3,,
10:01.0,Personal block foul by M. Williams (drawn by P. Pierce),,3-3,,
9:49.0,,,3-5,2,P. Pierce makes 2-pt shot from 13 ft (assist by C. Paul)
9:35.0,J. Lin misses 2-pt shot from 16 ft,,3-5,,
9:34.0,,,3-5,,Defensive rebound by L. Mbah a Moute
9:25.0,,,3-7,2,C. Paul makes 2-pt shot from 13 ft
9:10.0,K. Walker makes 2-pt shot from 9 ft,2,5-7,,
8:59.0,,,5-9,2,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul)
8:39.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,8-9,,
8:18.0,,,8-12,3,C. Paul makes 3-pt shot from 24 ft
8:01.0,C. Zeller misses 2-pt shot from 18 ft,,8-12,,
8:00.0,,,8-12,,Defensive rebound by D. Jordan
7:50.0,,,8-15,3,J. Redick makes 3-pt shot from 24 ft (assist by D. Jordan)
7:43.0,Charlotte full timeout,,8-15,,
7:34.0,M. Williams makes 2-pt shot from 11 ft,2,10-15,,
7:15.0,,,10-18,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
7:01.0,K. Walker misses 2-pt shot from 2 ft (block by L. Mbah a Moute),,10-18,,
7:00.0,,,10-18,,Defensive rebound by C. Paul
7:00.0,,,10-18,,Turnover by C. Paul (lost ball)
6:49.0,J. Lin misses 2-pt shot from 7 ft,,10-18,,
6:47.0,Offensive rebound by C. Zeller,,10-18,,
6:43.0,C. Zeller makes 2-pt shot at rim,2,12-18,,
6:37.0,Personal foul by J. Lin (drawn by J. Redick),,12-18,,
6:37.0,,,12-18,,J. Crawford enters the game for P. Pierce
6:37.0,,,12-18,,W. Johnson enters the game for L. Mbah a Moute
6:26.0,,,12-21,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
6:12.0,P. Hairston misses 2-pt shot from 10 ft,,12-21,,
6:12.0,,,12-21,,Defensive rebound by D. Jordan
6:01.0,,,12-21,,C. Paul misses 2-pt shot from 17 ft
6:00.0,Defensive rebound by C. Zeller,,12-21,,
5:47.0,K. Walker makes 2-pt shot from 12 ft,2,14-21,,
5:20.0,,,14-21,,J. Crawford misses 3-pt shot from 25 ft
5:19.0,,,14-21,,Offensive rebound by W. Johnson
5:07.0,,,14-21,,Turnover by C. Paul (bad pass)
4:58.0,,,14-21,,Personal foul by J. Redick (drawn by J. Lin)
4:46.0,M. Williams misses 2-pt shot from 2 ft,,14-21,,
4:46.0,,,14-21,,Defensive rebound by C. Paul
4:38.0,,,14-21,,J. Redick misses 3-pt shot from 31 ft
4:37.0,Defensive rebound by P. Hairston,,14-21,,
4:28.0,K. Walker misses 2-pt shot from 19 ft,,14-21,,
4:25.0,,,14-21,,Defensive rebound by D. Jordan
4:20.0,,,14-21,,Turnover by C. Paul (bad pass; steal by P. Hairston)
