time,Denver,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. B. Lopez (D. Sloan gains possession),,,,Jump ball: N. Jokic vs. B. Lopez (D. Sloan gains possession)
11:44.0,,,0-2,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Johnson)
11:23.0,N. Jokic makes 2-pt shot at rim (assist by D. Gallinari),2,2-2,,
11:07.0,,,2-4,2,T. Young makes 2-pt shot from 2 ft
10:47.0,G. Harris makes 2-pt shot from 8 ft (assist by D. Gallinari),2,4-4,,
10:23.0,,,4-4,,Turnover by B. Lopez (lost ball; steal by E. Mudiay)
10:11.0,G. Harris misses 3-pt shot from 23 ft,,4-4,,
10:10.0,,,4-4,,Defensive rebound by T. Young
9:51.0,,,4-4,,W. Ellington misses 2-pt shot from 19 ft
9:50.0,Defensive rebound by K. Faried,,4-4,,
9:44.0,G. Harris misses 2-pt shot from 1 ft,,4-4,,
9:43.0,,,4-4,,Defensive rebound by B. Lopez
9:37.0,,,4-6,2,T. Young makes 2-pt shot at rim (assist by W. Ellington)
9:17.0,D. Gallinari misses 2-pt shot from 22 ft,,4-6,,
9:16.0,,,4-6,,Defensive rebound by D. Sloan
9:09.0,,,4-8,2,T. Young makes 2-pt shot from 6 ft (assist by D. Sloan)
9:09.0,Denver full timeout,,4-8,,
8:57.0,K. Faried misses 2-pt shot from 1 ft,,4-8,,
8:56.0,Offensive rebound by K. Faried,,4-8,,
8:55.0,K. Faried misses 2-pt shot from 3 ft,,4-8,,
8:54.0,,,4-8,,Defensive rebound by D. Sloan
8:38.0,,,4-10,2,T. Young makes 2-pt shot from 6 ft (assist by J. Johnson)
8:27.0,G. Harris makes 2-pt shot from 18 ft (assist by E. Mudiay),2,6-10,,
7:59.0,,,6-10,,T. Young misses 2-pt shot from 17 ft
7:58.0,Defensive rebound by E. Mudiay,,6-10,,
7:50.0,E. Mudiay misses 2-pt shot from 18 ft,,6-10,,
7:49.0,,,6-10,,Defensive rebound by J. Johnson
7:25.0,,,6-12,2,T. Young makes 2-pt shot from 17 ft (assist by W. Ellington)
7:05.0,G. Harris makes 2-pt shot from 16 ft,2,8-12,,
6:49.0,,,8-14,2,B. Lopez makes 2-pt shot from 20 ft (assist by D. Sloan)
6:32.0,D. Gallinari makes 3-pt shot from 24 ft (assist by K. Faried),3,11-14,,
6:18.0,,,11-17,3,D. Sloan makes 3-pt shot from 25 ft
6:05.0,Offensive foul by N. Jokic,,11-17,,
6:05.0,Turnover by N. Jokic (offensive foul),,11-17,,
6:05.0,R. Foye enters the game for N. Jokic,,11-17,,
6:05.0,W. Barton enters the game for K. Faried,,11-17,,
6:05.0,J. Nurkic enters the game for E. Mudiay,,11-17,,
5:51.0,,,11-19,2,J. Johnson makes 2-pt shot from 5 ft
5:51.0,Denver full timeout,,11-19,,
5:40.0,D. Gallinari makes 3-pt shot from 25 ft (assist by W. Barton),3,14-19,,
5:15.0,,,14-19,,D. Sloan misses 3-pt shot from 22 ft
5:14.0,Defensive rebound by J. Nurkic,,14-19,,
5:06.0,W. Barton misses 3-pt shot from 24 ft,,14-19,,
5:05.0,,,14-19,,Defensive rebound by D. Sloan
4:56.0,,,14-21,2,T. Young makes 2-pt shot from 2 ft
4:39.0,Shooting foul by B. Lopez (drawn by J. Nurkic),,14-21,,
4:39.0,J. Nurkic makes free throw 1 of 2,1,15-21,,
4:39.0,J. Nurkic makes free throw 2 of 2,1,16-21,,
4:24.0,,,16-21,,B. Lopez misses 2-pt shot from 5 ft
4:23.0,Defensive rebound by Team,,16-21,,
4:12.0,W. Barton makes 2-pt shot at rim,2,18-21,,
3:58.0,,,18-21,,J. Johnson misses 3-pt shot from 22 ft
3:57.0,Defensive rebound by W. Barton,,18-21,,
