time,Utah,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Gobert (N. Cole gains possession),,,,Jump ball: A. Davis vs. R. Gobert (N. Cole gains possession)
11:45.0,,,0-0,,A. Davis misses 2-pt shot from 9 ft
11:44.0,Defensive rebound by G. Hayward,,0-0,,
11:22.0,D. Favors makes 2-pt shot from 18 ft (assist by G. Hayward),2,2-0,,
11:10.0,,,2-0,,N. Cole misses 2-pt shot from 21 ft
11:09.0,Defensive rebound by R. Gobert,,2-0,,
10:57.0,S. Mack makes 2-pt shot from 4 ft (assist by D. Favors),2,4-0,,
10:42.0,,,4-2,2,N. Cole makes 2-pt shot from 2 ft
10:24.0,S. Mack misses 2-pt shot from 4 ft (block by A. Davis),,4-2,,
10:23.0,,,4-2,,Defensive rebound by A. Davis
10:08.0,,,4-2,,A. Davis misses 2-pt shot from 19 ft
10:07.0,Defensive rebound by R. Gobert,,4-2,,
9:45.0,D. Favors misses 2-pt shot from 8 ft (block by A. Davis),,4-2,,
9:43.0,,,4-2,,Defensive rebound by A. Davis
9:35.0,,,4-4,2,D. Cunningham makes 2-pt shot from 4 ft (assist by A. Davis)
9:19.0,G. Hayward misses 3-pt shot from 25 ft,,4-4,,
9:18.0,,,4-4,,Defensive rebound by O. Asik
9:03.0,,,4-4,,A. Davis misses 2-pt shot from 7 ft
9:01.0,Defensive rebound by D. Favors,,4-4,,
8:49.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,6-4,,
8:30.0,,,6-6,2,A. Davis makes 2-pt shot from 20 ft (assist by E. Gordon)
8:02.0,S. Mack misses 2-pt shot from 16 ft,,6-6,,
8:01.0,Offensive rebound by R. Gobert,,6-6,,
8:01.0,R. Gobert misses 2-pt shot from 1 ft,,6-6,,
8:00.0,Offensive rebound by R. Gobert,,6-6,,
8:00.0,R. Gobert misses 2-pt shot from 1 ft,,6-6,,
7:59.0,,,6-6,,Defensive rebound by A. Davis
7:35.0,,,6-8,2,E. Gordon makes 2-pt shot from 9 ft
7:11.0,R. Hood makes 3-pt shot from 26 ft (assist by S. Mack),3,9-8,,
6:53.0,,,9-8,,A. Davis misses 2-pt shot from 4 ft (block by D. Favors)
6:52.0,Defensive rebound by D. Favors,,9-8,,
6:41.0,D. Favors misses 2-pt shot from 3 ft,,9-8,,
6:40.0,,,9-8,,Defensive rebound by A. Davis
6:29.0,,,9-8,,A. Davis misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by R. Gobert,,9-8,,
6:17.0,G. Hayward makes 2-pt shot from 7 ft,2,11-8,,
6:17.0,,,11-8,,New Orleans full timeout
6:17.0,R. Neto enters the game for S. Mack,,11-8,,
6:04.0,,,11-10,2,A. Davis makes 2-pt shot from 9 ft (assist by N. Cole)
5:40.0,R. Hood makes 2-pt shot from 10 ft,2,13-10,,
5:19.0,,,13-10,,N. Cole misses 2-pt shot from 21 ft
5:18.0,Defensive rebound by G. Hayward,,13-10,,
4:59.0,R. Neto misses 3-pt shot from 26 ft (block by E. Gordon),,13-10,,
4:58.0,,,13-10,,Defensive rebound by O. Asik
4:55.0,,,13-12,2,E. Gordon makes 2-pt shot from 1 ft (assist by O. Asik)
4:32.0,Turnover by R. Hood (bad pass),,13-12,,
4:19.0,,,13-12,,E. Gordon misses 2-pt shot from 3 ft
4:18.0,Defensive rebound by R. Gobert,,13-12,,
4:15.0,,,13-12,,Personal block foul by D. Cunningham (drawn by G. Hayward)
4:15.0,T. Booker enters the game for D. Favors,,13-12,,
4:15.0,J. Ingles enters the game for R. Hood,,13-12,,
4:15.0,,,13-12,,R. Anderson enters the game for O. Asik
4:15.0,,,13-12,,J. Holiday enters the game for E. Gordon
4:08.0,Shooting foul by A. Davis (drawn by R. Gobert),,13-12,,
4:08.0,R. Gobert misses free throw 1 of 2,,13-12,,
4:08.0,Offensive rebound by Team,,13-12,,
4:08.0,R. Gobert makes free throw 2 of 2,1,14-12,,
4:01.0,,,14-12,,Shooting foul by R. Gobert (drawn by A. Davis)
4:01.0,,,14-13,1,A. Davis makes free throw 1 of 2
4:01.0,,,14-14,1,A. Davis makes free throw 2 of 2
3:51.0,,,14-14,,Personal block foul by D. Cunningham (drawn by R. Gobert)
3:51.0,,,14-14,,A. Gee enters the game for D. Cunningham
3:39.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,16-14,,
3:28.0,,,16-14,,A. Davis misses 2-pt shot from 20 ft
3:25.0,Defensive rebound by T. Booker,,16-14,,
3:04.0,G. Hayward makes 2-pt shot from 16 ft (assist by R. Neto),2,18-14,,
2:49.0,,,18-14,,A. Davis misses 2-pt shot from 6 ft
2:48.0,Defensive rebound by T. Booker,,18-14,,
2:43.0,,,18-14,,Personal foul by N. Cole (drawn by R. Neto)
2:43.0,Utah full timeout,,18-14,,
2:43.0,,,18-14,,T. Douglas enters the game for N. Cole
2:33.0,G. Hayward makes 3-pt shot from 26 ft (assist by R. Gobert),3,21-14,,
