time,LA Lakers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. D. Howard (P. Beverley gains possession),,,,Jump ball: R. Hibbert vs. D. Howard (P. Beverley gains possession)
11:36.0,,,0-0,,Turnover by T. Ariza (step out of bounds)
11:20.0,Turnover by D. Russell (lost ball; steal by J. Harden),,0-0,,
11:15.0,,,0-2,2,J. Harden makes 2-pt shot from 1 ft
10:57.0,R. Hibbert makes 2-pt shot from 17 ft (assist by J. Randle),2,2-2,,
10:46.0,,,2-2,,Shooting foul by R. Hibbert (drawn by D. Howard)
10:46.0,,,2-3,1,D. Howard makes free throw 1 of 2
10:46.0,,,2-3,,D. Howard misses free throw 2 of 2
10:45.0,,,2-3,,Offensive rebound by D. Motiejunas
10:41.0,,,2-3,,Turnover by J. Harden (back court)
10:26.0,Turnover by J. Randle (bad pass),,2-3,,
10:19.0,,,2-3,,T. Ariza misses 3-pt shot from 22 ft
10:18.0,,,2-3,,Offensive rebound by D. Motiejunas
10:18.0,,,2-3,,D. Motiejunas misses 2-pt shot from 1 ft
10:17.0,Defensive rebound by J. Randle,,2-3,,
10:09.0,Turnover by J. Randle (lost ball; steal by D. Howard),,2-3,,
10:04.0,,,2-5,2,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden)
9:45.0,K. Bryant misses 3-pt shot from 23 ft,,2-5,,
9:45.0,,,2-5,,Defensive rebound by D. Motiejunas
9:34.0,,,2-7,2,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas)
9:21.0,,,2-7,,Personal foul by D. Howard
9:13.0,J. Clarkson misses 3-pt shot from 24 ft,,2-7,,
9:12.0,,,2-7,,Defensive rebound by D. Howard
8:55.0,,,2-9,2,P. Beverley makes 2-pt shot at rim (assist by J. Harden)
8:40.0,K. Bryant makes 2-pt shot at rim,2,4-9,,
8:33.0,,,4-9,,D. Motiejunas misses 2-pt shot from 7 ft
8:32.0,Defensive rebound by J. Randle,,4-9,,
8:26.0,K. Bryant makes 3-pt shot from 25 ft (assist by J. Clarkson),3,7-9,,
8:10.0,,,7-9,,J. Harden misses 2-pt shot from 17 ft
8:09.0,Defensive rebound by K. Bryant,,7-9,,
7:59.0,K. Bryant misses 2-pt shot from 13 ft,,7-9,,
7:58.0,,,7-9,,Defensive rebound by D. Howard
7:53.0,,,7-9,,Turnover by T. Ariza (step out of bounds)
7:35.0,Turnover by J. Randle (offensive foul),,7-9,,
7:35.0,Offensive charge foul by J. Randle,,7-9,,
7:18.0,,,7-9,,D. Motiejunas misses 2-pt shot from 2 ft
7:18.0,Defensive rebound by R. Hibbert,,7-9,,
7:05.0,J. Randle makes 2-pt shot from 18 ft (assist by R. Hibbert),2,9-9,,
6:43.0,,,9-9,,Turnover by J. Harden (lost ball; steal by R. Hibbert)
6:35.0,K. Bryant misses 2-pt shot from 1 ft,,9-9,,
6:34.0,,,9-9,,Defensive rebound by D. Howard
6:26.0,,,9-11,2,D. Motiejunas makes 2-pt shot from 8 ft (assist by T. Ariza)
6:10.0,,,9-11,,Personal block foul by D. Motiejunas
6:10.0,M. Huertas enters the game for J. Clarkson,,9-11,,
6:10.0,,,9-11,,M. Beasley enters the game for D. Motiejunas
6:03.0,Turnover by D. Russell (lost ball; steal by J. Harden),,9-11,,
5:58.0,,,9-13,2,T. Ariza makes 2-pt shot at rim (assist by P. Beverley)
5:36.0,K. Bryant makes 2-pt shot from 10 ft,2,11-13,,
5:21.0,,,11-13,,T. Ariza misses 3-pt shot from 23 ft
5:20.0,Defensive rebound by J. Randle,,11-13,,
5:11.0,M. Huertas makes 2-pt shot from 2 ft (assist by J. Randle),2,13-13,,
5:11.0,,,13-13,,Houston full timeout
5:11.0,,,13-13,,C. Capela enters the game for D. Howard
4:54.0,,,13-13,,J. Harden misses 2-pt shot from 16 ft
4:53.0,Defensive rebound by J. Randle,,13-13,,
4:29.0,D. Russell misses 2-pt shot from 15 ft,,13-13,,
4:28.0,,,13-13,,Defensive rebound by M. Beasley
4:12.0,,,13-16,3,J. Harden makes 3-pt shot from 24 ft
3:58.0,Shooting foul by J. Harden (drawn by K. Bryant),,13-16,,
3:58.0,K. Bryant makes free throw 1 of 3,1,14-16,,
3:58.0,K. Bryant makes free throw 2 of 3,1,15-16,,
3:58.0,,,15-16,,J. Terry enters the game for P. Beverley
3:58.0,K. Bryant makes free throw 3 of 3,1,16-16,,
3:48.0,,,16-18,2,J. Harden makes 2-pt shot from 8 ft
3:48.0,,,16-18,,Shooting foul by J. Randle (drawn by J. Harden)
3:48.0,L. Nance enters the game for R. Hibbert,,16-18,,
3:48.0,T. Black enters the game for J. Randle,,16-18,,
3:48.0,,,16-19,1,J. Harden makes free throw 1 of 1
3:23.0,Turnover by Team (shot clock),,16-19,,
3:18.0,,,16-19,,Turnover by J. Terry (lost ball; steal by D. Russell)
3:16.0,,,16-19,,Violation by J. Terry (kicked ball)
3:09.0,T. Black makes 2-pt shot at rim (assist by L. Nance),2,18-19,,
2:54.0,,,18-19,,M. Beasley misses 2-pt shot from 2 ft (block by T. Black)
2:52.0,,,18-19,,Offensive rebound by M. Beasley
2:51.0,,,18-21,2,M. Beasley makes 2-pt shot from 16 ft
2:30.0,K. Bryant misses 3-pt shot from 23 ft,,18-21,,
2:29.0,Offensive rebound by L. Nance,,18-21,,
2:29.0,L. Nance makes 2-pt shot at rim,2,20-21,,
2:19.0,,,20-24,3,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden)
2:11.0,Turnover by K. Bryant (bad pass),,20-24,,
2:11.0,LA Lakers full timeout,,20-24,,
1:58.0,,,20-24,,J. Harden misses 3-pt shot from 24 ft
1:56.0,,,20-24,,Offensive rebound by C. Capela
1:54.0,,,20-26,2,C. Capela makes 2-pt shot from 2 ft
1:37.0,Turnover by L. Nance (lost ball; steal by M. Beasley),,20-26,,
1:27.0,,,20-26,,T. Ariza misses 3-pt shot from 24 ft
1:27.0,,,20-26,,Offensive rebound by C. Capela
1:17.0,,,20-26,,J. Harden misses 2-pt shot from 11 ft
1:16.0,Defensive rebound by T. Black,,20-26,,
1:03.0,T. Black makes 2-pt shot at rim (assist by M. Huertas),2,22-26,,
0:49.0,,,22-26,,M. Beasley misses 3-pt shot from 23 ft
0:48.0,Defensive rebound by T. Black,,22-26,,
0:40.0,K. Bryant makes 3-pt shot from 27 ft (assist by D. Russell),3,25-26,,
0:29.0,,,25-26,,J. Harden misses 2-pt shot from 1 ft
0:26.0,,,25-26,,Offensive rebound by M. Beasley
0:24.0,,,25-29,3,J. Harden makes 3-pt shot from 24 ft (assist by M. Beasley)
0:01.0,Shooting foul by C. Capela (drawn by K. Bryant),,25-29,,
0:01.0,K. Bryant makes free throw 1 of 2,1,26-29,,
0:01.0,K. Bryant makes free throw 2 of 2,1,27-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,27-29,,Technical foul by T. Ariza
12:00.0,M. Huertas misses technical free throw,,27-29,,
12:00.0,Offensive rebound by Team,,27-29,,
11:43.0,M. Huertas makes 2-pt shot from 7 ft (assist by L. Nance),2,29-29,,
11:28.0,,,29-29,,C. Capela misses 2-pt shot from 6 ft
11:27.0,,,29-29,,Offensive rebound by C. Brewer
11:22.0,,,29-31,2,M. Beasley makes 2-pt shot from 5 ft (assist by C. Brewer)
11:06.0,M. World Peace misses 3-pt shot from 23 ft,,29-31,,
11:06.0,,,29-31,,Defensive rebound by P. Beverley
10:58.0,,,29-31,,C. Brewer misses 2-pt shot from 10 ft
10:57.0,,,29-31,,Offensive rebound by Team
10:56.0,Personal foul by M. World Peace,,29-31,,
10:46.0,,,29-33,2,M. Beasley makes 2-pt shot from 2 ft (assist by P. Beverley)
10:29.0,M. World Peace makes 3-pt shot from 23 ft (assist by M. Huertas),3,32-33,,
10:16.0,Jump ball: M. Beasley vs. L. Nance (M. World Peace gains possession),,,,Jump ball: M. Beasley vs. L. Nance (M. World Peace gains possession)
10:16.0,,,32-33,,Turnover by P. Beverley (lost ball; steal by L. Nance)
10:09.0,J. Clarkson makes 2-pt shot from 2 ft (assist by M. World Peace),2,34-33,,
9:52.0,,,34-33,,C. Brewer misses 2-pt shot from 3 ft
9:51.0,Defensive rebound by J. Clarkson,,34-33,,
9:49.0,,,34-33,,Personal foul by P. Beverley
9:42.0,J. Clarkson misses 3-pt shot from 25 ft,,34-33,,
9:41.0,,,34-33,,Defensive rebound by C. Capela
9:34.0,,,34-33,,J. Terry misses 3-pt shot from 24 ft
9:33.0,Defensive rebound by J. Clarkson,,34-33,,
9:23.0,M. Huertas misses 2-pt shot from 10 ft,,34-33,,
9:22.0,,,34-33,,Defensive rebound by C. Capela
9:12.0,,,34-33,,Turnover by C. Capela (lost ball; steal by L. Nance)
9:07.0,Turnover by J. Clarkson (bad pass),,34-33,,
8:51.0,,,34-33,,Turnover by M. Beasley (lost ball; steal by M. Huertas)
8:45.0,L. Nance makes 2-pt shot from 7 ft (assist by M. Huertas),2,36-33,,
8:45.0,,,36-33,,Houston full timeout
8:45.0,,,36-33,,D. Howard enters the game for M. Beasley
8:45.0,,,36-33,,J. Smith enters the game for C. Capela
8:29.0,,,36-36,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Terry)
8:05.0,T. Black makes 2-pt shot from 5 ft (assist by J. Clarkson),2,38-36,,
7:40.0,,,38-36,,D. Howard misses 2-pt shot from 5 ft
7:39.0,Defensive rebound by J. Clarkson,,38-36,,
7:29.0,J. Clarkson misses 3-pt shot from 22 ft,,38-36,,
7:28.0,,,38-36,,Defensive rebound by J. Smith
7:22.0,,,38-38,2,C. Brewer makes 2-pt shot from 1 ft (assist by J. Smith)
7:02.0,M. Huertas misses 2-pt shot from 13 ft,,38-38,,
7:01.0,Offensive rebound by T. Black,,38-38,,
6:55.0,L. Nance makes 2-pt shot at rim (assist by M. Huertas),2,40-38,,
6:31.0,,,40-38,,J. Smith misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by M. World Peace,,40-38,,
6:04.0,L. Nance misses 3-pt shot from 24 ft,,40-38,,
6:04.0,Offensive rebound by T. Black,,40-38,,
6:04.0,T. Black misses 2-pt shot from 1 ft,,40-38,,
6:03.0,,,40-38,,Defensive rebound by D. Howard
5:56.0,,,40-38,,Shooting foul by L. Nance (drawn by J. Smith)
5:56.0,,,40-38,,Houston full timeout
5:56.0,D. Russell enters the game for M. Huertas,,40-38,,
5:56.0,R. Hibbert enters the game for L. Nance,,40-38,,
5:56.0,J. Randle enters the game for T. Black,,40-38,,
5:56.0,,,40-38,,T. Ariza enters the game for J. Terry
5:56.0,,,40-38,,J. Harden enters the game for C. Brewer
5:56.0,,,40-38,,J. Smith misses free throw 1 of 2
5:56.0,,,40-38,,Offensive rebound by Team
5:56.0,,,40-39,1,J. Smith makes free throw 2 of 2
5:40.0,R. Hibbert misses 2-pt shot from 7 ft,,40-39,,
5:40.0,,,40-39,,Defensive rebound by D. Howard
5:32.0,,,40-41,2,D. Howard makes 2-pt shot from 7 ft (assist by P. Beverley)
5:32.0,,,40-41,,Shooting foul by R. Hibbert (drawn by D. Howard)
5:32.0,,,40-41,,D. Howard misses free throw 1 of 1
5:31.0,,,40-41,,Offensive rebound by P. Beverley
5:24.0,,,40-44,3,J. Smith makes 3-pt shot from 25 ft (assist by J. Harden)
5:12.0,Turnover by D. Russell (lost ball; steal by J. Harden),,40-44,,
5:07.0,,,40-46,2,J. Harden makes 2-pt shot from 2 ft
5:05.0,LA Lakers full timeout,,40-46,,
4:44.0,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Randle),2,42-46,,
4:26.0,,,42-46,,J. Smith misses 3-pt shot from 25 ft
4:24.0,,,42-46,,Offensive rebound by D. Howard
4:22.0,,,42-48,2,D. Howard makes 2-pt shot from 2 ft
4:03.0,J. Randle makes 2-pt shot from 2 ft,2,44-48,,
3:44.0,,,44-48,,P. Beverley misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by R. Hibbert,,44-48,,
3:29.0,R. Hibbert misses 2-pt shot from 17 ft,,44-48,,
3:28.0,,,44-48,,Defensive rebound by T. Ariza
3:18.0,,,44-48,,P. Beverley misses 3-pt shot from 23 ft
3:18.0,Defensive rebound by J. Clarkson,,44-48,,
3:12.0,J. Clarkson makes 2-pt shot from 1 ft,2,46-48,,
2:55.0,,,46-51,3,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden)
2:48.0,,,46-51,,Personal foul by P. Beverley
2:37.0,R. Hibbert misses 2-pt shot from 17 ft,,46-51,,
2:36.0,,,46-51,,Defensive rebound by D. Howard
2:31.0,,,46-51,,J. Harden misses 2-pt shot from 1 ft
2:30.0,Defensive rebound by J. Randle,,46-51,,
2:26.0,,,46-51,,Shooting block foul by J. Smith (drawn by D. Russell)
2:26.0,D. Russell makes free throw 1 of 2,1,47-51,,
2:26.0,R. Kelly enters the game for M. World Peace,,47-51,,
2:26.0,D. Russell makes free throw 2 of 2,1,48-51,,
2:12.0,,,48-53,2,J. Smith makes 2-pt shot from 8 ft (assist by P. Beverley)
1:50.0,J. Randle misses 2-pt shot from 17 ft,,48-53,,
1:49.0,,,48-53,,Defensive rebound by J. Harden
1:41.0,,,48-53,,J. Harden misses 3-pt shot from 26 ft
1:40.0,Defensive rebound by R. Hibbert,,48-53,,
1:35.0,Offensive charge foul by D. Russell,,48-53,,
1:35.0,Turnover by D. Russell (offensive foul),,48-53,,
1:21.0,,,48-55,2,P. Beverley makes 2-pt shot from 6 ft
0:55.0,J. Clarkson misses 2-pt shot from 3 ft (block by D. Howard),,48-55,,
0:55.0,Offensive rebound by Team,,48-55,,
0:55.0,Turnover by Team (shot clock),,48-55,,
