time,Cleveland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Mozgov (D. Rose gains possession),,,,Jump ball: P. Gasol vs. T. Mozgov (D. Rose gains possession)
11:35.0,,,0-0,,N. Mirotic misses 2-pt shot from 2 ft
11:34.0,Defensive rebound by K. Love,,0-0,,
11:23.0,K. Love makes 2-pt shot at rim (assist by L. James),2,2-0,,
11:11.0,,,2-0,,D. Rose misses 2-pt shot from 3 ft (block by T. Mozgov)
11:09.0,Defensive rebound by T. Mozgov,,2-0,,
11:03.0,M. Williams makes 2-pt shot from 21 ft,2,4-0,,
10:49.0,,,4-0,,P. Gasol misses 2-pt shot from 19 ft
10:47.0,Defensive rebound by L. James,,4-0,,
10:28.0,L. James makes 2-pt shot from 20 ft,2,6-0,,
10:19.0,Personal foul by J. Smith (drawn by T. Snell),,6-0,,
10:05.0,,,6-0,,N. Mirotic misses 2-pt shot from 1 ft
10:04.0,,,6-0,,Offensive rebound by N. Mirotic
10:04.0,,,6-2,2,N. Mirotic makes 2-pt shot from 1 ft
9:47.0,L. James misses 2-pt shot from 21 ft,,6-2,,
9:46.0,,,6-2,,Defensive rebound by N. Mirotic
9:38.0,,,6-4,2,D. Rose makes 2-pt shot from 3 ft
9:16.0,L. James misses 2-pt shot from 7 ft,,6-4,,
9:15.0,Offensive rebound by T. Mozgov,,6-4,,
9:15.0,T. Mozgov makes 2-pt shot from 2 ft,2,8-4,,
9:07.0,,,8-4,,D. Rose misses 2-pt shot from 2 ft
9:05.0,Defensive rebound by M. Williams,,8-4,,
9:02.0,L. James makes 2-pt shot at rim (assist by M. Williams),2,10-4,,
8:40.0,,,10-4,,J. Butler misses 2-pt shot from 20 ft
8:39.0,Defensive rebound by K. Love,,10-4,,
8:31.0,K. Love misses 2-pt shot from 3 ft,,10-4,,
8:29.0,Offensive rebound by T. Mozgov,,10-4,,
8:27.0,T. Mozgov misses 2-pt shot from 3 ft,,10-4,,
8:26.0,Offensive rebound by K. Love,,10-4,,
