time,Dallas,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. Z. Pachulia (M. Conley gains possession),,,,Jump ball: M. Gasol vs. Z. Pachulia (M. Conley gains possession)
11:42.0,,,0-0,,M. Gasol misses 2-pt shot from 1 ft
11:42.0,,,0-0,,Offensive rebound by Team
11:36.0,,,0-0,,J. Green misses 2-pt shot from 3 ft
11:36.0,,,0-0,,Offensive rebound by Team
11:36.0,Loose ball foul by C. Parsons (drawn by J. Green),,0-0,,
11:25.0,,,0-0,,J. Green misses 2-pt shot from 6 ft
11:21.0,Defensive rebound by W. Matthews,,0-0,,
11:13.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by Z. Pachulia),2,2-0,,
11:00.0,,,2-2,2,T. Allen makes 2-pt shot from 19 ft (assist by M. Conley)
10:42.0,D. Nowitzki misses 2-pt shot from 14 ft,,2-2,,
10:40.0,,,2-2,,Defensive rebound by M. Gasol
10:30.0,,,2-4,2,M. Conley makes 2-pt shot from 2 ft (assist by M. Gasol)
10:10.0,D. Williams misses 2-pt shot from 13 ft,,2-4,,
10:09.0,Offensive rebound by Z. Pachulia,,2-4,,
10:08.0,Turnover by Z. Pachulia (traveling),,2-4,,
9:47.0,,,2-4,,M. Barnes misses 2-pt shot from 21 ft
9:47.0,Defensive rebound by Z. Pachulia,,2-4,,
9:31.0,D. Williams misses 3-pt shot from 25 ft,,2-4,,
9:31.0,,,2-4,,Defensive rebound by J. Green
9:20.0,,,2-6,2,M. Gasol makes 2-pt shot from 6 ft
9:09.0,Turnover by Z. Pachulia (bad pass; steal by M. Conley),,2-6,,
8:52.0,,,2-6,,M. Gasol misses 2-pt shot from 8 ft (block by D. Williams)
8:50.0,Defensive rebound by Z. Pachulia,,2-6,,
8:46.0,Z. Pachulia misses 2-pt shot at rim,,2-6,,
8:45.0,,,2-6,,Defensive rebound by J. Green
8:41.0,,,2-6,,M. Barnes misses 2-pt shot at rim
8:40.0,Defensive rebound by D. Nowitzki,,2-6,,
8:31.0,W. Matthews makes 3-pt shot from 23 ft (assist by C. Parsons),3,5-6,,
8:04.0,,,5-6,,M. Conley misses 2-pt shot from 1 ft (block by D. Nowitzki)
8:04.0,,,5-6,,Offensive rebound by Team
8:01.0,,,5-6,,M. Gasol misses 2-pt shot from 14 ft
8:01.0,Defensive rebound by W. Matthews,,5-6,,
7:55.0,Z. Pachulia misses 2-pt shot from 2 ft (block by J. Green),,5-6,,
7:55.0,Offensive rebound by Team,,5-6,,
7:47.0,Turnover by Z. Pachulia (lost ball; steal by T. Allen),,5-6,,
7:30.0,,,5-6,,M. Gasol misses 2-pt shot from 6 ft
7:27.0,Defensive rebound by Z. Pachulia,,5-6,,
7:24.0,Turnover by D. Williams (bad pass; steal by M. Barnes),,5-6,,
7:18.0,,,5-8,2,M. Barnes makes 2-pt shot from 21 ft
7:05.0,Turnover by D. Williams (step out of bounds),,5-8,,
6:50.0,,,5-11,3,T. Allen makes 3-pt shot from 23 ft (assist by M. Barnes)
6:23.0,D. Nowitzki misses 3-pt shot from 24 ft,,5-11,,
6:23.0,,,5-11,,Defensive rebound by T. Allen
6:08.0,,,5-13,2,M. Conley makes 2-pt shot from 21 ft (assist by M. Gasol)
6:07.0,Dallas full timeout,,5-13,,
6:07.0,R. Felton enters the game for D. Nowitzki,,5-13,,
6:07.0,D. Powell enters the game for W. Matthews,,5-13,,
5:42.0,D. Powell misses 2-pt shot from 18 ft,,5-13,,
5:40.0,,,5-13,,Defensive rebound by M. Gasol
5:28.0,,,5-13,,J. Green misses 2-pt shot from 1 ft (block by D. Powell)
5:26.0,Defensive rebound by C. Parsons,,5-13,,
5:25.0,Turnover by C. Parsons (bad pass),,5-13,,
5:25.0,Loose ball foul by D. Williams (drawn by T. Allen),,5-13,,
5:25.0,W. Matthews enters the game for C. Parsons,,5-13,,
5:20.0,,,5-13,,Turnover by M. Barnes (bad pass)
5:02.0,Shooting foul by J. Green (drawn by Z. Pachulia),,5-13,,
5:02.0,Z. Pachulia makes free throw 1 of 2,1,6-13,,
5:02.0,Z. Pachulia makes free throw 2 of 2,1,7-13,,
4:53.0,,,7-13,,Turnover by T. Allen (bad pass; steal by Z. Pachulia)
4:53.0,,,7-13,,Personal foul by M. Gasol (drawn by Z. Pachulia)
4:44.0,D. Powell misses 3-pt shot from 26 ft,,7-13,,
4:44.0,,,7-13,,Defensive rebound by M. Gasol
4:34.0,,,7-15,2,M. Conley makes 2-pt shot from 1 ft
4:16.0,W. Matthews misses 3-pt shot from 24 ft,,7-15,,
4:16.0,,,7-15,,Defensive rebound by M. Gasol
4:08.0,,,7-17,2,M. Barnes makes 2-pt shot from 2 ft (assist by M. Conley)
3:55.0,D. Williams makes 2-pt shot from 5 ft,2,9-17,,
3:40.0,,,9-17,,Shooting foul by W. Matthews (drawn by M. Barnes)
3:40.0,,,9-18,1,M. Barnes makes free throw 1 of 2
3:40.0,,,9-18,,M. Chalmers enters the game for M. Conley
3:40.0,,,9-18,,C. Lee enters the game for J. Green
3:40.0,,,9-18,,M. Barnes misses free throw 2 of 2
3:39.0,Defensive rebound by W. Matthews,,9-18,,
3:30.0,Turnover by D. Powell (traveling),,9-18,,
3:05.0,,,9-18,,M. Gasol misses 2-pt shot from 20 ft
3:05.0,Defensive rebound by D. Powell,,9-18,,
2:57.0,Z. Pachulia makes 2-pt shot at rim (assist by D. Williams),2,11-18,,
2:50.0,,,11-18,,Memphis full timeout
2:50.0,,,11-18,,J. Green enters the game for M. Gasol
2:50.0,D. Nowitzki enters the game for Z. Pachulia,,11-18,,
2:50.0,C. Parsons enters the game for W. Matthews,,11-18,,
2:50.0,J. Barea enters the game for D. Williams,,11-18,,
2:41.0,,,11-20,2,J. Green makes 2-pt shot from 1 ft (assist by M. Chalmers)
2:27.0,R. Felton makes 2-pt shot from 20 ft (assist by D. Powell),2,13-20,,
2:01.0,,,13-20,,M. Barnes misses 3-pt shot from 24 ft
2:01.0,Defensive rebound by C. Parsons,,13-20,,
1:49.0,J. Barea makes 2-pt shot from 6 ft,2,15-20,,
1:42.0,,,15-20,,Shooting foul by J. Barea (drawn by M. Chalmers)
1:42.0,,,15-21,1,M. Chalmers makes free throw 1 of 2
1:42.0,,,15-21,,V. Carter enters the game for T. Allen
1:42.0,,,15-21,,M. Chalmers misses free throw 2 of 2
1:40.0,Defensive rebound by D. Powell,,15-21,,
1:22.0,C. Parsons misses 2-pt shot from 7 ft,,15-21,,
1:19.0,,,15-21,,Defensive rebound by J. Green
1:12.0,,,15-21,,J. Green misses 2-pt shot from 18 ft
1:12.0,Defensive rebound by R. Felton,,15-21,,
1:00.0,C. Parsons makes 2-pt shot from 2 ft,2,17-21,,
0:45.0,,,17-21,,M. Barnes misses 3-pt shot from 26 ft
0:45.0,Defensive rebound by D. Powell,,17-21,,
0:30.0,Turnover by R. Felton (lost ball; steal by M. Chalmers),,17-21,,
0:26.0,,,17-21,,Shooting foul by C. Parsons (drawn by M. Chalmers)
0:26.0,,,17-21,,M. Chalmers misses free throw 1 of 2
0:26.0,,,17-21,,Offensive rebound by Team
0:26.0,W. Matthews enters the game for C. Parsons,,17-21,,
0:26.0,,,17-21,,M. Chalmers misses free throw 2 of 2
0:25.0,Defensive rebound by D. Nowitzki,,17-21,,
0:01.0,D. Powell misses 2-pt shot from 12 ft,,17-21,,
0:00.0,Offensive rebound by Team,,17-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,D. Nowitzki misses 2-pt shot from 19 ft,,17-21,,
11:48.0,,,17-21,,Defensive rebound by J. Green
11:38.0,,,17-21,,V. Carter misses 3-pt shot from 25 ft
11:34.0,,,17-21,,Offensive rebound by J. Green
11:34.0,,,17-21,,J. Green misses 2-pt shot at rim
11:34.0,Defensive rebound by D. Powell,,17-21,,
11:27.0,J. Barea misses 3-pt shot from 23 ft,,17-21,,
11:26.0,,,17-21,,Defensive rebound by V. Carter
11:20.0,,,17-23,2,M. Chalmers makes 2-pt shot from 6 ft
11:05.0,Turnover by J. Anderson (bad pass),,17-23,,
10:47.0,,,17-23,,J. Green misses 2-pt shot from 4 ft
10:46.0,Defensive rebound by D. Nowitzki,,17-23,,
10:38.0,D. Nowitzki misses 3-pt shot from 25 ft,,17-23,,
10:37.0,,,17-23,,Defensive rebound by V. Carter
10:34.0,,,17-23,,Shooting foul by D. Nowitzki (drawn by J. Green)
10:34.0,,,17-24,1,J. Green makes free throw 1 of 2
10:34.0,,,17-25,1,J. Green makes free throw 2 of 2
10:19.0,,,17-25,,Personal foul by V. Carter (drawn by R. Felton)
10:11.0,D. Powell misses 2-pt shot at rim (block by J. Green),,17-25,,
10:09.0,,,17-25,,Defensive rebound by J. Green
10:04.0,Personal foul by D. Nowitzki (drawn by J. Green),,17-25,,
10:01.0,,,17-25,,V. Carter misses 2-pt shot from 2 ft
9:57.0,Defensive rebound by R. Felton,,17-25,,
9:41.0,J. Anderson misses 3-pt shot from 23 ft,,17-25,,
9:41.0,Offensive rebound by D. Powell,,17-25,,
9:41.0,,,17-25,,Loose ball foul by V. Carter (drawn by D. Powell)
9:41.0,C. Parsons enters the game for J. Anderson,,17-25,,
