time,Phoenix,pts.away,score,pts.home,Milwaukee
1:29.0,,,32-28,,Turnover by J. Parker (lost ball; steal by P. Tucker)
1:24.0,J. Leuer misses 2-pt shot at rim (block by J. Henson),,32-28,,
1:24.0,Offensive rebound by Team,,32-28,,
1:18.0,J. Jenkins misses 2-pt shot from 18 ft,,32-28,,
1:17.0,,,32-28,,Defensive rebound by M. Plumlee
1:01.0,,,32-28,,T. Ennis misses 2-pt shot from 3 ft
1:00.0,Defensive rebound by P. Tucker,,32-28,,
0:48.0,B. Knight misses 2-pt shot from 21 ft,,32-28,,
0:47.0,,,32-28,,Defensive rebound by J. Henson
0:32.0,,,32-28,,Turnover by K. Middleton (lost ball; steal by P. Tucker)
0:22.0,J. Jenkins misses 2-pt shot from 11 ft,,32-28,,
0:18.0,,,32-28,,Defensive rebound by M. Plumlee
0:00.0,,,32-28,,J. Parker misses 2-pt shot from 8 ft (block by A. Len)
0:00.0,,,32-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,32-30,2,J. Henson makes 2-pt shot at rim (assist by G. Vasquez)
11:23.0,J. Leuer misses 2-pt shot from 12 ft,,32-30,,
11:21.0,,,32-30,,Defensive rebound by G. Vasquez
11:11.0,,,32-32,2,M. Plumlee makes 2-pt shot from 4 ft
10:59.0,Turnover by D. Booker (lost ball; steal by M. Plumlee),,32-32,,
10:54.0,,,32-34,2,T. Ennis makes 2-pt shot at rim (assist by G. Vasquez)
10:54.0,Phoenix full timeout,,32-34,,
10:54.0,R. Price enters the game for J. Jenkins,,32-34,,
10:43.0,D. Booker makes 2-pt shot from 12 ft (assist by R. Price),2,34-34,,
10:13.0,,,34-34,,T. Ennis misses 3-pt shot from 30 ft
10:12.0,Defensive rebound by T. Chandler,,34-34,,
9:58.0,Turnover by C. Budinger (bad pass),,34-34,,
9:41.0,,,34-34,,Turnover by J. Henson (lost ball; steal by R. Price)
9:37.0,R. Price makes 2-pt shot at rim,2,36-34,,
9:22.0,,,36-36,2,M. Plumlee makes 2-pt shot from 11 ft (assist by G. Vasquez)
9:05.0,D. Booker misses 2-pt shot from 16 ft,,36-36,,
9:03.0,,,36-36,,Defensive rebound by R. Vaughn
8:51.0,,,36-36,,R. Vaughn misses 3-pt shot from 26 ft
8:50.0,Defensive rebound by J. Leuer,,36-36,,
8:39.0,R. Price misses 2-pt shot from 4 ft (block by M. Plumlee),,36-36,,
8:37.0,,,36-36,,Defensive rebound by M. Plumlee
8:29.0,,,36-36,,R. Vaughn misses 3-pt shot from 24 ft
8:27.0,,,36-36,,Offensive rebound by T. Ennis
8:11.0,,,36-36,,M. Plumlee misses 2-pt shot from 2 ft (block by T. Chandler)
8:10.0,,,36-36,,Offensive rebound by Team
8:05.0,,,36-36,,J. Henson misses 2-pt shot from 3 ft
8:04.0,,,36-36,,Offensive rebound by T. Ennis
8:04.0,,,36-38,2,T. Ennis makes 2-pt shot at rim
7:51.0,,,36-38,,Personal foul by M. Plumlee
7:51.0,P. Tucker enters the game for C. Budinger,,36-38,,
7:39.0,D. Booker misses 3-pt shot from 27 ft,,36-38,,
7:38.0,,,36-38,,Defensive rebound by G. Vasquez
7:34.0,,,36-38,,Turnover by M. Plumlee (offensive foul)
7:34.0,,,36-38,,Offensive foul by M. Plumlee
7:34.0,,,36-38,,G. Antetokounmpo enters the game for G. Vasquez
7:34.0,A. Len enters the game for J. Leuer,,36-38,,
7:26.0,,,36-38,,Violation by J. Henson (kicked ball)
7:23.0,,,36-38,,Violation by J. Henson (kicked ball)
7:15.0,A. Len makes 2-pt shot from 15 ft (assist by D. Booker),2,38-38,,
6:52.0,,,38-40,2,T. Ennis makes 2-pt shot from 17 ft
6:31.0,D. Booker misses 2-pt shot from 13 ft,,38-40,,
6:25.0,,,38-40,,Defensive rebound by G. Antetokounmpo
6:22.0,Personal foul by D. Booker,,38-40,,
6:18.0,,,38-40,,G. Antetokounmpo misses 2-pt shot from 17 ft
6:17.0,Defensive rebound by A. Len,,38-40,,
6:04.0,Turnover by T. Chandler (lost ball; steal by J. Henson),,38-40,,
6:01.0,,,38-40,,Turnover by T. Ennis (bad pass)
5:50.0,A. Len makes 2-pt shot at rim (assist by D. Booker),2,40-40,,
5:30.0,,,40-42,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
5:13.0,P. Tucker misses 2-pt shot from 5 ft,,40-42,,
5:11.0,Offensive rebound by A. Len,,40-42,,
5:06.0,,,40-42,,Personal foul by J. Henson
5:06.0,Official timeout,,40-42,,
5:06.0,B. Knight enters the game for R. Price,,40-42,,
5:06.0,,,40-42,,J. Bayless enters the game for J. Henson
5:06.0,,,40-42,,G. Monroe enters the game for T. Ennis
5:04.0,Shooting foul by G. Monroe (drawn by A. Len),,40-42,,
5:04.0,A. Len makes free throw 1 of 2,1,41-42,,
5:04.0,R. Price enters the game for D. Booker,,41-42,,
5:04.0,A. Len misses free throw 2 of 2,,41-42,,
5:02.0,,,41-42,,Defensive rebound by M. Plumlee
4:38.0,,,41-42,,M. Plumlee misses 2-pt shot at rim (block by A. Len)
4:35.0,Defensive rebound by A. Len,,41-42,,
