time,Phoenix,pts.away,score,pts.home,Milwaukee
2:09.0,,,90-96,1,G. Antetokounmpo makes free throw 1 of 2
2:09.0,,,90-96,,G. Antetokounmpo misses free throw 2 of 2
2:06.0,Defensive rebound by P. Tucker,,90-96,,
1:51.0,B. Knight misses 3-pt shot from 26 ft,,90-96,,
1:50.0,Offensive rebound by T. Chandler,,90-96,,
1:48.0,D. Booker makes 2-pt shot at rim (assist by T. Chandler),2,92-96,,
1:48.0,,,92-96,,Milwaukee full timeout
1:48.0,,,92-96,,R. Vaughn enters the game for T. Ennis
1:35.0,,,92-96,,Turnover by J. Parker (lost ball; steal by P. Tucker)
1:32.0,P. Tucker misses 2-pt shot from 1 ft,,92-96,,
1:32.0,,,92-96,,Defensive rebound by J. Henson
1:32.0,Personal foul by D. Booker,,92-96,,
1:32.0,,,92-97,1,J. Henson makes free throw 1 of 2
1:32.0,,,92-98,1,J. Henson makes free throw 2 of 2
1:32.0,Phoenix full timeout,,92-98,,
1:28.0,,,92-98,,Personal foul by J. Henson
1:28.0,B. Knight makes free throw 1 of 2,1,93-98,,
1:28.0,B. Knight makes free throw 2 of 2,1,94-98,,
1:05.0,,,94-101,3,K. Middleton makes 3-pt shot from 25 ft (assist by J. Henson)
1:05.0,Phoenix full timeout,,94-101,,
1:05.0,J. Leuer enters the game for P. Tucker,,94-101,,
1:05.0,J. Jenkins enters the game for T. Chandler,,94-101,,
0:57.0,Turnover by B. Knight (bad pass),,94-101,,
0:57.0,P. Tucker enters the game for J. Jenkins,,94-101,,
0:57.0,T. Chandler enters the game for J. Leuer,,94-101,,
0:56.0,Personal take foul by P. Tucker,,94-101,,
0:56.0,,,94-102,1,J. Parker makes free throw 1 of 2
0:56.0,,,94-102,,J. Parker misses free throw 2 of 2
0:54.0,Defensive rebound by T. Chandler,,94-102,,
0:44.0,B. Knight misses 2-pt shot from 7 ft,,94-102,,
0:42.0,,,94-102,,Defensive rebound by K. Middleton
0:25.0,,,94-105,3,R. Vaughn makes 3-pt shot from 25 ft (assist by J. Henson)
0:16.0,D. Booker misses 2-pt shot from 16 ft (block by G. Antetokounmpo),,94-105,,
0:15.0,Offensive rebound by Team,,94-105,,
0:08.0,D. Booker misses 3-pt shot from 30 ft (block by J. Henson),,94-105,,
0:06.0,,,94-105,,Defensive rebound by K. Middleton
0:00.0,End of 4th quarter,,,,End of 4th quarter
