time,Orlando,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. N. Vucevic (J. Butler gains possession),,,,Jump ball: P. Gasol vs. N. Vucevic (J. Butler gains possession)
11:38.0,,,0-0,,N. Mirotic misses 3-pt shot from 24 ft
11:37.0,Defensive rebound by N. Vucevic,,0-0,,
11:27.0,T. Harris misses 2-pt shot from 6 ft (block by N. Mirotic),,0-0,,
11:25.0,,,0-0,,Defensive rebound by P. Gasol
11:18.0,,,0-2,2,D. Rose makes 2-pt shot from 4 ft
11:06.0,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Payton),2,2-2,,
10:44.0,,,2-2,,Turnover by P. Gasol (bad pass; steal by N. Vucevic)
10:36.0,T. Harris misses 3-pt shot from 23 ft,,2-2,,
10:35.0,,,2-2,,Defensive rebound by N. Mirotic
10:26.0,,,2-2,,P. Gasol misses 3-pt shot from 23 ft
10:24.0,Defensive rebound by E. Fournier,,2-2,,
10:18.0,E. Fournier makes 2-pt shot from 2 ft,2,4-2,,
10:02.0,,,4-2,,J. Butler misses 2-pt shot from 19 ft
10:01.0,Defensive rebound by N. Vucevic,,4-2,,
9:40.0,E. Fournier misses 2-pt shot from 14 ft (block by T. Snell),,4-2,,
9:40.0,Offensive rebound by Team,,4-2,,
9:38.0,E. Payton misses 2-pt shot from 22 ft (block by P. Gasol),,4-2,,
9:38.0,Offensive rebound by Team,,4-2,,
9:38.0,Turnover by Team (shot clock),,4-2,,
9:25.0,,,4-4,2,J. Butler makes 2-pt shot from 20 ft
9:09.0,T. Harris misses 3-pt shot from 23 ft,,4-4,,
9:08.0,,,4-4,,Defensive rebound by J. Butler
8:58.0,,,4-6,2,P. Gasol makes 2-pt shot from 17 ft (assist by J. Butler)
8:36.0,N. Vucevic makes 2-pt shot from 11 ft,2,6-6,,
8:23.0,,,6-6,,T. Snell misses 2-pt shot from 4 ft
8:22.0,,,6-6,,Offensive rebound by P. Gasol
8:21.0,,,6-8,2,P. Gasol makes 2-pt shot from 1 ft
8:09.0,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Payton),2,8-8,,
8:09.0,Shooting foul by P. Gasol (drawn by N. Vucevic),,8-8,,
8:09.0,N. Vucevic makes free throw 1 of 1,1,9-8,,
7:47.0,,,9-8,,P. Gasol misses 2-pt shot from 5 ft
7:45.0,Defensive rebound by T. Harris,,9-8,,
7:40.0,T. Harris makes 2-pt shot from 1 ft,2,11-8,,
7:23.0,,,11-10,2,N. Mirotic makes 2-pt shot from 2 ft
7:04.0,T. Harris misses 2-pt shot from 5 ft,,11-10,,
7:02.0,,,11-10,,Defensive rebound by T. Snell
6:57.0,,,11-10,,D. Rose misses 2-pt shot from 13 ft
6:56.0,Defensive rebound by N. Vucevic,,11-10,,
6:45.0,T. Harris makes 2-pt shot from 2 ft (assist by N. Vucevic),2,13-10,,
6:30.0,,,13-12,2,P. Gasol makes 2-pt shot from 17 ft (assist by D. Rose)
6:13.0,V. Oladipo makes 2-pt shot from 11 ft,2,15-12,,
6:01.0,,,15-12,,P. Gasol misses 2-pt shot from 3 ft (block by V. Oladipo)
6:01.0,,,15-12,,Offensive rebound by Team
6:01.0,,,15-12,,Chicago full timeout
5:55.0,,,15-15,3,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Butler)
5:36.0,N. Vucevic misses 2-pt shot from 17 ft,,15-15,,
5:35.0,,,15-15,,Defensive rebound by T. Snell
5:16.0,,,15-15,,D. Rose misses 2-pt shot from 1 ft
5:15.0,,,15-15,,Offensive rebound by P. Gasol
5:15.0,,,15-17,2,P. Gasol makes 2-pt shot from 1 ft
5:06.0,,,15-17,,J. Noah enters the game for P. Gasol
5:06.0,M. Hezonja enters the game for V. Oladipo,,15-17,,
5:02.0,Offensive foul by T. Harris,,15-17,,
5:02.0,Turnover by T. Harris (offensive foul),,15-17,,
4:46.0,,,15-19,2,D. Rose makes 2-pt shot from 1 ft (assist by J. Butler)
4:30.0,E. Fournier makes 2-pt shot from 2 ft,2,17-19,,
4:16.0,,,17-21,2,T. Snell makes 2-pt shot from 21 ft (assist by J. Noah)
4:01.0,T. Harris makes 2-pt shot from 1 ft (assist by E. Payton),2,19-21,,
3:51.0,,,19-21,,Shooting foul by E. Fournier (drawn by J. Noah)
3:51.0,,,19-22,1,J. Noah makes free throw 1 of 2
3:51.0,A. Gordon enters the game for T. Harris,,19-22,,
3:51.0,C. Frye enters the game for N. Vucevic,,19-22,,
3:51.0,S. Napier enters the game for E. Payton,,19-22,,
3:51.0,,,19-22,,T. Gibson enters the game for N. Mirotic
3:51.0,,,19-22,,A. Brooks enters the game for D. Rose
3:51.0,,,19-23,1,J. Noah makes free throw 2 of 2
3:35.0,Turnover by E. Fournier (lost ball; steal by A. Brooks),,19-23,,
3:25.0,,,19-23,,Turnover by J. Noah (bad pass)
3:12.0,M. Hezonja misses 2-pt shot from 2 ft (block by J. Noah),,19-23,,
3:09.0,Offensive rebound by M. Hezonja,,19-23,,
3:03.0,E. Fournier misses 2-pt shot from 1 ft,,19-23,,
3:02.0,,,19-23,,Defensive rebound by T. Gibson
2:44.0,,,19-23,,Shooting foul by M. Hezonja (drawn by J. Butler)
2:44.0,Orlando full timeout,,19-23,,
2:44.0,,,19-23,,D. McDermott enters the game for T. Snell
2:44.0,V. Oladipo enters the game for E. Fournier,,19-23,,
2:44.0,,,19-23,,J. Butler misses free throw 1 of 2
2:44.0,,,19-23,,Offensive rebound by Team
2:44.0,,,19-24,1,J. Butler makes free throw 2 of 2
2:33.0,S. Napier misses 3-pt shot from 25 ft,,19-24,,
2:32.0,,,19-24,,Defensive rebound by J. Butler
2:24.0,,,19-24,,Shooting foul by S. Napier (drawn by J. Butler)
2:24.0,,,19-24,,J. Butler misses free throw 1 of 2
2:24.0,,,19-24,,Offensive rebound by Team
2:24.0,,,19-25,1,J. Butler makes free throw 2 of 2
2:03.0,V. Oladipo misses 2-pt shot from 19 ft,,19-25,,
2:03.0,Offensive rebound by Team,,19-25,,
1:48.0,M. Hezonja misses 2-pt shot from 9 ft (block by A. Brooks),,19-25,,
1:47.0,,,19-25,,Defensive rebound by J. Noah
1:45.0,,,19-27,2,J. Butler makes 2-pt shot at rim (assist by J. Noah)
1:33.0,A. Gordon misses 2-pt shot from 17 ft,,19-27,,
1:32.0,Offensive rebound by C. Frye,,19-27,,
1:28.0,V. Oladipo makes 3-pt shot from 25 ft (assist by C. Frye),3,22-27,,
1:12.0,,,22-27,,Turnover by A. Brooks (bad pass; steal by V. Oladipo)
1:09.0,Shooting foul by A. Brooks (drawn by V. Oladipo),,22-27,,
1:09.0,V. Oladipo makes free throw 1 of 2,1,23-27,,
1:09.0,V. Oladipo misses free throw 2 of 2,,23-27,,
1:07.0,,,23-27,,Defensive rebound by J. Noah
0:59.0,,,23-27,,A. Brooks misses 2-pt shot from 7 ft
0:58.0,Defensive rebound by A. Gordon,,23-27,,
0:53.0,A. Gordon makes 2-pt shot from 1 ft,2,25-27,,
0:41.0,,,25-29,2,D. McDermott makes 2-pt shot from 22 ft (assist by J. Noah)
0:30.0,M. Hezonja misses 2-pt shot from 17 ft,,25-29,,
0:29.0,,,25-29,,Defensive rebound by T. Gibson
0:12.0,,,25-29,,A. Brooks misses 3-pt shot from 24 ft
0:12.0,Defensive rebound by Team,,25-29,,
0:12.0,,,25-29,,Loose ball foul by J. Noah (drawn by C. Frye)
0:12.0,C. Frye misses free throw 1 of 2,,25-29,,
0:12.0,Offensive rebound by Team,,25-29,,
0:12.0,,,25-29,,N. Mirotic enters the game for T. Gibson
0:12.0,C. Frye makes free throw 2 of 2,1,26-29,,
0:00.0,,,26-29,,J. Butler misses 3-pt shot from 23 ft
0:00.0,,,26-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,Turnover by A. Gordon (offensive goaltending),,26-29,,
11:11.0,,,26-32,3,D. McDermott makes 3-pt shot from 25 ft (assist by E. Moore)
10:46.0,Shooting foul by D. McDermott (drawn by S. Napier),,26-32,,
10:46.0,S. Napier makes free throw 1 of 2,1,27-32,,
10:46.0,S. Napier makes free throw 2 of 2,1,28-32,,
10:35.0,,,28-34,2,A. Brooks makes 2-pt shot from 1 ft
10:20.0,E. Fournier makes 2-pt shot from 4 ft (assist by S. Napier),2,30-34,,
10:01.0,,,30-34,,E. Moore misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by A. Gordon,,30-34,,
9:52.0,Shooting foul by A. Brooks (drawn by E. Fournier),,30-34,,
9:52.0,E. Fournier misses free throw 1 of 2,,30-34,,
9:52.0,Offensive rebound by Team,,30-34,,
9:52.0,E. Payton enters the game for S. Napier,,30-34,,
9:52.0,E. Fournier makes free throw 2 of 2,1,31-34,,
9:31.0,,,31-34,,A. Brooks misses 2-pt shot from 1 ft
9:30.0,,,31-34,,Offensive rebound by A. Brooks
9:27.0,,,31-37,3,D. McDermott makes 3-pt shot from 25 ft (assist by A. Brooks)
9:11.0,E. Fournier makes 3-pt shot from 25 ft (assist by A. Gordon),3,34-37,,
8:57.0,,,34-37,,A. Brooks misses 3-pt shot from 24 ft
8:56.0,,,34-37,,Offensive rebound by T. Gibson
