time,Washington,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hollins vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: R. Hollins vs. H. Whiteside (G. Dragic gains possession)
11:38.0,,,0-0,,C. Bosh misses 2-pt shot from 19 ft
11:37.0,Defensive rebound by B. Beal,,0-0,,
11:19.0,Turnover by B. Beal (lost ball),,0-0,,
11:06.0,,,0-2,2,D. Wade makes 2-pt shot from 11 ft
10:44.0,O. Porter misses 2-pt shot from 2 ft,,0-2,,
10:43.0,Offensive rebound by O. Porter,,0-2,,
10:42.0,O. Porter makes 2-pt shot from 1 ft,2,2-2,,
10:23.0,,,2-2,,C. Bosh misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by O. Porter,,2-2,,
10:16.0,B. Beal makes 2-pt shot from 21 ft (assist by O. Porter),2,4-2,,
9:51.0,,,4-2,,C. Bosh misses 2-pt shot from 20 ft
9:50.0,Defensive rebound by O. Porter,,4-2,,
9:31.0,B. Beal misses 3-pt shot from 24 ft,,4-2,,
9:30.0,,,4-2,,Defensive rebound by G. Dragic
9:24.0,,,4-4,2,G. Dragic makes 2-pt shot from 1 ft
9:14.0,J. Dudley makes 3-pt shot from 24 ft (assist by O. Porter),3,7-4,,
8:59.0,,,7-6,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
8:37.0,J. Wall makes 3-pt shot from 23 ft,3,10-6,,
8:11.0,,,10-6,,C. Bosh misses 2-pt shot from 4 ft
8:10.0,Defensive rebound by O. Porter,,10-6,,
8:07.0,Shooting foul by C. Bosh (drawn by O. Porter),,10-6,,
8:07.0,O. Porter misses free throw 1 of 2,,10-6,,
8:07.0,Offensive rebound by Team,,10-6,,
8:07.0,O. Porter misses free throw 2 of 2,,10-6,,
8:06.0,,,10-6,,Defensive rebound by C. Bosh
7:55.0,,,10-6,,D. Wade misses 2-pt shot from 1 ft
7:54.0,Defensive rebound by Team,,10-6,,
7:48.0,O. Porter misses 2-pt shot from 12 ft,,10-6,,
7:47.0,,,10-6,,Defensive rebound by H. Whiteside
7:32.0,,,10-8,2,H. Whiteside makes 2-pt shot from 13 ft
7:27.0,,,10-8,,Personal foul by G. Dragic (drawn by J. Wall)
7:19.0,J. Wall misses 2-pt shot from 16 ft,,10-8,,
7:18.0,Offensive rebound by R. Hollins,,10-8,,
