time,Miami,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,G. Dragic misses 2-pt shot from 15 ft,,0-0,,
12:00.0,Jump ball: I. Mahinmi vs. H. Whiteside (C. Bosh gains possession),,,,Jump ball: I. Mahinmi vs. H. Whiteside (C. Bosh gains possession)
11:41.0,,,0-0,,Defensive rebound by I. Mahinmi
11:30.0,,,0-2,2,P. George makes 2-pt shot at rim (assist by M. Ellis)
11:10.0,L. Deng misses 2-pt shot from 3 ft,,0-2,,
11:09.0,Offensive rebound by L. Deng,,0-2,,
11:08.0,L. Deng makes 2-pt shot from 1 ft,2,2-2,,
10:53.0,,,2-4,2,M. Ellis makes 2-pt shot from 17 ft
10:41.0,D. Wade misses 2-pt shot from 16 ft,,2-4,,
10:41.0,,,2-4,,Defensive rebound by I. Mahinmi
10:27.0,,,2-4,,P. George misses 2-pt shot from 17 ft
10:25.0,Defensive rebound by C. Bosh,,2-4,,
10:20.0,Offensive charge foul by L. Deng,,2-4,,
10:20.0,Turnover by L. Deng (offensive foul),,2-4,,
10:05.0,,,2-7,3,P. George makes 3-pt shot from 26 ft (assist by M. Ellis)
9:46.0,C. Bosh misses 2-pt shot from 17 ft,,2-7,,
9:45.0,,,2-7,,Defensive rebound by P. George
9:37.0,,,2-7,,I. Mahinmi misses 2-pt shot from 5 ft
9:37.0,Defensive rebound by H. Whiteside,,2-7,,
9:19.0,D. Wade makes 2-pt shot from 12 ft,2,4-7,,
9:06.0,,,4-7,,M. Ellis misses 2-pt shot from 13 ft
9:06.0,Defensive rebound by H. Whiteside,,4-7,,
8:51.0,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Wade),2,6-7,,
8:33.0,,,6-9,2,I. Mahinmi makes 2-pt shot from 5 ft (assist by M. Ellis)
8:13.0,Turnover by L. Deng (lost ball),,6-9,,
7:57.0,,,6-9,,P. George misses 2-pt shot from 16 ft
7:57.0,,,6-9,,Offensive rebound by I. Mahinmi
7:52.0,,,6-9,,I. Mahinmi misses 2-pt shot from 3 ft (block by H. Whiteside)
7:51.0,,,6-9,,Offensive rebound by P. George
7:49.0,,,6-11,2,P. George makes 2-pt shot from 16 ft
7:31.0,Turnover by H. Whiteside (bad pass; steal by M. Ellis),,6-11,,
7:24.0,,,6-11,,Turnover by M. Ellis (bad pass; steal by H. Whiteside)
7:18.0,L. Deng makes 2-pt shot from 3 ft (assist by G. Dragic),2,8-11,,
7:04.0,,,8-13,2,P. George makes 2-pt shot from 16 ft (assist by I. Mahinmi)
6:42.0,C. Bosh misses 3-pt shot from 24 ft,,8-13,,
6:40.0,,,8-13,,Defensive rebound by P. George
6:31.0,,,8-15,2,P. George makes 2-pt shot from 19 ft
6:25.0,Miami full timeout,,8-15,,
6:25.0,J. Winslow enters the game for C. Bosh,,8-15,,
6:18.0,Turnover by G. Dragic (bad pass; steal by P. George),,8-15,,
6:03.0,,,8-15,,M. Ellis misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by G. Dragic,,8-15,,
5:56.0,,,8-15,,Personal foul by I. Mahinmi (drawn by H. Whiteside)
5:56.0,,,8-15,,C. Budinger enters the game for L. Allen
5:51.0,D. Wade misses 2-pt shot from 16 ft,,8-15,,
5:50.0,,,8-15,,Defensive rebound by C. Budinger
5:28.0,,,8-15,,P. George misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by H. Whiteside,,8-15,,
5:18.0,H. Whiteside misses 2-pt shot from 13 ft (block by P. George),,8-15,,
5:16.0,,,8-15,,Defensive rebound by I. Mahinmi
5:14.0,Shooting block foul by G. Dragic (drawn by G. Hill),,8-15,,
5:14.0,,,8-15,,G. Hill misses free throw 1 of 2
5:14.0,,,8-15,,Offensive rebound by Team
5:14.0,,,8-15,,G. Hill misses free throw 2 of 2
5:14.0,Defensive rebound by J. Winslow,,8-15,,
4:58.0,L. Deng makes 2-pt shot from 10 ft (assist by G. Dragic),2,10-15,,
4:45.0,,,10-15,,I. Mahinmi misses 2-pt shot at rim (block by H. Whiteside)
4:44.0,Defensive rebound by J. Winslow,,10-15,,
4:38.0,G. Dragic makes 2-pt shot at rim,2,12-15,,
4:24.0,Personal foul by D. Wade (drawn by G. Hill),,12-15,,
4:24.0,,,12-15,,R. Stuckey enters the game for G. Hill
4:24.0,M. Chalmers enters the game for D. Wade,,12-15,,
4:19.0,,,12-15,,Turnover by C. Budinger (bad pass; steal by M. Chalmers)
4:09.0,,,12-15,,Personal foul by I. Mahinmi (drawn by H. Whiteside)
4:09.0,,,12-15,,M. Turner enters the game for I. Mahinmi
3:57.0,H. Whiteside misses 2-pt shot from 4 ft,,12-15,,
3:56.0,,,12-15,,Defensive rebound by M. Turner
3:47.0,,,12-15,,R. Stuckey misses 2-pt shot from 5 ft (block by H. Whiteside)
3:47.0,,,12-15,,Offensive rebound by Team
3:47.0,,,12-15,,Indiana full timeout
3:40.0,,,12-15,,Shooting foul by M. Chalmers (drawn by C. Budinger)
3:40.0,,,12-15,,C. Budinger misses free throw 1 of 2
3:40.0,,,12-15,,Offensive rebound by Team
3:40.0,,,12-16,1,C. Budinger makes free throw 2 of 2
3:28.0,Turnover by G. Dragic (bad pass),,12-16,,
3:18.0,,,12-16,,M. Turner misses 2-pt shot from 19 ft
3:17.0,Defensive rebound by L. Deng,,12-16,,
3:06.0,H. Whiteside makes 2-pt shot from 1 ft,2,14-16,,
2:55.0,,,14-16,,M. Ellis misses 2-pt shot from 1 ft
2:54.0,Defensive rebound by H. Whiteside,,14-16,,
2:49.0,G. Dragic makes 2-pt shot from 2 ft,2,16-16,,
2:39.0,,,16-16,,P. George misses 2-pt shot from 4 ft (block by H. Whiteside)
2:39.0,,,16-16,,Offensive rebound by Team
2:39.0,C. Bosh enters the game for H. Whiteside,,16-16,,
2:39.0,J. McRoberts enters the game for L. Deng,,16-16,,
2:38.0,,,16-16,,Turnover by M. Turner (lost ball)
2:21.0,C. Bosh makes 2-pt shot at rim (assist by J. McRoberts),2,18-16,,
2:21.0,Shooting foul by M. Turner (drawn by C. Bosh),,18-16,,
2:21.0,C. Bosh makes free throw 1 of 1,1,19-16,,
2:06.0,,,19-16,,R. Stuckey misses 2-pt shot from 8 ft
2:06.0,Defensive rebound by Team,,19-16,,
2:06.0,,,19-16,,Loose ball foul by M. Turner (drawn by C. Bosh)
1:55.0,G. Dragic makes 2-pt shot from 3 ft,2,21-16,,
1:43.0,,,21-16,,P. George misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by C. Bosh,,21-16,,
1:30.0,J. McRoberts makes 3-pt shot from 24 ft (assist by M. Chalmers),3,24-16,,
1:30.0,,,24-16,,Indiana full timeout
1:30.0,,,24-16,,Violation by Team (delay of game)
1:14.0,,,24-16,,P. George misses 3-pt shot from 24 ft
1:13.0,Defensive rebound by J. Winslow,,24-16,,
1:00.0,Turnover by G. Dragic (traveling),,24-16,,
0:47.0,,,24-16,,M. Turner misses 2-pt shot from 11 ft
0:47.0,Defensive rebound by J. Winslow,,24-16,,
0:33.0,Shooting foul by C. Budinger (drawn by C. Bosh),,24-16,,
0:33.0,C. Bosh makes free throw 1 of 2,1,25-16,,
0:33.0,T. Johnson enters the game for G. Dragic,,25-16,,
0:33.0,C. Bosh makes free throw 2 of 2,1,26-16,,
0:12.0,,,26-16,,P. George misses 2-pt shot from 2 ft
0:12.0,Defensive rebound by C. Bosh,,26-16,,
0:02.0,J. Winslow misses 3-pt shot from 23 ft,,26-16,,
0:01.0,,,26-16,,Defensive rebound by M. Ellis
0:00.0,,,26-16,,M. Ellis misses 3-pt shot from 58 ft
0:00.0,,,26-16,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,26-16,,Shooting foul by M. Chalmers (drawn by C. Budinger)
11:43.0,,,26-17,1,C. Budinger makes free throw 1 of 3
11:43.0,,,26-17,,C. Budinger misses free throw 2 of 3
11:43.0,,,26-17,,Offensive rebound by Team
11:43.0,,,26-18,1,C. Budinger makes free throw 3 of 3
11:31.0,,,26-18,,Violation by G. Robinson (kicked ball)
11:19.0,M. Chalmers misses 2-pt shot from 3 ft,,26-18,,
11:17.0,Offensive rebound by C. Bosh,,26-18,,
11:17.0,C. Bosh makes 2-pt shot from 1 ft,2,28-18,,
10:59.0,,,28-20,2,R. Stuckey makes 2-pt shot from 19 ft
10:40.0,C. Bosh makes 2-pt shot from 19 ft (assist by J. McRoberts),2,30-20,,
10:25.0,,,30-20,,C. Budinger misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by J. Winslow,,30-20,,
10:01.0,C. Bosh makes 2-pt shot from 18 ft (assist by J. McRoberts),2,32-20,,
9:48.0,Violation by C. Bosh (def goaltending),,32-20,,
9:48.0,,,32-22,2,R. Stuckey makes 2-pt shot from 1 ft
9:43.0,Shooting foul by M. Turner (drawn by C. Bosh),,32-22,,
9:43.0,C. Bosh makes free throw 1 of 2,1,33-22,,
9:43.0,,,33-22,,J. Hill enters the game for M. Turner
9:43.0,C. Bosh makes free throw 2 of 2,1,34-22,,
9:24.0,,,34-22,,Indiana full timeout
9:17.0,,,34-24,2,R. Stuckey makes 2-pt shot from 17 ft
8:54.0,C. Bosh misses 2-pt shot from 2 ft (block by J. Hill),,34-24,,
8:52.0,Offensive rebound by C. Bosh,,34-24,,
