time,Portland,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. M. Plumlee (N. Vonleh gains possession),,,,Jump ball: R. Hibbert vs. M. Plumlee (N. Vonleh gains possession)
11:49.0,D. Lillard makes 3-pt shot from 25 ft (assist by A. Aminu),3,3-0,,
11:33.0,,,3-0,,R. Hibbert misses 2-pt shot from 17 ft
11:32.0,Defensive rebound by N. Vonleh,,3-0,,
11:15.0,Turnover by N. Vonleh (lost ball; steal by K. Bryant),,3-0,,
11:15.0,Jump ball: K. Bryant vs. N. Vonleh (D. Russell gains possession),,,,Jump ball: K. Bryant vs. N. Vonleh (D. Russell gains possession)
11:04.0,,,3-0,,J. Randle misses 2-pt shot from 19 ft
11:04.0,Defensive rebound by C. McCollum,,3-0,,
10:53.0,N. Vonleh misses 2-pt shot from 22 ft,,3-0,,
10:51.0,Offensive rebound by Team,,3-0,,
10:46.0,,,3-0,,Loose ball foul by R. Hibbert (drawn by M. Plumlee)
10:46.0,D. Lillard makes 3-pt shot from 25 ft (assist by A. Aminu),3,6-0,,
10:34.0,,,6-0,,K. Bryant misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by M. Plumlee,,6-0,,
10:24.0,C. McCollum makes 2-pt shot from 17 ft,2,8-0,,
10:10.0,,,8-2,2,K. Bryant makes 2-pt shot from 6 ft
9:48.0,M. Plumlee misses 2-pt shot from 15 ft,,8-2,,
9:48.0,,,8-2,,Defensive rebound by D. Russell
9:37.0,,,8-2,,Shooting foul by A. Aminu (drawn by K. Bryant)
9:37.0,,,8-3,1,K. Bryant makes free throw 1 of 2
9:37.0,,,8-4,1,K. Bryant makes free throw 2 of 2
9:37.0,D. Lillard misses 2-pt shot from 13 ft,,8-4,,
9:37.0,,,8-4,,Defensive rebound by D. Russell
9:33.0,,,8-4,,Turnover by D. Russell (lost ball; steal by C. McCollum)
9:28.0,D. Lillard makes 2-pt shot at rim (assist by C. McCollum),2,10-4,,
9:13.0,,,10-6,2,K. Bryant makes 2-pt shot from 15 ft (assist by D. Russell)
8:54.0,N. Vonleh misses 2-pt shot from 4 ft,,10-6,,
8:53.0,,,10-6,,Defensive rebound by J. Randle
8:46.0,,,10-6,,K. Bryant misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by C. McCollum,,10-6,,
8:38.0,D. Lillard misses 3-pt shot from 25 ft,,10-6,,
8:38.0,,,10-6,,Defensive rebound by J. Clarkson
8:27.0,,,10-8,2,K. Bryant makes 2-pt shot from 1 ft
8:11.0,A. Aminu misses 2-pt shot from 20 ft,,10-8,,
8:10.0,Offensive rebound by A. Aminu,,10-8,,
8:02.0,A. Aminu misses 2-pt shot from 10 ft,,10-8,,
8:02.0,,,10-8,,Defensive rebound by D. Russell
7:54.0,,,10-8,,K. Bryant misses 2-pt shot from 17 ft
7:54.0,Defensive rebound by A. Aminu,,10-8,,
7:48.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,12-8,,
7:28.0,,,12-10,2,R. Hibbert makes 2-pt shot at rim (assist by D. Russell)
7:11.0,N. Vonleh misses 3-pt shot from 24 ft,,12-10,,
7:11.0,,,12-10,,Defensive rebound by R. Hibbert
7:03.0,,,12-10,,Shooting foul by A. Aminu (drawn by K. Bryant)
