time,Miami,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. H. Whiteside (T. Young gains possession),,,,Jump ball: B. Lopez vs. H. Whiteside (T. Young gains possession)
11:39.0,,,0-2,2,B. Lopez makes 2-pt shot from 9 ft (assist by B. Bogdanovic)
11:24.0,L. Deng misses 2-pt shot from 15 ft,,0-2,,
11:23.0,Offensive rebound by Team,,0-2,,
11:14.0,D. Wade makes 2-pt shot from 6 ft,2,2-2,,
11:03.0,,,2-4,2,J. Jack makes 2-pt shot from 20 ft
10:54.0,,,2-4,,Violation by B. Bogdanovic (kicked ball)
10:39.0,H. Whiteside makes 2-pt shot from 2 ft (assist by C. Bosh),2,4-4,,
10:17.0,,,4-6,2,J. Jack makes 2-pt shot from 2 ft (assist by T. Young)
9:46.0,D. Wade makes 3-pt shot from 31 ft (assist by G. Dragic),3,7-6,,
9:29.0,,,7-8,2,T. Young makes 2-pt shot from 16 ft (assist by J. Johnson)
9:01.0,G. Dragic misses 3-pt shot from 22 ft,,7-8,,
9:00.0,Offensive rebound by H. Whiteside,,7-8,,
8:58.0,H. Whiteside makes 2-pt shot at rim,2,9-8,,
8:41.0,,,9-10,2,B. Bogdanovic makes 2-pt shot from 15 ft
8:24.0,C. Bosh misses 3-pt shot from 22 ft,,9-10,,
8:22.0,Offensive rebound by H. Whiteside,,9-10,,
8:08.0,C. Bosh misses 2-pt shot from 1 ft,,9-10,,
8:07.0,Offensive rebound by H. Whiteside,,9-10,,
8:06.0,,,9-10,,Personal foul by B. Lopez (drawn by H. Whiteside)
7:55.0,Turnover by D. Wade (bad pass; steal by T. Young),,9-10,,
7:47.0,,,9-10,,J. Jack misses 2-pt shot from 8 ft
7:46.0,,,9-10,,Offensive rebound by T. Young
7:37.0,,,9-10,,B. Lopez misses 2-pt shot from 1 ft
7:36.0,,,9-10,,Offensive rebound by B. Lopez
7:35.0,,,9-12,2,B. Lopez makes 2-pt shot from 2 ft
7:24.0,,,9-12,,Personal foul by J. Johnson (drawn by H. Whiteside)
7:13.0,D. Wade misses 2-pt shot from 2 ft,,9-12,,
7:12.0,,,9-12,,Defensive rebound by T. Young
7:06.0,,,9-12,,T. Young misses 2-pt shot from 1 ft
7:04.0,Defensive rebound by L. Deng,,9-12,,
7:01.0,D. Wade makes 2-pt shot from 2 ft (assist by L. Deng),2,11-12,,
6:40.0,,,11-14,2,B. Lopez makes 2-pt shot from 6 ft
6:16.0,L. Deng misses 3-pt shot from 23 ft,,11-14,,
6:14.0,,,11-14,,Defensive rebound by J. Jack
6:08.0,,,11-14,,J. Johnson misses 2-pt shot from 16 ft
6:07.0,,,11-14,,Offensive rebound by B. Lopez
6:06.0,,,11-16,2,B. Lopez makes 2-pt shot at rim
6:06.0,Miami full timeout,,11-16,,
6:06.0,J. Winslow enters the game for C. Bosh,,11-16,,
5:58.0,,,11-16,,Personal foul by J. Jack (drawn by D. Wade)
5:38.0,D. Wade misses 2-pt shot from 20 ft,,11-16,,
5:37.0,,,11-16,,Defensive rebound by T. Young
5:20.0,,,11-18,2,J. Jack makes 2-pt shot from 20 ft
5:20.0,,,11-18,,Shooting foul by G. Dragic (drawn by J. Jack)
5:20.0,,,11-19,1,J. Jack makes free throw 1 of 1
5:08.0,G. Dragic misses 3-pt shot from 24 ft,,11-19,,
5:07.0,,,11-19,,Defensive rebound by B. Lopez
4:53.0,,,11-19,,J. Johnson misses 2-pt shot from 5 ft (block by H. Whiteside)
4:52.0,Defensive rebound by H. Whiteside,,11-19,,
4:48.0,Shooting foul by B. Bogdanovic (drawn by D. Wade),,11-19,,
4:48.0,D. Wade misses free throw 1 of 2,,11-19,,
4:48.0,Offensive rebound by Team,,11-19,,
4:48.0,D. Wade makes free throw 2 of 2,1,12-19,,
4:31.0,,,12-21,2,B. Lopez makes 2-pt shot at rim (assist by J. Johnson)
4:00.0,D. Wade makes 2-pt shot from 15 ft,2,14-21,,
3:43.0,,,14-23,2,B. Lopez makes 2-pt shot from 15 ft
3:23.0,H. Whiteside misses 2-pt shot from 15 ft,,14-23,,
3:22.0,,,14-23,,Defensive rebound by T. Young
3:12.0,,,14-23,,J. Johnson misses 2-pt shot from 7 ft
3:11.0,Defensive rebound by H. Whiteside,,14-23,,
3:06.0,G. Dragic misses 2-pt shot from 1 ft,,14-23,,
3:05.0,Offensive rebound by L. Deng,,14-23,,
3:04.0,L. Deng makes 2-pt shot at rim,2,16-23,,
2:49.0,,,16-26,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by T. Young)
2:34.0,L. Deng makes 2-pt shot from 3 ft (assist by G. Dragic),2,18-26,,
2:21.0,,,18-26,,J. Jack misses 3-pt shot from 24 ft
2:20.0,Defensive rebound by H. Whiteside,,18-26,,
2:15.0,Turnover by G. Dragic (lost ball; steal by J. Jack),,18-26,,
2:02.0,,,18-26,,B. Bogdanovic misses 3-pt shot from 23 ft
2:01.0,Defensive rebound by H. Whiteside,,18-26,,
1:51.0,D. Wade makes 2-pt shot from 1 ft,2,20-26,,
1:49.0,,,20-26,,Brooklyn full timeout
1:49.0,G. Green enters the game for D. Wade,,20-26,,
1:49.0,C. Bosh enters the game for H. Whiteside,,20-26,,
1:49.0,,,20-26,,W. Ellington enters the game for J. Johnson
1:28.0,,,20-26,,B. Bogdanovic misses 3-pt shot from 27 ft
1:27.0,Defensive rebound by J. Winslow,,20-26,,
1:21.0,Turnover by L. Deng (step out of bounds),,20-26,,
1:21.0,,,20-26,,A. Bargnani enters the game for B. Lopez
1:07.0,,,20-28,2,W. Ellington makes 2-pt shot from 19 ft
0:48.0,G. Green makes 2-pt shot from 1 ft,2,22-28,,
0:38.0,,,22-30,2,J. Jack makes 2-pt shot from 6 ft
0:20.0,Turnover by L. Deng (lost ball; steal by W. Ellington),,22-30,,
0:01.0,,,22-30,,T. Young misses 2-pt shot from 9 ft
0:00.0,,,22-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,C. Bosh misses 2-pt shot from 4 ft,,22-30,,
11:43.0,,,22-30,,Defensive rebound by A. Bargnani
11:27.0,,,22-30,,J. Johnson misses 2-pt shot from 17 ft
11:26.0,Defensive rebound by C. Bosh,,22-30,,
11:14.0,U. Haslem makes 2-pt shot from 20 ft (assist by G. Green),2,24-30,,
11:01.0,,,24-30,,A. Bargnani misses 2-pt shot from 18 ft
10:59.0,Defensive rebound by J. Winslow,,24-30,,
10:49.0,Turnover by T. Johnson (bad pass; steal by W. Ellington),,24-30,,
10:47.0,,,24-32,2,W. Ellington makes 2-pt shot from 1 ft
10:23.0,J. Winslow makes 3-pt shot from 23 ft (assist by G. Green),3,27-32,,
10:07.0,,,27-32,,W. Ellington misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by C. Bosh,,27-32,,
9:56.0,T. Johnson misses 2-pt shot from 6 ft,,27-32,,
9:55.0,,,27-32,,Defensive rebound by J. Johnson
9:47.0,,,27-34,2,A. Bargnani makes 2-pt shot from 14 ft (assist by W. Ellington)
9:22.0,J. Winslow misses 2-pt shot from 6 ft,,27-34,,
9:21.0,Offensive rebound by J. Winslow,,27-34,,
9:20.0,J. Winslow makes 2-pt shot from 2 ft,2,29-34,,
8:57.0,,,29-34,,A. Bargnani misses 2-pt shot from 15 ft
8:55.0,Defensive rebound by J. Winslow,,29-34,,
8:44.0,Shooting foul by W. Ellington (drawn by G. Green),,29-34,,
8:44.0,Official timeout,,29-34,,
8:44.0,,,29-34,,M. Brown enters the game for B. Bogdanovic
8:44.0,G. Green misses free throw 1 of 2,,29-34,,
8:44.0,Offensive rebound by Team,,29-34,,
8:44.0,G. Green makes free throw 2 of 2,1,30-34,,
8:28.0,,,30-36,2,W. Ellington makes 2-pt shot from 19 ft
8:05.0,J. Winslow makes 3-pt shot from 24 ft (assist by T. Johnson),3,33-36,,
7:53.0,,,33-38,2,W. Ellington makes 2-pt shot from 17 ft (assist by D. Sloan)
7:37.0,G. Green makes 2-pt shot from 2 ft,2,35-38,,
7:20.0,,,35-38,,A. Bargnani misses 2-pt shot from 2 ft (block by J. Winslow)
7:18.0,Defensive rebound by J. Winslow,,35-38,,
7:12.0,G. Green misses 3-pt shot from 25 ft,,35-38,,
7:11.0,,,35-38,,Defensive rebound by A. Bargnani
6:55.0,,,35-40,2,W. Ellington makes 2-pt shot from 19 ft (assist by D. Sloan)
6:46.0,Miami full timeout,,35-40,,
6:46.0,G. Dragic enters the game for T. Johnson,,35-40,,
6:33.0,Shooting foul by A. Bargnani (drawn by C. Bosh),,35-40,,
6:33.0,C. Bosh makes free throw 1 of 2,1,36-40,,
6:33.0,C. Bosh makes free throw 2 of 2,1,37-40,,
6:15.0,,,37-42,2,J. Johnson makes 2-pt shot from 8 ft
5:58.0,G. Dragic makes 2-pt shot from 7 ft,2,39-42,,
5:37.0,,,39-42,,M. Brown misses 2-pt shot from 2 ft
5:36.0,Defensive rebound by U. Haslem,,39-42,,
5:20.0,G. Dragic makes 2-pt shot from 1 ft,2,41-42,,
