time,Phoenix,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. A. Len (C. Paul gains possession),,,,Jump ball: D. Jordan vs. A. Len (C. Paul gains possession)
11:49.0,,,0-3,3,J. Redick makes 3-pt shot from 26 ft (assist by P. Pierce)
11:32.0,A. Len misses 2-pt shot from 17 ft (block by D. Jordan),,0-3,,
11:31.0,,,0-3,,Defensive rebound by Team
11:26.0,,,0-5,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul)
11:14.0,Offensive foul by A. Len,,0-5,,
11:14.0,Turnover by A. Len (offensive foul),,0-5,,
10:57.0,,,0-7,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by J. Redick)
10:57.0,,,0-7,,Shooting foul by P. Tucker (drawn by L. Mbah a Moute)
10:57.0,,,0-7,,L. Mbah a Moute misses free throw 1 of 1
10:54.0,Defensive rebound by K. Humphries,,0-7,,
10:41.0,R. Price makes 3-pt shot from 26 ft,3,3-7,,
10:27.0,Personal foul by D. Booker,,3-7,,
10:18.0,,,3-10,3,P. Pierce makes 3-pt shot from 27 ft (assist by C. Paul)
10:09.0,R. Price makes 3-pt shot from 24 ft (assist by D. Booker),3,6-10,,
9:51.0,,,6-13,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
9:40.0,K. Humphries misses 2-pt shot from 22 ft,,6-13,,
9:39.0,,,6-13,,Defensive rebound by C. Paul
9:31.0,,,6-13,,P. Pierce misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by D. Booker,,6-13,,
9:22.0,D. Booker misses 2-pt shot from 22 ft,,6-13,,
9:22.0,,,6-13,,Defensive rebound by D. Jordan
9:22.0,Loose ball foul by K. Humphries,,6-13,,
9:14.0,,,6-13,,J. Redick misses 2-pt shot from 22 ft
9:13.0,Defensive rebound by R. Price,,6-13,,
8:58.0,K. Humphries misses 3-pt shot from 26 ft,,6-13,,
8:57.0,,,6-13,,Defensive rebound by L. Mbah a Moute
8:38.0,,,6-13,,C. Paul misses 2-pt shot from 17 ft
8:37.0,,,6-13,,Offensive rebound by L. Mbah a Moute
8:32.0,,,6-13,,Turnover by L. Mbah a Moute (lost ball; steal by A. Len)
8:29.0,Turnover by R. Price (lost ball; steal by C. Paul),,6-13,,
8:23.0,,,6-15,2,C. Paul makes 2-pt shot from 12 ft
8:01.0,K. Humphries misses 2-pt shot from 3 ft,,6-15,,
7:58.0,,,6-15,,Defensive rebound by L. Mbah a Moute
7:43.0,,,6-15,,D. Jordan misses 2-pt shot from 5 ft
7:41.0,Defensive rebound by A. Len,,6-15,,
7:23.0,R. Price misses 3-pt shot from 23 ft,,6-15,,
7:21.0,,,6-15,,Defensive rebound by J. Redick
7:19.0,,,6-15,,Shooting foul by P. Tucker (drawn by P. Pierce)
7:19.0,,,6-16,1,P. Pierce makes free throw 1 of 2
7:19.0,A. Goodwin enters the game for P. Tucker,,6-16,,
7:19.0,,,6-17,1,P. Pierce makes free throw 2 of 2
7:04.0,A. Len misses 2-pt shot from 2 ft,,6-17,,
7:01.0,,,6-17,,Defensive rebound by D. Jordan
6:58.0,,,6-17,,Turnover by L. Mbah a Moute (lost ball; steal by R. Price)
6:46.0,D. Booker misses 2-pt shot from 3 ft (block by D. Jordan),,6-17,,
6:44.0,,,6-17,,Defensive rebound by D. Jordan
6:36.0,,,6-17,,J. Redick misses 3-pt shot from 23 ft
6:35.0,Defensive rebound by K. Humphries,,6-17,,
6:26.0,D. Booker misses 3-pt shot from 22 ft,,6-17,,
6:24.0,,,6-17,,Defensive rebound by L. Mbah a Moute
6:23.0,,,6-17,,LA Clippers full timeout
6:23.0,,,6-17,,W. Johnson enters the game for P. Pierce
6:23.0,M. Teletovic enters the game for K. Humphries,,6-17,,
6:06.0,,,6-17,,C. Paul misses 3-pt shot from 26 ft
6:05.0,Defensive rebound by A. Len,,6-17,,
5:51.0,A. Goodwin misses 2-pt shot from 1 ft,,6-17,,
5:50.0,,,6-17,,Defensive rebound by W. Johnson
5:43.0,,,6-17,,Shooting foul by M. Teletovic (drawn by J. Redick)
