time,Utah,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:36.0,G. Hayward misses 3-pt shot from 24 ft,,0-0,,
12:00.0,Jump ball: T. Chandler vs. R. Gobert (D. Favors gains possession),,,,Jump ball: T. Chandler vs. R. Gobert (D. Favors gains possession)
11:35.0,,,0-0,,Defensive rebound by A. Len
11:20.0,,,0-2,2,T. Chandler makes 2-pt shot at rim (assist by R. Price)
11:02.0,S. Mack misses 2-pt shot from 9 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by T. Chandler
10:45.0,,,0-2,,R. Price misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by G. Hayward,,0-2,,
10:36.0,Shooting foul by D. Booker (drawn by G. Hayward),,0-2,,
10:36.0,G. Hayward makes free throw 1 of 2,1,1-2,,
10:36.0,G. Hayward makes free throw 2 of 2,1,2-2,,
10:24.0,,,2-2,,D. Booker misses 2-pt shot from 2 ft
10:22.0,,,2-2,,Offensive rebound by T. Chandler
10:16.0,,,2-2,,Shooting foul by R. Gobert (drawn by A. Len)
10:16.0,,,2-3,1,A. Len makes free throw 1 of 2
10:16.0,,,2-4,1,A. Len makes free throw 2 of 2
10:04.0,,,2-4,,Personal foul by P. Tucker
10:04.0,J. Ingles enters the game for G. Hayward,,2-4,,
9:49.0,R. Hood misses 2-pt shot from 16 ft,,2-4,,
9:49.0,,,2-4,,Defensive rebound by A. Len
9:35.0,,,2-6,2,D. Booker makes 2-pt shot from 1 ft
9:12.0,J. Ingles misses 2-pt shot from 21 ft,,2-6,,
9:11.0,,,2-6,,Defensive rebound by Team
9:11.0,G. Hayward enters the game for J. Ingles,,2-6,,
8:58.0,,,2-6,,D. Booker misses 2-pt shot from 10 ft
8:57.0,Defensive rebound by S. Mack,,2-6,,
8:44.0,D. Favors misses 2-pt shot from 10 ft,,2-6,,
8:44.0,,,2-6,,Defensive rebound by D. Booker
8:37.0,,,2-6,,Turnover by D. Booker (bad pass)
8:15.0,R. Hood misses 3-pt shot from 25 ft,,2-6,,
8:14.0,,,2-6,,Defensive rebound by Team
7:58.0,,,2-6,,T. Chandler misses 2-pt shot from 1 ft
7:57.0,,,2-6,,Offensive rebound by T. Chandler
7:57.0,,,2-8,2,T. Chandler makes 2-pt shot from 1 ft
7:41.0,R. Gobert makes 2-pt shot at rim (assist by S. Mack),2,4-8,,
7:36.0,,,4-8,,Shooting foul by D. Favors (drawn by R. Price)
7:36.0,,,4-8,,R. Price misses free throw 1 of 2
7:36.0,,,4-8,,Offensive rebound by Team
7:36.0,T. Lyles enters the game for D. Favors,,4-8,,
7:36.0,,,4-8,,R. Price misses free throw 2 of 2
7:34.0,Defensive rebound by T. Lyles,,4-8,,
7:19.0,R. Gobert makes 2-pt shot from 6 ft,2,6-8,,
7:04.0,,,6-8,,Turnover by P. Tucker (bad pass)
6:46.0,R. Hood misses 2-pt shot from 2 ft,,6-8,,
6:46.0,Offensive rebound by Team,,6-8,,
6:46.0,,,6-8,,Loose ball foul by P. Tucker
6:46.0,,,6-8,,M. Teletovic enters the game for P. Tucker
6:34.0,R. Gobert misses 2-pt shot from 2 ft,,6-8,,
6:33.0,,,6-8,,Defensive rebound by T. Chandler
6:17.0,,,6-8,,Turnover by M. Teletovic (traveling)
6:02.0,R. Hood misses 3-pt shot from 25 ft,,6-8,,
6:01.0,,,6-8,,Defensive rebound by R. Price
5:55.0,Personal foul by G. Hayward,,6-8,,
5:55.0,,,6-8,,Phoenix full timeout
5:50.0,,,6-8,,Shooting foul by R. Gobert (drawn by M. Teletovic)
5:50.0,,,6-8,,M. Teletovic misses free throw 1 of 2
5:50.0,,,6-8,,Offensive rebound by Team
5:50.0,D. Favors enters the game for R. Gobert,,6-8,,
5:50.0,,,6-9,1,M. Teletovic makes free throw 2 of 2
5:31.0,G. Hayward misses 2-pt shot from 20 ft,,6-9,,
5:29.0,,,6-9,,Defensive rebound by R. Price
5:22.0,,,6-9,,Turnover by M. Teletovic (lost ball; steal by G. Hayward)
4:58.0,R. Hood misses 3-pt shot from 24 ft,,6-9,,
4:58.0,,,6-9,,Defensive rebound by M. Teletovic
4:44.0,,,6-11,2,T. Chandler makes 2-pt shot from 2 ft
4:33.0,G. Hayward makes 3-pt shot from 24 ft (assist by R. Hood),3,9-11,,
4:20.0,,,9-13,2,T. Chandler makes 2-pt shot from 1 ft (assist by D. Booker)
4:08.0,S. Mack misses 2-pt shot from 2 ft (block by D. Booker),,9-13,,
4:07.0,,,9-13,,Defensive rebound by A. Len
4:01.0,,,9-16,3,M. Teletovic makes 3-pt shot from 22 ft (assist by R. Price)
3:34.0,R. Hood misses 3-pt shot from 22 ft,,9-16,,
3:34.0,,,9-16,,Defensive rebound by T. Chandler
3:14.0,,,9-16,,R. Price misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by S. Mack,,9-16,,
3:00.0,,,9-16,,Personal foul by R. Price
3:00.0,J. Ingles enters the game for R. Hood,,9-16,,
3:00.0,Utah full timeout,,9-16,,
3:00.0,R. Hood enters the game for D. Favors,,9-16,,
2:51.0,G. Hayward misses 3-pt shot from 24 ft,,9-16,,
2:50.0,,,9-16,,Defensive rebound by T. Chandler
2:35.0,,,9-16,,M. Teletovic misses 2-pt shot from 2 ft
2:35.0,Defensive rebound by G. Hayward,,9-16,,
2:29.0,S. Mack misses 3-pt shot from 24 ft,,9-16,,
2:29.0,,,9-16,,Defensive rebound by Team
2:04.0,,,9-19,3,M. Teletovic makes 3-pt shot from 24 ft (assist by R. Price)
1:53.0,G. Hayward makes 2-pt shot at rim (assist by J. Ingles),2,11-19,,
1:38.0,,,11-19,,Shooting foul by G. Hayward (drawn by D. Booker)
1:38.0,,,11-20,1,D. Booker makes free throw 1 of 2
1:38.0,C. Johnson enters the game for S. Mack,,11-20,,
1:38.0,,,11-20,,A. Goodwin enters the game for R. Price
1:38.0,D. Favors enters the game for R. Hood,,11-20,,
1:38.0,R. Neto enters the game for G. Hayward,,11-20,,
1:38.0,,,11-21,1,D. Booker makes free throw 2 of 2
1:20.0,T. Lyles makes 3-pt shot from 22 ft (assist by R. Neto),3,14-21,,
1:07.0,,,14-21,,Turnover by A. Goodwin (bad pass)
1:07.0,,,14-21,,P. Tucker enters the game for A. Len
0:53.0,T. Lyles makes 2-pt shot from 2 ft,2,16-21,,
0:40.0,,,16-21,,Turnover by A. Goodwin (lost ball; steal by R. Neto)
0:34.0,T. Lyles misses 2-pt shot from 1 ft,,16-21,,
0:33.0,,,16-21,,Defensive rebound by M. Teletovic
0:26.0,,,16-21,,M. Teletovic misses 2-pt shot from 3 ft (block by C. Johnson)
0:26.0,,,16-21,,Offensive rebound by Team
0:25.0,,,16-21,,Shooting foul by R. Neto (drawn by M. Teletovic)
0:25.0,,,16-22,1,M. Teletovic makes free throw 1 of 2
0:25.0,R. Hood enters the game for C. Johnson,,16-22,,
0:25.0,,,16-22,,R. Price enters the game for P. Tucker
0:25.0,,,16-23,1,M. Teletovic makes free throw 2 of 2
0:05.0,T. Lyles misses 2-pt shot from 2 ft,,16-23,,
0:04.0,,,16-23,,Defensive rebound by A. Goodwin
0:00.0,,,16-23,,A. Goodwin misses 2-pt shot from 8 ft
0:00.0,,,16-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,16-25,2,A. Goodwin makes 2-pt shot at rim
11:26.0,D. Favors makes 2-pt shot from 16 ft (assist by R. Hood),2,18-25,,
11:10.0,,,18-25,,J. Jenkins misses 2-pt shot from 17 ft
11:08.0,Defensive rebound by R. Hood,,18-25,,
10:54.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Neto),2,20-25,,
10:39.0,,,20-28,3,M. Teletovic makes 3-pt shot from 24 ft (assist by J. Jenkins)
10:23.0,R. Hood makes 3-pt shot from 25 ft (assist by D. Favors),3,23-28,,
10:06.0,,,23-28,,M. Teletovic misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by R. Neto,,23-28,,
9:56.0,R. Neto misses 3-pt shot from 25 ft,,23-28,,
9:56.0,,,23-28,,Defensive rebound by P. Tucker
9:44.0,Personal foul by D. Favors,,23-28,,
9:44.0,R. Gobert enters the game for D. Favors,,23-28,,
9:33.0,,,23-28,,A. Len misses 2-pt shot from 2 ft (block by R. Gobert)
9:32.0,Defensive rebound by T. Booker,,23-28,,
9:16.0,R. Hood misses 3-pt shot from 25 ft,,23-28,,
9:15.0,,,23-28,,Defensive rebound by Team
9:02.0,,,23-28,,J. Jenkins misses 2-pt shot from 9 ft
9:01.0,Defensive rebound by R. Gobert,,23-28,,
8:56.0,Shooting foul by A. Goodwin (drawn by R. Neto),,23-28,,
8:56.0,Official timeout,,23-28,,
8:56.0,,,23-28,,D. Booker enters the game for A. Goodwin
