time,Minnesota,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. K. Towns (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. K. Towns (S. Ibaka gains possession)
11:45.0,,,0-0,,Turnover by R. Westbrook (lost ball)
11:33.0,A. Wiggins misses 2-pt shot from 15 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by R. Westbrook
11:14.0,,,0-0,,R. Westbrook misses 2-pt shot from 6 ft
11:13.0,Defensive rebound by T. Prince,,0-0,,
11:00.0,,,0-0,,Personal foul by S. Adams (drawn by T. Prince)
10:45.0,K. Garnett misses 2-pt shot from 19 ft,,0-0,,
10:44.0,,,0-0,,Defensive rebound by S. Ibaka
10:32.0,,,0-0,,K. Durant misses 2-pt shot from 18 ft
10:31.0,Defensive rebound by K. Towns,,0-0,,
10:19.0,K. Towns misses 3-pt shot from 24 ft,,0-0,,
10:18.0,,,0-0,,Defensive rebound by R. Westbrook
10:10.0,,,0-0,,R. Westbrook misses 2-pt shot from 6 ft
10:09.0,Defensive rebound by R. Rubio,,0-0,,
9:57.0,R. Rubio misses 2-pt shot from 18 ft,,0-0,,
9:56.0,Offensive rebound by K. Towns,,0-0,,
9:53.0,K. Towns misses 2-pt shot from 17 ft,,0-0,,
9:53.0,,,0-0,,Defensive rebound by K. Durant
9:34.0,,,0-2,2,A. Roberson makes 2-pt shot from 3 ft (assist by S. Ibaka)
9:18.0,A. Wiggins misses 2-pt shot from 4 ft,,0-2,,
9:18.0,,,0-2,,Defensive rebound by K. Durant
9:06.0,,,0-4,2,S. Ibaka makes 2-pt shot from 20 ft (assist by K. Durant)
8:44.0,K. Garnett misses 2-pt shot from 17 ft,,0-4,,
8:43.0,,,0-4,,Defensive rebound by R. Westbrook
8:28.0,,,0-6,2,S. Adams makes 2-pt shot from 5 ft (assist by R. Westbrook)
8:22.0,Minnesota full timeout,,0-6,,
8:11.0,A. Wiggins misses 2-pt shot from 18 ft,,0-6,,
