time,Cleveland,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. C. Zeller (K. Love gains possession),,,,Jump ball: T. Thompson vs. C. Zeller (K. Love gains possession)
11:47.0,K. Irving makes 2-pt shot from 20 ft,2,2-0,,
11:30.0,,,2-2,2,M. Williams makes 2-pt shot from 1 ft (assist by J. Lin)
11:13.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,5-2,,
11:00.0,,,5-2,,N. Batum misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by K. Love,,5-2,,
10:36.0,K. Love makes 2-pt shot from 11 ft,2,7-2,,
10:22.0,,,7-5,3,M. Williams makes 3-pt shot from 23 ft (assist by J. Lin)
10:02.0,K. Love misses 2-pt shot from 16 ft,,7-5,,
10:01.0,,,7-5,,Defensive rebound by M. Williams
9:57.0,,,7-5,,Turnover by M. Kidd-Gilchrist (lost ball)
9:41.0,K. Love misses 3-pt shot from 25 ft,,7-5,,
9:39.0,,,7-5,,Defensive rebound by M. Kidd-Gilchrist
9:28.0,,,7-5,,C. Zeller misses 2-pt shot from 6 ft
9:27.0,Defensive rebound by K. Love,,7-5,,
9:17.0,K. Irving makes 2-pt shot from 1 ft,2,9-5,,
9:04.0,,,9-5,,Turnover by J. Lin (bad pass; steal by K. Love)
8:54.0,T. Thompson makes 2-pt shot from 1 ft (assist by K. Irving),2,11-5,,
8:38.0,,,11-5,,Turnover by N. Batum (lost ball; steal by J. Smith)
8:30.0,J. Smith misses 3-pt shot from 23 ft,,11-5,,
8:28.0,,,11-5,,Defensive rebound by M. Kidd-Gilchrist
8:17.0,,,11-7,2,C. Zeller makes 2-pt shot from 7 ft (assist by N. Batum)
7:59.0,K. Love makes 2-pt shot from 1 ft,2,13-7,,
7:34.0,,,13-7,,Shooting foul by T. Thompson (drawn by M. Williams)
7:34.0,,,13-8,1,M. Williams makes free throw 1 of 3
7:34.0,,,13-9,1,M. Williams makes free throw 2 of 3
7:34.0,,,13-10,1,M. Williams makes free throw 3 of 3
7:20.0,T. Thompson misses 2-pt shot from 2 ft (block by N. Batum),,13-10,,
7:19.0,,,13-10,,Defensive rebound by N. Batum
7:15.0,,,13-10,,Turnover by N. Batum (lost ball; steal by J. Smith)
7:09.0,K. Irving makes 2-pt shot from 1 ft (assist by L. James),2,15-10,,
6:54.0,,,15-12,2,J. Lin makes 2-pt shot from 14 ft
6:31.0,K. Love misses 3-pt shot from 24 ft,,15-12,,
6:30.0,,,15-12,,Defensive rebound by M. Kidd-Gilchrist
6:19.0,,,15-12,,M. Williams misses 3-pt shot from 24 ft
6:17.0,Defensive rebound by J. Smith,,15-12,,
6:04.0,K. Love misses 2-pt shot from 10 ft,,15-12,,
6:03.0,,,15-12,,Defensive rebound by N. Batum
5:55.0,,,15-12,,Turnover by N. Batum (bad pass; steal by J. Smith)
5:46.0,K. Love misses 3-pt shot from 22 ft,,15-12,,
5:46.0,Offensive rebound by Team,,15-12,,
5:46.0,,,15-12,,Loose ball foul by C. Zeller (drawn by L. James)
5:46.0,,,15-12,,Charlotte full timeout
5:35.0,L. James misses 2-pt shot from 14 ft,,15-12,,
5:34.0,,,15-12,,Defensive rebound by M. Kidd-Gilchrist
5:19.0,,,15-12,,C. Zeller misses 2-pt shot from 2 ft (block by K. Love)
5:19.0,,,15-12,,Offensive rebound by Team
5:19.0,Violation by T. Thompson (kicked ball),,15-12,,
5:19.0,T. Mozgov enters the game for T. Thompson,,15-12,,
5:11.0,,,15-12,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by L. James)
5:09.0,,,15-12,,Offensive rebound by C. Zeller
