time,Memphis,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: C. Andersen vs. D. Jordan (B. Griffin gains possession)
12:00.0,,,0-0,,Violation by Team (jump ball)
11:42.0,,,0-0,,Shooting foul by Z. Randolph (drawn by B. Griffin)
11:42.0,,,0-1,1,B. Griffin makes free throw 1 of 2
11:42.0,,,0-1,,B. Griffin misses free throw 2 of 2
11:41.0,Defensive rebound by C. Andersen,,0-1,,
11:26.0,M. Barnes misses 3-pt shot from 27 ft,,0-1,,
11:25.0,,,0-1,,Defensive rebound by D. Jordan
11:20.0,,,0-1,,Shooting foul by V. Carter (drawn by D. Jordan)
11:20.0,,,0-1,,D. Jordan misses free throw 1 of 2
11:20.0,,,0-1,,Offensive rebound by Team
11:20.0,,,0-2,1,D. Jordan makes free throw 2 of 2
11:13.0,Turnover by C. Andersen (lost ball; steal by C. Paul),,0-2,,
11:09.0,,,0-4,2,C. Paul makes 2-pt shot at rim (assist by D. Jordan)
10:50.0,V. Carter makes 3-pt shot from 25 ft (assist by Z. Randolph),3,3-4,,
10:45.0,,,3-4,,Offensive charge foul by B. Griffin
10:45.0,,,3-4,,Turnover by B. Griffin (offensive foul)
10:33.0,V. Carter misses 2-pt shot from 3 ft,,3-4,,
10:31.0,,,3-4,,Defensive rebound by D. Jordan
10:25.0,,,3-7,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
10:09.0,Z. Randolph misses 2-pt shot from 18 ft,,3-7,,
10:09.0,Offensive rebound by Team,,3-7,,
10:09.0,,,3-7,,Loose ball foul by J. Redick
9:58.0,J. Farmar misses 3-pt shot from 26 ft,,3-7,,
9:56.0,,,3-7,,Defensive rebound by B. Griffin
9:47.0,,,3-7,,J. Redick misses 3-pt shot from 26 ft
9:46.0,Defensive rebound by Z. Randolph,,3-7,,
9:37.0,J. Farmar makes 2-pt shot from 21 ft,2,5-7,,
9:21.0,,,5-7,,J. Redick misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by Z. Randolph,,5-7,,
9:12.0,Turnover by J. Farmar (lost ball; steal by C. Paul),,5-7,,
9:04.0,,,5-7,,C. Paul misses 2-pt shot from 18 ft
9:03.0,Defensive rebound by C. Andersen,,5-7,,
8:51.0,Turnover by V. Carter (lost ball; steal by B. Griffin),,5-7,,
8:45.0,,,5-10,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
8:38.0,Memphis full timeout,,5-10,,
8:22.0,Z. Randolph makes 2-pt shot from 6 ft,2,7-10,,
7:52.0,,,7-10,,B. Griffin misses 2-pt shot from 20 ft
7:52.0,,,7-10,,Offensive rebound by Team
7:52.0,,,7-10,,Turnover by Team (shot clock)
7:42.0,J. Farmar makes 2-pt shot from 20 ft,2,9-10,,
7:23.0,,,9-12,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul)
6:59.0,Z. Randolph misses 2-pt shot from 5 ft,,9-12,,
6:59.0,,,9-12,,Defensive rebound by Team
6:59.0,Loose ball foul by Z. Randolph,,9-12,,
6:48.0,,,9-14,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
6:25.0,V. Carter misses 2-pt shot from 20 ft,,9-14,,
6:24.0,,,9-14,,Defensive rebound by D. Jordan
6:18.0,,,9-14,,B. Griffin misses 2-pt shot from 2 ft
6:16.0,Defensive rebound by Z. Randolph,,9-14,,
6:07.0,V. Carter misses 2-pt shot from 4 ft,,9-14,,
6:04.0,,,9-14,,Defensive rebound by D. Jordan
5:55.0,,,9-16,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by B. Griffin)
5:39.0,Turnover by M. Barnes (lost ball; steal by L. Mbah a Moute),,9-16,,
5:36.0,J. Martin enters the game for C. Andersen,,9-16,,
5:36.0,J. Green enters the game for Z. Randolph,,9-16,,
5:26.0,,,9-16,,Turnover by C. Paul (lost ball; steal by V. Carter)
5:20.0,J. Green makes 2-pt shot from 3 ft (assist by J. Martin),2,11-16,,
4:59.0,Personal foul by M. Barnes,,11-16,,
4:59.0,X. Munford enters the game for M. Barnes,,11-16,,
4:54.0,,,11-16,,J. Redick misses 2-pt shot from 20 ft
4:52.0,Defensive rebound by J. Martin,,11-16,,
4:41.0,Turnover by J. Green (bad pass),,11-16,,
4:41.0,,,11-16,,A. Rivers enters the game for J. Redick
4:22.0,,,11-16,,C. Paul misses 2-pt shot from 17 ft
4:20.0,,,11-16,,Offensive rebound by L. Mbah a Moute
4:14.0,,,11-18,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
4:14.0,,,11-18,,Shooting foul by J. Martin (drawn by B. Griffin)
4:14.0,,,11-18,,W. Johnson enters the game for L. Mbah a Moute
4:14.0,L. Stephenson enters the game for V. Carter,,11-18,,
4:14.0,,,11-19,1,B. Griffin makes free throw 1 of 1
3:58.0,J. Farmar misses 2-pt shot from 18 ft,,11-19,,
3:56.0,,,11-19,,Defensive rebound by D. Jordan
3:42.0,,,11-21,2,C. Paul makes 2-pt shot from 7 ft
