time,New York,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. R. Lopez (M. Williams gains possession),,,,Jump ball: A. Jefferson vs. R. Lopez (M. Williams gains possession)
11:41.0,,,0-0,,A. Jefferson misses 2-pt shot from 5 ft
11:39.0,Defensive rebound by J. Calderon,,0-0,,
11:26.0,K. Porzingis makes 2-pt shot from 16 ft (assist by C. Anthony),2,2-0,,
11:03.0,,,2-0,,A. Jefferson misses 2-pt shot from 15 ft
11:01.0,Defensive rebound by K. Porzingis,,2-0,,
10:42.0,A. Afflalo makes 2-pt shot from 21 ft (assist by C. Anthony),2,4-0,,
10:31.0,,,4-2,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
10:25.0,Offensive foul by K. Porzingis,,4-2,,
10:25.0,Turnover by K. Porzingis (offensive foul),,4-2,,
10:10.0,,,4-2,,P. Hairston misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by K. Porzingis,,4-2,,
9:58.0,K. Porzingis makes 2-pt shot at rim (assist by R. Lopez),2,6-2,,
9:32.0,,,6-2,,K. Walker misses 2-pt shot from 20 ft
9:31.0,Defensive rebound by A. Afflalo,,6-2,,
9:13.0,J. Calderon makes 2-pt shot from 19 ft,2,8-2,,
8:53.0,,,8-2,,M. Williams misses 3-pt shot from 24 ft
8:52.0,Defensive rebound by C. Anthony,,8-2,,
8:41.0,C. Anthony misses 3-pt shot from 24 ft,,8-2,,
8:40.0,,,8-2,,Defensive rebound by A. Jefferson
8:27.0,,,8-2,,Turnover by N. Batum (lost ball; steal by J. Calderon)
8:20.0,J. Calderon misses 3-pt shot from 25 ft,,8-2,,
8:19.0,Offensive rebound by K. Porzingis,,8-2,,
8:14.0,A. Afflalo misses 3-pt shot from 25 ft,,8-2,,
8:13.0,,,8-2,,Defensive rebound by N. Batum
8:03.0,,,8-5,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
7:40.0,Turnover by C. Anthony (traveling),,8-5,,
7:29.0,,,8-5,,A. Jefferson misses 2-pt shot from 2 ft
7:27.0,,,8-5,,Offensive rebound by A. Jefferson
7:27.0,,,8-7,2,A. Jefferson makes 2-pt shot from 1 ft
7:09.0,A. Afflalo makes 2-pt shot from 16 ft,2,10-7,,
6:53.0,,,10-7,,K. Walker misses 2-pt shot from 18 ft
6:52.0,Defensive rebound by K. Porzingis,,10-7,,
