time,Houston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Howard (K. Thompson gains possession),,,,Jump ball: A. Bogut vs. D. Howard (K. Thompson gains possession)
11:34.0,,,0-0,,Turnover by Team (shot clock)
11:19.0,J. Harden misses 2-pt shot from 3 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by D. Green
11:12.0,,,0-0,,K. Thompson misses 3-pt shot from 26 ft
11:12.0,Defensive rebound by P. Beverley,,0-0,,
11:05.0,P. Beverley misses 2-pt shot from 1 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by A. Bogut
10:58.0,,,0-0,,H. Barnes misses 3-pt shot from 23 ft
10:57.0,Defensive rebound by D. Howard,,0-0,,
10:38.0,J. Harden misses 2-pt shot from 14 ft,,0-0,,
10:37.0,,,0-0,,Defensive rebound by S. Curry
10:30.0,,,0-0,,Turnover by S. Curry (lost ball; steal by T. Ariza)
10:23.0,T. Ariza misses 3-pt shot from 24 ft,,0-0,,
10:23.0,,,0-0,,Defensive rebound by S. Curry
9:59.0,,,0-0,,S. Curry misses 3-pt shot from 23 ft
9:58.0,Defensive rebound by D. Howard,,0-0,,
9:54.0,Turnover by C. Brewer (bad pass),,0-0,,
9:41.0,,,0-3,3,S. Curry makes 3-pt shot from 24 ft (assist by K. Thompson)
9:26.0,C. Brewer misses 2-pt shot from 6 ft (block by D. Green),,0-3,,
9:25.0,,,0-3,,Defensive rebound by S. Curry
9:20.0,,,0-3,,S. Curry misses 2-pt shot from 3 ft (block by D. Howard)
9:19.0,,,0-3,,Offensive rebound by S. Curry
9:13.0,,,0-6,3,D. Green makes 3-pt shot from 26 ft (assist by A. Bogut)
9:13.0,Houston full timeout,,0-6,,
8:52.0,D. Howard misses 2-pt shot from 4 ft,,0-6,,
8:52.0,,,0-6,,Defensive rebound by S. Curry
8:42.0,,,0-6,,D. Green misses 3-pt shot from 28 ft
8:41.0,Defensive rebound by C. Brewer,,0-6,,
8:24.0,Shooting foul by K. Thompson (drawn by D. Howard),,0-6,,
8:24.0,D. Howard makes 2-pt shot at rim (assist by C. Brewer),2,2-6,,
8:24.0,D. Howard makes free throw 1 of 1,1,3-6,,
8:10.0,,,3-6,,H. Barnes misses 2-pt shot from 7 ft
8:08.0,Defensive rebound by T. Ariza,,3-6,,
7:56.0,Shooting foul by A. Bogut (drawn by D. Howard),,3-6,,
7:56.0,D. Howard makes free throw 1 of 2,1,4-6,,
7:56.0,D. Howard misses free throw 2 of 2,,4-6,,
7:55.0,,,4-6,,Defensive rebound by A. Bogut
7:42.0,,,4-6,,K. Thompson misses 2-pt shot from 16 ft
7:41.0,Defensive rebound by C. Brewer,,4-6,,
7:29.0,P. Beverley misses 3-pt shot from 23 ft,,4-6,,
7:29.0,,,4-6,,Defensive rebound by D. Green
7:22.0,,,4-6,,H. Barnes misses 2-pt shot from 13 ft
7:21.0,,,4-6,,Offensive rebound by H. Barnes
7:17.0,,,4-9,3,K. Thompson makes 3-pt shot from 27 ft (assist by H. Barnes)
7:05.0,J. Harden misses 3-pt shot from 27 ft,,4-9,,
7:04.0,,,4-9,,Defensive rebound by A. Bogut
6:54.0,Personal foul by T. Ariza,,4-9,,
6:51.0,,,4-11,2,D. Green makes 2-pt shot at rim
6:38.0,Turnover by D. Howard (lost ball; steal by S. Curry),,4-11,,
6:31.0,Personal foul by P. Beverley,,4-11,,
6:31.0,,,4-11,,Technical foul by S. Curry
6:31.0,Technical foul by P. Beverley,,4-11,,
6:31.0,,,4-11,,A. Iguodala enters the game for H. Barnes
6:30.0,M. Beasley enters the game for C. Brewer,,4-11,,
6:28.0,,,4-11,,Offensive foul by D. Green
6:28.0,,,4-11,,Turnover by D. Green (offensive foul)
6:13.0,,,4-11,,Personal foul by A. Bogut
6:02.0,M. Beasley makes 2-pt shot from 15 ft (assist by P. Beverley),2,6-11,,
5:48.0,,,6-13,2,D. Green makes 2-pt shot from 2 ft
5:48.0,,,6-13,,Shooting foul by M. Beasley (drawn by D. Green)
5:48.0,,,6-13,,F. Ezeli enters the game for A. Bogut
5:48.0,,,6-13,,D. Green misses free throw 1 of 1
5:47.0,Defensive rebound by D. Howard,,6-13,,
5:31.0,D. Howard misses 2-pt shot from 5 ft,,6-13,,
5:29.0,,,6-13,,Defensive rebound by F. Ezeli
5:13.0,,,6-16,3,S. Curry makes 3-pt shot from 25 ft (assist by F. Ezeli)
4:57.0,J. Harden misses 2-pt shot from 5 ft,,6-16,,
4:56.0,,,6-16,,Defensive rebound by K. Thompson
4:48.0,,,6-16,,S. Curry misses 3-pt shot from 26 ft
4:47.0,,,6-16,,Offensive rebound by F. Ezeli
4:45.0,,,6-18,2,F. Ezeli makes 2-pt shot from 3 ft
4:44.0,Houston full timeout,,6-18,,
4:44.0,,,6-18,,S. Livingston enters the game for K. Thompson
4:27.0,M. Beasley misses 2-pt shot from 11 ft,,6-18,,
4:26.0,,,6-18,,Defensive rebound by S. Curry
4:18.0,,,6-18,,D. Green misses 2-pt shot from 2 ft
4:17.0,,,6-18,,Offensive rebound by F. Ezeli
4:17.0,,,6-20,2,F. Ezeli makes 2-pt shot at rim
4:02.0,,,6-20,,Personal foul by F. Ezeli
4:02.0,J. Smith enters the game for T. Ariza,,6-20,,
4:02.0,C. Capela enters the game for D. Howard,,6-20,,
3:47.0,J. Harden makes 2-pt shot from 18 ft,2,8-20,,
3:34.0,Personal foul by J. Smith,,8-20,,
3:23.0,,,8-20,,S. Livingston misses 2-pt shot from 10 ft
3:23.0,,,8-20,,Offensive rebound by Team
3:23.0,Personal foul by J. Harden,,8-20,,
3:23.0,,,8-20,,F. Ezeli misses free throw 1 of 2
3:23.0,,,8-20,,Offensive rebound by Team
3:23.0,J. Terry enters the game for P. Beverley,,8-20,,
3:23.0,,,8-20,,F. Ezeli misses free throw 2 of 2
3:22.0,Defensive rebound by C. Capela,,8-20,,
3:11.0,J. Harden makes 2-pt shot from 3 ft,2,10-20,,
3:01.0,,,10-22,2,F. Ezeli makes 2-pt shot at rim (assist by D. Green)
2:51.0,J. Harden misses 2-pt shot from 2 ft (block by D. Green),,10-22,,
2:50.0,Offensive rebound by M. Beasley,,10-22,,
2:40.0,Turnover by M. Beasley (lost ball; steal by S. Livingston),,10-22,,
2:34.0,,,10-25,3,S. Curry makes 3-pt shot from 28 ft (assist by D. Green)
2:18.0,J. Smith makes 3-pt shot from 25 ft (assist by M. Beasley),3,13-25,,
2:05.0,,,13-25,,Turnover by F. Ezeli (lost ball; steal by J. Harden)
1:57.0,J. Harden misses 2-pt shot from 4 ft,,13-25,,
1:57.0,,,13-25,,Defensive rebound by Team
1:57.0,Loose ball foul by M. Beasley,,13-25,,
1:57.0,,,13-25,,Golden State full timeout
1:57.0,,,13-25,,D. Green misses free throw 1 of 2
1:57.0,,,13-25,,Offensive rebound by Team
1:57.0,,,13-26,1,D. Green makes free throw 2 of 2
1:41.0,Turnover by J. Harden (lost ball; steal by S. Curry),,13-26,,
1:36.0,,,13-28,2,S. Curry makes 2-pt shot from 1 ft
1:20.0,Turnover by J. Smith (lost ball),,13-28,,
1:08.0,,,13-28,,Shooting foul by J. Terry (drawn by S. Curry)
1:08.0,,,13-29,1,S. Curry makes free throw 1 of 3
1:08.0,,,13-30,1,S. Curry makes free throw 2 of 3
1:08.0,,,13-30,,H. Barnes enters the game for D. Green
1:08.0,T. Ariza enters the game for M. Beasley,,13-30,,
1:08.0,,,13-31,1,S. Curry makes free throw 3 of 3
0:55.0,J. Smith misses 3-pt shot from 26 ft,,13-31,,
0:55.0,,,13-31,,Defensive rebound by F. Ezeli
0:48.0,,,13-31,,Turnover by S. Curry (lost ball; steal by J. Terry)
0:44.0,J. Terry makes 2-pt shot from 2 ft,2,15-31,,
0:27.0,,,15-33,2,S. Curry makes 2-pt shot from 2 ft
0:16.0,,,15-33,,Personal foul by F. Ezeli
0:16.0,C. Capela misses free throw 1 of 2,,15-33,,
0:16.0,Offensive rebound by Team,,15-33,,
0:16.0,,,15-33,,D. Green enters the game for F. Ezeli
0:16.0,C. Capela misses free throw 2 of 2,,15-33,,
0:15.0,,,15-33,,Defensive rebound by H. Barnes
0:02.0,,,15-33,,S. Curry misses 2-pt shot from 3 ft
0:01.0,Defensive rebound by C. Capela,,15-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,J. Smith makes 2-pt shot from 5 ft,2,17-33,,
11:24.0,,,17-35,2,M. Speights makes 2-pt shot from 18 ft (assist by A. Iguodala)
11:16.0,Turnover by J. Smith (lost ball),,17-35,,
10:59.0,,,17-35,,M. Speights misses 2-pt shot from 18 ft
10:59.0,Defensive rebound by T. Ariza,,17-35,,
10:52.0,D. Howard makes 2-pt shot from 8 ft (assist by P. Beverley),2,19-35,,
10:37.0,,,19-35,,H. Barnes misses 2-pt shot from 10 ft (block by J. Terry)
10:36.0,,,19-35,,Offensive rebound by H. Barnes
10:31.0,,,19-38,3,L. Barbosa makes 3-pt shot from 23 ft (assist by S. Livingston)
10:12.0,P. Beverley makes 2-pt shot from 6 ft,2,21-38,,
9:55.0,,,21-38,,A. Iguodala misses 2-pt shot from 12 ft
