time,Charlotte,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. H. Whiteside (C. Bosh gains possession),,,,Jump ball: A. Jefferson vs. H. Whiteside (C. Bosh gains possession)
11:45.0,,,0-2,2,C. Bosh makes 2-pt shot from 1 ft (assist by L. Deng)
11:27.0,M. Williams misses 3-pt shot from 25 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by L. Deng
11:07.0,Personal foul by M. Williams (drawn by C. Bosh),,0-2,,
11:01.0,,,0-4,2,D. Wade makes 2-pt shot from 18 ft (assist by G. Dragic)
10:39.0,A. Jefferson makes 2-pt shot from 7 ft,2,2-4,,
10:24.0,,,2-6,2,G. Dragic makes 2-pt shot from 1 ft
10:09.0,A. Jefferson misses 2-pt shot from 8 ft,,2-6,,
10:08.0,,,2-6,,Defensive rebound by C. Bosh
10:04.0,,,2-8,2,G. Dragic makes 2-pt shot from 1 ft
10:04.0,Charlotte full timeout,,2-8,,
9:51.0,A. Jefferson misses 2-pt shot from 5 ft (block by D. Wade),,2-8,,
9:50.0,,,2-8,,Defensive rebound by C. Bosh
9:34.0,,,2-8,,Turnover by H. Whiteside (traveling)
9:18.0,A. Jefferson makes 2-pt shot from 2 ft (assist by M. Williams),2,4-8,,
9:03.0,,,4-8,,D. Wade misses 2-pt shot from 16 ft
9:02.0,Defensive rebound by N. Batum,,4-8,,
8:51.0,M. Williams misses 3-pt shot from 23 ft,,4-8,,
8:50.0,,,4-8,,Defensive rebound by L. Deng
8:38.0,,,4-8,,Turnover by H. Whiteside (lost ball; steal by A. Jefferson)
8:20.0,A. Jefferson makes 2-pt shot from 13 ft,2,6-8,,
8:20.0,Shooting foul by H. Whiteside (drawn by A. Jefferson),,6-8,,
8:20.0,A. Jefferson misses free throw 1 of 1,,6-8,,
8:19.0,,,6-8,,Defensive rebound by C. Bosh
8:04.0,,,6-8,,H. Whiteside misses 2-pt shot from 18 ft
8:03.0,Defensive rebound by N. Batum,,6-8,,
8:02.0,A. Jefferson makes 2-pt shot from 1 ft (assist by P. Hairston),2,8-8,,
8:02.0,,,8-8,,Violation by L. Deng (def goaltending)
7:46.0,,,8-8,,G. Dragic misses 2-pt shot from 13 ft
7:45.0,Defensive rebound by M. Williams,,8-8,,
7:40.0,M. Williams makes 2-pt shot at rim (assist by P. Hairston),2,10-8,,
7:34.0,,,10-8,,Miami full timeout
7:34.0,,,10-8,,U. Haslem enters the game for H. Whiteside
7:25.0,,,10-8,,Shooting foul by P. Hairston (drawn by D. Wade)
7:25.0,,,10-9,1,D. Wade makes free throw 1 of 2
7:25.0,,,10-10,1,D. Wade makes free throw 2 of 2
7:10.0,N. Batum misses 2-pt shot from 3 ft (block by L. Deng),,10-10,,
7:09.0,Offensive rebound by N. Batum,,10-10,,
7:07.0,N. Batum makes 2-pt shot from 4 ft,2,12-10,,
6:53.0,,,12-10,,Shooting foul by A. Jefferson (drawn by C. Bosh)
6:53.0,,,12-11,1,C. Bosh makes free throw 1 of 2
