time,Minnesota,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. K. Towns (R. Rubio gains possession),,,,Jump ball: M. Gortat vs. K. Towns (R. Rubio gains possession)
11:37.0,A. Wiggins misses 2-pt shot from 1 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by O. Porter
11:29.0,,,0-2,2,M. Morris makes 2-pt shot from 15 ft (assist by J. Wall)
11:08.0,K. Towns makes 2-pt shot from 18 ft,2,2-2,,
10:57.0,,,2-2,,Turnover by J. Wall (lost ball; steal by R. Rubio)
10:52.0,R. Rubio misses 2-pt shot at rim,,2-2,,
10:51.0,,,2-2,,Defensive rebound by Team
10:27.0,,,2-2,,J. Wall misses 3-pt shot from 26 ft
10:26.0,Defensive rebound by R. Rubio,,2-2,,
10:23.0,Turnover by R. Rubio (lost ball; steal by M. Gortat),,2-2,,
10:15.0,,,2-4,2,O. Porter makes 2-pt shot from 15 ft (assist by B. Beal)
10:03.0,G. Dieng makes 2-pt shot at rim,2,4-4,,
9:48.0,,,4-6,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
9:29.0,K. Towns makes 2-pt shot from 16 ft,2,6-6,,
9:18.0,,,6-6,,B. Beal misses 3-pt shot from 26 ft
9:17.0,Defensive rebound by G. Dieng,,6-6,,
9:04.0,R. Rubio misses 2-pt shot from 16 ft,,6-6,,
9:03.0,,,6-6,,Defensive rebound by M. Morris
8:54.0,,,6-6,,O. Porter misses 2-pt shot from 14 ft
8:53.0,Defensive rebound by R. Rubio,,6-6,,
8:43.0,Z. LaVine misses 3-pt shot from 24 ft,,6-6,,
8:42.0,,,6-6,,Defensive rebound by M. Gortat
8:39.0,,,6-6,,Turnover by M. Gortat (lost ball; steal by R. Rubio)
8:31.0,R. Rubio makes 3-pt shot from 25 ft,3,9-6,,
8:25.0,,,9-6,,Turnover by M. Gortat (offensive foul)
8:25.0,,,9-6,,Offensive foul by M. Gortat
8:14.0,R. Rubio misses 2-pt shot at rim,,9-6,,
8:13.0,,,9-6,,Defensive rebound by M. Gortat
8:07.0,,,9-9,3,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall)
7:47.0,R. Rubio misses 3-pt shot from 26 ft,,9-9,,
7:46.0,,,9-9,,Defensive rebound by M. Gortat
7:27.0,,,9-9,,M. Morris misses 2-pt shot from 8 ft
7:26.0,Defensive rebound by G. Dieng,,9-9,,
7:15.0,Z. LaVine misses 3-pt shot from 24 ft,,9-9,,
7:14.0,,,9-9,,Defensive rebound by M. Gortat
7:09.0,,,9-9,,Turnover by J. Wall (bad pass)
6:57.0,K. Towns makes 2-pt shot from 19 ft,2,11-9,,
