time,Houston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Howard (S. Curry gains possession),,,,Jump ball: A. Bogut vs. D. Howard (S. Curry gains possession)
11:44.0,,,0-2,2,A. Bogut makes 2-pt shot at rim (assist by D. Green)
11:16.0,D. Howard misses 2-pt shot from 6 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by S. Curry
11:06.0,,,0-4,2,A. Bogut makes 2-pt shot from 11 ft (assist by S. Curry)
10:54.0,T. Ariza misses 2-pt shot from 16 ft,,0-4,,
10:53.0,,,0-4,,Defensive rebound by D. Green
10:49.0,,,0-4,,Turnover by D. Green (bad pass; steal by J. Harden)
10:42.0,C. Brewer makes 2-pt shot from 1 ft,2,2-4,,
10:16.0,,,2-7,3,S. Curry makes 3-pt shot from 30 ft (assist by K. Thompson)
10:04.0,Turnover by C. Brewer (bad pass; steal by A. Bogut),,2-7,,
9:59.0,,,2-9,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
9:59.0,Houston full timeout,,2-9,,
9:44.0,D. Howard makes 2-pt shot from 2 ft (assist by J. Harden),2,4-9,,
9:44.0,Shooting foul by D. Green (drawn by D. Howard),,4-9,,
9:44.0,D. Howard makes free throw 1 of 1,1,5-9,,
9:34.0,Personal foul by T. Ariza (drawn by D. Green),,5-9,,
9:23.0,Personal foul by J. Harden (drawn by H. Barnes),,5-9,,
9:10.0,,,5-9,,H. Barnes misses 2-pt shot from 8 ft
9:08.0,,,5-9,,Offensive rebound by A. Bogut
9:08.0,,,5-11,2,A. Bogut makes 2-pt shot from 2 ft
8:54.0,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley),3,8-11,,
8:30.0,,,8-11,,K. Thompson misses 2-pt shot from 12 ft
8:30.0,,,8-11,,Offensive rebound by A. Bogut
8:27.0,,,8-11,,K. Thompson misses 3-pt shot from 23 ft
8:26.0,Defensive rebound by C. Brewer,,8-11,,
8:18.0,Turnover by D. Howard (lost ball; steal by A. Bogut),,8-11,,
8:07.0,,,8-13,2,S. Curry makes 2-pt shot from 1 ft
7:55.0,J. Harden misses 2-pt shot from 17 ft,,8-13,,
7:55.0,,,8-13,,Defensive rebound by K. Thompson
7:47.0,,,8-13,,Turnover by D. Green (bad pass; steal by T. Ariza)
7:44.0,,,8-13,,Personal foul by K. Thompson (drawn by C. Brewer)
7:44.0,C. Brewer makes free throw 1 of 2,1,9-13,,
7:44.0,C. Brewer makes free throw 2 of 2,1,10-13,,
7:21.0,,,10-13,,D. Green misses 2-pt shot from 3 ft (block by D. Howard)
7:21.0,,,10-13,,Offensive rebound by Team
7:19.0,,,10-13,,A. Bogut misses 2-pt shot from 18 ft
7:18.0,Defensive rebound by J. Harden,,10-13,,
7:07.0,C. Brewer misses 3-pt shot from 23 ft,,10-13,,
7:06.0,Offensive rebound by D. Howard,,10-13,,
7:05.0,D. Howard misses 2-pt shot from 1 ft (block by A. Bogut),,10-13,,
7:03.0,,,10-13,,Defensive rebound by S. Curry
6:52.0,,,10-13,,H. Barnes misses 3-pt shot from 22 ft
6:51.0,Defensive rebound by D. Howard,,10-13,,
6:40.0,P. Beverley makes 2-pt shot from 3 ft (assist by D. Howard),2,12-13,,
6:33.0,,,12-15,2,K. Thompson makes 2-pt shot at rim (assist by S. Curry)
6:33.0,Houston full timeout,,12-15,,
6:33.0,J. Smith enters the game for C. Brewer,,12-15,,
6:33.0,,,12-15,,A. Iguodala enters the game for H. Barnes
6:10.0,J. Harden misses 2-pt shot from 17 ft,,12-15,,
