time,Memphis,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. K. Towns (M. Conley gains possession),,,,Jump ball: M. Gasol vs. K. Towns (M. Conley gains possession)
11:44.0,Turnover by M. Barnes (bad pass),,0-0,,
11:32.0,,,0-2,2,A. Wiggins makes 2-pt shot from 6 ft (assist by R. Rubio)
11:08.0,C. Lee makes 3-pt shot from 25 ft (assist by M. Barnes),3,3-2,,
10:47.0,,,3-4,2,K. Towns makes 2-pt shot from 2 ft
10:21.0,M. Barnes misses 2-pt shot from 16 ft,,3-4,,
10:19.0,,,3-4,,Defensive rebound by R. Rubio
10:12.0,,,3-4,,R. Rubio misses 2-pt shot from 17 ft
10:11.0,Defensive rebound by C. Lee,,3-4,,
9:54.0,Z. Randolph makes 2-pt shot from 7 ft (assist by M. Barnes),2,5-4,,
9:42.0,,,5-4,,A. Wiggins misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by Z. Randolph,,5-4,,
9:19.0,Z. Randolph misses 2-pt shot from 13 ft,,5-4,,
9:18.0,,,5-4,,Defensive rebound by K. Towns
9:07.0,,,5-6,2,K. Garnett makes 2-pt shot from 21 ft (assist by R. Rubio)
8:41.0,M. Barnes makes 2-pt shot from 2 ft (assist by M. Gasol),2,7-6,,
8:23.0,,,7-6,,R. Rubio misses 3-pt shot from 23 ft
8:22.0,Defensive rebound by M. Conley,,7-6,,
8:14.0,C. Lee makes 2-pt shot from 20 ft,2,9-6,,
7:55.0,,,9-6,,Offensive charge foul by K. Towns
7:55.0,,,9-6,,Turnover by K. Towns (offensive foul)
7:30.0,M. Gasol misses 2-pt shot from 17 ft,,9-6,,
7:29.0,Offensive rebound by Z. Randolph,,9-6,,
7:21.0,M. Gasol makes 2-pt shot from 11 ft,2,11-6,,
6:53.0,,,11-6,,K. Garnett misses 2-pt shot from 17 ft
6:52.0,Defensive rebound by M. Barnes,,11-6,,
6:50.0,Turnover by M. Barnes (lost ball; steal by R. Rubio),,11-6,,
6:45.0,,,11-8,2,A. Wiggins makes 2-pt shot at rim
6:12.0,M. Gasol makes 2-pt shot from 14 ft (assist by M. Barnes),2,13-8,,
5:57.0,,,13-10,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
5:57.0,,,13-10,,Shooting foul by M. Barnes (drawn by A. Wiggins)
5:57.0,,,13-10,,Minnesota full timeout
5:57.0,,,13-10,,G. Dieng enters the game for K. Garnett
5:57.0,,,13-11,1,A. Wiggins makes free throw 1 of 1
5:43.0,C. Lee makes 3-pt shot from 22 ft (assist by M. Conley),3,16-11,,
5:22.0,,,16-11,,T. Prince misses 2-pt shot from 16 ft
5:21.0,Defensive rebound by M. Conley,,16-11,,
