time,Chicago,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Sullinger (T. Gibson gains possession),,,,Jump ball: P. Gasol vs. J. Sullinger (T. Gibson gains possession)
11:45.0,P. Gasol misses 2-pt shot from 11 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by J. Sullinger
11:30.0,,,0-2,2,A. Bradley makes 2-pt shot from 21 ft (assist by J. Sullinger)
11:11.0,D. Rose makes 2-pt shot from 14 ft (assist by P. Gasol),2,2-2,,
11:00.0,,,2-4,2,J. Sullinger makes 2-pt shot from 19 ft (assist by I. Thomas)
10:53.0,,,2-4,,Violation by J. Crowder (kicked ball)
10:45.0,J. Butler misses 2-pt shot from 12 ft,,2-4,,
10:44.0,Offensive rebound by J. Butler,,2-4,,
10:39.0,Turnover by P. Gasol (bad pass; steal by J. Sullinger),,2-4,,
10:29.0,,,2-4,,Turnover by A. Bradley (bad pass; steal by T. Snell)
10:12.0,T. Gibson misses 2-pt shot from 12 ft,,2-4,,
10:11.0,,,2-4,,Defensive rebound by J. Sullinger
10:03.0,,,2-7,3,I. Thomas makes 3-pt shot from 24 ft
9:41.0,P. Gasol misses 2-pt shot from 5 ft,,2-7,,
9:40.0,,,2-7,,Defensive rebound by I. Thomas
9:35.0,,,2-7,,A. Bradley misses 2-pt shot from 2 ft
9:34.0,Defensive rebound by J. Butler,,2-7,,
9:23.0,D. Rose makes 3-pt shot from 24 ft (assist by T. Gibson),3,5-7,,
9:05.0,,,5-9,2,A. Bradley makes 2-pt shot from 22 ft (assist by J. Sullinger)
8:50.0,P. Gasol misses 2-pt shot from 20 ft,,5-9,,
8:49.0,,,5-9,,Defensive rebound by J. Sullinger
8:39.0,,,5-9,,J. Crowder misses 2-pt shot from 22 ft
8:38.0,Defensive rebound by T. Gibson,,5-9,,
8:35.0,,,5-9,,Personal foul by I. Thomas (drawn by D. Rose)
8:28.0,P. Gasol misses 2-pt shot from 2 ft (block by K. Olynyk),,5-9,,
8:27.0,Offensive rebound by T. Gibson,,5-9,,
8:26.0,Shooting foul by J. Sullinger (drawn by T. Gibson),,5-9,,
8:26.0,T. Gibson makes free throw 1 of 2,1,6-9,,
8:26.0,T. Gibson misses free throw 2 of 2,,6-9,,
8:24.0,,,6-9,,Defensive rebound by K. Olynyk
8:15.0,,,6-9,,J. Crowder misses 2-pt shot from 20 ft
8:14.0,Defensive rebound by P. Gasol,,6-9,,
8:09.0,,,6-9,,Personal foul by K. Olynyk (drawn by D. Rose)
8:02.0,D. Rose misses 2-pt shot from 1 ft,,6-9,,
8:01.0,,,6-9,,Defensive rebound by J. Sullinger
7:55.0,,,6-9,,I. Thomas misses 3-pt shot from 26 ft
7:54.0,Defensive rebound by T. Snell,,6-9,,
7:45.0,T. Gibson misses 2-pt shot from 15 ft,,6-9,,
