time,Washington,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. R. Lopez (J. Wall gains possession),,,,Jump ball: M. Gortat vs. R. Lopez (J. Wall gains possession)
11:39.0,Turnover by B. Beal (bad pass),,0-0,,
11:23.0,,,0-0,,K. Porzingis misses 3-pt shot from 23 ft
11:21.0,Defensive rebound by B. Beal,,0-0,,
11:16.0,M. Gortat makes 2-pt shot from 4 ft (assist by B. Beal),2,2-0,,
10:53.0,,,2-2,2,R. Lopez makes 2-pt shot from 4 ft
10:42.0,B. Beal misses 2-pt shot from 9 ft,,2-2,,
10:40.0,,,2-2,,Defensive rebound by C. Anthony
10:30.0,,,2-2,,Turnover by C. Anthony (bad pass; steal by J. Dudley)
10:21.0,O. Porter makes 2-pt shot from 13 ft (assist by B. Beal),2,4-2,,
9:59.0,,,4-2,,A. Afflalo misses 2-pt shot from 10 ft
9:57.0,Defensive rebound by M. Gortat,,4-2,,
9:49.0,J. Wall makes 2-pt shot from 14 ft,2,6-2,,
9:41.0,,,6-2,,C. Anthony misses 2-pt shot from 21 ft
9:39.0,Defensive rebound by M. Gortat,,6-2,,
9:35.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,8-2,,
9:05.0,,,8-4,2,R. Lopez makes 2-pt shot from 11 ft
8:38.0,Shooting foul by J. Calderon (drawn by J. Wall),,8-4,,
8:38.0,J. Wall makes free throw 1 of 2,1,9-4,,
8:38.0,J. Wall misses free throw 2 of 2,,9-4,,
8:37.0,,,9-4,,Defensive rebound by R. Lopez
8:18.0,,,9-6,2,A. Afflalo makes 2-pt shot from 13 ft
8:12.0,J. Wall misses 2-pt shot from 2 ft,,9-6,,
8:10.0,,,9-6,,Defensive rebound by R. Lopez
8:07.0,,,9-6,,Turnover by J. Calderon (bad pass; steal by O. Porter)
8:01.0,J. Wall makes 3-pt shot from 24 ft (assist by O. Porter),3,12-6,,
7:34.0,,,12-6,,J. Calderon misses 3-pt shot from 25 ft
7:32.0,,,12-6,,Offensive rebound by R. Lopez
7:29.0,,,12-6,,J. Calderon misses 3-pt shot from 23 ft
7:27.0,Defensive rebound by J. Wall,,12-6,,
7:20.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Dudley),3,15-6,,
7:18.0,,,15-6,,New York full timeout
6:53.0,,,15-9,3,C. Anthony makes 3-pt shot from 24 ft (assist by J. Calderon)
6:49.0,Shooting foul by A. Afflalo (drawn by B. Beal),,15-9,,
6:49.0,B. Beal makes free throw 1 of 2,1,16-9,,
6:49.0,B. Beal makes free throw 2 of 2,1,17-9,,
6:39.0,,,17-9,,Shooting foul by O. Porter (drawn by R. Lopez)
6:39.0,,,17-10,1,R. Lopez makes free throw 1 of 2
6:39.0,,,17-11,1,R. Lopez makes free throw 2 of 2
6:25.0,M. Gortat misses 2-pt shot from 5 ft,,17-11,,
6:24.0,,,17-11,,Defensive rebound by J. Calderon
6:15.0,,,17-13,2,R. Lopez makes 2-pt shot from 4 ft (assist by J. Calderon)
