time,Oklahoma City,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. B. Lopez (T. Young gains possession),,,,Jump ball: S. Ibaka vs. B. Lopez (T. Young gains possession)
11:43.0,,,0-0,,Turnover by J. Johnson (bad pass)
11:20.0,Turnover by K. Durant (bad pass),,0-0,,
11:03.0,,,0-0,,W. Ellington misses 3-pt shot from 24 ft
11:02.0,,,0-0,,Offensive rebound by B. Lopez
11:01.0,,,0-2,2,B. Lopez makes 2-pt shot from 1 ft
10:44.0,K. Durant misses 2-pt shot from 21 ft,,0-2,,
10:43.0,,,0-2,,Defensive rebound by W. Ellington
10:33.0,,,0-4,2,B. Lopez makes 2-pt shot at rim (assist by W. Ellington)
10:04.0,N. Collison makes 2-pt shot from 9 ft (assist by K. Durant),2,2-4,,
9:53.0,,,2-4,,B. Lopez misses 2-pt shot from 3 ft
9:52.0,,,2-4,,Offensive rebound by D. Sloan
9:44.0,,,2-6,2,T. Young makes 2-pt shot from 4 ft (assist by D. Sloan)
9:34.0,R. Westbrook misses 2-pt shot from 3 ft (block by B. Lopez),,2-6,,
9:33.0,Offensive rebound by Team,,2-6,,
9:32.0,K. Durant makes 2-pt shot from 8 ft (assist by R. Westbrook),2,4-6,,
9:18.0,,,4-6,,J. Johnson misses 2-pt shot from 20 ft
9:17.0,Defensive rebound by R. Westbrook,,4-6,,
9:14.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,6-6,,
8:58.0,,,6-6,,D. Sloan misses 2-pt shot from 16 ft
8:57.0,Defensive rebound by R. Westbrook,,6-6,,
8:51.0,K. Durant misses 3-pt shot from 24 ft,,6-6,,
8:50.0,Offensive rebound by N. Collison,,6-6,,
8:43.0,S. Ibaka misses 3-pt shot from 24 ft,,6-6,,
8:42.0,,,6-6,,Defensive rebound by D. Sloan
8:23.0,,,6-6,,Shooting foul by N. Collison (drawn by B. Lopez)
8:23.0,,,6-7,1,B. Lopez makes free throw 1 of 2
8:23.0,,,6-8,1,B. Lopez makes free throw 2 of 2
8:19.0,Turnover by K. Durant (bad pass; steal by D. Sloan),,6-8,,
8:13.0,,,6-8,,D. Sloan misses 2-pt shot from 2 ft (block by S. Ibaka)
8:12.0,Defensive rebound by R. Westbrook,,6-8,,
8:05.0,R. Westbrook makes 2-pt shot from 22 ft,2,8-8,,
7:53.0,,,8-8,,T. Young misses 2-pt shot from 6 ft
7:52.0,,,8-8,,Offensive rebound by T. Young
7:50.0,,,8-8,,T. Young misses 2-pt shot from 2 ft (block by K. Durant)
7:49.0,,,8-8,,Offensive rebound by Team
