time,New York,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: R. Lopez vs. H. Whiteside (G. Dragic gains possession)
11:40.0,,,0-0,,Shooting foul by C. Anthony (drawn by L. Deng)
11:40.0,,,0-2,2,L. Deng makes 2-pt shot from 9 ft
11:40.0,,,0-3,1,L. Deng makes free throw 1 of 1
11:24.0,K. Porzingis misses 2-pt shot from 6 ft,,0-3,,
11:23.0,,,0-3,,Defensive rebound by D. Wade
11:06.0,,,0-3,,L. Deng misses 3-pt shot from 24 ft
11:05.0,Defensive rebound by K. Porzingis,,0-3,,
10:42.0,R. Lopez makes 2-pt shot from 5 ft,2,2-3,,
10:20.0,,,2-3,,H. Whiteside misses 2-pt shot from 13 ft
10:19.0,Defensive rebound by K. Porzingis,,2-3,,
10:09.0,J. Calderon makes 2-pt shot from 9 ft,2,4-3,,
9:50.0,,,4-3,,C. Bosh misses 2-pt shot from 17 ft
9:49.0,Defensive rebound by J. Calderon,,4-3,,
9:41.0,J. Calderon misses 2-pt shot from 15 ft,,4-3,,
9:40.0,,,4-3,,Defensive rebound by Team
9:40.0,Loose ball foul by K. Porzingis (drawn by H. Whiteside),,4-3,,
9:17.0,,,4-3,,G. Dragic misses 2-pt shot from 14 ft
9:16.0,,,4-3,,Offensive rebound by L. Deng
9:10.0,,,4-3,,C. Bosh misses 3-pt shot from 24 ft
9:09.0,,,4-3,,Offensive rebound by G. Dragic
8:57.0,,,4-5,2,D. Wade makes 2-pt shot from 20 ft
8:42.0,A. Afflalo makes 2-pt shot from 14 ft (assist by K. Porzingis),2,6-5,,
8:16.0,,,6-5,,Turnover by H. Whiteside (traveling)
8:00.0,C. Anthony makes 2-pt shot from 12 ft (assist by R. Lopez),2,8-5,,
7:46.0,,,8-5,,C. Bosh misses 2-pt shot from 19 ft
7:45.0,Defensive rebound by J. Calderon,,8-5,,
7:36.0,C. Anthony misses 2-pt shot from 19 ft,,8-5,,
7:35.0,Offensive rebound by R. Lopez,,8-5,,
7:34.0,R. Lopez makes 2-pt shot from 1 ft,2,10-5,,
7:24.0,,,10-5,,Miami full timeout
7:11.0,,,10-5,,D. Wade misses 2-pt shot from 4 ft (block by R. Lopez)
7:10.0,,,10-5,,Offensive rebound by D. Wade
7:09.0,,,10-5,,Shooting foul by R. Lopez (drawn by D. Wade)
7:09.0,,,10-6,1,D. Wade makes free throw 1 of 2
7:09.0,,,10-7,1,D. Wade makes free throw 2 of 2
6:55.0,A. Afflalo misses 3-pt shot from 24 ft,,10-7,,
6:54.0,,,10-7,,Defensive rebound by L. Deng
6:36.0,,,10-7,,Turnover by H. Whiteside (offensive goaltending)
6:15.0,A. Afflalo makes 3-pt shot from 23 ft (assist by J. Calderon),3,13-7,,
6:03.0,,,13-9,2,H. Whiteside makes 2-pt shot at rim (assist by C. Bosh)
5:43.0,R. Lopez misses 2-pt shot from 4 ft,,13-9,,
5:42.0,,,13-9,,Defensive rebound by H. Whiteside
5:25.0,,,13-11,2,D. Wade makes 2-pt shot from 2 ft
5:09.0,,,13-11,,Personal foul by L. Deng (drawn by C. Anthony)
5:09.0,,,13-11,,J. Winslow enters the game for C. Bosh
5:09.0,L. Thomas enters the game for K. Porzingis,,13-11,,
4:52.0,L. Thomas misses 2-pt shot from 5 ft (block by H. Whiteside),,13-11,,
4:51.0,,,13-11,,Defensive rebound by H. Whiteside
4:40.0,,,13-11,,Turnover by D. Wade (bad pass; steal by A. Afflalo)
4:36.0,Turnover by A. Afflalo (bad pass),,13-11,,
4:21.0,,,13-13,2,D. Wade makes 2-pt shot from 20 ft (assist by H. Whiteside)
4:06.0,Shooting foul by J. Winslow (drawn by C. Anthony),,13-13,,
4:06.0,C. Anthony makes free throw 1 of 2,1,14-13,,
4:06.0,L. Galloway enters the game for J. Calderon,,14-13,,
4:06.0,C. Anthony makes free throw 2 of 2,1,15-13,,
3:45.0,,,15-15,2,L. Deng makes 2-pt shot from 13 ft
3:28.0,,,15-15,,T. Johnson enters the game for D. Wade
3:28.0,J. Grant enters the game for A. Afflalo,,15-15,,
3:17.0,L. Thomas makes 2-pt shot from 20 ft (assist by J. Grant),2,17-15,,
3:02.0,,,17-15,,G. Dragic misses 3-pt shot from 24 ft
3:01.0,Defensive rebound by L. Galloway,,17-15,,
2:57.0,L. Galloway makes 2-pt shot from 7 ft,2,19-15,,
2:57.0,Shooting foul by T. Johnson (drawn by L. Galloway),,19-15,,
2:57.0,New York full timeout,,19-15,,
2:57.0,L. Galloway makes free throw 1 of 1,1,20-15,,
2:38.0,,,20-15,,L. Deng misses 2-pt shot from 8 ft
2:37.0,,,20-15,,Offensive rebound by H. Whiteside
2:32.0,,,20-15,,Turnover by H. Whiteside (bad pass; steal by L. Galloway)
2:27.0,J. Grant makes 2-pt shot from 3 ft (assist by L. Galloway),2,22-15,,
2:08.0,Violation by L. Thomas (kicked ball),,22-15,,
