time,Orlando,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Vucevic (J. Jack gains possession),,,,Jump ball: B. Lopez vs. N. Vucevic (J. Jack gains possession)
11:45.0,,,0-3,3,J. Jack makes 3-pt shot from 24 ft (assist by J. Johnson)
11:18.0,T. Harris misses 3-pt shot from 26 ft,,0-3,,
11:17.0,,,0-3,,Defensive rebound by T. Young
10:57.0,,,0-3,,B. Bogdanovic misses 2-pt shot from 14 ft
10:56.0,Defensive rebound by T. Harris,,0-3,,
10:50.0,E. Payton makes 2-pt shot from 2 ft,2,2-3,,
10:24.0,,,2-3,,B. Lopez misses 2-pt shot from 6 ft
10:23.0,Defensive rebound by C. Frye,,2-3,,
10:11.0,Shooting foul by J. Johnson (drawn by N. Vucevic),,2-3,,
10:11.0,N. Vucevic makes free throw 1 of 2,1,3-3,,
10:11.0,N. Vucevic makes free throw 2 of 2,1,4-3,,
9:50.0,,,4-5,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Jack)
9:29.0,Shooting foul by J. Jack (drawn by E. Payton),,4-5,,
9:29.0,E. Payton makes free throw 1 of 2,1,5-5,,
9:29.0,E. Payton misses free throw 2 of 2,,5-5,,
9:28.0,,,5-5,,Defensive rebound by T. Young
9:17.0,,,5-5,,Turnover by J. Johnson (bad pass)
9:03.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton),2,7-5,,
8:57.0,,,7-7,2,T. Young makes 2-pt shot from 6 ft (assist by J. Jack)
8:43.0,C. Frye makes 3-pt shot from 25 ft (assist by N. Vucevic),3,10-7,,
8:26.0,,,10-7,,B. Lopez misses 2-pt shot from 14 ft
8:25.0,Defensive rebound by T. Harris,,10-7,,
8:16.0,C. Frye makes 3-pt shot from 24 ft (assist by T. Harris),3,13-7,,
8:13.0,,,13-7,,Brooklyn full timeout
7:58.0,,,13-9,2,T. Young makes 2-pt shot from 2 ft (assist by J. Johnson)
7:32.0,C. Frye misses 3-pt shot from 24 ft,,13-9,,
7:31.0,,,13-9,,Defensive rebound by B. Lopez
7:26.0,,,13-9,,J. Johnson misses 3-pt shot from 23 ft
7:25.0,Defensive rebound by T. Harris,,13-9,,
7:17.0,Turnover by E. Fournier (traveling),,13-9,,
7:06.0,,,13-11,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Jack)
6:47.0,N. Vucevic misses 2-pt shot from 10 ft,,13-11,,
6:46.0,,,13-11,,Defensive rebound by J. Jack
6:39.0,,,13-11,,T. Young misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by T. Harris,,13-11,,
6:27.0,E. Fournier misses 3-pt shot from 27 ft,,13-11,,
6:26.0,,,13-11,,Defensive rebound by J. Jack
6:16.0,,,13-11,,Turnover by J. Johnson (bad pass; steal by C. Frye)
6:07.0,E. Payton makes 2-pt shot from 10 ft,2,15-11,,
5:51.0,,,15-11,,B. Lopez misses 2-pt shot from 1 ft
5:50.0,,,15-11,,Offensive rebound by B. Lopez
5:49.0,,,15-11,,B. Lopez misses 2-pt shot from 1 ft
5:48.0,Defensive rebound by E. Payton,,15-11,,
5:35.0,N. Vucevic makes 2-pt shot from 6 ft (assist by C. Frye),2,17-11,,
5:21.0,Personal block foul by E. Fournier (drawn by B. Bogdanovic),,17-11,,
5:14.0,,,17-13,2,B. Lopez makes 2-pt shot from 1 ft (assist by T. Young)
5:00.0,T. Harris makes 2-pt shot from 1 ft,2,19-13,,
4:44.0,,,19-13,,J. Jack misses 2-pt shot from 21 ft
4:43.0,Defensive rebound by N. Vucevic,,19-13,,
4:29.0,T. Harris misses 3-pt shot from 25 ft,,19-13,,
4:28.0,,,19-13,,Defensive rebound by T. Young
4:07.0,,,19-16,3,J. Johnson makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
3:56.0,,,19-16,,Personal foul by B. Bogdanovic (drawn by E. Fournier)
3:56.0,A. Gordon enters the game for T. Harris,,19-16,,
3:56.0,A. Nicholson enters the game for C. Frye,,19-16,,
3:56.0,V. Oladipo enters the game for E. Fournier,,19-16,,
3:56.0,,,19-16,,A. Bargnani enters the game for B. Lopez
3:52.0,,,19-16,,Personal foul by A. Bargnani (drawn by V. Oladipo)
3:39.0,Turnover by A. Gordon (3 sec),,19-16,,
3:39.0,,,19-16,,W. Ellington enters the game for J. Johnson
3:21.0,,,19-16,,B. Bogdanovic misses 3-pt shot from 25 ft
3:20.0,,,19-16,,Offensive rebound by W. Ellington
3:16.0,Violation by N. Vucevic (kicked ball),,19-16,,
3:15.0,Personal foul by E. Payton (drawn by J. Jack),,19-16,,
3:07.0,,,19-16,,A. Bargnani misses 2-pt shot from 15 ft
3:06.0,Defensive rebound by A. Gordon,,19-16,,
2:45.0,V. Oladipo misses 3-pt shot from 25 ft,,19-16,,
2:44.0,,,19-16,,Defensive rebound by T. Young
2:37.0,,,19-16,,T. Young misses 2-pt shot from 18 ft
