time,Miami,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. C. Bosh (B. Udrih gains possession),,,,Jump ball: C. Aldrich vs. C. Bosh (B. Udrih gains possession)
11:35.0,L. Deng misses 2-pt shot from 2 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by Team
11:22.0,,,0-0,,J. Redick misses 2-pt shot from 12 ft
11:21.0,Defensive rebound by D. Wade,,0-0,,
11:14.0,D. Wade misses 2-pt shot from 20 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by P. Pierce
11:05.0,,,0-2,2,C. Aldrich makes 2-pt shot at rim (assist by C. Paul)
10:39.0,C. Bosh misses 2-pt shot from 3 ft (block by L. Mbah a Moute),,0-2,,
10:38.0,,,0-2,,Defensive rebound by P. Pierce
10:27.0,,,0-2,,P. Pierce misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by J. Winslow,,0-2,,
10:19.0,C. Bosh misses 3-pt shot from 25 ft,,0-2,,
10:18.0,,,0-2,,Defensive rebound by C. Aldrich
10:05.0,,,0-4,2,C. Aldrich makes 2-pt shot from 4 ft (assist by C. Paul)
9:50.0,Turnover by C. Bosh (bad pass),,0-4,,
9:43.0,,,0-4,,C. Aldrich misses 2-pt shot from 5 ft
9:41.0,Defensive rebound by C. Bosh,,0-4,,
9:30.0,C. Bosh misses 3-pt shot from 25 ft,,0-4,,
9:29.0,Offensive rebound by L. Deng,,0-4,,
9:28.0,L. Deng misses 2-pt shot from 2 ft,,0-4,,
9:23.0,Offensive rebound by L. Deng,,0-4,,
9:20.0,Turnover by J. Winslow (lost ball; steal by C. Paul),,0-4,,
9:07.0,,,0-4,,C. Paul misses 2-pt shot from 15 ft
9:05.0,Defensive rebound by C. Bosh,,0-4,,
8:58.0,Turnover by L. Deng (bad pass; steal by C. Aldrich),,0-4,,
8:44.0,,,0-7,3,C. Paul makes 3-pt shot from 25 ft
8:32.0,Miami full timeout,,0-7,,
8:20.0,D. Wade makes 2-pt shot from 12 ft (assist by J. Winslow),2,2-7,,
7:56.0,,,2-9,2,P. Pierce makes 2-pt shot from 16 ft (assist by C. Paul)
7:36.0,J. Winslow makes 2-pt shot from 15 ft (assist by L. Deng),2,4-9,,
7:18.0,,,4-9,,Turnover by C. Aldrich (lost ball)
6:58.0,B. Udrih makes 3-pt shot from 23 ft (assist by C. Bosh),3,7-9,,
6:47.0,,,7-9,,C. Paul misses 3-pt shot from 24 ft
6:47.0,Defensive rebound by C. Bosh,,7-9,,
6:40.0,Shooting foul by P. Pierce (drawn by D. Wade),,7-9,,
6:40.0,D. Wade makes free throw 1 of 2,1,8-9,,
6:40.0,G. Green enters the game for L. Deng,,8-9,,
6:40.0,D. Wade misses free throw 2 of 2,,8-9,,
6:38.0,,,8-9,,Defensive rebound by L. Mbah a Moute
6:28.0,,,8-9,,C. Aldrich misses 2-pt shot from 3 ft
6:23.0,Defensive rebound by G. Green,,8-9,,
6:20.0,B. Udrih misses 3-pt shot from 25 ft,,8-9,,
6:20.0,,,8-9,,Defensive rebound by C. Paul
6:20.0,Personal take foul by B. Udrih (drawn by C. Paul),,8-9,,
6:20.0,T. Johnson enters the game for D. Wade,,8-9,,
6:08.0,,,8-9,,P. Pierce misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by J. Winslow,,8-9,,
6:01.0,Shooting foul by C. Aldrich (drawn by C. Bosh),,8-9,,
6:01.0,C. Bosh makes 2-pt shot from 2 ft (assist by B. Udrih),2,10-9,,
6:01.0,,,10-9,,J. Crawford enters the game for C. Aldrich
6:01.0,C. Bosh makes free throw 1 of 1,1,11-9,,
5:46.0,,,11-9,,C. Paul misses 2-pt shot from 16 ft
5:45.0,Defensive rebound by J. Winslow,,11-9,,
5:32.0,C. Bosh makes 2-pt shot from 3 ft (assist by T. Johnson),2,13-9,,
5:26.0,,,13-9,,Turnover by C. Paul (bad pass; steal by T. Johnson)
5:17.0,Turnover by B. Udrih (bad pass; steal by C. Paul),,13-9,,
5:11.0,,,13-9,,J. Redick misses 2-pt shot from 2 ft
5:09.0,,,13-9,,Offensive rebound by C. Paul
5:07.0,,,13-11,2,C. Paul makes 2-pt shot from 5 ft
4:48.0,G. Green makes 2-pt shot from 8 ft (assist by C. Bosh),2,15-11,,
4:27.0,,,15-11,,J. Crawford misses 2-pt shot from 20 ft
4:27.0,,,15-11,,Offensive rebound by C. Paul
