time,Golden State,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Ezeli vs. K. Towns (D. Green gains possession),,,,Jump ball: F. Ezeli vs. K. Towns (D. Green gains possession)
11:46.0,D. Green makes 2-pt shot from 14 ft (assist by S. Curry),2,2-0,,
11:31.0,,,2-0,,A. Wiggins misses 2-pt shot from 19 ft
11:30.0,Defensive rebound by S. Curry,,2-0,,
11:15.0,K. Thompson makes 2-pt shot at rim (assist by F. Ezeli),2,4-0,,
11:02.0,,,4-0,,Turnover by K. Towns (lost ball; steal by S. Curry)
10:54.0,S. Curry makes 3-pt shot from 27 ft,3,7-0,,
10:36.0,,,7-0,,Turnover by K. Garnett (bad pass; steal by S. Curry)
10:32.0,Shooting foul by K. Garnett (drawn by S. Curry),,7-0,,
10:32.0,S. Curry makes free throw 1 of 3,1,8-0,,
10:32.0,S. Curry makes free throw 2 of 3,1,9-0,,
10:32.0,S. Curry makes free throw 3 of 3,1,10-0,,
10:10.0,,,10-0,,K. Towns misses 2-pt shot from 22 ft
10:09.0,,,10-0,,Offensive rebound by K. Garnett
10:06.0,,,10-2,2,Z. LaVine makes 2-pt shot from 1 ft (assist by K. Garnett)
9:48.0,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes),3,13-2,,
9:33.0,,,13-2,,Z. LaVine misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by F. Ezeli,,13-2,,
9:23.0,H. Barnes misses 3-pt shot from 23 ft,,13-2,,
9:22.0,,,13-2,,Defensive rebound by K. Garnett
9:14.0,,,13-2,,Shooting foul by F. Ezeli (drawn by K. Towns)
9:14.0,,,13-3,1,K. Towns makes free throw 1 of 2
9:14.0,,,13-4,1,K. Towns makes free throw 2 of 2
8:58.0,K. Thompson makes 2-pt shot from 7 ft (assist by S. Curry),2,15-4,,
8:41.0,,,15-6,2,T. Prince makes 2-pt shot from 20 ft (assist by A. Wiggins)
8:28.0,H. Barnes misses 3-pt shot from 23 ft,,15-6,,
8:27.0,,,15-6,,Defensive rebound by K. Towns
8:18.0,,,15-6,,K. Towns misses 2-pt shot from 19 ft
8:17.0,Defensive rebound by D. Green,,15-6,,
8:07.0,S. Curry misses 2-pt shot from 2 ft,,15-6,,
8:06.0,Offensive rebound by F. Ezeli,,15-6,,
8:06.0,F. Ezeli makes 2-pt shot at rim,2,17-6,,
8:04.0,,,17-6,,Turnover by Z. LaVine (lost ball)
7:57.0,D. Green misses 3-pt shot from 23 ft,,17-6,,
7:55.0,,,17-6,,Defensive rebound by T. Prince
7:43.0,,,17-6,,K. Towns misses 2-pt shot from 2 ft (block by D. Green)
7:42.0,,,17-6,,Offensive rebound by Team
7:39.0,,,17-8,2,A. Wiggins makes 2-pt shot from 21 ft (assist by K. Garnett)
7:20.0,F. Ezeli makes 2-pt shot from 6 ft,2,19-8,,
7:06.0,,,19-10,2,Z. LaVine makes 2-pt shot from 19 ft
6:51.0,S. Curry makes 3-pt shot from 24 ft (assist by F. Ezeli),3,22-10,,
6:44.0,,,22-10,,Minnesota full timeout
6:44.0,,,22-10,,N. Bjelica enters the game for K. Garnett
6:27.0,,,22-12,2,T. Prince makes 2-pt shot from 20 ft (assist by N. Bjelica)
6:13.0,K. Thompson misses 2-pt shot from 16 ft,,22-12,,
