time,Oklahoma City,pts.away,score,pts.home,Portland
2:29.0,E. Kanter makes 2-pt shot from 5 ft,2,21-26,,
2:20.0,,,21-28,2,E. Davis makes 2-pt shot from 1 ft (assist by D. Lillard)
1:59.0,E. Kanter makes 2-pt shot from 14 ft,2,23-28,,
1:47.0,,,23-28,,D. Lillard misses 2-pt shot from 16 ft
1:47.0,Defensive rebound by A. Morrow,,23-28,,
1:36.0,E. Kanter misses 2-pt shot from 17 ft,,23-28,,
1:36.0,,,23-28,,Defensive rebound by E. Davis
1:26.0,S. Adams enters the game for E. Kanter,,23-28,,
1:19.0,,,23-31,3,B. Roberts makes 3-pt shot from 24 ft (assist by E. Davis)
1:08.0,S. Adams misses 2-pt shot from 6 ft,,23-31,,
1:07.0,Offensive rebound by S. Adams,,23-31,,
1:03.0,Shooting foul by E. Davis (drawn by S. Adams),,23-31,,
1:03.0,S. Adams makes free throw 1 of 2,1,24-31,,
1:03.0,S. Adams misses free throw 2 of 2,,24-31,,
1:01.0,,,24-31,,Defensive rebound by E. Davis
0:54.0,,,24-31,,Turnover by E. Davis (lost ball; steal by A. Morrow)
0:53.0,,,24-31,,Personal foul by E. Davis
0:53.0,A. Morrow misses free throw 1 of 2,,24-31,,
0:53.0,Offensive rebound by Team,,24-31,,
0:53.0,A. Morrow misses free throw 2 of 2,,24-31,,
0:53.0,,,24-31,,Defensive rebound by G. Henderson
0:36.0,,,24-31,,Shooting foul by R. Foye (drawn by D. Lillard)
0:36.0,,,24-32,1,D. Lillard makes free throw 1 of 2
0:36.0,,,24-32,,M. Plumlee enters the game for E. Davis
0:36.0,,,24-33,1,D. Lillard makes free throw 2 of 2
0:25.0,A. Morrow makes 2-pt shot from 17 ft,2,26-33,,
0:02.0,,,26-33,,Turnover by D. Lillard (bad pass)
0:00.0,C. Payne misses 3-pt shot from 47 ft,,26-33,,
0:00.0,Offensive rebound by Team,,26-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,26-33,,Shooting foul by R. Foye (drawn by E. Davis)
11:49.0,,,26-34,1,E. Davis makes free throw 1 of 2
11:49.0,,,26-34,,E. Davis misses free throw 2 of 2
11:48.0,Defensive rebound by S. Adams,,26-34,,
11:33.0,R. Foye misses 2-pt shot from 20 ft,,26-34,,
11:32.0,Offensive rebound by S. Adams,,26-34,,
11:26.0,S. Adams makes 2-pt shot at rim (assist by C. Payne),2,28-34,,
11:14.0,,,28-34,,Turnover by C. McCollum (lost ball; steal by K. Singler)
11:10.0,Offensive charge foul by R. Foye,,28-34,,
11:10.0,Turnover by R. Foye (offensive foul),,28-34,,
11:10.0,,,28-34,,A. Aminu enters the game for B. Roberts
10:57.0,,,28-34,,G. Henderson misses 2-pt shot from 17 ft
10:57.0,,,28-34,,Offensive rebound by A. Aminu
10:52.0,,,28-34,,C. McCollum misses 3-pt shot from 26 ft
10:51.0,,,28-34,,Offensive rebound by A. Aminu
10:48.0,,,28-36,2,A. Aminu makes 2-pt shot from 2 ft
10:48.0,Oklahoma City full timeout,,28-36,,
10:48.0,E. Kanter enters the game for R. Foye,,28-36,,
10:48.0,D. Waiters enters the game for K. Singler,,28-36,,
10:32.0,Turnover by A. Morrow (lost ball; steal by G. Henderson),,28-36,,
10:32.0,,,28-36,,Turnover by C. McCollum (lost ball)
10:23.0,E. Kanter makes 2-pt shot from 18 ft (assist by C. Payne),2,30-36,,
10:01.0,,,30-36,,Turnover by G. Henderson (lost ball)
9:50.0,Shooting foul by G. Henderson (drawn by D. Waiters),,30-36,,
9:50.0,D. Waiters makes free throw 1 of 2,1,31-36,,
9:50.0,D. Waiters makes free throw 2 of 2,1,32-36,,
9:33.0,,,32-36,,E. Davis misses 2-pt shot from 4 ft
9:32.0,,,32-36,,Offensive rebound by C. McCollum
9:24.0,,,32-38,2,C. McCollum makes 2-pt shot from 15 ft
9:00.0,E. Kanter misses 2-pt shot from 6 ft,,32-38,,
8:58.0,,,32-38,,Defensive rebound by G. Henderson
8:50.0,,,32-41,3,C. McCollum makes 3-pt shot from 26 ft (assist by A. Aminu)
8:31.0,D. Waiters misses 2-pt shot from 16 ft,,32-41,,
8:30.0,,,32-41,,Defensive rebound by E. Davis
8:19.0,,,32-41,,Shooting foul by C. Payne (drawn by G. Henderson)
8:19.0,,,32-42,1,G. Henderson makes free throw 1 of 2
8:19.0,,,32-43,1,G. Henderson makes free throw 2 of 2
7:59.0,S. Adams misses 2-pt shot from 5 ft,,32-43,,
7:59.0,,,32-43,,Defensive rebound by E. Davis
7:48.0,,,32-45,2,G. Henderson makes 2-pt shot from 19 ft (assist by A. Crabbe)
7:37.0,A. Morrow misses 3-pt shot from 23 ft,,32-45,,
7:37.0,Offensive rebound by E. Kanter,,32-45,,
7:37.0,,,32-45,,Technical foul by A. Aminu
7:37.0,A. Morrow makes technical free throw,1,33-45,,
7:33.0,D. Waiters makes 2-pt shot from 16 ft (assist by C. Payne),2,35-45,,
7:24.0,Personal foul by A. Morrow,,35-45,,
7:24.0,J. Huestis enters the game for S. Adams,,35-45,,
7:16.0,,,35-47,2,A. Crabbe makes 2-pt shot from 21 ft (assist by E. Davis)
7:04.0,C. Payne makes 2-pt shot from 15 ft,2,37-47,,
6:47.0,,,37-47,,G. Henderson misses 3-pt shot from 23 ft
6:46.0,Defensive rebound by C. Payne,,37-47,,
6:36.0,C. Payne misses 2-pt shot from 9 ft,,37-47,,
6:34.0,,,37-47,,Defensive rebound by C. McCollum
6:26.0,,,37-49,2,C. McCollum makes 2-pt shot from 15 ft
6:06.0,Shooting foul by C. McCollum (drawn by E. Kanter),,37-49,,
6:06.0,E. Kanter makes free throw 1 of 2,1,38-49,,
6:06.0,,,38-49,,M. Plumlee enters the game for E. Davis
6:06.0,E. Kanter makes free throw 2 of 2,1,39-49,,
5:51.0,,,39-49,,Turnover by A. Aminu (lost ball)
5:51.0,Official timeout,,39-49,,
5:51.0,N. Collison enters the game for E. Kanter,,39-49,,
5:51.0,,,39-49,,M. Harkless enters the game for C. McCollum
5:51.0,,,39-49,,D. Lillard enters the game for G. Henderson
5:40.0,A. Morrow misses 3-pt shot from 23 ft,,39-49,,
5:39.0,,,39-49,,Defensive rebound by A. Crabbe
5:30.0,,,39-49,,Shooting foul by D. Waiters (drawn by M. Plumlee)
5:30.0,,,39-50,1,M. Plumlee makes free throw 1 of 2
5:30.0,,,39-51,1,M. Plumlee makes free throw 2 of 2
5:18.0,D. Waiters misses 2-pt shot from 2 ft,,39-51,,
5:18.0,,,39-51,,Defensive rebound by A. Aminu
5:12.0,,,39-54,3,A. Crabbe makes 3-pt shot from 26 ft (assist by A. Aminu)
5:10.0,Oklahoma City full timeout,,39-54,,
5:03.0,C. Payne makes 2-pt shot from 10 ft,2,41-54,,
4:52.0,,,41-57,3,D. Lillard makes 3-pt shot from 25 ft (assist by A. Aminu)
4:40.0,A. Morrow makes 2-pt shot from 1 ft (assist by N. Collison),2,43-57,,
4:40.0,Shooting foul by M. Harkless (drawn by A. Morrow),,43-57,,
4:40.0,A. Morrow makes free throw 1 of 1,1,44-57,,
4:26.0,,,44-59,2,M. Harkless makes 2-pt shot from 2 ft (assist by A. Aminu)
4:26.0,,,44-59,,Shooting foul by N. Collison (drawn by M. Harkless)
4:26.0,,,44-60,1,M. Harkless makes free throw 1 of 1
4:08.0,A. Morrow misses 2-pt shot from 9 ft,,44-60,,
4:06.0,,,44-60,,Defensive rebound by M. Plumlee
3:57.0,,,44-62,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
3:29.0,D. Waiters makes 3-pt shot from 24 ft (assist by N. Collison),3,47-62,,
