time,Minnesota,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. K. Towns (K. Garnett gains possession),,,,Jump ball: L. Aldridge vs. K. Towns (K. Garnett gains possession)
11:42.0,A. Wiggins misses 2-pt shot from 13 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by K. Leonard
11:30.0,,,0-0,,K. Leonard misses 2-pt shot from 15 ft
11:28.0,Defensive rebound by K. Towns,,0-0,,
11:13.0,T. Prince makes 2-pt shot from 18 ft (assist by R. Rubio),2,2-0,,
10:56.0,,,2-0,,L. Aldridge misses 2-pt shot from 17 ft
10:55.0,Defensive rebound by K. Towns,,2-0,,
10:46.0,K. Towns makes 2-pt shot from 21 ft (assist by A. Wiggins),2,4-0,,
10:26.0,,,4-0,,D. Green misses 3-pt shot from 23 ft
10:25.0,Defensive rebound by K. Garnett,,4-0,,
10:15.0,K. Garnett makes 2-pt shot from 19 ft (assist by R. Rubio),2,6-0,,
9:49.0,,,6-0,,L. Aldridge misses 2-pt shot from 2 ft (block by T. Prince)
9:48.0,,,6-0,,Offensive rebound by L. Aldridge
9:47.0,,,6-0,,L. Aldridge misses 2-pt shot from 3 ft
9:46.0,Defensive rebound by A. Wiggins,,6-0,,
9:46.0,Minnesota full timeout,,6-0,,
9:27.0,K. Garnett makes 2-pt shot from 18 ft (assist by R. Rubio),2,8-0,,
9:16.0,,,8-0,,Turnover by D. West (bad pass; steal by R. Rubio)
9:11.0,R. Rubio makes 2-pt shot at rim,2,10-0,,
9:07.0,,,10-0,,Shooting foul by R. Rubio (drawn by T. Parker)
9:07.0,,,10-0,,T. Parker misses free throw 1 of 2
9:07.0,,,10-0,,Offensive rebound by Team
9:07.0,,,10-1,1,T. Parker makes free throw 2 of 2
8:53.0,K. Towns misses 2-pt shot from 14 ft,,10-1,,
8:51.0,,,10-1,,Defensive rebound by K. Leonard
8:43.0,,,10-3,2,K. Leonard makes 2-pt shot from 6 ft
8:33.0,R. Rubio misses 2-pt shot from 3 ft (block by T. Parker),,10-3,,
8:32.0,,,10-3,,Defensive rebound by T. Parker
8:24.0,,,10-3,,D. Green misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by K. Towns,,10-3,,
8:18.0,T. Prince makes 2-pt shot from 1 ft (assist by R. Rubio),2,12-3,,
7:56.0,,,12-6,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker)
7:34.0,Shooting foul by L. Aldridge (drawn by K. Towns),,12-6,,
7:34.0,K. Towns makes free throw 1 of 2,1,13-6,,
7:34.0,K. Towns makes free throw 2 of 2,1,14-6,,
7:12.0,,,14-6,,T. Parker misses 2-pt shot from 6 ft
7:11.0,Defensive rebound by K. Garnett,,14-6,,
7:04.0,A. Wiggins makes 2-pt shot from 8 ft (assist by R. Rubio),2,16-6,,
7:04.0,,,16-6,,San Antonio full timeout
6:48.0,,,16-6,,K. Leonard misses 2-pt shot from 12 ft
6:48.0,Defensive rebound by K. Towns,,16-6,,
6:33.0,A. Wiggins makes 2-pt shot from 19 ft (assist by K. Garnett),2,18-6,,
6:13.0,,,18-8,2,D. West makes 2-pt shot from 16 ft (assist by K. Leonard)
5:52.0,K. Garnett makes 2-pt shot from 19 ft (assist by R. Rubio),2,20-8,,
5:37.0,,,20-10,2,D. West makes 2-pt shot from 16 ft (assist by K. Leonard)
5:25.0,,,20-10,,Personal foul by D. West (drawn by K. Towns)
5:25.0,,,20-10,,M. Ginobili enters the game for D. Green
5:25.0,,,20-10,,P. Mills enters the game for T. Parker
5:25.0,G. Dieng enters the game for K. Garnett,,20-10,,
5:18.0,A. Wiggins misses 2-pt shot from 7 ft,,20-10,,
5:16.0,,,20-10,,Defensive rebound by D. West
5:05.0,,,20-13,3,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Mills)
4:47.0,G. Dieng misses 2-pt shot from 5 ft,,20-13,,
4:46.0,,,20-13,,Defensive rebound by Team
4:46.0,Loose ball foul by G. Dieng (drawn by D. West),,20-13,,
4:38.0,Personal foul by T. Prince (drawn by K. Leonard),,20-13,,
4:30.0,,,20-15,2,D. West makes 2-pt shot at rim (assist by L. Aldridge)
4:10.0,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng),2,22-15,,
4:02.0,,,22-17,2,K. Leonard makes 2-pt shot from 1 ft
3:44.0,K. Towns misses 2-pt shot from 12 ft,,22-17,,
3:42.0,,,22-17,,Defensive rebound by L. Aldridge
3:36.0,,,22-17,,Turnover by L. Aldridge (bad pass; steal by K. Towns)
3:31.0,Minnesota full timeout,,22-17,,
3:31.0,,,22-17,,B. Marjanovic enters the game for D. West
3:31.0,,,22-17,,B. Diaw enters the game for L. Aldridge
3:21.0,T. Prince misses 2-pt shot from 18 ft,,22-17,,
3:20.0,Offensive rebound by G. Dieng,,22-17,,
3:18.0,G. Dieng misses 2-pt shot at rim (block by B. Marjanovic),,22-17,,
3:18.0,Jump ball: G. Dieng vs. B. Marjanovic (P. Mills gains possession),,,,Jump ball: G. Dieng vs. B. Marjanovic (P. Mills gains possession)
3:18.0,,,22-17,,Offensive rebound by Team
3:09.0,,,22-20,3,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Mills)
2:56.0,R. Rubio makes 2-pt shot from 16 ft (assist by G. Dieng),2,24-20,,
2:39.0,,,24-20,,Turnover by B. Diaw (bad pass)
2:39.0,Z. LaVine enters the game for T. Prince,,24-20,,
2:25.0,G. Dieng misses 2-pt shot from 18 ft,,24-20,,
2:24.0,,,24-20,,Defensive rebound by K. Leonard
2:09.0,,,24-22,2,B. Marjanovic makes 2-pt shot at rim (assist by B. Diaw)
1:54.0,A. Wiggins misses 2-pt shot from 11 ft,,24-22,,
1:53.0,,,24-22,,Defensive rebound by Team
1:34.0,,,24-22,,Turnover by M. Ginobili (bad pass; steal by G. Dieng)
1:24.0,R. Rubio misses 2-pt shot from 17 ft,,24-22,,
1:22.0,,,24-22,,Defensive rebound by Team
1:22.0,A. Payne enters the game for K. Towns,,24-22,,
1:08.0,,,24-24,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by P. Mills)
0:48.0,A. Payne misses 3-pt shot from 23 ft,,24-24,,
0:45.0,,,24-24,,Defensive rebound by B. Marjanovic
0:45.0,,,24-24,,Turnover by B. Marjanovic (lost ball; steal by A. Wiggins)
0:41.0,Z. LaVine makes 2-pt shot at rim,2,26-24,,
0:41.0,Shooting foul by K. Leonard (drawn by Z. LaVine),,26-24,,
0:41.0,T. Jones enters the game for R. Rubio,,26-24,,
0:41.0,Z. LaVine makes free throw 1 of 1,1,27-24,,
0:32.0,,,27-24,,Turnover by Team (back court)
0:15.0,G. Dieng misses 2-pt shot at rim,,27-24,,
0:11.0,,,27-24,,Defensive rebound by M. Ginobili
0:08.0,Personal take foul by Z. LaVine (drawn by M. Ginobili),,27-24,,
0:08.0,S. Muhammad enters the game for A. Wiggins,,27-24,,
0:02.0,,,27-26,2,P. Mills makes 2-pt shot from 1 ft (assist by M. Ginobili)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,27-26,,M. Ginobili misses 2-pt shot from 2 ft
11:38.0,,,27-26,,Offensive rebound by B. Marjanovic
11:38.0,,,27-28,2,B. Marjanovic makes 2-pt shot at rim
