time,Miami,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: K. Towns vs. H. Whiteside (G. Dragic gains possession)
11:39.0,C. Bosh misses 2-pt shot from 1 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by R. Rubio
11:31.0,,,0-3,3,A. Wiggins makes 3-pt shot from 24 ft (assist by R. Rubio)
11:11.0,D. Wade misses 2-pt shot from 13 ft,,0-3,,
11:10.0,,,0-3,,Defensive rebound by K. Garnett
10:59.0,,,0-3,,A. Wiggins misses 2-pt shot from 8 ft
10:58.0,Defensive rebound by C. Bosh,,0-3,,
10:40.0,D. Wade misses 2-pt shot from 17 ft,,0-3,,
10:39.0,,,0-3,,Defensive rebound by K. Garnett
10:29.0,,,0-3,,K. Towns misses 2-pt shot from 2 ft (block by H. Whiteside)
10:29.0,,,0-3,,Offensive rebound by Team
10:26.0,,,0-5,2,K. Towns makes 2-pt shot from 18 ft (assist by K. Garnett)
10:05.0,G. Dragic misses 2-pt shot from 23 ft,,0-5,,
10:04.0,,,0-5,,Defensive rebound by Team
9:46.0,,,0-5,,K. Towns misses 2-pt shot from 20 ft
9:45.0,Defensive rebound by C. Bosh,,0-5,,
9:34.0,Shooting foul by K. Towns (drawn by H. Whiteside),,0-5,,
9:34.0,H. Whiteside makes free throw 1 of 2,1,1-5,,
9:34.0,H. Whiteside makes free throw 2 of 2,1,2-5,,
9:18.0,,,2-5,,K. Towns misses 2-pt shot from 5 ft
9:18.0,Defensive rebound by C. Bosh,,2-5,,
9:02.0,H. Whiteside misses 2-pt shot from 1 ft (block by K. Towns),,2-5,,
9:00.0,,,2-5,,Defensive rebound by K. Garnett
8:51.0,,,2-7,2,R. Rubio makes 2-pt shot from 19 ft
8:35.0,G. Dragic misses 2-pt shot from 2 ft,,2-7,,
8:34.0,,,2-7,,Defensive rebound by T. Prince
8:28.0,,,2-7,,A. Wiggins misses 2-pt shot from 1 ft
8:27.0,Defensive rebound by H. Whiteside,,2-7,,
8:14.0,L. Deng makes 2-pt shot from 20 ft,2,4-7,,
7:59.0,,,4-7,,R. Rubio misses 2-pt shot from 19 ft
7:58.0,Defensive rebound by G. Dragic,,4-7,,
7:55.0,Turnover by G. Dragic (bad pass),,4-7,,
7:39.0,,,4-7,,A. Wiggins misses 2-pt shot from 16 ft
7:38.0,Defensive rebound by C. Bosh,,4-7,,
7:30.0,Turnover by C. Bosh (bad pass; steal by R. Rubio),,4-7,,
7:26.0,,,4-9,2,R. Rubio makes 2-pt shot from 1 ft
7:05.0,G. Dragic makes 2-pt shot from 17 ft (assist by C. Bosh),2,6-9,,
6:38.0,,,6-9,,K. Towns misses 2-pt shot from 13 ft
6:37.0,Defensive rebound by C. Bosh,,6-9,,
6:26.0,L. Deng makes 2-pt shot from 17 ft (assist by G. Dragic),2,8-9,,
6:23.0,,,8-9,,Minnesota full timeout
6:23.0,,,8-9,,N. Bjelica enters the game for K. Garnett
6:17.0,,,8-9,,T. Prince misses 2-pt shot from 5 ft
6:16.0,Defensive rebound by H. Whiteside,,8-9,,
6:03.0,H. Whiteside makes 2-pt shot from 5 ft (assist by G. Dragic),2,10-9,,
5:49.0,,,10-9,,A. Wiggins misses 2-pt shot from 18 ft (block by L. Deng)
