time,Toronto,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Valanciunas (I. Thomas gains possession),,,,Jump ball: A. Johnson vs. J. Valanciunas (I. Thomas gains possession)
11:40.0,,,0-0,,J. Sullinger misses 2-pt shot from 3 ft (block by L. Scola)
11:38.0,Defensive rebound by C. Joseph,,0-0,,
11:29.0,C. Joseph misses 2-pt shot from 12 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by J. Sullinger
11:20.0,,,0-2,2,I. Thomas makes 2-pt shot from 10 ft
11:01.0,D. DeRozan makes 2-pt shot from 20 ft (assist by N. Powell),2,2-2,,
10:47.0,,,2-2,,J. Sullinger misses 2-pt shot from 1 ft (block by J. Valanciunas)
10:45.0,Defensive rebound by C. Joseph,,2-2,,
10:28.0,D. DeRozan misses 2-pt shot from 16 ft (block by E. Turner),,2-2,,
10:27.0,,,2-2,,Defensive rebound by Team
10:07.0,,,2-5,3,I. Thomas makes 3-pt shot from 24 ft (assist by A. Johnson)
9:43.0,N. Powell makes 2-pt shot from 15 ft,2,4-5,,
9:27.0,,,4-7,2,I. Thomas makes 2-pt shot from 4 ft
9:17.0,L. Scola makes 3-pt shot from 24 ft (assist by C. Joseph),3,7-7,,
8:59.0,,,7-7,,Shooting foul by L. Scola (drawn by A. Johnson)
8:59.0,,,7-8,1,A. Johnson makes free throw 1 of 2
8:59.0,,,7-8,,A. Johnson misses free throw 2 of 2
8:58.0,Defensive rebound by J. Valanciunas,,7-8,,
8:47.0,D. DeRozan misses 2-pt shot from 13 ft,,7-8,,
8:43.0,Offensive rebound by J. Valanciunas,,7-8,,
8:43.0,J. Valanciunas misses 2-pt shot from 1 ft,,7-8,,
8:42.0,,,7-8,,Defensive rebound by J. Sullinger
8:35.0,,,7-10,2,J. Sullinger makes 2-pt shot from 18 ft (assist by A. Bradley)
8:12.0,J. Valanciunas misses 2-pt shot from 7 ft,,7-10,,
8:12.0,,,7-10,,Defensive rebound by A. Johnson
8:02.0,,,7-10,,Turnover by A. Bradley (lost ball; steal by D. DeRozan)
7:58.0,D. DeRozan makes 2-pt shot from 2 ft,2,9-10,,
7:58.0,Shooting foul by J. Sullinger (drawn by D. DeRozan),,9-10,,
7:58.0,D. DeRozan makes free throw 1 of 1,1,10-10,,
7:46.0,,,10-12,2,A. Bradley makes 2-pt shot at rim (assist by E. Turner)
7:19.0,C. Joseph makes 2-pt shot from 2 ft,2,12-12,,
7:02.0,,,12-15,3,J. Sullinger makes 3-pt shot from 24 ft (assist by A. Bradley)
6:38.0,L. Scola makes 3-pt shot from 24 ft (assist by N. Powell),3,15-15,,
6:31.0,,,15-15,,Turnover by E. Turner (lost ball; steal by J. Valanciunas)
6:25.0,Turnover by N. Powell (traveling),,15-15,,
6:07.0,,,15-15,,A. Bradley misses 2-pt shot from 18 ft
6:06.0,Defensive rebound by J. Valanciunas,,15-15,,
5:51.0,J. Valanciunas misses 2-pt shot at rim,,15-15,,
5:50.0,,,15-15,,Defensive rebound by J. Sullinger
5:44.0,,,15-17,2,I. Thomas makes 2-pt shot from 3 ft (assist by J. Sullinger)
5:38.0,Toronto full timeout,,15-17,,
5:38.0,,,15-17,,M. Smart enters the game for J. Sullinger
5:38.0,,,15-17,,K. Olynyk enters the game for A. Bradley
5:19.0,C. Joseph makes 2-pt shot from 20 ft (assist by D. DeRozan),2,17-17,,
5:04.0,,,17-19,2,A. Johnson makes 2-pt shot from 2 ft
4:54.0,N. Powell misses 3-pt shot from 23 ft,,17-19,,
4:52.0,Offensive rebound by J. Valanciunas,,17-19,,
4:51.0,J. Valanciunas makes 2-pt shot at rim,2,19-19,,
4:33.0,,,19-19,,M. Smart misses 2-pt shot from 20 ft
4:32.0,Defensive rebound by C. Joseph,,19-19,,
