time,Sacramento,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. D. Cousins (M. Conley gains possession),,,,Jump ball: C. Andersen vs. D. Cousins (M. Conley gains possession)
11:38.0,,,0-2,2,P. Hairston makes 2-pt shot from 2 ft
11:25.0,O. Casspi misses 2-pt shot from 6 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by Z. Randolph
11:09.0,,,0-2,,M. Barnes misses 2-pt shot from 3 ft
11:05.0,Defensive rebound by O. Casspi,,0-2,,
11:01.0,O. Casspi makes 2-pt shot from 2 ft (assist by R. Rondo),2,2-2,,
10:50.0,,,2-2,,Shooting foul by Q. Acy (drawn by C. Andersen)
10:50.0,,,2-3,1,C. Andersen makes free throw 1 of 2
10:50.0,,,2-4,1,C. Andersen makes free throw 2 of 2
10:37.0,B. McLemore makes 2-pt shot from 15 ft (assist by R. Rondo),2,4-4,,
10:23.0,,,4-4,,P. Hairston misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by D. Cousins,,4-4,,
10:05.0,Q. Acy misses 3-pt shot from 22 ft,,4-4,,
10:04.0,Offensive rebound by D. Cousins,,4-4,,
10:04.0,D. Cousins misses 2-pt shot from 2 ft,,4-4,,
10:03.0,Offensive rebound by D. Cousins,,4-4,,
10:03.0,D. Cousins misses 2-pt shot from 2 ft,,4-4,,
10:03.0,Offensive rebound by D. Cousins,,4-4,,
10:03.0,Shooting foul by P. Hairston (drawn by D. Cousins),,4-4,,
10:03.0,D. Cousins makes free throw 1 of 2,1,5-4,,
10:03.0,D. Cousins misses free throw 2 of 2,,5-4,,
10:02.0,,,5-4,,Defensive rebound by Z. Randolph
9:39.0,,,5-4,,Turnover by Team (shot clock)
9:20.0,R. Rondo misses 3-pt shot from 24 ft,,5-4,,
9:20.0,,,5-4,,Defensive rebound by P. Hairston
9:11.0,,,5-4,,M. Barnes misses 3-pt shot from 24 ft
9:10.0,Defensive rebound by D. Cousins,,5-4,,
8:52.0,B. McLemore misses 3-pt shot from 23 ft,,5-4,,
8:51.0,Offensive rebound by Q. Acy,,5-4,,
8:33.0,R. Rondo misses 2-pt shot from 2 ft (block by M. Conley),,5-4,,
8:33.0,Offensive rebound by Team,,5-4,,
8:29.0,B. McLemore makes 2-pt shot from 19 ft (assist by R. Rondo),2,7-4,,
8:13.0,,,7-4,,M. Barnes misses 2-pt shot from 3 ft (block by D. Cousins)
8:10.0,,,7-4,,Offensive rebound by Z. Randolph
8:10.0,,,7-4,,Z. Randolph misses 2-pt shot from 3 ft
8:07.0,,,7-4,,Offensive rebound by Z. Randolph
8:07.0,,,7-6,2,Z. Randolph makes 2-pt shot from 1 ft
7:52.0,Turnover by O. Casspi (bad pass),,7-6,,
7:40.0,,,7-8,2,M. Conley makes 2-pt shot from 2 ft
7:25.0,Shooting foul by C. Andersen (drawn by O. Casspi),,7-8,,
7:25.0,O. Casspi makes free throw 1 of 2,1,8-8,,
7:25.0,O. Casspi makes free throw 2 of 2,1,9-8,,
7:05.0,,,9-8,,Turnover by C. Andersen (offensive goaltending)
6:56.0,Offensive foul by Q. Acy,,9-8,,
6:56.0,Turnover by Q. Acy (offensive foul),,9-8,,
6:56.0,W. Cauley-Stein enters the game for Q. Acy,,9-8,,
6:35.0,,,9-10,2,M. Barnes makes 2-pt shot from 2 ft (assist by M. Conley)
6:24.0,O. Casspi misses 3-pt shot from 22 ft,,9-10,,
6:23.0,,,9-10,,Defensive rebound by C. Andersen
6:19.0,Personal foul by D. Cousins (drawn by Z. Randolph),,9-10,,
6:09.0,,,9-10,,Shooting foul by D. Cousins (drawn by Z. Randolph)
6:09.0,,,9-11,1,Z. Randolph makes free throw 1 of 2
6:09.0,K. Koufos enters the game for D. Cousins,,9-11,,
6:09.0,,,9-12,1,Z. Randolph makes free throw 2 of 2
5:56.0,R. Rondo misses 2-pt shot from 2 ft (block by P. Hairston),,9-12,,
5:54.0,Offensive rebound by R. Rondo,,9-12,,
5:54.0,R. Rondo makes 2-pt shot from 1 ft,2,11-12,,
5:37.0,,,11-12,,Z. Randolph misses 2-pt shot from 21 ft
5:35.0,,,11-12,,Offensive rebound by P. Hairston
5:35.0,,,11-14,2,P. Hairston makes 2-pt shot at rim
5:13.0,Turnover by R. Rondo (bad pass; steal by M. Conley),,11-14,,
5:04.0,,,11-16,2,C. Andersen makes 2-pt shot at rim (assist by M. Conley)
5:02.0,Sacramento full timeout,,11-16,,
5:02.0,,,11-16,,J. Green enters the game for C. Andersen
5:02.0,M. Belinelli enters the game for B. McLemore,,11-16,,
4:50.0,Turnover by R. Rondo (bad pass),,11-16,,
4:37.0,,,11-16,,M. Barnes misses 3-pt shot from 25 ft
4:36.0,Defensive rebound by O. Casspi,,11-16,,
4:25.0,K. Koufos misses 2-pt shot from 4 ft,,11-16,,
4:22.0,,,11-16,,Defensive rebound by M. Barnes
4:17.0,,,11-19,3,M. Conley makes 3-pt shot from 24 ft (assist by M. Barnes)
4:09.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo),2,13-19,,
3:47.0,,,13-19,,Z. Randolph misses 2-pt shot from 5 ft
3:46.0,Defensive rebound by O. Casspi,,13-19,,
3:38.0,R. Rondo misses 2-pt shot from 5 ft,,13-19,,
3:38.0,,,13-19,,Defensive rebound by J. Green
3:34.0,,,13-19,,Shooting foul by O. Casspi (drawn by P. Hairston)
3:34.0,,,13-20,1,P. Hairston makes free throw 1 of 2
3:34.0,D. Collison enters the game for O. Casspi,,13-20,,
3:34.0,,,13-20,,M. Chalmers enters the game for M. Conley
3:34.0,,,13-20,,V. Carter enters the game for M. Barnes
3:34.0,,,13-21,1,P. Hairston makes free throw 2 of 2
3:22.0,M. Belinelli misses 2-pt shot from 21 ft,,13-21,,
3:20.0,Offensive rebound by K. Koufos,,13-21,,
3:17.0,D. Collison makes 3-pt shot from 23 ft (assist by K. Koufos),3,16-21,,
3:01.0,,,16-21,,J. Green misses 2-pt shot from 4 ft
2:59.0,,,16-21,,Offensive rebound by Z. Randolph
2:57.0,,,16-21,,Z. Randolph misses 2-pt shot from 4 ft
2:55.0,Defensive rebound by R. Rondo,,16-21,,
2:50.0,D. Collison makes 3-pt shot from 22 ft (assist by R. Rondo),3,19-21,,
2:44.0,,,19-21,,Memphis full timeout
2:44.0,,,19-21,,L. Stephenson enters the game for P. Hairston
2:40.0,,,19-23,2,M. Chalmers makes 2-pt shot from 2 ft (assist by Z. Randolph)
2:21.0,W. Cauley-Stein makes 2-pt shot at rim (assist by M. Belinelli),2,21-23,,
2:01.0,,,21-25,2,L. Stephenson makes 2-pt shot from 18 ft
1:46.0,M. Belinelli misses 3-pt shot from 26 ft,,21-25,,
1:45.0,Offensive rebound by R. Rondo,,21-25,,
1:42.0,D. Collison makes 2-pt shot from 18 ft (assist by R. Rondo),2,23-25,,
1:25.0,,,23-25,,V. Carter misses 2-pt shot from 3 ft
1:23.0,,,23-25,,Offensive rebound by V. Carter
1:12.0,,,23-25,,L. Stephenson misses 3-pt shot from 24 ft
1:11.0,Defensive rebound by K. Koufos,,23-25,,
1:11.0,,,23-25,,Personal foul by Z. Randolph (drawn by W. Cauley-Stein)
1:01.0,Turnover by D. Collison (lost ball; steal by M. Chalmers),,23-25,,
0:57.0,,,23-27,2,M. Chalmers makes 2-pt shot from 1 ft (assist by V. Carter)
0:47.0,W. Cauley-Stein makes 2-pt shot from 14 ft (assist by M. Belinelli),2,25-27,,
0:36.0,,,25-27,,Z. Randolph misses 2-pt shot from 4 ft
0:35.0,,,25-27,,Offensive rebound by Z. Randolph
0:35.0,,,25-27,,Shooting foul by K. Koufos (drawn by Z. Randolph)
0:35.0,,,25-28,1,Z. Randolph makes free throw 1 of 2
0:35.0,,,25-29,1,Z. Randolph makes free throw 2 of 2
0:27.0,D. Collison makes 3-pt shot from 24 ft (assist by M. Belinelli),3,28-29,,
0:04.0,,,28-31,2,L. Stephenson makes 2-pt shot from 3 ft (assist by M. Chalmers)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,M. Belinelli misses 2-pt shot from 17 ft,,28-31,,
11:47.0,,,28-31,,Defensive rebound by J. Martin
11:31.0,,,28-31,,V. Carter misses 2-pt shot from 4 ft
11:29.0,,,28-31,,Offensive rebound by J. Martin
11:25.0,,,28-31,,V. Carter misses 3-pt shot from 22 ft
11:24.0,Defensive rebound by J. Anderson,,28-31,,
11:00.0,K. Koufos misses 2-pt shot from 6 ft,,28-31,,
10:59.0,,,28-31,,Defensive rebound by J. Martin
10:54.0,Personal foul by W. Cauley-Stein (drawn by L. Stephenson),,28-31,,
10:54.0,D. Cousins enters the game for W. Cauley-Stein,,28-31,,
10:48.0,,,28-31,,V. Carter misses 2-pt shot from 1 ft
10:45.0,,,28-31,,Offensive rebound by J. Green
10:45.0,,,28-33,2,J. Green makes 2-pt shot at rim
10:24.0,M. Belinelli misses 3-pt shot from 23 ft,,28-33,,
10:23.0,,,28-33,,Defensive rebound by L. Stephenson
10:11.0,,,28-33,,L. Stephenson misses 2-pt shot from 7 ft
10:09.0,Defensive rebound by M. Belinelli,,28-33,,
10:00.0,,,28-33,,Personal foul by L. Stephenson (drawn by M. Belinelli)
9:47.0,Turnover by D. Collison (bad pass),,28-33,,
9:35.0,,,28-35,2,J. Green makes 2-pt shot from 3 ft (assist by M. Chalmers)
9:35.0,,,28-35,,Shooting foul by K. Koufos (drawn by J. Green)
9:35.0,,,28-36,1,J. Green makes free throw 1 of 1
9:21.0,D. Cousins misses 2-pt shot from 1 ft,,28-36,,
9:20.0,Offensive rebound by K. Koufos,,28-36,,
9:11.0,K. Koufos misses 2-pt shot from 8 ft,,28-36,,
9:09.0,,,28-36,,Defensive rebound by J. Martin
8:59.0,,,28-36,,V. Carter misses 3-pt shot from 24 ft
8:57.0,,,28-36,,Offensive rebound by L. Stephenson
8:50.0,,,28-36,,L. Stephenson misses 2-pt shot from 3 ft
8:50.0,Defensive rebound by Team,,28-36,,
8:50.0,Sacramento full timeout,,28-36,,
8:50.0,Q. Acy enters the game for K. Koufos,,28-36,,
8:50.0,B. McLemore enters the game for M. Belinelli,,28-36,,
8:25.0,B. McLemore misses 2-pt shot from 21 ft,,28-36,,
8:24.0,,,28-36,,Defensive rebound by L. Stephenson
8:20.0,,,28-38,2,V. Carter makes 2-pt shot at rim (assist by L. Stephenson)
8:07.0,Turnover by B. McLemore (lost ball; steal by V. Carter),,28-38,,
7:55.0,,,28-40,2,M. Chalmers makes 2-pt shot from 1 ft
7:49.0,Offensive charge foul by D. Collison,,28-40,,
7:49.0,Turnover by D. Collison (offensive foul),,28-40,,
7:49.0,,,28-40,,C. Andersen enters the game for J. Green
7:49.0,R. Rondo enters the game for J. Anderson,,28-40,,
7:34.0,,,28-40,,Offensive charge foul by V. Carter
7:34.0,,,28-40,,Turnover by V. Carter (offensive foul)
7:24.0,Shooting foul by M. Chalmers (drawn by R. Rondo),,28-40,,
7:24.0,R. Rondo misses free throw 1 of 2,,28-40,,
7:24.0,Offensive rebound by Team,,28-40,,
7:24.0,,,28-40,,M. Conley enters the game for V. Carter
7:24.0,R. Rondo misses free throw 2 of 2,,28-40,,
7:22.0,Offensive rebound by Team,,28-40,,
7:19.0,B. McLemore misses 3-pt shot from 23 ft,,28-40,,
7:18.0,,,28-40,,Defensive rebound by J. Martin
7:00.0,,,28-40,,M. Conley misses 2-pt shot from 7 ft
7:00.0,,,28-40,,Offensive rebound by J. Martin
7:00.0,,,28-42,2,J. Martin makes 2-pt shot from 1 ft
6:39.0,R. Rondo misses 2-pt shot from 2 ft (block by J. Martin),,28-42,,
6:37.0,Offensive rebound by R. Rondo,,28-42,,
6:36.0,,,28-42,,Personal foul by M. Chalmers (drawn by B. McLemore)
6:36.0,O. Casspi enters the game for D. Collison,,28-42,,
6:25.0,Turnover by D. Cousins (bad pass; steal by L. Stephenson),,28-42,,
6:22.0,,,28-42,,Shooting foul by B. McLemore (drawn by M. Conley)
6:22.0,,,28-44,2,M. Conley makes 2-pt shot from 1 ft (assist by L. Stephenson)
6:22.0,Sacramento full timeout,,28-44,,
6:22.0,,,28-44,,Z. Randolph enters the game for J. Martin
6:22.0,,,28-44,,M. Conley misses free throw 1 of 1
6:21.0,Defensive rebound by Q. Acy,,28-44,,
6:04.0,B. McLemore misses 3-pt shot from 24 ft,,28-44,,
6:04.0,,,28-44,,Defensive rebound by Team
6:04.0,Loose ball foul by R. Rondo (drawn by M. Conley),,28-44,,
5:52.0,,,28-44,,M. Chalmers misses 2-pt shot from 1 ft (block by B. McLemore)
5:51.0,Defensive rebound by O. Casspi,,28-44,,
5:43.0,O. Casspi makes 2-pt shot from 1 ft (assist by R. Rondo),2,30-44,,
5:26.0,,,30-44,,Shooting foul by B. McLemore (drawn by C. Andersen)
5:26.0,,,30-44,,C. Andersen misses free throw 1 of 2
5:26.0,,,30-44,,Offensive rebound by Team
5:26.0,,,30-45,1,C. Andersen makes free throw 2 of 2
5:11.0,Q. Acy makes 2-pt shot at rim (assist by D. Cousins),2,32-45,,
4:50.0,,,32-47,2,M. Conley makes 2-pt shot from 2 ft
4:39.0,D. Cousins misses 2-pt shot from 1 ft,,32-47,,
4:38.0,Offensive rebound by D. Cousins,,32-47,,
4:38.0,D. Cousins misses 2-pt shot from 1 ft,,32-47,,
4:37.0,Offensive rebound by D. Cousins,,32-47,,
4:37.0,D. Cousins makes 2-pt shot from 1 ft,2,34-47,,
4:29.0,,,34-49,2,L. Stephenson makes 2-pt shot from 1 ft
4:29.0,,,34-49,,Shooting foul by Q. Acy (drawn by L. Stephenson)
4:29.0,,,34-49,,M. Barnes enters the game for M. Chalmers
4:29.0,D. Collison enters the game for B. McLemore,,34-49,,
4:29.0,,,34-50,1,L. Stephenson makes free throw 1 of 1
4:11.0,O. Casspi misses 3-pt shot from 23 ft,,34-50,,
4:10.0,,,34-50,,Defensive rebound by Z. Randolph
4:08.0,,,34-50,,Turnover by L. Stephenson (bad pass)
4:08.0,,,34-50,,P. Hairston enters the game for L. Stephenson
3:57.0,,,34-50,,Personal foul by Z. Randolph (drawn by R. Rondo)
3:47.0,D. Collison misses 2-pt shot from 18 ft,,34-50,,
3:45.0,,,34-50,,Defensive rebound by M. Conley
3:39.0,,,34-50,,M. Conley misses 2-pt shot from 19 ft
3:37.0,,,34-50,,Offensive rebound by C. Andersen
3:37.0,,,34-50,,C. Andersen misses 2-pt shot from 1 ft
3:37.0,Defensive rebound by R. Rondo,,34-50,,
3:35.0,,,34-50,,Personal foul by M. Conley (drawn by Q. Acy)
3:35.0,Q. Acy misses free throw 1 of 2,,34-50,,
3:35.0,Offensive rebound by Team,,34-50,,
3:35.0,Turnover by D. Cousins (lane violation.),,34-50,,
3:21.0,,,34-52,2,Z. Randolph makes 2-pt shot from 16 ft (assist by P. Hairston)
3:09.0,Turnover by D. Cousins (lost ball; steal by C. Andersen),,34-52,,
3:04.0,,,34-52,,Memphis full timeout
3:04.0,W. Cauley-Stein enters the game for Q. Acy,,34-52,,
3:04.0,,,34-52,,J. Green enters the game for C. Andersen
2:51.0,,,34-54,2,J. Green makes 2-pt shot from 4 ft (assist by M. Conley)
2:25.0,Shooting foul by M. Barnes (drawn by O. Casspi),,34-54,,
2:25.0,O. Casspi misses free throw 1 of 2,,34-54,,
2:25.0,Offensive rebound by Team,,34-54,,
2:25.0,O. Casspi makes free throw 2 of 2,1,35-54,,
2:08.0,,,35-56,2,J. Green makes 2-pt shot at rim (assist by M. Conley)
1:55.0,O. Casspi makes 3-pt shot from 23 ft (assist by D. Cousins),3,38-56,,
1:44.0,,,38-56,,Turnover by M. Conley (bad pass)
1:32.0,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by D. Cousins),2,40-56,,
1:18.0,,,40-56,,Shooting foul by D. Cousins (drawn by Z. Randolph)
1:18.0,,,40-57,1,Z. Randolph makes free throw 1 of 2
1:18.0,K. Koufos enters the game for D. Cousins,,40-57,,
1:18.0,,,40-58,1,Z. Randolph makes free throw 2 of 2
1:04.0,K. Koufos makes 2-pt shot from 3 ft (assist by O. Casspi),2,42-58,,
0:41.0,,,42-58,,P. Hairston misses 2-pt shot from 4 ft
0:39.0,Defensive rebound by R. Rondo,,42-58,,
0:37.0,Turnover by R. Rondo (lost ball; steal by J. Green),,42-58,,
0:32.0,,,42-58,,P. Hairston misses 2-pt shot at rim
0:31.0,Defensive rebound by Team,,42-58,,
0:25.0,Shooting foul by J. Green (drawn by D. Collison),,42-58,,
0:25.0,D. Collison misses free throw 1 of 2,,42-58,,
0:25.0,Offensive rebound by Team,,42-58,,
0:25.0,J. Anderson enters the game for R. Rondo,,42-58,,
0:25.0,,,42-58,,M. Chalmers enters the game for P. Hairston
0:25.0,D. Collison makes free throw 2 of 2,1,43-58,,
0:04.0,Personal foul by O. Casspi (drawn by J. Green),,43-58,,
0:04.0,,,43-58,,J. Green misses free throw 1 of 2
0:04.0,,,43-58,,Offensive rebound by Team
0:04.0,R. Rondo enters the game for W. Cauley-Stein,,43-58,,
0:04.0,,,43-58,,P. Hairston enters the game for Z. Randolph
0:04.0,,,43-59,1,J. Green makes free throw 2 of 2
0:01.0,D. Collison misses 3-pt shot from 25 ft,,43-59,,
0:00.0,Offensive rebound by Team,,43-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,R. Rondo makes 2-pt shot from 2 ft (assist by D. Cousins),2,45-59,,
11:23.0,,,45-59,,C. Andersen misses 2-pt shot from 3 ft
11:20.0,Defensive rebound by D. Cousins,,45-59,,
