time,Boston,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,,,0-0,,C. Anthony misses 2-pt shot from 13 ft
12:00.0,Jump ball: A. Johnson vs. R. Lopez (K. Porzingis gains possession),,,,Jump ball: A. Johnson vs. R. Lopez (K. Porzingis gains possession)
11:43.0,Defensive rebound by J. Crowder,,0-0,,
11:31.0,J. Crowder misses 3-pt shot from 24 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by C. Anthony
11:13.0,,,0-0,,K. Porzingis misses 2-pt shot from 17 ft
11:11.0,,,0-0,,Offensive rebound by R. Lopez
11:11.0,,,0-2,2,R. Lopez makes 2-pt shot at rim
10:57.0,I. Thomas misses 3-pt shot from 25 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by C. Anthony
10:46.0,,,0-4,2,A. Afflalo makes 2-pt shot at rim
10:29.0,J. Crowder misses 3-pt shot from 24 ft,,0-4,,
10:27.0,,,0-4,,Defensive rebound by L. Galloway
10:19.0,,,0-6,2,A. Afflalo makes 2-pt shot from 14 ft
10:00.0,Shooting foul by R. Lopez (drawn by A. Johnson),,0-6,,
10:00.0,A. Johnson misses free throw 1 of 2,,0-6,,
10:00.0,Offensive rebound by Team,,0-6,,
10:00.0,A. Johnson misses free throw 2 of 2,,0-6,,
9:59.0,,,0-6,,Defensive rebound by C. Anthony
9:45.0,,,0-6,,Turnover by K. Porzingis (bad pass; steal by J. Sullinger)
9:33.0,I. Thomas misses 3-pt shot from 23 ft,,0-6,,
9:31.0,,,0-6,,Defensive rebound by L. Galloway
9:25.0,,,0-9,3,A. Afflalo makes 3-pt shot from 25 ft (assist by C. Anthony)
9:24.0,Boston full timeout,,0-9,,
9:04.0,I. Thomas makes 2-pt shot from 6 ft,2,2-9,,
8:51.0,,,2-9,,A. Afflalo misses 2-pt shot from 9 ft
8:49.0,Defensive rebound by A. Johnson,,2-9,,
8:38.0,A. Bradley misses 3-pt shot from 24 ft,,2-9,,
8:36.0,,,2-9,,Defensive rebound by L. Galloway
8:20.0,,,2-9,,R. Lopez misses 2-pt shot from 1 ft
8:19.0,,,2-9,,Offensive rebound by R. Lopez
8:19.0,,,2-9,,R. Lopez misses 2-pt shot from 1 ft
8:17.0,Defensive rebound by I. Thomas,,2-9,,
8:02.0,J. Sullinger misses 2-pt shot from 7 ft,,2-9,,
8:00.0,,,2-9,,Defensive rebound by C. Anthony
7:40.0,,,2-9,,L. Galloway misses 2-pt shot from 14 ft
7:39.0,,,2-9,,Offensive rebound by R. Lopez
7:39.0,Personal foul by I. Thomas (drawn by R. Lopez),,2-9,,
7:39.0,K. Olynyk enters the game for A. Johnson,,2-9,,
7:27.0,,,2-9,,Flagrant foul type 1 by C. Anthony (drawn by J. Crowder)
7:27.0,,,2-9,,Turnover by C. Anthony (offensive foul)
7:27.0,,,2-9,,Technical foul by Team
7:27.0,I. Thomas makes technical free throw,1,3-9,,
7:27.0,J. Crowder makes flagrant free throw 1 of 2,1,4-9,,
7:27.0,J. Crowder makes flagrant free throw 2 of 2,1,5-9,,
7:18.0,J. Crowder makes 2-pt shot from 17 ft (assist by I. Thomas),2,7-9,,
6:54.0,,,7-9,,K. Porzingis misses 2-pt shot from 8 ft
6:52.0,Defensive rebound by K. Olynyk,,7-9,,
6:40.0,J. Sullinger makes 2-pt shot from 15 ft,2,9-9,,
6:24.0,,,9-9,,Shooting foul by J. Crowder (drawn by C. Anthony)
6:24.0,,,9-10,1,C. Anthony makes free throw 1 of 2
6:24.0,,,9-10,,C. Anthony misses free throw 2 of 2
6:23.0,Defensive rebound by J. Crowder,,9-10,,
6:11.0,I. Thomas makes 2-pt shot from 10 ft,2,11-10,,
5:59.0,,,11-10,,C. Anthony misses 3-pt shot from 24 ft
5:57.0,,,11-10,,Offensive rebound by R. Lopez
5:46.0,,,11-12,2,A. Afflalo makes 2-pt shot from 14 ft
5:36.0,,,11-12,,Personal foul by C. Anthony (drawn by J. Crowder)
5:36.0,,,11-12,,L. Thomas enters the game for C. Anthony
5:26.0,I. Thomas misses 2-pt shot from 18 ft,,11-12,,
5:24.0,,,11-12,,Defensive rebound by K. Porzingis
5:21.0,,,11-14,2,R. Lopez makes 2-pt shot at rim (assist by L. Galloway)
5:07.0,A. Bradley makes 2-pt shot from 9 ft (assist by J. Sullinger),2,13-14,,
4:54.0,Personal foul by K. Olynyk (drawn by K. Porzingis),,13-14,,
4:54.0,E. Turner enters the game for J. Sullinger,,13-14,,
4:54.0,M. Smart enters the game for I. Thomas,,13-14,,
4:39.0,,,13-14,,Turnover by Team (shot clock)
4:39.0,,,13-14,,D. Williams enters the game for R. Lopez
4:31.0,Shooting foul by D. Williams (drawn by E. Turner),,13-14,,
4:31.0,E. Turner makes free throw 1 of 2,1,14-14,,
4:31.0,E. Turner makes free throw 2 of 2,1,15-14,,
4:16.0,Personal foul by K. Olynyk (drawn by K. Porzingis),,15-14,,
4:06.0,,,15-14,,Turnover by L. Thomas (lost ball; steal by E. Turner)
3:58.0,E. Turner misses 2-pt shot from 17 ft,,15-14,,
3:56.0,,,15-14,,Defensive rebound by L. Galloway
3:49.0,,,15-14,,Offensive foul by K. Porzingis
3:49.0,,,15-14,,Turnover by K. Porzingis (offensive foul)
3:33.0,M. Smart misses 3-pt shot from 26 ft,,15-14,,
3:33.0,,,15-14,,Defensive rebound by Team
3:33.0,Personal foul by K. Olynyk (drawn by K. Porzingis),,15-14,,
3:33.0,,,15-15,1,K. Porzingis makes free throw 1 of 2
3:33.0,,,15-16,1,K. Porzingis makes free throw 2 of 2
3:22.0,A. Bradley misses 2-pt shot from 2 ft (block by K. Porzingis),,15-16,,
3:19.0,,,15-16,,Defensive rebound by D. Williams
3:09.0,,,15-18,2,D. Williams makes 2-pt shot from 1 ft
2:55.0,K. Olynyk misses 3-pt shot from 23 ft,,15-18,,
2:53.0,,,15-18,,Defensive rebound by A. Afflalo
2:43.0,,,15-18,,K. Porzingis misses 2-pt shot from 17 ft
2:41.0,Defensive rebound by A. Bradley,,15-18,,
2:34.0,A. Bradley misses 2-pt shot at rim,,15-18,,
2:33.0,,,15-18,,Defensive rebound by K. Porzingis
2:23.0,,,15-20,2,A. Afflalo makes 2-pt shot from 13 ft
2:02.0,E. Turner misses 2-pt shot from 2 ft,,15-20,,
2:00.0,Offensive rebound by K. Olynyk,,15-20,,
2:00.0,K. Olynyk makes 2-pt shot at rim,2,17-20,,
2:00.0,,,17-20,,New York full timeout
2:00.0,J. Jerebko enters the game for J. Crowder,,17-20,,
2:00.0,,,17-20,,K. Seraphin enters the game for K. Porzingis
2:00.0,,,17-20,,J. Grant enters the game for L. Galloway
1:44.0,,,17-20,,J. Grant misses 2-pt shot from 18 ft
1:42.0,Defensive rebound by E. Turner,,17-20,,
1:34.0,,,17-20,,Personal foul by J. Grant (drawn by M. Smart)
1:34.0,M. Smart makes free throw 1 of 2,1,18-20,,
1:34.0,M. Smart makes free throw 2 of 2,1,19-20,,
1:18.0,,,19-20,,D. Williams misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by M. Smart,,19-20,,
1:06.0,E. Turner makes 2-pt shot from 2 ft,2,21-20,,
0:53.0,,,21-20,,A. Afflalo misses 2-pt shot from 1 ft (block by K. Olynyk)
0:52.0,,,21-20,,Offensive rebound by Team
0:40.0,,,21-20,,D. Williams misses 2-pt shot from 19 ft
0:38.0,Defensive rebound by E. Turner,,21-20,,
0:28.0,Turnover by K. Olynyk (traveling),,21-20,,
0:05.0,,,21-22,2,K. Seraphin makes 2-pt shot from 11 ft
0:01.0,J. Jerebko misses 3-pt shot from 24 ft,,21-22,,
0:00.0,Offensive rebound by Team,,21-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Offensive foul by T. Zeller,,21-22,,
11:50.0,Turnover by T. Zeller (offensive foul),,21-22,,
11:26.0,,,21-22,,K. Seraphin misses 2-pt shot from 18 ft
11:24.0,Defensive rebound by E. Turner,,21-22,,
11:17.0,E. Turner misses 2-pt shot from 11 ft,,21-22,,
11:15.0,,,21-22,,Defensive rebound by S. Vujacic
11:05.0,,,21-22,,S. Vujacic misses 2-pt shot at rim
11:04.0,Defensive rebound by I. Thomas,,21-22,,
10:55.0,T. Zeller makes 2-pt shot from 2 ft (assist by M. Smart),2,23-22,,
10:31.0,,,23-22,,D. Williams misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by E. Turner,,23-22,,
10:19.0,T. Zeller makes 2-pt shot from 17 ft (assist by I. Thomas),2,25-22,,
10:05.0,,,25-22,,Turnover by S. Vujacic (bad pass; steal by E. Turner)
9:57.0,E. Turner makes 2-pt shot from 2 ft,2,27-22,,
9:45.0,,,27-22,,Turnover by K. Seraphin (bad pass; steal by M. Smart)
9:41.0,M. Smart makes 2-pt shot from 2 ft,2,29-22,,
9:39.0,,,29-22,,New York full timeout
9:39.0,,,29-22,,C. Anthony enters the game for D. Williams
9:39.0,,,29-22,,L. Galloway enters the game for J. Grant
9:39.0,,,29-22,,R. Lopez enters the game for K. Seraphin
9:14.0,,,29-22,,L. Thomas misses 2-pt shot from 19 ft
9:12.0,,,29-22,,Offensive rebound by C. Anthony
9:10.0,,,29-25,3,S. Vujacic makes 3-pt shot from 24 ft (assist by C. Anthony)
8:47.0,Shooting foul by L. Galloway (drawn by I. Thomas),,29-25,,
8:47.0,I. Thomas makes free throw 1 of 2,1,30-25,,
8:47.0,I. Thomas makes free throw 2 of 2,1,31-25,,
8:32.0,,,31-27,2,S. Vujacic makes 2-pt shot from 16 ft
8:17.0,I. Thomas misses 2-pt shot from 15 ft,,31-27,,
8:15.0,Offensive rebound by T. Zeller,,31-27,,
8:07.0,I. Thomas misses 2-pt shot at rim,,31-27,,
8:05.0,,,31-27,,Defensive rebound by S. Vujacic
7:58.0,,,31-30,3,L. Thomas makes 3-pt shot from 22 ft (assist by C. Anthony)
7:37.0,M. Smart misses 2-pt shot from 13 ft,,31-30,,
7:35.0,,,31-30,,Defensive rebound by Team
7:15.0,,,31-30,,Turnover by R. Lopez (lost ball; steal by T. Zeller)
7:05.0,M. Smart misses 3-pt shot from 23 ft,,31-30,,
7:03.0,,,31-30,,Defensive rebound by C. Anthony
6:56.0,,,31-32,2,C. Anthony makes 2-pt shot from 20 ft
6:55.0,Boston full timeout,,31-32,,
6:55.0,J. Crowder enters the game for J. Jerebko,,31-32,,
6:55.0,,,31-32,,A. Afflalo enters the game for L. Thomas
6:40.0,I. Thomas makes 2-pt shot from 1 ft,2,33-32,,
6:17.0,,,33-32,,S. Vujacic misses 3-pt shot from 26 ft
6:16.0,Defensive rebound by Team,,33-32,,
6:16.0,J. Sullinger enters the game for T. Zeller,,33-32,,
6:09.0,I. Thomas misses 3-pt shot from 24 ft,,33-32,,
6:07.0,,,33-32,,Defensive rebound by S. Vujacic
5:54.0,,,33-32,,R. Lopez misses 2-pt shot at rim
5:53.0,,,33-32,,Offensive rebound by R. Lopez
5:53.0,,,33-32,,R. Lopez misses 2-pt shot from 1 ft
5:52.0,,,33-32,,Offensive rebound by R. Lopez
5:52.0,,,33-32,,R. Lopez misses 2-pt shot at rim
5:51.0,,,33-32,,Offensive rebound by R. Lopez
5:51.0,,,33-34,2,R. Lopez makes 2-pt shot at rim
5:34.0,J. Sullinger misses 2-pt shot from 2 ft,,33-34,,
5:33.0,,,33-34,,Defensive rebound by A. Afflalo
5:30.0,,,33-34,,Turnover by C. Anthony (traveling)
5:30.0,K. Olynyk enters the game for E. Turner,,33-34,,
5:19.0,Turnover by J. Sullinger (bad pass),,33-34,,
5:19.0,,,33-34,,K. Porzingis enters the game for S. Vujacic
4:57.0,,,33-36,2,K. Porzingis makes 2-pt shot from 13 ft (assist by A. Afflalo)
4:48.0,I. Thomas makes 2-pt shot from 2 ft,2,35-36,,
4:39.0,,,35-36,,Shooting foul by M. Smart (drawn by A. Afflalo)
4:39.0,,,35-37,1,A. Afflalo makes free throw 1 of 2
4:39.0,,,35-37,,A. Afflalo misses free throw 2 of 2
4:38.0,,,35-37,,Offensive rebound by R. Lopez
4:34.0,,,35-37,,A. Afflalo misses 2-pt shot from 21 ft
4:32.0,Defensive rebound by J. Crowder,,35-37,,
4:22.0,Offensive foul by J. Sullinger,,35-37,,
4:22.0,Turnover by J. Sullinger (offensive foul),,35-37,,
4:22.0,A. Bradley enters the game for M. Smart,,35-37,,
4:07.0,,,35-37,,Shooting foul by J. Sullinger (drawn by R. Lopez)
4:07.0,,,35-38,1,R. Lopez makes free throw 1 of 2
4:07.0,,,35-39,1,R. Lopez makes free throw 2 of 2
3:55.0,A. Bradley misses 3-pt shot from 22 ft,,35-39,,
3:53.0,,,35-39,,Defensive rebound by L. Galloway
3:47.0,,,35-39,,Shooting foul by A. Bradley (drawn by A. Afflalo)
3:47.0,,,35-40,1,A. Afflalo makes free throw 1 of 2
3:47.0,A. Johnson enters the game for K. Olynyk,,35-40,,
3:47.0,,,35-40,,A. Afflalo misses free throw 2 of 2
3:46.0,,,35-40,,Offensive rebound by R. Lopez
3:41.0,,,35-40,,C. Anthony misses 3-pt shot from 24 ft
3:39.0,Defensive rebound by A. Johnson,,35-40,,
3:29.0,J. Crowder makes 2-pt shot from 2 ft (assist by A. Bradley),2,37-40,,
3:14.0,,,37-40,,A. Afflalo misses 2-pt shot from 18 ft
3:14.0,Defensive rebound by Team,,37-40,,
3:14.0,T. Zeller enters the game for J. Sullinger,,37-40,,
3:14.0,,,37-40,,Loose ball foul by K. Porzingis (drawn by J. Crowder)
2:56.0,Shooting foul by L. Galloway (drawn by I. Thomas),,37-40,,
2:56.0,Official timeout,,37-40,,
2:56.0,I. Thomas makes free throw 1 of 2,1,38-40,,
2:56.0,I. Thomas makes free throw 2 of 2,1,39-40,,
2:34.0,,,39-42,2,C. Anthony makes 2-pt shot from 8 ft
2:15.0,A. Bradley misses 3-pt shot from 25 ft,,39-42,,
2:13.0,,,39-42,,Defensive rebound by C. Anthony
1:55.0,,,39-42,,C. Anthony misses 2-pt shot from 14 ft
1:53.0,Defensive rebound by I. Thomas,,39-42,,
1:49.0,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas),2,41-42,,
1:32.0,,,41-42,,Shooting foul by J. Crowder (drawn by C. Anthony)
1:32.0,,,41-43,1,C. Anthony makes free throw 1 of 2
1:32.0,,,41-43,,L. Thomas enters the game for K. Porzingis
1:32.0,,,41-43,,S. Vujacic enters the game for L. Galloway
1:32.0,,,41-44,1,C. Anthony makes free throw 2 of 2
1:21.0,A. Johnson misses 2-pt shot from 4 ft (block by R. Lopez),,41-44,,
1:19.0,,,41-44,,Defensive rebound by C. Anthony
1:16.0,,,41-44,,Turnover by C. Anthony (bad pass; steal by I. Thomas)
1:12.0,A. Bradley makes 2-pt shot from 12 ft,2,43-44,,
0:56.0,,,43-46,2,S. Vujacic makes 2-pt shot from 17 ft (assist by R. Lopez)
0:45.0,A. Bradley misses 2-pt shot from 1 ft (block by R. Lopez),,43-46,,
0:43.0,Offensive rebound by A. Bradley,,43-46,,
0:37.0,I. Thomas misses 2-pt shot from 21 ft,,43-46,,
0:35.0,,,43-46,,Defensive rebound by L. Thomas
0:21.0,,,43-46,,Shooting foul by J. Crowder (drawn by C. Anthony)
0:21.0,,,43-46,,C. Anthony misses free throw 1 of 2
0:21.0,,,43-46,,Offensive rebound by Team
0:21.0,,,43-47,1,C. Anthony makes free throw 2 of 2
0:05.0,I. Thomas misses 3-pt shot from 31 ft,,43-47,,
0:03.0,Offensive rebound by T. Zeller,,43-47,,
0:00.0,A. Bradley makes 2-pt shot from 20 ft,2,45-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,A. Johnson makes 2-pt shot from 2 ft (assist by I. Thomas),2,47-47,,
11:27.0,,,47-49,2,C. Anthony makes 2-pt shot from 1 ft
11:02.0,J. Crowder misses 2-pt shot from 10 ft,,47-49,,
11:00.0,,,47-49,,Defensive rebound by R. Lopez
10:50.0,,,47-49,,K. Porzingis misses 3-pt shot from 24 ft
10:48.0,Defensive rebound by J. Crowder,,47-49,,
10:41.0,I. Thomas misses 2-pt shot from 13 ft,,47-49,,
10:40.0,,,47-49,,Defensive rebound by L. Galloway
10:34.0,,,47-49,,L. Galloway misses 2-pt shot from 2 ft
10:33.0,Defensive rebound by J. Sullinger,,47-49,,
10:20.0,J. Sullinger misses 2-pt shot from 2 ft,,47-49,,
10:18.0,,,47-49,,Defensive rebound by K. Porzingis
10:12.0,,,47-49,,A. Afflalo misses 2-pt shot from 16 ft
10:11.0,Defensive rebound by A. Johnson,,47-49,,
9:59.0,J. Sullinger makes 2-pt shot at rim (assist by I. Thomas),2,49-49,,
9:39.0,,,49-49,,Turnover by R. Lopez (3 sec)
9:23.0,A. Johnson makes 2-pt shot at rim (assist by A. Bradley),2,51-49,,
9:02.0,,,51-49,,C. Anthony misses 2-pt shot from 18 ft
9:01.0,,,51-49,,Offensive rebound by R. Lopez
9:01.0,,,51-51,2,R. Lopez makes 2-pt shot from 1 ft
8:39.0,J. Crowder makes 3-pt shot from 22 ft (assist by I. Thomas),3,54-51,,
8:16.0,,,54-51,,C. Anthony misses 2-pt shot from 8 ft
8:14.0,,,54-51,,Offensive rebound by K. Porzingis
8:10.0,,,54-53,2,K. Porzingis makes 2-pt shot from 17 ft (assist by A. Afflalo)
7:54.0,J. Crowder makes 2-pt shot from 22 ft (assist by A. Bradley),2,56-53,,
7:44.0,,,56-53,,New York full timeout
7:37.0,,,56-53,,L. Galloway misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by A. Bradley,,56-53,,
7:15.0,J. Sullinger misses 2-pt shot from 4 ft (block by R. Lopez),,56-53,,
7:14.0,,,56-53,,Defensive rebound by L. Galloway
7:10.0,,,56-53,,R. Lopez misses 2-pt shot from 4 ft
7:08.0,Defensive rebound by A. Johnson,,56-53,,
6:59.0,A. Bradley misses 2-pt shot from 17 ft,,56-53,,
6:57.0,,,56-53,,Defensive rebound by C. Anthony
6:53.0,Personal foul by A. Johnson (drawn by K. Porzingis),,56-53,,
6:44.0,,,56-53,,K. Porzingis misses 2-pt shot from 5 ft
6:42.0,Defensive rebound by J. Sullinger,,56-53,,
6:37.0,I. Thomas makes 3-pt shot from 24 ft,3,59-53,,
6:24.0,,,59-53,,C. Anthony misses 2-pt shot from 9 ft
6:22.0,,,59-53,,Offensive rebound by K. Porzingis
6:19.0,Flagrant foul type 1 by A. Johnson (drawn by C. Anthony),,59-53,,
6:19.0,,,59-54,1,C. Anthony makes flagrant free throw 1 of 2
6:19.0,,,59-55,1,C. Anthony makes flagrant free throw 2 of 2
6:08.0,,,59-55,,Turnover by A. Afflalo (3 sec)
5:58.0,A. Bradley misses 2-pt shot from 19 ft,,59-55,,
5:56.0,,,59-55,,Defensive rebound by C. Anthony
5:42.0,,,59-55,,Shooting foul by J. Sullinger (drawn by R. Lopez)
