time,Minnesota,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. K. Towns (R. Gay gains possession),,,,Jump ball: K. Koufos vs. K. Towns (R. Gay gains possession)
11:45.0,,,0-0,,R. Gay misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by K. Towns,,0-0,,
11:33.0,A. Wiggins makes 2-pt shot from 18 ft (assist by Z. LaVine),2,2-0,,
11:22.0,,,2-0,,K. Koufos misses 2-pt shot from 5 ft
11:21.0,Defensive rebound by Z. LaVine,,2-0,,
11:10.0,K. Towns makes 2-pt shot from 20 ft (assist by K. Garnett),2,4-0,,
10:57.0,,,4-2,2,R. Rondo makes 2-pt shot from 13 ft
10:50.0,Turnover by Z. LaVine (lost ball; steal by B. McLemore),,4-2,,
10:46.0,,,4-4,2,B. McLemore makes 2-pt shot at rim
10:20.0,Z. LaVine misses 3-pt shot from 25 ft,,4-4,,
10:20.0,,,4-4,,Defensive rebound by Team
10:06.0,,,4-4,,K. Koufos misses 2-pt shot from 9 ft
10:06.0,Defensive rebound by K. Garnett,,4-4,,
9:48.0,Z. LaVine makes 3-pt shot from 24 ft (assist by K. Garnett),3,7-4,,
9:33.0,,,7-4,,W. Cauley-Stein misses 2-pt shot at rim
9:31.0,Defensive rebound by K. Towns,,7-4,,
9:19.0,Z. LaVine makes 2-pt shot at rim,2,9-4,,
9:05.0,Personal foul by K. Garnett (drawn by K. Koufos),,9-4,,
9:05.0,,,9-5,1,K. Koufos makes free throw 1 of 2
9:05.0,,,9-6,1,K. Koufos makes free throw 2 of 2
8:46.0,A. Wiggins makes 2-pt shot from 20 ft,2,11-6,,
8:37.0,,,11-8,2,R. Rondo makes 2-pt shot from 2 ft
8:20.0,K. Towns makes 3-pt shot from 24 ft (assist by K. Garnett),3,14-8,,
8:08.0,,,14-10,2,B. McLemore makes 2-pt shot from 2 ft (assist by R. Rondo)
8:01.0,A. Wiggins misses 2-pt shot from 8 ft,,14-10,,
8:00.0,,,14-10,,Defensive rebound by B. McLemore
7:54.0,,,14-12,2,K. Koufos makes 2-pt shot from 9 ft (assist by R. Rondo)
7:38.0,Turnover by K. Martin (lost ball),,14-12,,
7:27.0,Violation by K. Towns (kicked ball),,14-12,,
7:22.0,,,14-14,2,R. Rondo makes 2-pt shot from 1 ft
7:22.0,,,14-14,,Shooting foul by Z. LaVine (drawn by R. Rondo)
7:22.0,,,14-14,,R. Rondo misses free throw 1 of 1
7:20.0,,,14-14,,Offensive rebound by K. Koufos
7:12.0,,,14-14,,R. Gay misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by Z. LaVine,,14-14,,
7:07.0,Minnesota full timeout,,14-14,,
6:50.0,K. Martin makes 3-pt shot from 23 ft (assist by K. Garnett),3,17-14,,
6:41.0,,,17-14,,R. Gay misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by K. Martin,,17-14,,
6:29.0,A. Wiggins misses 3-pt shot from 24 ft,,17-14,,
6:29.0,,,17-14,,Defensive rebound by K. Koufos
