time,Miami,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Stoudemire (C. Bosh gains possession),,,,Jump ball: P. Gasol vs. A. Stoudemire (C. Bosh gains possession)
11:47.0,L. Deng misses 2-pt shot from 1 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by P. Gasol
11:40.0,,,0-0,,D. Rose misses 2-pt shot from 7 ft
11:39.0,Defensive rebound by A. Stoudemire,,0-0,,
11:26.0,Turnover by D. Wade (bad pass),,0-0,,
11:11.0,,,0-2,2,P. Gasol makes 2-pt shot from 12 ft
10:55.0,,,0-2,,Personal foul by T. Gibson (drawn by C. Bosh)
10:55.0,C. Bosh misses free throw 1 of 2,,0-2,,
10:55.0,Offensive rebound by Team,,0-2,,
10:55.0,C. Bosh makes free throw 2 of 2,1,1-2,,
10:32.0,,,1-2,,J. Butler misses 2-pt shot from 17 ft
10:31.0,Defensive rebound by C. Bosh,,1-2,,
10:23.0,A. Stoudemire misses 2-pt shot from 1 ft (block by P. Gasol),,1-2,,
10:21.0,Offensive rebound by A. Stoudemire,,1-2,,
10:19.0,D. Wade makes 2-pt shot from 7 ft (assist by A. Stoudemire),2,3-2,,
10:05.0,,,3-2,,P. Gasol misses 2-pt shot from 21 ft
10:04.0,Defensive rebound by L. Deng,,3-2,,
9:55.0,B. Udrih makes 3-pt shot from 24 ft (assist by A. Stoudemire),3,6-2,,
9:44.0,,,6-2,,T. Snell misses 3-pt shot from 24 ft
9:42.0,,,6-2,,Offensive rebound by P. Gasol
9:38.0,,,6-2,,T. Snell misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by C. Bosh,,6-2,,
9:22.0,D. Wade misses 2-pt shot from 1 ft,,6-2,,
9:21.0,,,6-2,,Defensive rebound by P. Gasol
9:08.0,,,6-2,,T. Gibson misses 2-pt shot from 16 ft
9:06.0,Defensive rebound by A. Stoudemire,,6-2,,
8:45.0,C. Bosh misses 3-pt shot from 25 ft,,6-2,,
8:44.0,Offensive rebound by L. Deng,,6-2,,
8:43.0,L. Deng misses 2-pt shot from 1 ft,,6-2,,
8:41.0,,,6-2,,Defensive rebound by P. Gasol
8:35.0,,,6-2,,D. Rose misses 2-pt shot at rim
8:33.0,Defensive rebound by D. Wade,,6-2,,
8:29.0,L. Deng misses 2-pt shot at rim,,6-2,,
8:27.0,Offensive rebound by D. Wade,,6-2,,
8:27.0,D. Wade misses 2-pt shot from 1 ft,,6-2,,
8:26.0,,,6-2,,Defensive rebound by T. Snell
8:18.0,,,6-4,2,P. Gasol makes 2-pt shot from 3 ft (assist by J. Butler)
7:53.0,D. Wade makes 2-pt shot from 8 ft,2,8-4,,
7:37.0,,,8-6,2,P. Gasol makes 2-pt shot from 11 ft (assist by T. Snell)
7:12.0,L. Deng misses 2-pt shot from 7 ft,,8-6,,
7:11.0,,,8-6,,Defensive rebound by P. Gasol
6:59.0,,,8-8,2,P. Gasol makes 2-pt shot from 15 ft (assist by J. Butler)
6:37.0,B. Udrih misses 2-pt shot from 20 ft,,8-8,,
6:36.0,,,8-8,,Defensive rebound by T. Gibson
6:25.0,,,8-8,,Turnover by T. Gibson (lost ball; steal by A. Stoudemire)
6:25.0,,,8-8,,Loose ball foul by T. Gibson (drawn by A. Stoudemire)
6:25.0,,,8-8,,N. Mirotic enters the game for T. Gibson
6:07.0,,,8-8,,Personal foul by T. Snell (drawn by L. Deng)
6:07.0,G. Green enters the game for C. Bosh,,8-8,,
5:58.0,D. Wade misses 2-pt shot from 16 ft,,8-8,,
5:57.0,,,8-8,,Defensive rebound by J. Butler
5:40.0,,,8-8,,T. Snell misses 3-pt shot from 23 ft
5:39.0,Defensive rebound by A. Stoudemire,,8-8,,
5:34.0,L. Deng makes 2-pt shot at rim,2,10-8,,
5:16.0,,,10-8,,Shooting foul by G. Green (drawn by P. Gasol)
5:16.0,,,10-8,,Chicago full timeout
5:16.0,,,10-8,,D. McDermott enters the game for T. Snell
5:16.0,,,10-8,,P. Gasol misses free throw 1 of 2
5:16.0,,,10-8,,Offensive rebound by Team
5:16.0,,,10-9,1,P. Gasol makes free throw 2 of 2
5:00.0,L. Deng misses 2-pt shot from 4 ft,,10-9,,
4:59.0,,,10-9,,Defensive rebound by P. Gasol
4:54.0,,,10-11,2,D. Rose makes 2-pt shot from 1 ft
4:37.0,G. Green misses 2-pt shot from 17 ft,,10-11,,
4:36.0,,,10-11,,Defensive rebound by P. Gasol
4:27.0,,,10-13,2,N. Mirotic makes 2-pt shot from 3 ft (assist by J. Butler)
4:19.0,Miami full timeout,,10-13,,
4:19.0,,,10-13,,A. Brooks enters the game for D. Rose
4:19.0,T. Johnson enters the game for B. Udrih,,10-13,,
4:11.0,Turnover by T. Johnson (bad pass; steal by N. Mirotic),,10-13,,
4:07.0,,,10-15,2,N. Mirotic makes 2-pt shot from 1 ft (assist by A. Brooks)
4:07.0,,,10-15,,Shooting foul by T. Johnson (drawn by N. Mirotic)
4:07.0,C. Bosh enters the game for A. Stoudemire,,10-15,,
4:07.0,U. Haslem enters the game for L. Deng,,10-15,,
4:07.0,J. Winslow enters the game for D. Wade,,10-15,,
4:07.0,,,10-15,,N. Mirotic misses free throw 1 of 1
4:05.0,Defensive rebound by U. Haslem,,10-15,,
3:51.0,G. Green misses 2-pt shot from 7 ft (block by N. Mirotic),,10-15,,
3:49.0,,,10-15,,Defensive rebound by P. Gasol
3:40.0,,,10-17,2,P. Gasol makes 2-pt shot at rim (assist by D. McDermott)
3:25.0,G. Green makes 2-pt shot from 12 ft (assist by U. Haslem),2,12-17,,
3:08.0,,,12-19,2,J. Butler makes 2-pt shot from 7 ft
2:39.0,G. Green misses 3-pt shot from 26 ft,,12-19,,
2:39.0,Offensive rebound by Team,,12-19,,
2:39.0,Turnover by Team (shot clock),,12-19,,
2:25.0,,,12-19,,J. Butler misses 2-pt shot from 18 ft
2:24.0,Defensive rebound by C. Bosh,,12-19,,
2:15.0,C. Bosh misses 3-pt shot from 25 ft,,12-19,,
2:14.0,,,12-19,,Defensive rebound by P. Gasol
2:00.0,,,12-19,,D. McDermott misses 3-pt shot from 26 ft
1:58.0,,,12-19,,Offensive rebound by P. Gasol
1:55.0,,,12-19,,P. Gasol misses 2-pt shot from 20 ft
1:54.0,Defensive rebound by C. Bosh,,12-19,,
1:48.0,G. Green makes 2-pt shot from 15 ft,2,14-19,,
1:37.0,,,14-21,2,N. Mirotic makes 2-pt shot at rim (assist by A. Brooks)
1:03.0,J. Winslow makes 2-pt shot from 16 ft (assist by G. Green),2,16-21,,
0:39.0,,,16-21,,N. Mirotic misses 2-pt shot at rim
0:38.0,,,16-21,,Offensive rebound by N. Mirotic
0:37.0,,,16-23,2,P. Gasol makes 2-pt shot from 1 ft (assist by N. Mirotic)
0:20.0,C. Bosh makes 2-pt shot from 1 ft (assist by G. Green),2,18-23,,
0:07.0,Personal take foul by J. Winslow (drawn by J. Butler),,18-23,,
0:03.0,,,18-23,,Turnover by N. Mirotic (lost ball)
0:00.0,G. Green misses 3-pt shot from 41 ft,,18-23,,
0:00.0,Offensive rebound by Team,,18-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,18-26,3,D. McDermott makes 3-pt shot from 22 ft (assist by A. Brooks)
11:30.0,T. Johnson makes 2-pt shot from 2 ft,2,20-26,,
11:17.0,,,20-29,3,A. Brooks makes 3-pt shot from 22 ft (assist by N. Mirotic)
11:00.0,C. Bosh makes 3-pt shot from 23 ft (assist by J. Winslow),3,23-29,,
