time,Denver,pts.away,score,pts.home,Charlotte
2:38.0,,,95-89,,N. Batum misses 3-pt shot from 25 ft
2:35.0,,,95-89,,Offensive rebound by K. Walker
2:35.0,,,95-89,,K. Walker misses 2-pt shot from 1 ft
2:32.0,Defensive rebound by J. Sampson,,95-89,,
2:12.0,E. Mudiay makes 2-pt shot from 1 ft,2,97-89,,
1:58.0,Personal foul by D. Arthur,,97-89,,
1:54.0,,,97-89,,N. Batum misses 3-pt shot from 27 ft
1:52.0,Defensive rebound by D. Arthur,,97-89,,
1:33.0,D. Augustin makes 2-pt shot from 15 ft,2,99-89,,
1:16.0,,,99-89,,K. Walker misses 3-pt shot from 25 ft (block by D. Arthur)
1:14.0,,,99-89,,Offensive rebound by K. Walker
1:13.0,,,99-91,2,K. Walker makes 2-pt shot from 1 ft
0:54.0,E. Mudiay misses 2-pt shot from 19 ft,,99-91,,
0:53.0,,,99-91,,Defensive rebound by K. Walker
0:53.0,,,99-91,,Charlotte full timeout
0:53.0,W. Barton enters the game for D. Augustin,,99-91,,
0:50.0,,,99-93,2,N. Batum makes 2-pt shot from 1 ft (assist by C. Lee)
0:50.0,Denver full timeout,,99-93,,
0:50.0,D. Augustin enters the game for J. Sampson,,99-93,,
0:27.0,D. Augustin misses 2-pt shot from 1 ft,,99-93,,
0:26.0,Offensive rebound by G. Harris,,99-93,,
0:26.0,,,99-93,,Personal foul by K. Walker
0:26.0,G. Harris makes free throw 1 of 2,1,100-93,,
0:26.0,J. Sampson enters the game for D. Augustin,,100-93,,
0:26.0,G. Harris makes free throw 2 of 2,1,101-93,,
0:17.0,,,101-93,,C. Lee misses 3-pt shot from 25 ft
0:16.0,Defensive rebound by W. Barton,,101-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
