time,Denver,pts.away,score,pts.home,Charlotte
2:50.0,,,50-35,,J. Lin enters the game for C. Lee
2:40.0,D. Arthur misses 3-pt shot from 24 ft,,50-35,,
2:40.0,,,50-35,,Defensive rebound by K. Walker
2:28.0,,,50-35,,J. Lin misses 2-pt shot from 1 ft
2:27.0,Defensive rebound by N. Jokic,,50-35,,
2:15.0,E. Mudiay misses 3-pt shot from 23 ft,,50-35,,
2:14.0,,,50-35,,Defensive rebound by M. Williams
1:56.0,,,50-35,,M. Williams misses 2-pt shot from 19 ft
1:54.0,Defensive rebound by N. Jokic,,50-35,,
1:43.0,W. Barton makes 3-pt shot from 25 ft,3,53-35,,
1:20.0,,,53-38,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
1:04.0,G. Harris makes 2-pt shot from 12 ft,2,55-38,,
0:43.0,,,55-38,,J. Lin misses 2-pt shot from 7 ft
0:42.0,,,55-38,,Offensive rebound by M. Williams
0:42.0,,,55-40,2,M. Williams makes 2-pt shot at rim
0:28.0,W. Barton misses 2-pt shot from 6 ft,,55-40,,
0:26.0,Offensive rebound by W. Barton,,55-40,,
0:05.0,E. Mudiay makes 2-pt shot from 10 ft,2,57-40,,
0:00.0,,,57-40,,K. Walker misses 3-pt shot from 33 ft
0:00.0,,,57-40,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Personal foul by J. Sampson,,57-40,,
11:36.0,,,57-40,,C. Zeller misses 2-pt shot from 1 ft (block by D. Arthur)
11:34.0,Defensive rebound by D. Arthur,,57-40,,
11:24.0,N. Jokic makes 2-pt shot from 1 ft (assist by D. Arthur),2,59-40,,
11:08.0,,,59-40,,N. Batum misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by E. Mudiay,,59-40,,
11:02.0,E. Mudiay misses 2-pt shot from 1 ft (block by N. Batum),,59-40,,
11:00.0,,,59-40,,Defensive rebound by C. Lee
10:54.0,,,59-42,2,K. Walker makes 2-pt shot from 16 ft
10:32.0,E. Mudiay misses 2-pt shot from 14 ft,,59-42,,
10:31.0,,,59-42,,Defensive rebound by N. Batum
10:25.0,,,59-45,3,C. Lee makes 3-pt shot from 24 ft (assist by N. Batum)
10:14.0,Offensive charge foul by J. Sampson,,59-45,,
10:14.0,Turnover by J. Sampson (offensive foul),,59-45,,
9:53.0,,,59-45,,K. Walker misses 3-pt shot from 26 ft
9:52.0,Defensive rebound by Team,,59-45,,
9:39.0,Turnover by G. Harris (offensive foul),,59-45,,
9:39.0,Offensive foul by G. Harris,,59-45,,
9:22.0,,,59-45,,Shooting foul by N. Jokic (drawn by C. Zeller)
9:22.0,,,59-45,,C. Zeller misses free throw 1 of 2
9:22.0,,,59-45,,Offensive rebound by Team
9:22.0,,,59-46,1,C. Zeller makes free throw 2 of 2
9:05.0,N. Jokic misses 2-pt shot from 1 ft,,59-46,,
9:04.0,Offensive rebound by E. Mudiay,,59-46,,
9:01.0,E. Mudiay misses 2-pt shot from 1 ft (block by C. Zeller),,59-46,,
8:59.0,,,59-46,,Defensive rebound by N. Batum
8:48.0,,,59-46,,C. Lee misses 2-pt shot from 5 ft
8:47.0,Defensive rebound by N. Jokic,,59-46,,
8:40.0,J. Sampson makes 2-pt shot from 1 ft,2,61-46,,
8:40.0,Shooting foul by C. Zeller (drawn by J. Sampson),,61-46,,
8:40.0,J. Sampson makes free throw 1 of 1,1,62-46,,
8:21.0,,,62-46,,M. Williams misses 3-pt shot from 22 ft
8:20.0,Defensive rebound by G. Harris,,62-46,,
8:09.0,,,62-46,,Personal foul by N. Batum
8:00.0,Turnover by G. Harris (lost ball; steal by K. Walker),,62-46,,
7:55.0,,,62-48,2,N. Batum makes 2-pt shot at rim (assist by C. Lee)
7:55.0,Denver full timeout,,62-48,,
7:38.0,N. Jokic misses 2-pt shot from 2 ft,,62-48,,
7:37.0,Offensive rebound by N. Jokic,,62-48,,
7:37.0,N. Jokic makes 2-pt shot from 2 ft,2,64-48,,
7:20.0,,,64-48,,Shooting foul by N. Jokic (drawn by C. Zeller)
7:20.0,,,64-49,1,C. Zeller makes free throw 1 of 2
7:20.0,,,64-50,1,C. Zeller makes free throw 2 of 2
7:05.0,D. Arthur makes 2-pt shot from 14 ft (assist by E. Mudiay),2,66-50,,
6:43.0,,,66-50,,Turnover by N. Batum (lost ball; steal by D. Arthur)
6:21.0,D. Arthur makes 3-pt shot from 25 ft (assist by E. Mudiay),3,69-50,,
6:06.0,,,69-50,,K. Walker misses 2-pt shot from 5 ft
6:04.0,,,69-50,,Offensive rebound by C. Zeller
6:01.0,,,69-50,,C. Lee misses 3-pt shot from 25 ft
6:00.0,,,69-50,,Offensive rebound by C. Lee
5:55.0,,,69-50,,M. Williams misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by Team,,69-50,,
5:55.0,,,69-50,,A. Jefferson enters the game for C. Zeller
5:39.0,J. Sampson makes 2-pt shot at rim (assist by N. Jokic),2,71-50,,
5:39.0,,,71-50,,Charlotte full timeout
5:22.0,,,71-50,,Shooting foul by N. Jokic (drawn by A. Jefferson)
5:22.0,,,71-51,1,A. Jefferson makes free throw 1 of 2
5:22.0,J. Nurkic enters the game for N. Jokic,,71-51,,
5:22.0,,,71-51,,J. Lin enters the game for K. Walker
5:22.0,,,71-52,1,A. Jefferson makes free throw 2 of 2
5:04.0,G. Harris makes 3-pt shot from 25 ft (assist by J. Nurkic),3,74-52,,
4:45.0,,,74-52,,Turnover by J. Lin (bad pass)
4:31.0,J. Nurkic misses 2-pt shot from 2 ft (block by C. Lee),,74-52,,
4:30.0,,,74-52,,Defensive rebound by C. Lee
4:20.0,,,74-52,,M. Williams misses 3-pt shot from 24 ft
4:19.0,Defensive rebound by E. Mudiay,,74-52,,
4:08.0,E. Mudiay misses 2-pt shot from 1 ft (block by M. Williams),,74-52,,
4:07.0,,,74-52,,Defensive rebound by C. Lee
3:58.0,,,74-55,3,J. Lin makes 3-pt shot from 22 ft (assist by N. Batum)
3:35.0,J. Nurkic misses 2-pt shot from 8 ft,,74-55,,
3:30.0,Offensive rebound by E. Mudiay,,74-55,,
3:28.0,E. Mudiay misses 2-pt shot from 1 ft (block by M. Williams),,74-55,,
3:25.0,,,74-55,,Defensive rebound by J. Lin
