time,Boston,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. Z. Pachulia (I. Thomas gains possession),,,,Jump ball: A. Johnson vs. Z. Pachulia (I. Thomas gains possession)
11:40.0,J. Sullinger misses 2-pt shot from 18 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by C. Parsons
11:24.0,,,0-0,,D. Nowitzki misses 2-pt shot from 21 ft
11:23.0,,,0-0,,Offensive rebound by Z. Pachulia
11:11.0,,,0-2,2,D. Williams makes 2-pt shot from 2 ft
10:49.0,I. Thomas misses 3-pt shot from 25 ft,,0-2,,
10:48.0,,,0-2,,Defensive rebound by Z. Pachulia
10:31.0,,,0-2,,W. Matthews misses 2-pt shot from 7 ft
10:30.0,,,0-2,,Offensive rebound by Z. Pachulia
10:14.0,,,0-4,2,D. Nowitzki makes 2-pt shot from 14 ft (assist by C. Parsons)
10:02.0,A. Bradley misses 2-pt shot from 20 ft,,0-4,,
10:01.0,Offensive rebound by J. Sullinger,,0-4,,
9:50.0,J. Crowder misses 3-pt shot from 24 ft,,0-4,,
9:49.0,,,0-4,,Defensive rebound by Z. Pachulia
9:37.0,,,0-4,,D. Nowitzki misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by A. Bradley,,0-4,,
9:29.0,,,0-4,,Personal foul by Z. Pachulia (drawn by J. Sullinger)
9:16.0,A. Bradley makes 2-pt shot from 17 ft,2,2-4,,
9:01.0,,,2-4,,D. Williams misses 3-pt shot from 23 ft
9:00.0,Defensive rebound by A. Bradley,,2-4,,
8:55.0,I. Thomas misses 3-pt shot from 25 ft,,2-4,,
8:54.0,,,2-4,,Defensive rebound by D. Nowitzki
8:30.0,,,2-6,2,D. Williams makes 2-pt shot from 13 ft
8:09.0,Turnover by A. Johnson (lost ball; steal by D. Nowitzki),,2-6,,
7:58.0,,,2-6,,Turnover by D. Nowitzki (bad pass)
7:48.0,Turnover by J. Sullinger (offensive foul),,2-6,,
7:48.0,Offensive foul by J. Sullinger,,2-6,,
7:35.0,,,2-6,,D. Williams misses 2-pt shot from 6 ft
7:34.0,,,2-6,,Offensive rebound by D. Williams
7:32.0,,,2-9,3,C. Parsons makes 3-pt shot from 24 ft (assist by D. Williams)
7:30.0,Boston full timeout,,2-9,,
7:11.0,J. Crowder misses 2-pt shot from 1 ft,,2-9,,
7:10.0,,,2-9,,Defensive rebound by Team
7:00.0,,,2-9,,C. Parsons misses 2-pt shot from 2 ft
6:59.0,,,2-9,,Offensive rebound by Team
6:53.0,Personal foul by A. Johnson (drawn by C. Parsons),,2-9,,
6:36.0,,,2-9,,D. Nowitzki misses 2-pt shot from 15 ft
6:34.0,Defensive rebound by J. Sullinger,,2-9,,
6:24.0,A. Bradley misses 2-pt shot from 19 ft,,2-9,,
6:23.0,Offensive rebound by A. Johnson,,2-9,,
6:20.0,J. Crowder misses 2-pt shot from 17 ft,,2-9,,
6:19.0,Offensive rebound by J. Sullinger,,2-9,,
6:15.0,J. Sullinger misses 2-pt shot from 4 ft,,2-9,,
6:13.0,,,2-9,,Defensive rebound by Z. Pachulia
6:00.0,,,2-9,,Shooting foul by I. Thomas (drawn by W. Matthews)
6:00.0,,,2-10,1,W. Matthews makes free throw 1 of 2
6:00.0,,,2-10,,D. Harris enters the game for D. Nowitzki
6:00.0,,,2-11,1,W. Matthews makes free throw 2 of 2
5:44.0,J. Sullinger misses 2-pt shot from 4 ft,,2-11,,
5:44.0,Offensive rebound by A. Johnson,,2-11,,
5:44.0,,,2-11,,Loose ball foul by C. Parsons (drawn by A. Johnson)
5:44.0,E. Turner enters the game for J. Sullinger,,2-11,,
5:44.0,M. Smart enters the game for A. Bradley,,2-11,,
5:34.0,J. Crowder misses 2-pt shot from 9 ft,,2-11,,
5:33.0,,,2-11,,Defensive rebound by D. Williams
5:24.0,,,2-14,3,C. Parsons makes 3-pt shot from 23 ft (assist by W. Matthews)
5:11.0,J. Crowder misses 3-pt shot from 24 ft,,2-14,,
5:10.0,,,2-14,,Defensive rebound by Z. Pachulia
5:00.0,,,2-17,3,W. Matthews makes 3-pt shot from 22 ft (assist by C. Parsons)
4:45.0,I. Thomas misses 2-pt shot from 5 ft (block by D. Williams),,2-17,,
4:43.0,,,2-17,,Defensive rebound by D. Williams
4:38.0,Personal foul by I. Thomas (drawn by C. Parsons),,2-17,,
4:38.0,K. Olynyk enters the game for A. Johnson,,2-17,,
4:38.0,,,2-17,,R. Felton enters the game for C. Parsons
4:20.0,,,2-17,,R. Felton misses 3-pt shot from 22 ft
4:19.0,Defensive rebound by K. Olynyk,,2-17,,
4:13.0,J. Crowder misses 2-pt shot from 1 ft,,2-17,,
4:12.0,,,2-17,,Defensive rebound by D. Harris
3:56.0,,,2-17,,Turnover by D. Williams (bad pass; steal by M. Smart)
3:53.0,M. Smart makes 2-pt shot at rim,2,4-17,,
3:52.0,,,4-17,,Dallas full timeout
3:52.0,,,4-17,,D. Powell enters the game for Z. Pachulia
3:37.0,,,4-20,3,W. Matthews makes 3-pt shot from 22 ft (assist by D. Harris)
3:19.0,M. Smart makes 2-pt shot from 7 ft,2,6-20,,
3:08.0,,,6-22,2,D. Powell makes 2-pt shot at rim (assist by D. Harris)
2:53.0,K. Olynyk makes 3-pt shot from 24 ft (assist by E. Turner),3,9-22,,
2:35.0,,,9-25,3,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton)
2:22.0,M. Smart makes 2-pt shot from 1 ft (assist by E. Turner),2,11-25,,
2:08.0,Personal foul by K. Olynyk (drawn by D. Harris),,11-25,,
2:08.0,J. Jerebko enters the game for J. Crowder,,11-25,,
2:08.0,,,11-25,,J. Barea enters the game for D. Williams
2:08.0,,,11-25,,D. Nowitzki enters the game for W. Matthews
1:53.0,,,11-25,,R. Felton misses 2-pt shot from 17 ft
1:52.0,Defensive rebound by J. Jerebko,,11-25,,
1:35.0,M. Smart misses 2-pt shot from 21 ft,,11-25,,
1:34.0,,,11-25,,Defensive rebound by D. Nowitzki
1:18.0,,,11-25,,Turnover by D. Nowitzki (lost ball; steal by E. Turner)
1:04.0,Turnover by K. Olynyk (traveling),,11-25,,
1:04.0,A. Bradley enters the game for I. Thomas,,11-25,,
0:55.0,Personal foul by J. Jerebko (drawn by D. Nowitzki),,11-25,,
0:55.0,,,11-26,1,D. Nowitzki makes free throw 1 of 2
0:55.0,,,11-27,1,D. Nowitzki makes free throw 2 of 2
0:46.0,M. Smart makes 2-pt shot at rim (assist by E. Turner),2,13-27,,
0:36.0,,,13-29,2,R. Felton makes 2-pt shot from 5 ft
0:28.0,Turnover by E. Turner (bad pass; steal by D. Powell),,13-29,,
0:06.0,,,13-29,,R. Felton misses 2-pt shot from 17 ft
0:05.0,Defensive rebound by M. Smart,,13-29,,
0:00.0,M. Smart makes 3-pt shot from 26 ft,3,16-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,16-32,3,R. Felton makes 3-pt shot from 24 ft (assist by J. Barea)
11:26.0,K. Olynyk makes 3-pt shot from 24 ft (assist by A. Bradley),3,19-32,,
11:04.0,,,19-32,,D. Nowitzki misses 2-pt shot from 17 ft
11:04.0,Defensive rebound by E. Turner,,19-32,,
10:55.0,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner),3,22-32,,
10:33.0,,,22-32,,Turnover by J. Barea (step out of bounds)
10:18.0,J. Jerebko makes 2-pt shot from 2 ft (assist by M. Smart),2,24-32,,
10:05.0,,,24-32,,Offensive foul by D. Nowitzki
