time,Toronto,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. J. Valanciunas (J. Randle gains possession),,,,Jump ball: R. Hibbert vs. J. Valanciunas (J. Randle gains possession)
11:41.0,,,0-0,,R. Hibbert misses 2-pt shot from 12 ft
11:41.0,Defensive rebound by J. Valanciunas,,0-0,,
11:21.0,L. Scola misses 3-pt shot from 22 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by K. Bryant
11:05.0,,,0-2,2,J. Clarkson makes 2-pt shot from 19 ft
10:51.0,D. Carroll misses 3-pt shot from 24 ft,,0-2,,
10:50.0,,,0-2,,Defensive rebound by D. Russell
10:43.0,,,0-2,,D. Russell misses 2-pt shot at rim
10:42.0,Defensive rebound by L. Scola,,0-2,,
10:32.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,3-2,,
10:13.0,,,3-2,,Shooting foul by L. Scola (drawn by J. Randle)
10:13.0,,,3-3,1,J. Randle makes free throw 1 of 2
10:13.0,,,3-4,1,J. Randle makes free throw 2 of 2
10:03.0,Offensive foul by D. DeRozan,,3-4,,
10:03.0,Turnover by D. DeRozan (offensive foul),,3-4,,
9:43.0,,,3-4,,J. Clarkson misses 2-pt shot from 14 ft
9:42.0,Defensive rebound by K. Lowry,,3-4,,
9:28.0,,,3-4,,Personal foul by R. Hibbert (drawn by J. Valanciunas)
9:22.0,K. Lowry makes 3-pt shot from 24 ft,3,6-4,,
9:12.0,,,6-4,,Turnover by R. Hibbert (traveling)
8:55.0,K. Lowry misses 2-pt shot from 1 ft,,6-4,,
8:55.0,,,6-4,,Defensive rebound by J. Randle
8:45.0,,,6-4,,J. Randle misses 2-pt shot from 1 ft
8:43.0,Defensive rebound by J. Valanciunas,,6-4,,
8:34.0,D. DeRozan misses 2-pt shot from 1 ft,,6-4,,
8:33.0,,,6-4,,Defensive rebound by R. Hibbert
8:25.0,,,6-4,,J. Randle misses 2-pt shot at rim
8:24.0,,,6-4,,Offensive rebound by J. Randle
8:18.0,,,6-7,3,D. Russell makes 3-pt shot from 24 ft (assist by K. Bryant)
8:01.0,Turnover by D. Carroll (lost ball; steal by K. Bryant),,6-7,,
7:54.0,,,6-9,2,J. Clarkson makes 2-pt shot from 1 ft (assist by D. Russell)
7:48.0,Toronto full timeout,,6-9,,
7:38.0,D. DeRozan makes 2-pt shot from 2 ft,2,8-9,,
7:20.0,,,8-11,2,D. Russell makes 2-pt shot from 9 ft (assist by K. Bryant)
7:01.0,D. DeRozan makes 3-pt shot from 23 ft (assist by J. Valanciunas),3,11-11,,
6:46.0,,,11-13,2,J. Clarkson makes 2-pt shot from 1 ft (assist by R. Hibbert)
6:30.0,D. Carroll misses 3-pt shot from 24 ft,,11-13,,
6:29.0,,,11-13,,Defensive rebound by J. Clarkson
6:22.0,,,11-15,2,K. Bryant makes 2-pt shot from 11 ft (assist by J. Clarkson)
6:01.0,D. DeRozan misses 2-pt shot from 17 ft,,11-15,,
6:00.0,,,11-15,,Defensive rebound by D. Russell
5:43.0,,,11-15,,R. Hibbert misses 2-pt shot from 2 ft
5:41.0,Defensive rebound by D. Carroll,,11-15,,
5:26.0,L. Scola makes 2-pt shot from 5 ft,2,13-15,,
5:26.0,,,13-15,,Violation by R. Hibbert (def goaltending)
5:13.0,,,13-15,,K. Bryant misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by Team,,13-15,,
4:54.0,J. Valanciunas misses 2-pt shot from 2 ft (block by R. Hibbert),,13-15,,
4:52.0,,,13-15,,Defensive rebound by J. Randle
4:47.0,,,13-15,,J. Clarkson misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by D. Carroll,,13-15,,
4:36.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. Carroll),3,16-15,,
4:15.0,,,16-15,,Shooting foul by D. Carroll (drawn by R. Hibbert)
4:15.0,,,16-16,1,R. Hibbert makes free throw 1 of 2
4:15.0,,,16-16,,M. World Peace enters the game for K. Bryant
4:15.0,,,16-17,1,R. Hibbert makes free throw 2 of 2
3:53.0,D. Carroll misses 2-pt shot from 8 ft,,16-17,,
3:52.0,Offensive rebound by L. Scola,,16-17,,
3:52.0,L. Scola misses 2-pt shot from 6 ft,,16-17,,
3:49.0,,,16-17,,Defensive rebound by D. Russell
3:42.0,,,16-17,,Offensive foul by J. Randle
3:42.0,,,16-17,,Turnover by J. Randle (offensive foul)
3:21.0,D. DeRozan misses 2-pt shot from 13 ft,,16-17,,
3:21.0,,,16-17,,Defensive rebound by J. Randle
