time,Brooklyn,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. G. Monroe (J. Jack gains possession),,,,Jump ball: B. Lopez vs. G. Monroe (J. Jack gains possession)
11:35.0,B. Lopez misses 2-pt shot from 12 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by K. Middleton
11:17.0,,,0-0,,G. Monroe misses 2-pt shot from 9 ft
11:16.0,Defensive rebound by B. Lopez,,0-0,,
10:56.0,J. Jack makes 2-pt shot from 11 ft,2,2-0,,
10:34.0,,,2-0,,K. Middleton misses 2-pt shot from 17 ft
10:33.0,,,2-0,,Offensive rebound by G. Monroe
10:32.0,,,2-0,,G. Monroe misses 2-pt shot from 1 ft
10:29.0,Defensive rebound by J. Johnson,,2-0,,
10:21.0,J. Johnson makes 2-pt shot at rim (assist by J. Jack),2,4-0,,
10:05.0,,,4-0,,T. Ennis misses 2-pt shot from 2 ft (block by B. Lopez)
10:01.0,,,4-0,,Offensive rebound by G. Monroe
10:00.0,,,4-0,,Shooting foul by R. Hollis-Jefferson (drawn by K. Middleton)
10:00.0,,,4-1,1,K. Middleton makes free throw 1 of 3
10:00.0,,,4-2,1,K. Middleton makes free throw 2 of 3
10:00.0,,,4-3,1,K. Middleton makes free throw 3 of 3
9:42.0,T. Young misses 2-pt shot from 5 ft,,4-3,,
9:40.0,,,4-3,,Defensive rebound by G. Monroe
9:22.0,,,4-6,3,G. Antetokounmpo makes 3-pt shot from 22 ft (assist by K. Middleton)
9:13.0,T. Young misses 2-pt shot from 5 ft,,4-6,,
9:11.0,,,4-6,,Defensive rebound by K. Middleton
9:08.0,,,4-8,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
9:06.0,Brooklyn full timeout,,4-8,,
8:51.0,Shooting foul by T. Ennis (drawn by J. Jack),,4-8,,
8:51.0,J. Jack makes free throw 1 of 2,1,5-8,,
8:51.0,J. Jack makes free throw 2 of 2,1,6-8,,
8:39.0,,,6-8,,Shooting foul by R. Hollis-Jefferson (drawn by K. Middleton)
