time,Philadelphia,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. N. Noel (L. Nance gains possession),,,,Jump ball: R. Hibbert vs. N. Noel (L. Nance gains possession)
11:45.0,,,0-0,,J. Clarkson misses 2-pt shot from 16 ft
11:44.0,Defensive rebound by I. Canaan,,0-0,,
11:33.0,Shooting foul by R. Hibbert (drawn by N. Noel),,0-0,,
11:33.0,N. Noel makes free throw 1 of 2,1,1-0,,
11:33.0,N. Noel misses free throw 2 of 2,,1-0,,
11:32.0,Offensive rebound by J. Sampson,,1-0,,
11:23.0,Turnover by I. Smith (lost ball; steal by A. Brown),,1-0,,
11:20.0,,,1-2,2,L. Williams makes 2-pt shot at rim
11:20.0,,,1-2,,Shooting foul by I. Canaan (drawn by L. Williams)
11:20.0,,,1-2,,L. Williams misses free throw 1 of 1
11:19.0,,,1-2,,Offensive rebound by L. Nance
11:15.0,Personal foul by N. Noel (drawn by L. Nance),,1-2,,
11:06.0,,,1-2,,L. Williams misses 2-pt shot from 15 ft
11:05.0,Defensive rebound by J. Sampson,,1-2,,
10:46.0,Turnover by I. Canaan (step out of bounds),,1-2,,
10:25.0,,,1-2,,J. Clarkson misses 2-pt shot from 2 ft (block by J. Sampson)
10:24.0,,,1-2,,Offensive rebound by L. Nance
10:23.0,,,1-2,,L. Nance misses 2-pt shot from 4 ft
10:22.0,,,1-2,,Offensive rebound by Team
10:22.0,,,1-2,,Turnover by Team (shot clock)
10:08.0,Turnover by J. Grant (offensive foul),,1-2,,
10:08.0,Offensive foul by J. Grant,,1-2,,
9:51.0,,,1-2,,R. Hibbert misses 2-pt shot from 5 ft
9:49.0,Defensive rebound by N. Noel,,1-2,,
9:37.0,J. Sampson misses 2-pt shot from 1 ft,,1-2,,
9:37.0,,,1-2,,Defensive rebound by R. Hibbert
9:16.0,,,1-4,2,L. Nance makes 2-pt shot at rim (assist by J. Clarkson)
9:07.0,I. Smith misses 2-pt shot at rim,,1-4,,
9:06.0,,,1-4,,Defensive rebound by L. Nance
8:54.0,,,1-4,,J. Clarkson misses 2-pt shot from 2 ft (block by J. Grant)
8:54.0,,,1-4,,Offensive rebound by Team
8:50.0,,,1-4,,J. Clarkson misses 2-pt shot from 15 ft
8:49.0,,,1-4,,Offensive rebound by L. Nance
8:47.0,,,1-4,,Shooting foul by I. Smith (drawn by L. Williams)
8:47.0,,,1-5,1,L. Williams makes free throw 1 of 2
8:47.0,,,1-6,1,L. Williams makes free throw 2 of 2
8:40.0,I. Smith misses 2-pt shot from 5 ft,,1-6,,
8:39.0,Offensive rebound by N. Noel,,1-6,,
8:37.0,N. Noel makes 2-pt shot from 1 ft,2,3-6,,
8:12.0,,,3-8,2,J. Clarkson makes 2-pt shot from 8 ft
7:59.0,J. Grant misses 2-pt shot from 1 ft (block by R. Hibbert),,3-8,,
