time,LA Lakers,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. M. Plumlee (A. Aminu gains possession),,,,Jump ball: R. Hibbert vs. M. Plumlee (A. Aminu gains possession)
11:48.0,,,0-0,,Turnover by D. Lillard (bad pass; steal by J. Clarkson)
11:41.0,J. Randle makes 2-pt shot at rim (assist by J. Clarkson),2,2-0,,
11:29.0,,,2-2,2,C. McCollum makes 2-pt shot from 18 ft (assist by D. Lillard)
10:59.0,R. Hibbert makes 2-pt shot from 4 ft,2,4-2,,
10:44.0,,,4-4,2,C. McCollum makes 2-pt shot from 14 ft
10:24.0,J. Randle misses 2-pt shot from 10 ft,,4-4,,
10:24.0,Offensive rebound by Team,,4-4,,
10:24.0,,,4-4,,Loose ball foul by M. Plumlee (drawn by R. Hibbert)
10:12.0,Turnover by R. Hibbert (lost ball; steal by M. Plumlee),,4-4,,
10:04.0,,,4-6,2,C. McCollum makes 2-pt shot from 18 ft
9:47.0,J. Randle makes 2-pt shot from 1 ft (assist by K. Bryant),2,6-6,,
9:35.0,,,6-9,3,C. McCollum makes 3-pt shot from 23 ft (assist by M. Plumlee)
9:14.0,K. Bryant misses 2-pt shot from 21 ft,,6-9,,
9:12.0,,,6-9,,Defensive rebound by Team
9:02.0,,,6-9,,C. McCollum misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by J. Clarkson,,6-9,,
8:42.0,K. Bryant misses 2-pt shot from 17 ft,,6-9,,
8:40.0,,,6-9,,Defensive rebound by N. Vonleh
8:34.0,,,6-11,2,D. Lillard makes 2-pt shot at rim
8:34.0,Away from play foul by J. Randle (drawn by M. Plumlee),,6-11,,
8:34.0,,,6-12,1,M. Plumlee makes free throw 1 of 1
8:16.0,D. Russell misses 3-pt shot from 24 ft,,6-12,,
8:15.0,,,6-12,,Defensive rebound by N. Vonleh
8:06.0,,,6-12,,Turnover by M. Plumlee (lost ball; steal by J. Clarkson)
8:02.0,Turnover by J. Clarkson (bad pass; steal by N. Vonleh),,6-12,,
7:57.0,,,6-14,2,N. Vonleh makes 2-pt shot at rim
7:49.0,LA Lakers full timeout,,6-14,,
7:37.0,J. Randle makes 2-pt shot from 17 ft (assist by J. Clarkson),2,8-14,,
7:20.0,,,8-14,,D. Lillard misses 3-pt shot from 24 ft
7:20.0,Defensive rebound by J. Clarkson,,8-14,,
7:05.0,K. Bryant misses 2-pt shot from 10 ft,,8-14,,
7:03.0,,,8-14,,Defensive rebound by A. Aminu
6:51.0,,,8-16,2,N. Vonleh makes 2-pt shot from 4 ft (assist by D. Lillard)
6:30.0,D. Russell misses 2-pt shot from 19 ft,,8-16,,
6:29.0,,,8-16,,Defensive rebound by A. Aminu
6:24.0,,,8-16,,Shooting foul by J. Randle (drawn by A. Aminu)
6:24.0,,,8-17,1,A. Aminu makes free throw 1 of 2
6:24.0,L. Nance enters the game for J. Randle,,8-17,,
6:24.0,,,8-17,,A. Aminu misses free throw 2 of 2
6:23.0,Defensive rebound by R. Hibbert,,8-17,,
6:08.0,J. Clarkson misses 2-pt shot from 18 ft,,8-17,,
6:07.0,,,8-17,,Defensive rebound by D. Lillard
6:03.0,,,8-17,,Turnover by D. Lillard (bad pass; steal by J. Clarkson)
5:59.0,Turnover by D. Russell (lost ball),,8-17,,
5:42.0,,,8-19,2,A. Aminu makes 2-pt shot from 15 ft
5:27.0,K. Bryant makes 2-pt shot from 15 ft (assist by D. Russell),2,10-19,,
5:09.0,,,10-21,2,C. McCollum makes 2-pt shot from 20 ft (assist by M. Plumlee)
4:47.0,K. Bryant makes 2-pt shot from 18 ft,2,12-21,,
4:29.0,,,12-24,3,C. McCollum makes 3-pt shot from 23 ft (assist by D. Lillard)
4:09.0,K. Bryant misses 2-pt shot from 20 ft,,12-24,,
4:09.0,,,12-24,,Defensive rebound by N. Vonleh
3:56.0,,,12-24,,C. McCollum misses 2-pt shot from 2 ft
3:55.0,Defensive rebound by L. Nance,,12-24,,
3:49.0,J. Clarkson makes 2-pt shot at rim (assist by K. Bryant),2,14-24,,
3:30.0,,,14-27,3,D. Lillard makes 3-pt shot from 25 ft (assist by A. Aminu)
3:13.0,K. Bryant misses 2-pt shot from 17 ft,,14-27,,
3:13.0,Offensive rebound by Team,,14-27,,
3:13.0,B. Bass enters the game for K. Bryant,,14-27,,
3:13.0,M. World Peace enters the game for R. Hibbert,,14-27,,
3:13.0,N. Young enters the game for D. Russell,,14-27,,
3:13.0,,,14-27,,M. Harkless enters the game for A. Aminu
3:13.0,,,14-27,,M. Leonard enters the game for N. Vonleh
3:13.0,,,14-27,,A. Crabbe enters the game for C. McCollum
3:03.0,B. Bass misses 2-pt shot from 20 ft,,14-27,,
3:01.0,,,14-27,,Defensive rebound by D. Lillard
2:56.0,,,14-27,,Turnover by D. Lillard (bad pass; steal by L. Nance)
2:48.0,J. Clarkson misses 2-pt shot from 1 ft,,14-27,,
2:48.0,Offensive rebound by B. Bass,,14-27,,
2:34.0,Shooting foul by M. Plumlee (drawn by B. Bass),,14-27,,
2:34.0,,,14-27,,Portland full timeout
2:34.0,,,14-27,,E. Davis enters the game for M. Plumlee
2:34.0,B. Bass misses free throw 1 of 2,,14-27,,
2:34.0,Offensive rebound by Team,,14-27,,
2:34.0,B. Bass makes free throw 2 of 2,1,15-27,,
2:18.0,,,15-30,3,D. Lillard makes 3-pt shot from 26 ft (assist by A. Crabbe)
1:58.0,N. Young misses 3-pt shot from 24 ft,,15-30,,
1:57.0,,,15-30,,Defensive rebound by M. Harkless
1:50.0,,,15-30,,D. Lillard misses 3-pt shot from 27 ft
1:48.0,,,15-30,,Offensive rebound by M. Leonard
1:37.0,,,15-32,2,A. Crabbe makes 2-pt shot from 21 ft (assist by M. Harkless)
1:17.0,J. Clarkson makes 2-pt shot from 6 ft,2,17-32,,
1:02.0,Personal foul by L. Nance (drawn by D. Lillard),,17-32,,
0:59.0,,,17-32,,Turnover by D. Lillard (lost ball; steal by N. Young)
0:35.0,M. World Peace makes 2-pt shot from 2 ft,2,19-32,,
0:31.0,,,19-32,,Shooting foul by L. Nance (drawn by D. Lillard)
0:31.0,,,19-33,1,D. Lillard makes free throw 1 of 2
0:31.0,,,19-34,1,D. Lillard makes free throw 2 of 2
0:12.0,J. Clarkson makes 2-pt shot from 19 ft,2,21-34,,
0:00.0,,,21-34,,M. Leonard misses 3-pt shot from 24 ft
0:00.0,,,21-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,M. World Peace misses 3-pt shot from 23 ft,,21-34,,
11:44.0,,,21-34,,Defensive rebound by M. Leonard
11:39.0,,,21-34,,A. Crabbe misses 2-pt shot at rim
11:38.0,,,21-34,,Offensive rebound by M. Harkless
11:16.0,,,21-34,,E. Davis misses 2-pt shot from 8 ft (block by B. Bass)
11:15.0,,,21-34,,Offensive rebound by Team
11:15.0,K. Bryant enters the game for N. Young,,21-34,,
11:11.0,,,21-34,,C. McCollum misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by K. Bryant,,21-34,,
10:59.0,Shooting foul by C. McCollum (drawn by K. Bryant),,21-34,,
10:59.0,K. Bryant makes free throw 1 of 2,1,22-34,,
