time,Sacramento,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. P. Gasol (D. Rose gains possession),,,,Jump ball: D. Cousins vs. P. Gasol (D. Rose gains possession)
11:44.0,,,0-0,,M. Dunleavy misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by Q. Acy,,0-0,,
11:19.0,R. Gay makes 3-pt shot from 22 ft (assist by J. Anderson),3,3-0,,
11:07.0,,,3-0,,T. Gibson misses 2-pt shot from 7 ft (block by D. Cousins)
11:04.0,,,3-0,,Offensive rebound by T. Gibson
11:03.0,,,3-2,2,T. Gibson makes 2-pt shot from 2 ft
10:46.0,Turnover by D. Cousins (lost ball; steal by J. Butler),,3-2,,
10:32.0,,,3-2,,P. Gasol misses 2-pt shot from 18 ft
10:31.0,Defensive rebound by D. Cousins,,3-2,,
10:20.0,R. Rondo misses 2-pt shot from 20 ft,,3-2,,
10:19.0,,,3-2,,Defensive rebound by P. Gasol
9:55.0,,,3-2,,T. Gibson misses 2-pt shot from 17 ft
9:53.0,Defensive rebound by R. Rondo,,3-2,,
9:50.0,Turnover by R. Rondo (lost ball; steal by J. Butler),,3-2,,
9:44.0,,,3-4,2,D. Rose makes 2-pt shot from 7 ft
9:24.0,Q. Acy makes 2-pt shot from 18 ft (assist by J. Anderson),2,5-4,,
9:11.0,,,5-4,,M. Dunleavy misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by R. Gay,,5-4,,
9:04.0,R. Rondo makes 2-pt shot from 2 ft (assist by R. Gay),2,7-4,,
8:54.0,,,7-6,2,D. Rose makes 2-pt shot from 7 ft
8:26.0,J. Anderson misses 3-pt shot from 24 ft,,7-6,,
8:25.0,,,7-6,,Defensive rebound by D. Rose
8:12.0,,,7-6,,T. Gibson misses 2-pt shot from 1 ft
8:11.0,,,7-6,,Offensive rebound by P. Gasol
8:11.0,,,7-8,2,P. Gasol makes 2-pt shot from 1 ft
8:09.0,,,7-8,,Technical foul by T. Gibson
8:09.0,R. Gay makes technical free throw,1,8-8,,
7:52.0,D. Cousins misses 2-pt shot from 9 ft (block by T. Gibson),,8-8,,
7:51.0,,,8-8,,Defensive rebound by M. Dunleavy
7:43.0,,,8-10,2,T. Gibson makes 2-pt shot from 11 ft (assist by P. Gasol)
7:27.0,Turnover by R. Gay (lost ball; steal by J. Butler),,8-10,,
7:27.0,Personal foul by R. Gay,,8-10,,
7:16.0,,,8-10,,J. Butler misses 2-pt shot from 18 ft
7:14.0,Defensive rebound by R. Rondo,,8-10,,
7:10.0,J. Anderson makes 2-pt shot at rim (assist by R. Rondo),2,10-10,,
6:59.0,,,10-10,,D. Rose misses 2-pt shot from 15 ft
6:59.0,,,10-10,,Offensive rebound by Team
6:46.0,,,10-10,,Shooting foul by R. Rondo (drawn by J. Butler)
6:46.0,,,10-11,1,J. Butler makes free throw 1 of 3
6:46.0,,,10-12,1,J. Butler makes free throw 2 of 3
6:46.0,,,10-13,1,J. Butler makes free throw 3 of 3
6:35.0,R. Rondo makes 2-pt shot from 2 ft,2,12-13,,
6:24.0,,,12-15,2,P. Gasol makes 2-pt shot from 5 ft (assist by J. Butler)
6:09.0,D. Cousins makes 2-pt shot from 21 ft (assist by R. Rondo),2,14-15,,
5:58.0,,,14-15,,Chicago full timeout
5:58.0,,,14-15,,N. Mirotic enters the game for P. Gasol
5:45.0,,,14-17,2,T. Gibson makes 2-pt shot at rim (assist by J. Butler)
5:28.0,R. Gay misses 2-pt shot from 20 ft,,14-17,,
5:27.0,,,14-17,,Defensive rebound by N. Mirotic
5:16.0,,,14-17,,M. Dunleavy misses 2-pt shot from 20 ft
5:15.0,Defensive rebound by D. Cousins,,14-17,,
5:10.0,D. Cousins misses 2-pt shot from 2 ft (block by N. Mirotic),,14-17,,
5:07.0,Offensive rebound by D. Cousins,,14-17,,
5:06.0,D. Cousins makes 2-pt shot from 1 ft,2,16-17,,
4:58.0,,,16-17,,Shooting foul by Q. Acy (drawn by D. Rose)
