time,Dallas,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. Z. Pachulia (K. Durant gains possession),,,,Jump ball: S. Adams vs. Z. Pachulia (K. Durant gains possession)
11:36.0,,,0-0,,Shooting foul by D. Nowitzki (drawn by R. Westbrook)
11:36.0,,,0-1,1,R. Westbrook makes free throw 1 of 2
11:36.0,,,0-1,,R. Westbrook misses free throw 2 of 2
11:35.0,Defensive rebound by R. Felton,,0-1,,
11:13.0,D. Nowitzki makes 2-pt shot from 2 ft,2,2-1,,
11:03.0,,,2-1,,K. Durant misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by W. Matthews,,2-1,,
10:40.0,R. Felton misses 2-pt shot from 2 ft,,2-1,,
10:40.0,,,2-1,,Defensive rebound by S. Adams
10:31.0,,,2-1,,S. Ibaka misses 3-pt shot from 25 ft
10:31.0,,,2-1,,Offensive rebound by R. Westbrook
10:29.0,,,2-3,2,R. Westbrook makes 2-pt shot from 1 ft
10:09.0,D. Nowitzki misses 2-pt shot from 5 ft,,2-3,,
10:08.0,,,2-3,,Defensive rebound by K. Durant
10:01.0,,,2-5,2,K. Durant makes 2-pt shot from 2 ft
9:46.0,D. Williams makes 2-pt shot from 1 ft,2,4-5,,
9:27.0,,,4-5,,K. Durant misses 2-pt shot from 2 ft
9:27.0,,,4-5,,Offensive rebound by K. Durant
9:22.0,,,4-5,,S. Ibaka misses 3-pt shot from 23 ft
9:21.0,Defensive rebound by W. Matthews,,4-5,,
9:15.0,D. Williams makes 3-pt shot from 25 ft,3,7-5,,
8:51.0,,,7-5,,K. Durant misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by W. Matthews,,7-5,,
8:42.0,Turnover by D. Williams (bad pass),,7-5,,
8:26.0,,,7-5,,S. Ibaka misses 2-pt shot from 14 ft
8:26.0,,,7-5,,Offensive rebound by Team
8:25.0,Loose ball foul by D. Nowitzki,,7-5,,
8:25.0,D. Powell enters the game for D. Nowitzki,,7-5,,
8:20.0,,,7-7,2,R. Westbrook makes 2-pt shot from 14 ft
7:57.0,D. Williams makes 3-pt shot from 24 ft,3,10-7,,
7:44.0,,,10-7,,K. Durant misses 2-pt shot from 5 ft
7:44.0,Defensive rebound by Z. Pachulia,,10-7,,
7:32.0,R. Felton makes 2-pt shot from 18 ft,2,12-7,,
7:17.0,,,12-7,,R. Westbrook misses 2-pt shot from 2 ft
7:16.0,Defensive rebound by Z. Pachulia,,12-7,,
7:07.0,D. Williams makes 3-pt shot from 24 ft,3,15-7,,
7:01.0,,,15-7,,Oklahoma City full timeout
6:55.0,,,15-9,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
6:34.0,Z. Pachulia misses 2-pt shot from 19 ft,,15-9,,
6:33.0,,,15-9,,Defensive rebound by R. Westbrook
6:19.0,,,15-11,2,K. Durant makes 2-pt shot from 2 ft
6:01.0,Turnover by D. Powell (lost ball; steal by R. Westbrook),,15-11,,
5:58.0,,,15-11,,Turnover by R. Westbrook (traveling)
5:40.0,Z. Pachulia misses 2-pt shot from 15 ft,,15-11,,
5:40.0,Offensive rebound by D. Powell,,15-11,,
5:36.0,R. Felton makes 3-pt shot from 25 ft (assist by D. Williams),3,18-11,,
5:16.0,,,18-13,2,K. Durant makes 2-pt shot from 10 ft
4:41.0,W. Matthews misses 3-pt shot from 23 ft,,18-13,,
4:41.0,,,18-13,,Defensive rebound by S. Ibaka
4:28.0,,,18-13,,A. Roberson misses 3-pt shot from 23 ft
4:28.0,Defensive rebound by D. Powell,,18-13,,
