time,Chicago,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Johnson (I. Thomas gains possession),,,,Jump ball: P. Gasol vs. A. Johnson (I. Thomas gains possession)
11:45.0,,,0-0,,I. Thomas misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by P. Gasol,,0-0,,
11:27.0,J. Butler misses 2-pt shot from 15 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by J. Sullinger
11:15.0,,,0-0,,J. Sullinger misses 2-pt shot from 17 ft
11:14.0,Defensive rebound by D. Rose,,0-0,,
11:03.0,,,0-0,,Personal foul by A. Bradley (drawn by D. Rose)
10:55.0,T. Snell misses 3-pt shot from 24 ft,,0-0,,
10:54.0,,,0-0,,Defensive rebound by J. Sullinger
10:49.0,,,0-0,,Turnover by I. Thomas (lost ball; steal by T. Snell)
10:44.0,Turnover by T. Snell (bad pass; steal by A. Johnson),,0-0,,
10:25.0,,,0-2,2,A. Johnson makes 2-pt shot from 4 ft (assist by A. Bradley)
10:07.0,P. Gasol makes 2-pt shot from 13 ft,2,2-2,,
9:51.0,,,2-2,,I. Thomas misses 2-pt shot from 2 ft
9:51.0,Defensive rebound by P. Gasol,,2-2,,
9:42.0,D. Rose makes 2-pt shot from 17 ft,2,4-2,,
9:28.0,,,4-2,,A. Bradley misses 2-pt shot from 18 ft
9:27.0,Defensive rebound by J. Butler,,4-2,,
9:10.0,P. Gasol misses 2-pt shot from 19 ft,,4-2,,
9:09.0,,,4-2,,Defensive rebound by A. Bradley
9:00.0,,,4-2,,Turnover by J. Sullinger (traveling)
8:44.0,T. Gibson makes 2-pt shot at rim (assist by P. Gasol),2,6-2,,
8:32.0,,,6-2,,A. Bradley misses 2-pt shot from 19 ft
8:31.0,Defensive rebound by J. Butler,,6-2,,
8:19.0,T. Gibson misses 2-pt shot from 15 ft,,6-2,,
8:18.0,,,6-2,,Defensive rebound by I. Thomas
8:14.0,,,6-2,,Turnover by I. Thomas (bad pass; steal by J. Butler)
7:58.0,J. Butler makes 2-pt shot from 16 ft,2,8-2,,
7:58.0,,,8-2,,Boston full timeout
7:50.0,,,8-5,3,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas)
7:30.0,D. Rose makes 3-pt shot from 24 ft (assist by T. Gibson),3,11-5,,
7:09.0,,,11-5,,J. Crowder misses 3-pt shot from 25 ft
7:08.0,,,11-5,,Offensive rebound by J. Sullinger
7:03.0,,,11-5,,A. Bradley misses 3-pt shot from 23 ft
7:01.0,,,11-5,,Offensive rebound by Team
6:55.0,,,11-5,,A. Bradley misses 2-pt shot from 20 ft
6:54.0,Defensive rebound by T. Gibson,,11-5,,
