time,Oklahoma City,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Duncan (D. Waiters gains possession),,,,Jump ball: S. Adams vs. T. Duncan (D. Waiters gains possession)
11:39.0,A. Roberson makes 3-pt shot from 25 ft,3,3-0,,
11:23.0,,,3-0,,L. Aldridge misses 2-pt shot from 16 ft
11:23.0,Defensive rebound by A. Roberson,,3-0,,
11:13.0,C. Payne makes 2-pt shot from 5 ft (assist by N. Collison),2,5-0,,
10:55.0,,,5-2,2,T. Duncan makes 2-pt shot from 13 ft (assist by K. Leonard)
10:46.0,Turnover by N. Collison (lost ball; steal by D. Green),,5-2,,
10:39.0,,,5-2,,Shooting foul by A. Roberson (drawn by K. Leonard)
10:39.0,,,5-2,,K. Leonard misses free throw 1 of 2
10:39.0,,,5-2,,Offensive rebound by Team
10:39.0,,,5-2,,K. Leonard misses free throw 2 of 2
10:39.0,Defensive rebound by A. Roberson,,5-2,,
10:24.0,D. Waiters misses 3-pt shot from 24 ft,,5-2,,
10:23.0,Offensive rebound by S. Adams,,5-2,,
10:04.0,D. Waiters misses 2-pt shot from 1 ft,,5-2,,
10:03.0,Offensive rebound by S. Adams,,5-2,,
10:00.0,S. Adams misses 2-pt shot at rim,,5-2,,
10:00.0,,,5-2,,Defensive rebound by T. Duncan
9:55.0,,,5-5,3,D. Green makes 3-pt shot from 24 ft (assist by T. Duncan)
9:38.0,C. Payne misses 3-pt shot from 22 ft,,5-5,,
9:38.0,Offensive rebound by S. Adams,,5-5,,
9:33.0,S. Adams makes 2-pt shot at rim,2,7-5,,
9:18.0,,,7-5,,Turnover by T. Duncan (lost ball; steal by C. Payne)
8:58.0,C. Payne misses 2-pt shot from 12 ft (block by T. Duncan),,7-5,,
8:57.0,,,7-5,,Defensive rebound by T. Duncan
8:52.0,,,7-7,2,T. Parker makes 2-pt shot at rim (assist by T. Duncan)
8:36.0,N. Collison makes 2-pt shot from 18 ft (assist by D. Waiters),2,9-7,,
8:19.0,,,9-7,,T. Duncan misses 2-pt shot from 16 ft
8:19.0,Defensive rebound by S. Adams,,9-7,,
8:12.0,D. Waiters misses 2-pt shot from 16 ft,,9-7,,
8:11.0,,,9-7,,Defensive rebound by K. Leonard
7:51.0,,,9-9,2,T. Duncan makes 2-pt shot at rim (assist by D. Green)
7:24.0,,,9-9,,Personal foul by T. Parker
7:24.0,D. Waiters makes free throw 1 of 2,1,10-9,,
7:24.0,D. Waiters makes free throw 2 of 2,1,11-9,,
7:06.0,,,11-9,,D. Green misses 3-pt shot from 25 ft
7:06.0,,,11-9,,Offensive rebound by L. Aldridge
6:55.0,,,11-11,2,L. Aldridge makes 2-pt shot from 6 ft (assist by K. Leonard)
6:42.0,C. Payne misses 2-pt shot from 1 ft (block by L. Aldridge),,11-11,,
6:41.0,Offensive rebound by S. Adams,,11-11,,
6:39.0,Shooting foul by D. Green (drawn by S. Adams),,11-11,,
6:39.0,S. Adams makes free throw 1 of 2,1,12-11,,
6:39.0,S. Adams makes free throw 2 of 2,1,13-11,,
6:21.0,,,13-11,,Shooting foul by N. Collison (drawn by L. Aldridge)
6:21.0,,,13-11,,L. Aldridge misses free throw 1 of 2
6:21.0,,,13-11,,Offensive rebound by Team
6:21.0,E. Kanter enters the game for N. Collison,,13-11,,
6:21.0,,,13-11,,L. Aldridge misses free throw 2 of 2
6:21.0,Defensive rebound by A. Roberson,,13-11,,
6:21.0,E. Kanter makes 2-pt shot from 8 ft (assist by C. Payne),2,15-11,,
6:05.0,,,15-13,2,K. Leonard makes 2-pt shot from 15 ft (assist by T. Parker)
5:33.0,C. Payne misses 3-pt shot from 27 ft,,15-13,,
5:31.0,,,15-13,,Defensive rebound by T. Duncan
5:15.0,,,15-13,,Shooting foul by S. Adams (drawn by L. Aldridge)
5:15.0,,,15-13,,San Antonio full timeout
5:15.0,,,15-13,,K. Martin enters the game for D. Green
5:15.0,,,15-13,,P. Mills enters the game for T. Parker
5:15.0,,,15-13,,D. West enters the game for T. Duncan
5:15.0,A. Morrow enters the game for A. Roberson,,15-13,,
5:15.0,,,15-14,1,L. Aldridge makes free throw 1 of 2
5:15.0,,,15-15,1,L. Aldridge makes free throw 2 of 2
5:05.0,A. Morrow makes 3-pt shot from 24 ft (assist by C. Payne),3,18-15,,
4:49.0,,,18-17,2,D. West makes 2-pt shot from 19 ft (assist by K. Leonard)
4:34.0,Turnover by C. Payne (lost ball; steal by K. Leonard),,18-17,,
4:27.0,,,18-19,2,K. Leonard makes 2-pt shot from 1 ft (assist by P. Mills)
4:07.0,A. Morrow misses 2-pt shot from 15 ft,,18-19,,
4:07.0,,,18-19,,Defensive rebound by L. Aldridge
3:57.0,,,18-19,,P. Mills misses 2-pt shot at rim
3:57.0,Defensive rebound by C. Payne,,18-19,,
3:35.0,E. Kanter makes 3-pt shot from 22 ft (assist by D. Waiters),3,21-19,,
3:23.0,,,21-19,,L. Aldridge misses 2-pt shot from 18 ft
3:23.0,Defensive rebound by E. Kanter,,21-19,,
3:13.0,D. Waiters misses 2-pt shot from 1 ft,,21-19,,
3:12.0,Offensive rebound by S. Adams,,21-19,,
3:09.0,S. Adams makes 2-pt shot at rim,2,23-19,,
2:51.0,,,23-19,,D. West misses 2-pt shot from 8 ft
2:51.0,Defensive rebound by E. Kanter,,23-19,,
2:43.0,C. Payne makes 2-pt shot from 9 ft,2,25-19,,
2:15.0,,,25-19,,Offensive foul by K. Leonard
2:15.0,,,25-19,,Turnover by K. Leonard (offensive foul)
2:15.0,Oklahoma City full timeout,,25-19,,
2:15.0,,,25-19,,T. Duncan enters the game for L. Aldridge
2:15.0,N. Collison enters the game for S. Adams,,25-19,,
2:00.0,Turnover by E. Kanter (traveling),,25-19,,
1:51.0,,,25-21,2,T. Duncan makes 2-pt shot from 8 ft (assist by K. Leonard)
1:26.0,Shooting foul by T. Duncan (drawn by D. Waiters),,25-21,,
1:26.0,D. Waiters makes free throw 1 of 2,1,26-21,,
1:26.0,D. Waiters makes free throw 2 of 2,1,27-21,,
1:05.0,,,27-21,,K. Leonard misses 2-pt shot from 7 ft
1:05.0,Defensive rebound by E. Kanter,,27-21,,
0:58.0,A. Morrow misses 2-pt shot from 16 ft,,27-21,,
0:58.0,,,27-21,,Defensive rebound by P. Mills
0:51.0,,,27-21,,T. Duncan misses 2-pt shot from 2 ft (block by D. Waiters)
0:49.0,Defensive rebound by N. Collison,,27-21,,
0:47.0,Shooting foul by K. Martin (drawn by E. Kanter),,27-21,,
0:47.0,E. Kanter makes free throw 1 of 2,1,28-21,,
0:47.0,E. Kanter makes free throw 2 of 2,1,29-21,,
0:36.0,,,29-21,,Turnover by K. Leonard (lost ball; steal by N. Collison)
0:28.0,C. Payne makes 3-pt shot from 25 ft (assist by D. Waiters),3,32-21,,
0:14.0,,,32-21,,K. Martin misses 2-pt shot from 10 ft
0:13.0,,,32-21,,Offensive rebound by T. Duncan
0:11.0,,,32-21,,Turnover by K. Martin (lost ball; steal by D. Waiters)
0:10.0,Turnover by D. Waiters (lost ball; steal by K. Leonard),,32-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
