time,Washington,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Plumlee (D. Lillard gains possession),,,,Jump ball: M. Gortat vs. M. Plumlee (D. Lillard gains possession)
11:43.0,,,0-0,,Turnover by A. Aminu (lost ball; steal by J. Wall)
11:40.0,Shooting foul by C. McCollum (drawn by J. Wall),,0-0,,
11:40.0,J. Wall makes free throw 1 of 2,1,1-0,,
11:40.0,J. Wall misses free throw 2 of 2,,1-0,,
11:38.0,,,1-0,,Defensive rebound by D. Lillard
11:23.0,,,1-2,2,M. Plumlee makes 2-pt shot from 5 ft
11:13.0,M. Gortat makes 2-pt shot from 2 ft (assist by G. Temple),2,3-2,,
11:02.0,,,3-2,,Turnover by M. Plumlee (bad pass)
10:49.0,Turnover by M. Gortat (lost ball),,3-2,,
10:35.0,,,3-2,,N. Vonleh misses 2-pt shot from 19 ft
10:33.0,,,3-2,,Offensive rebound by M. Plumlee
10:26.0,,,3-2,,A. Aminu misses 2-pt shot at rim
10:25.0,,,3-2,,Offensive rebound by A. Aminu
10:21.0,,,3-2,,Turnover by N. Vonleh (traveling)
10:04.0,M. Morris misses 2-pt shot from 15 ft,,3-2,,
10:02.0,,,3-2,,Defensive rebound by Team
9:53.0,Personal foul by G. Temple,,3-2,,
9:50.0,,,3-2,,M. Plumlee misses 2-pt shot from 5 ft
9:49.0,Defensive rebound by M. Morris,,3-2,,
9:43.0,G. Temple makes 3-pt shot from 23 ft (assist by J. Wall),3,6-2,,
9:31.0,,,6-2,,Turnover by M. Plumlee (lost ball; steal by J. Wall)
9:25.0,O. Porter misses 2-pt shot at rim,,6-2,,
9:22.0,,,6-2,,Defensive rebound by N. Vonleh
9:17.0,,,6-4,2,C. McCollum makes 2-pt shot from 7 ft (assist by D. Lillard)
9:02.0,M. Morris makes 2-pt shot from 21 ft (assist by J. Wall),2,8-4,,
8:45.0,,,8-7,3,C. McCollum makes 3-pt shot from 22 ft (assist by D. Lillard)
8:36.0,M. Gortat misses 2-pt shot from 1 ft (block by M. Plumlee),,8-7,,
8:35.0,,,8-7,,Defensive rebound by A. Aminu
8:27.0,,,8-10,3,D. Lillard makes 3-pt shot from 25 ft (assist by A. Aminu)
8:07.0,M. Gortat misses 2-pt shot from 4 ft,,8-10,,
8:07.0,,,8-10,,Defensive rebound by C. McCollum
7:51.0,,,8-13,3,D. Lillard makes 3-pt shot from 25 ft (assist by C. McCollum)
7:41.0,J. Wall makes 2-pt shot from 18 ft,2,10-13,,
7:17.0,,,10-15,2,D. Lillard makes 2-pt shot from 1 ft
6:58.0,M. Morris misses 3-pt shot from 24 ft,,10-15,,
6:57.0,,,10-15,,Defensive rebound by A. Aminu
6:46.0,,,10-15,,Shooting foul by M. Morris (drawn by M. Plumlee)
6:46.0,,,10-15,,M. Plumlee misses free throw 1 of 2
6:46.0,,,10-15,,Offensive rebound by Team
6:46.0,,,10-16,1,M. Plumlee makes free throw 2 of 2
6:31.0,J. Wall misses 2-pt shot from 14 ft,,10-16,,
6:30.0,Offensive rebound by M. Gortat,,10-16,,
6:23.0,O. Porter misses 2-pt shot from 17 ft,,10-16,,
6:22.0,Offensive rebound by M. Morris,,10-16,,
6:15.0,,,10-16,,Personal foul by N. Vonleh
6:06.0,Turnover by J. Wall (bad pass),,10-16,,
6:06.0,,,10-16,,Portland full timeout
5:49.0,,,10-16,,N. Vonleh misses 2-pt shot from 1 ft (block by M. Gortat)
5:48.0,Defensive rebound by O. Porter,,10-16,,
5:36.0,J. Wall misses 2-pt shot from 2 ft,,10-16,,
5:35.0,,,10-16,,Defensive rebound by Team
5:24.0,,,10-18,2,D. Lillard makes 2-pt shot from 3 ft
5:04.0,M. Morris misses 2-pt shot from 10 ft,,10-18,,
5:03.0,,,10-18,,Defensive rebound by A. Aminu
4:53.0,,,10-18,,M. Plumlee misses 2-pt shot from 1 ft
4:52.0,Defensive rebound by M. Gortat,,10-18,,
4:42.0,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall),2,12-18,,
4:29.0,,,12-18,,Offensive foul by N. Vonleh
4:29.0,,,12-18,,Turnover by N. Vonleh (offensive foul)
4:29.0,J. Dudley enters the game for M. Morris,,12-18,,
4:29.0,,,12-18,,E. Davis enters the game for N. Vonleh
4:29.0,,,12-18,,M. Leonard enters the game for M. Plumlee
4:29.0,,,12-18,,A. Crabbe enters the game for C. McCollum
4:12.0,J. Dudley makes 2-pt shot from 19 ft,2,14-18,,
3:48.0,,,14-20,2,M. Leonard makes 2-pt shot from 18 ft (assist by D. Lillard)
3:32.0,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall),3,17-20,,
3:12.0,,,17-22,2,E. Davis makes 2-pt shot from 6 ft (assist by D. Lillard)
2:55.0,J. Wall misses 2-pt shot from 13 ft,,17-22,,
2:54.0,,,17-22,,Defensive rebound by D. Lillard
2:39.0,,,17-25,3,D. Lillard makes 3-pt shot from 27 ft (assist by M. Leonard)
2:34.0,Shooting foul by E. Davis (drawn by J. Dudley),,17-25,,
2:34.0,Washington full timeout,,17-25,,
2:34.0,,,17-25,,G. Henderson enters the game for A. Aminu
2:34.0,A. Anderson enters the game for G. Temple,,17-25,,
2:34.0,J. Dudley makes free throw 1 of 3,1,18-25,,
2:34.0,J. Dudley makes free throw 2 of 3,1,19-25,,
2:34.0,J. Dudley makes free throw 3 of 3,1,20-25,,
2:11.0,,,20-27,2,A. Crabbe makes 2-pt shot from 17 ft (assist by M. Leonard)
1:55.0,J. Dudley misses 3-pt shot from 22 ft,,20-27,,
1:54.0,,,20-27,,Defensive rebound by E. Davis
1:44.0,,,20-27,,E. Davis misses 2-pt shot from 4 ft
1:43.0,,,20-27,,Offensive rebound by E. Davis
1:41.0,,,20-29,2,E. Davis makes 2-pt shot from 4 ft
1:23.0,,,20-29,,Personal foul by G. Henderson
1:23.0,,,20-29,,Technical foul by G. Henderson
1:23.0,Technical foul by A. Anderson,,20-29,,
1:23.0,Technical foul by A. Anderson,,20-29,,
1:23.0,K. Oubre enters the game for A. Anderson,,20-29,,
1:23.0,,,20-29,,D. Lillard misses technical free throw
1:23.0,Offensive rebound by Team,,20-29,,
1:23.0,N. Hilario enters the game for M. Gortat,,20-29,,
1:12.0,J. Dudley makes 2-pt shot from 5 ft,2,22-29,,
1:12.0,Shooting foul by D. Lillard (drawn by J. Dudley),,22-29,,
1:12.0,J. Dudley misses free throw 1 of 1,,22-29,,
1:09.0,Offensive rebound by N. Hilario,,22-29,,
1:03.0,J. Wall misses 2-pt shot from 18 ft,,22-29,,
1:02.0,,,22-29,,Defensive rebound by M. Leonard
0:48.0,,,22-29,,D. Lillard misses 2-pt shot from 2 ft
0:46.0,Defensive rebound by J. Wall,,22-29,,
0:42.0,Shooting foul by M. Leonard (drawn by K. Oubre),,22-29,,
0:42.0,K. Oubre misses free throw 1 of 2,,22-29,,
0:42.0,Offensive rebound by Team,,22-29,,
0:42.0,K. Oubre misses free throw 2 of 2,,22-29,,
0:41.0,,,22-29,,Defensive rebound by Team
0:32.0,,,22-29,,Turnover by M. Leonard (lost ball; steal by O. Porter)
0:26.0,O. Porter misses 2-pt shot from 1 ft,,22-29,,
0:25.0,,,22-29,,Defensive rebound by E. Davis
0:01.0,,,22-29,,A. Crabbe misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by N. Hilario,,22-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,J. Dudley makes 2-pt shot from 16 ft (assist by N. Hilario),2,24-29,,
11:27.0,,,24-29,,A. Crabbe misses 2-pt shot from 16 ft
11:26.0,Defensive rebound by K. Oubre,,24-29,,
