time,Phoenix,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Chandler (D. Green gains possession),,,,Jump ball: A. Bogut vs. T. Chandler (D. Green gains possession)
11:45.0,,,0-0,,S. Curry misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by T. Chandler,,0-0,,
11:31.0,T. Chandler makes 2-pt shot from 5 ft (assist by A. Len),2,2-0,,
11:19.0,,,2-2,2,K. Thompson makes 2-pt shot from 21 ft (assist by D. Green)
11:08.0,,,2-2,,Personal foul by S. Curry
11:03.0,T. Chandler makes 2-pt shot from 17 ft (assist by B. Knight),2,4-2,,
10:52.0,,,4-2,,Turnover by S. Curry (lost ball; steal by T. Chandler)
10:46.0,Offensive charge foul by B. Knight,,4-2,,
10:46.0,Turnover by B. Knight (offensive foul),,4-2,,
10:33.0,,,4-2,,S. Curry misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by T. Chandler,,4-2,,
10:18.0,Turnover by B. Knight (lost ball; steal by D. Green),,4-2,,
10:06.0,,,4-2,,K. Thompson misses 2-pt shot from 13 ft
10:06.0,Defensive rebound by A. Len,,4-2,,
9:55.0,D. Booker makes 2-pt shot from 16 ft,2,6-2,,
9:40.0,,,6-2,,D. Green misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by A. Len,,6-2,,
9:30.0,T. Chandler misses 2-pt shot from 7 ft,,6-2,,
9:29.0,,,6-2,,Defensive rebound by A. Bogut
9:12.0,,,6-2,,K. Thompson misses 2-pt shot from 7 ft
9:10.0,,,6-2,,Offensive rebound by H. Barnes
9:00.0,Violation by T. Chandler (kicked ball),,6-2,,
8:49.0,,,6-2,,H. Barnes misses 2-pt shot from 4 ft
8:48.0,Defensive rebound by A. Len,,6-2,,
8:35.0,Turnover by A. Len (lost ball; steal by D. Green),,6-2,,
8:29.0,,,6-4,2,H. Barnes makes 2-pt shot at rim (assist by D. Green)
8:11.0,,,6-4,,Personal foul by A. Bogut
8:08.0,B. Knight misses 2-pt shot from 4 ft (block by A. Bogut),,6-4,,
8:07.0,,,6-4,,Defensive rebound by K. Thompson
8:04.0,Personal foul by A. Len,,6-4,,
7:51.0,,,6-7,3,S. Curry makes 3-pt shot from 24 ft (assist by D. Green)
7:42.0,D. Booker makes 2-pt shot from 1 ft,2,8-7,,
7:21.0,,,8-7,,Shooting foul by P. Tucker (drawn by D. Green)
7:21.0,,,8-8,1,D. Green makes free throw 1 of 2
7:21.0,,,8-8,,D. Green misses free throw 2 of 2
7:21.0,Defensive rebound by T. Chandler,,8-8,,
7:09.0,A. Len makes 2-pt shot from 17 ft (assist by B. Knight),2,10-8,,
6:55.0,,,10-11,3,D. Green makes 3-pt shot from 24 ft (assist by H. Barnes)
6:44.0,B. Knight misses 3-pt shot from 24 ft,,10-11,,
6:44.0,,,10-11,,Defensive rebound by A. Bogut
6:32.0,,,10-11,,K. Thompson misses 3-pt shot from 24 ft (block by D. Booker)
6:31.0,,,10-11,,Offensive rebound by K. Thompson
6:30.0,,,10-11,,K. Thompson misses 2-pt shot from 21 ft
6:28.0,Defensive rebound by T. Chandler,,10-11,,
6:12.0,A. Len makes 2-pt shot at rim (assist by B. Knight),2,12-11,,
5:56.0,,,12-13,2,S. Curry makes 2-pt shot from 7 ft
5:38.0,D. Booker makes 2-pt shot from 10 ft,2,14-13,,
