time,Toronto,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. G. Monroe (K. Lowry gains possession),,,,Jump ball: B. Biyombo vs. G. Monroe (K. Lowry gains possession)
11:41.0,Turnover by D. DeRozan (bad pass),,0-0,,
11:29.0,,,0-0,,M. Carter-Williams misses 2-pt shot from 8 ft
11:27.0,Defensive rebound by B. Biyombo,,0-0,,
11:19.0,K. Lowry misses 2-pt shot from 4 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by G. Monroe
11:12.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 9 ft
11:11.0,Defensive rebound by L. Scola,,0-0,,
11:03.0,,,0-0,,Personal block foul by G. Antetokounmpo (drawn by D. DeRozan)
10:55.0,Turnover by D. DeRozan (traveling),,0-0,,
10:39.0,,,0-0,,Turnover by G. Monroe (lost ball; steal by J. Johnson)
10:33.0,J. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,2-0,,
10:17.0,,,2-0,,K. Middleton misses 2-pt shot from 2 ft (block by J. Johnson)
10:14.0,,,2-0,,Offensive rebound by M. Carter-Williams
10:08.0,,,2-0,,J. Parker misses 2-pt shot from 1 ft (block by B. Biyombo)
10:06.0,Defensive rebound by B. Biyombo,,2-0,,
9:57.0,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry),2,4-0,,
9:35.0,,,4-0,,J. Parker misses 2-pt shot from 7 ft
9:34.0,Defensive rebound by L. Scola,,4-0,,
9:30.0,Shooting foul by J. Parker (drawn by D. DeRozan),,4-0,,
9:30.0,D. DeRozan misses free throw 1 of 2,,4-0,,
9:30.0,Offensive rebound by Team,,4-0,,
9:30.0,D. DeRozan makes free throw 2 of 2,1,5-0,,
9:17.0,,,5-2,2,G. Monroe makes 2-pt shot from 8 ft
9:17.0,,,5-2,,Shooting foul by B. Biyombo (drawn by G. Monroe)
9:17.0,,,5-3,1,G. Monroe makes free throw 1 of 1
8:56.0,J. Johnson makes 2-pt shot from 9 ft (assist by D. DeRozan),2,7-3,,
8:29.0,,,7-3,,G. Antetokounmpo misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by B. Biyombo,,7-3,,
8:11.0,D. DeRozan misses 3-pt shot from 23 ft,,7-3,,
8:10.0,,,7-3,,Defensive rebound by G. Monroe
7:52.0,,,7-3,,K. Middleton misses 2-pt shot from 6 ft
7:44.0,Defensive rebound by L. Scola,,7-3,,
7:31.0,L. Scola misses 2-pt shot from 8 ft,,7-3,,
7:28.0,,,7-3,,Defensive rebound by G. Antetokounmpo
7:27.0,Loose ball foul by L. Scola (drawn by G. Antetokounmpo),,7-3,,
7:13.0,,,7-5,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
6:58.0,,,7-5,,Shooting block foul by M. Carter-Williams (drawn by D. DeRozan)
6:58.0,D. DeRozan makes free throw 1 of 2,1,8-5,,
6:58.0,D. DeRozan makes free throw 2 of 2,1,9-5,,
6:46.0,,,9-5,,Turnover by G. Monroe (traveling)
6:33.0,K. Lowry misses 2-pt shot from 19 ft,,9-5,,
6:29.0,,,9-5,,Defensive rebound by K. Middleton
6:24.0,,,9-7,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by K. Middleton)
6:07.0,K. Lowry misses 3-pt shot from 26 ft,,9-7,,
6:05.0,Offensive rebound by B. Biyombo,,9-7,,
6:04.0,Shooting foul by G. Antetokounmpo (drawn by B. Biyombo),,9-7,,
6:04.0,B. Biyombo misses free throw 1 of 2,,9-7,,
6:04.0,Offensive rebound by Team,,9-7,,
6:04.0,,,9-7,,Milwaukee full timeout
6:04.0,C. Joseph enters the game for K. Lowry,,9-7,,
6:04.0,,,9-7,,O. Mayo enters the game for G. Antetokounmpo
6:04.0,B. Biyombo misses free throw 2 of 2,,9-7,,
6:02.0,,,9-7,,Defensive rebound by G. Monroe
5:48.0,,,9-7,,G. Monroe misses 2-pt shot from 9 ft
5:46.0,Defensive rebound by L. Scola,,9-7,,
5:30.0,J. Johnson misses 2-pt shot from 3 ft,,9-7,,
5:29.0,,,9-7,,Defensive rebound by G. Monroe
5:23.0,,,9-7,,M. Carter-Williams misses 2-pt shot at rim (block by J. Johnson)
5:20.0,Defensive rebound by L. Scola,,9-7,,
5:10.0,D. DeRozan makes 2-pt shot from 15 ft,2,11-7,,
4:54.0,,,11-7,,K. Middleton misses 3-pt shot from 24 ft
4:53.0,Defensive rebound by C. Joseph,,11-7,,
4:34.0,J. Johnson misses 3-pt shot from 23 ft,,11-7,,
4:33.0,,,11-7,,Defensive rebound by M. Carter-Williams
4:12.0,,,11-7,,M. Carter-Williams misses 2-pt shot from 7 ft
4:10.0,Defensive rebound by B. Biyombo,,11-7,,
3:49.0,D. DeRozan makes 2-pt shot from 14 ft,2,13-7,,
3:28.0,,,13-7,,K. Middleton misses 2-pt shot from 21 ft
3:26.0,,,13-7,,Offensive rebound by J. Parker
3:23.0,,,13-9,2,J. Parker makes 2-pt shot from 8 ft
3:12.0,,,13-9,,Personal foul by O. Mayo (drawn by D. DeRozan)
3:12.0,,,13-9,,J. O'Bryant enters the game for J. Parker
3:12.0,D. DeRozan makes free throw 1 of 2,1,14-9,,
3:12.0,P. Patterson enters the game for J. Johnson,,14-9,,
3:12.0,T. Ross enters the game for L. Scola,,14-9,,
3:12.0,D. DeRozan makes free throw 2 of 2,1,15-9,,
2:58.0,,,15-9,,O. Mayo misses 2-pt shot from 11 ft
2:57.0,Defensive rebound by B. Biyombo,,15-9,,
2:38.0,C. Joseph misses 2-pt shot from 5 ft,,15-9,,
2:34.0,Offensive rebound by B. Biyombo,,15-9,,
2:34.0,B. Biyombo misses 2-pt shot at rim,,15-9,,
2:30.0,,,15-9,,Defensive rebound by J. O'Bryant
2:25.0,,,15-11,2,J. O'Bryant makes 2-pt shot from 8 ft (assist by O. Mayo)
2:16.0,Toronto full timeout,,15-11,,
2:16.0,,,15-11,,J. Henson enters the game for G. Monroe
2:08.0,B. Biyombo makes 2-pt shot at rim (assist by D. DeRozan),2,17-11,,
1:46.0,,,17-11,,O. Mayo misses 2-pt shot from 21 ft
1:45.0,,,17-11,,Offensive rebound by J. O'Bryant
1:37.0,,,17-11,,M. Carter-Williams misses 2-pt shot at rim (block by B. Biyombo)
1:37.0,Defensive rebound by B. Biyombo,,17-11,,
1:37.0,,,17-11,,Personal foul by M. Carter-Williams (drawn by B. Biyombo)
1:37.0,B. Biyombo makes free throw 1 of 2,1,18-11,,
1:37.0,,,18-11,,T. Ennis enters the game for M. Carter-Williams
1:37.0,B. Biyombo makes free throw 2 of 2,1,19-11,,
1:18.0,,,19-11,,K. Middleton misses 2-pt shot from 16 ft
1:17.0,Defensive rebound by B. Biyombo,,19-11,,
1:03.0,D. DeRozan misses 2-pt shot from 2 ft (block by J. Henson),,19-11,,
1:02.0,,,19-11,,Defensive rebound by O. Mayo
1:00.0,Personal foul by C. Joseph (drawn by O. Mayo),,19-11,,
1:00.0,,,19-12,1,O. Mayo makes free throw 1 of 2
1:00.0,,,19-13,1,O. Mayo makes free throw 2 of 2
0:48.0,T. Ross misses 3-pt shot from 26 ft,,19-13,,
0:47.0,Offensive rebound by P. Patterson,,19-13,,
0:45.0,P. Patterson misses 2-pt shot from 3 ft,,19-13,,
0:43.0,,,19-13,,Defensive rebound by K. Middleton
0:33.0,,,19-15,2,J. O'Bryant makes 2-pt shot from 20 ft (assist by K. Middleton)
0:16.0,C. Joseph makes 3-pt shot from 26 ft (assist by D. DeRozan),3,22-15,,
0:02.0,,,22-17,2,K. Middleton makes 2-pt shot from 16 ft (assist by T. Ennis)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,22-19,2,J. Henson makes 2-pt shot from 2 ft (assist by O. Mayo)
11:52.0,,,22-19,,Shooting foul by P. Patterson (drawn by J. Henson)
11:52.0,Violation by P. Patterson (lane),,22-19,,
11:52.0,,,22-19,,J. Henson misses free throw 1 of 1
11:51.0,Defensive rebound by T. Ross,,22-19,,
11:34.0,T. Ross makes 2-pt shot from 2 ft (assist by P. Patterson),2,24-19,,
11:18.0,,,24-21,2,J. Henson makes 2-pt shot from 3 ft (assist by R. Vaughn)
11:18.0,,,24-21,,Shooting foul by L. Nogueira (drawn by J. Henson)
11:18.0,,,24-22,1,J. Henson makes free throw 1 of 1
11:06.0,,,24-22,,Personal foul by T. Ennis (drawn by K. Lowry)
10:57.0,T. Ross makes 2-pt shot from 17 ft (assist by K. Lowry),2,26-22,,
10:41.0,,,26-22,,J. Henson misses 2-pt shot from 13 ft
10:39.0,,,26-22,,Offensive rebound by J. O'Bryant
10:30.0,,,26-22,,T. Ennis misses 2-pt shot from 8 ft
10:28.0,Defensive rebound by K. Lowry,,26-22,,
10:22.0,K. Lowry makes 2-pt shot from 2 ft,2,28-22,,
10:07.0,,,28-24,2,T. Ennis makes 2-pt shot from 17 ft
9:55.0,Turnover by K. Lowry (bad pass; steal by T. Ennis),,28-24,,
9:46.0,,,28-26,2,J. Henson makes 2-pt shot at rim (assist by T. Ennis)
9:23.0,,,28-26,,Shooting block foul by J. O'Bryant (drawn by K. Lowry)
9:23.0,K. Lowry makes free throw 1 of 2,1,29-26,,
9:23.0,,,29-26,,G. Antetokounmpo enters the game for O. Mayo
9:23.0,K. Lowry makes free throw 2 of 2,1,30-26,,
9:07.0,,,30-28,2,T. Ennis makes 2-pt shot from 14 ft
8:52.0,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry),3,33-28,,
8:29.0,Personal foul by L. Nogueira (drawn by J. Henson),,33-28,,
8:29.0,Official timeout,,33-28,,
8:29.0,L. Scola enters the game for L. Nogueira,,33-28,,
8:26.0,,,33-28,,Turnover by J. Henson (bad pass; steal by T. Ross)
8:18.0,D. Carroll makes 2-pt shot from 17 ft (assist by P. Patterson),2,35-28,,
8:03.0,,,35-28,,R. Vaughn misses 2-pt shot from 2 ft (block by P. Patterson)
8:00.0,Defensive rebound by P. Patterson,,35-28,,
7:48.0,T. Ross misses 3-pt shot from 26 ft,,35-28,,
