time,Memphis,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,,,0-0,,J. Sullinger misses 2-pt shot from 12 ft
12:00.0,Jump ball: R. Hollins vs. A. Johnson (I. Thomas gains possession),,,,Jump ball: R. Hollins vs. A. Johnson (I. Thomas gains possession)
11:40.0,Defensive rebound by Team,,0-0,,
11:21.0,M. Barnes misses 3-pt shot from 26 ft,,0-0,,
11:20.0,Offensive rebound by T. Allen,,0-0,,
11:16.0,T. Allen makes 2-pt shot from 14 ft,2,2-0,,
11:01.0,,,2-0,,I. Thomas misses 2-pt shot from 10 ft
11:00.0,Defensive rebound by J. Green,,2-0,,
10:47.0,R. Hollins makes 2-pt shot at rim (assist by T. Allen),2,4-0,,
10:26.0,,,4-0,,Turnover by J. Sullinger (lost ball; steal by M. Chalmers)
10:21.0,T. Allen makes 2-pt shot at rim (assist by M. Chalmers),2,6-0,,
10:06.0,,,6-2,2,I. Thomas makes 2-pt shot at rim
10:06.0,,,6-2,,Shooting foul by M. Barnes (drawn by I. Thomas)
10:06.0,,,6-2,,I. Thomas misses free throw 1 of 1
10:06.0,Defensive rebound by R. Hollins,,6-2,,
9:47.0,R. Hollins misses 2-pt shot from 5 ft (block by A. Johnson),,6-2,,
9:46.0,,,6-2,,Defensive rebound by J. Crowder
9:42.0,,,6-2,,A. Bradley misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by M. Chalmers,,6-2,,
9:23.0,M. Chalmers misses 3-pt shot from 25 ft,,6-2,,
9:22.0,,,6-2,,Defensive rebound by I. Thomas
9:16.0,,,6-2,,J. Crowder misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by J. Green,,6-2,,
9:11.0,Shooting foul by J. Sullinger (drawn by M. Barnes),,6-2,,
9:11.0,M. Barnes makes free throw 1 of 2,1,7-2,,
9:11.0,M. Barnes makes free throw 2 of 2,1,8-2,,
9:02.0,,,8-5,3,J. Crowder makes 3-pt shot from 25 ft (assist by A. Johnson)
8:38.0,Turnover by T. Allen (lost ball; steal by J. Sullinger),,8-5,,
8:33.0,,,8-7,2,J. Sullinger makes 2-pt shot at rim
8:17.0,M. Barnes misses 3-pt shot from 25 ft,,8-7,,
8:16.0,,,8-7,,Defensive rebound by A. Johnson
